subject,pdf_page,content_page,locator,point_name
MATH,0014,10,第一章 / 1.4 基本不等式,算术平均数与几何平均数的定义及基本不等式的文字叙述
MATH,0014,10,第一章 / 1.4 基本不等式,重要不等式 $a^2+b^2\ge2ab$
MATH,0014,10,第一章 / 1.4 基本不等式,重要不等式 $\frac{a}{b}+\frac{b}{a}\ge2$
MATH,0014,10,第一章 / 1.4 基本不等式,重要不等式 $ab\le\left(\frac{a+b}{2}\right)^2$
MATH,0014,10,第一章 / 1.4 基本不等式,均值不等式链 $\sqrt{\frac{a^2+b^2}{2}}\ge\frac{a+b}{2}\ge\sqrt{ab}\ge\frac{2}{1/a+1/b}$
MATH,0014,10,第一章 / 1.4 基本不等式,基本不等式求最值的两条结论
MATH,0014,10,第一章 / 1.4 基本不等式,多次使用基本不等式时等号条件的相容性与不等号方向一致性
MATH,0014,10,第一章 / 1.4 基本不等式,配凑法的思想
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,"常数代换法（""1""的代换）的四个步骤"
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,常数代换法的典型构造 $(ax+by)(\frac{m}{x}+\frac{n}{y})$ 及其最小值 $am+bn+2\sqrt{abmn}$
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,常数代换法的取等条件 $\frac{bmy}{x}=\frac{anx}{y}$
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,消元法的思路
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,配凑法、常数代换法、消元法的适用结构对照
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,不等式恒成立的等价条件
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,不等式有解的等价条件
MATH,0015,11,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题,不等式无解的等价条件
MATH,0016,12,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇,应用基本不等式解决实际问题的四个步骤
MATH,0016,12,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇,基本不等式与概率统计的交汇
MATH,0016,12,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇,基本不等式与平面向量的交汇
MATH,0016,12,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇,基本不等式与函数导数的交汇
MATH,0016,12,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇,交汇类最值问题的通用套路
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,函数的概念
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,自变量、函数值、定义域、值域的定义
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,函数图象与竖直直线的交点个数
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,判断两个函数是否为同一函数的两个要件
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,函数的三种表示法
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,分段函数的定义
MATH,0018,14,第二章 函数及其性质 / 2.1 函数的概念及表示,分段函数是一个函数而非几个函数；定义域与值域均为各段的并集
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,已知 $f(x)$ 定义域求 $f(g(x))$ 定义域的方法
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,已知 $f(g(x))$ 定义域求 $f(x)$ 定义域的方法
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,$f(\ )$ 括号内整体取值范围决定 $f$ 的定义域
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,求函数解析式的五种方法
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,换元法的三个步骤与新元取值范围的必要性
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,构造法解含 $f(x)$ 与 $f(1/x)$（或 $f(-x)$）的方程组
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,求分段函数函数值的方法
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,分段函数的方程与不等式解法
MATH,0019,15,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数,分段函数求值域的两种方法
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,函数在区间上单调递增、单调递减的定义
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,增函数与减函数的定义
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,单调性的图象描述
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,单调性的两种等价形式
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,单调区间的定义
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,复合函数的单调性判据
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,函数最大值的定义
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,函数最小值的定义
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,闭区间上连续函数必有最值
MATH,0020,16,第二章 / 2.2 函数的单调性和最值,"开区间上""单峰""连续函数必有最大值或最小值"
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,判断函数单调性的六种方法
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,公共定义域内单调函数的运算性质
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,数乘对单调性的影响
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,"复合函数单调性的""同增异减""判据"
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,定义法证明单调性的四步
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,导数法判断单调性
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,赋值法处理抽象函数的单调性
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,利用单调性比较大小的步骤
MATH,0021,17,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式,利用单调性解函数不等式的框架
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,求解函数不等式的本质
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,利用单调性求参数的策略
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,分段函数单调性的两个必要条件
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,求函数最值的五种常用方法
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,换元法求最值时需注意新元的取值范围
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,导数法求最值的步骤
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,分离常数法处理分子分母同次的公式形式
MATH,0022,18,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）,各类函数形式与推荐求值域方法的对应关系
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,奇函数与偶函数的定义
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,奇偶函数的图象特征
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,函数具有奇偶性的前提条件
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,奇偶性的等价形式
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,奇函数在 $x=0$ 处有定义则 $f(0)=0$
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,偶函数满足 $f(x)=f(|x|)$
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,奇偶性与单调性的关系
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,函数平移后的奇偶性表达式
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,周期函数与最小正周期的定义
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,周期性结论
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,图象自对称性
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,两个函数图象的相互对称性
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,由 $f(a+x)=f(b-x)$、$f(a+x)=-f(b-x)$、$f(a+x)+f(b-x)=c$ 判断对称轴或对称中心
MATH,0023,19,第二章 / 2.3 函数的奇偶性、周期性和对称性,对称性与周期性的三条关系
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,判断函数奇偶性的三种方法
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,定义法的流程
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,图象法判据
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,奇偶函数的运算性质
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,奇偶性应用的两个方向
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,求函数值时用奇偶性把自变量转化到已知解析式的区间
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,求参数时用定义等价式得恒等式、由系数相等构造方程组
MATH,0024,20,第二章 / 2.3（续）/ 函数奇偶性的判断与应用,取特殊值求参数只提供必要条件，需验证
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,运用奇偶性与单调性解不等式的策略
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,奇函数在对称区间上单调性相同、偶函数相反
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,"偶函数用 $f(x)=f(|x|)$ 把问题转化到 $[0,+\infty)$ 上求解"
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,函数周期性的判定方法
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,周期的整数倍也是周期
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,由局部性质推整体性质
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,单调性与对称性结合问题的解题技巧
MATH,0025,21,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性,奇偶性与对称性的互化
MATH,0026,22,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合,解决奇偶性与对称性综合问题的两种思路
MATH,0026,22,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合,由双对称（两轴、两中心、一轴一中心）得到周期结论
MATH,0026,22,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合,奇偶性与周期性综合问题的处理流程
MATH,0026,22,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合,函数四大性质（奇偶性、对称性、周期性、单调性）综合命题的处理方法
MATH,0026,22,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合,借助奇偶性、对称性、周期性实现区间转换，再用单调性解决问题
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,二次函数解析式的三种形式
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,二次函数的定义域、值域、单调区间与对称轴
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,二次函数值域公式
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,二次函数在闭区间上的最值讨论
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,二次函数最值的判据
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,幂函数的概念 $y=x^\alpha$
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,五个常用幂函数的定义域、值域、奇偶性与单调性
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,函数 $y=ax+b/x$（$ab\ne0$）的图象、定义域、值域、奇偶性与单调性
MATH,0027,23,第二章 / 2.4 二次函数与幂函数,对勾函数的最小值
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,研究二次函数图象的三个关键点
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,求二次函数解析式的待定系数法
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,二次函数三种解析式形式的适用情形
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,一元二次方程根的分布问题的解法
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,二次函数在区间上的单调性判据
MATH,0028,24,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质,含参二次函数问题的分类讨论原则
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,作幂函数图象的三个注意点
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,幂函数图象的分布规律
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,幂函数 $y=x^\alpha$ 在第一象限的单调性与 $\alpha$ 符号的关系
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,形如 $x^{m/n}$ 的幂函数奇偶性的三条判据
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,各常用幂函数的定义域、奇偶性、单调性与所过定点
MATH,0029,25,第二章 / 2.4（续）/ 幂函数的图象与性质,"所有幂函数在第一象限都过点 $(1,1)$"
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,根式的概念与性质
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,正、负分数指数幂的定义与 $0$ 的指数幂的意义
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,指数幂的三条运算性质
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,对数的四条性质
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,对数的换底公式 $\log_aN=\frac{\log_cN}{\log_ca}$ 及推论
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,对数的三条运算性质
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,指数函数的概念
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,指数型函数与指数函数的区别
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,指数函数的图象与性质
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,指数函数图象恒过的三个点
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,$y=a^x$ 与 $y=(1/a)^x$ 的图象关于 $y$ 轴对称
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,$y$ 轴右侧指数函数图象越高底数越大
MATH,0030,26,第二章 / 2.5 指数函数与对数函数,"对数函数的概念（$y=\log_ax$，定义域 $(0,+\infty)$）与三个特征"
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,对数函数的定义域、值域、过定点与函数值符号规律
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,对数函数的单调性与底数的关系
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,由直线 $y=1$ 与对数函数图象的交点横坐标比较底数大小
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,第一象限内对数函数图象从左到右底数逐渐增大
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,指数函数与对数函数互为反函数
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,指数幂化简与求值的三条技巧
MATH,0031,27,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简,指数幂运算结果的规范性要求
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,解决对数运算问题的四种常用方法
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,由解析式判断指数函数图象的策略
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,指数型函数图象的变换方法
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,由直线 $x=1$ 与指数函数图象的交点判断底数大小
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,比较指数式大小的三种情形与方法
MATH,0032,28,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质,与指数函数有关的复合函数的处理
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,比较对数式大小的三种类型与方法
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,处理对数型复合函数必须弄清的三点
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,对数型复合函数必须先求定义域的纪律
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,"""同增异减""在复合函数单调性中的应用"
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,比较幂、指、对大小的基本思路
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,中间量法
MATH,0033,29,第二章 / 2.5（续）/ 对数式与幂指对大小比较,构造法
MATH,0034,30,第二章 / 2.6 函数的图象,函数图象的平移变换规律（左加右减、上加下减）及其对 $x$ 系数不为 1 时的处理
MATH,0034,30,第二章 / 2.6 函数的图象,函数图象的对称变换
MATH,0034,30,第二章 / 2.6 函数的图象,指数函数与对数函数图象关于 $y=x$ 对称
MATH,0034,30,第二章 / 2.6 函数的图象,函数图象的伸缩变换
MATH,0034,30,第二章 / 2.6 函数的图象,函数图象的翻折变换
MATH,0034,30,第二章 / 2.6 函数的图象,$y=f(|x|)$ 必为偶函数
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,画函数图象的三种一般方法
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,含绝对值符号的函数用分段函数法作图
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,作图必须注意定义域
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,图象变换要注意变换顺序与先变形
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,函数图象识别的六个观察角度
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,由定义域判断图象的左右位置、由值域判断上下位置
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,由奇偶性判断对称性、由单调性判断变化趋势、由周期性判断循环往复
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,用特殊点与极限位置排除错误选项
MATH,0035,31,第二章 / 2.6（续）/ 作函数图象、识辨图象,函数图象在方程根、不等式、含参问题中的应用
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,函数零点的定义
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,零点的三个等价关系
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,函数零点存在定理
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,二分法的定义与操作
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,零点存在定理的逆向不成立（有零点不能推出端点异号），故 $f(a)f(b)<0$ 是充分不必要条件
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,零点唯一性的判据
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,函数零点与两函数图象交点的等价转化
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,函数图象的三个应用角度
MATH,0036,32,第二章 / 2.7 函数的零点与方程的根,图象应用问题的四个步骤
MATH,0037,33,第二章 / 2.7（续）/ 零点所在区间、零点个数、含参零点,判断函数零点所在区间的两种方法
