subject,survivor_slug,merged_slug,reason
BIOLOGY,特异性免疫,特异性免疫-x1,同章同名去重副本 特异性免疫
BIOLOGY,生物多样性,生物多样性-x1,同章同名去重副本 生物多样性及其保护
BIOLOGY,生物大分子以碳链为骨架,生物大分子以碳链为骨架-x1,同章同名去重副本 细胞的分子组成
BIOLOGY,用高倍显微镜观察叶绿体和细胞质的流动,用高倍显微镜观察叶绿体和细胞质的流动-x1,同章同名去重副本 细胞与生命活动
BIOLOGY,病毒,病毒-x1,同章同名去重副本 细胞与生命活动
BIOLOGY,细胞中的水,细胞中的水-x1,同章同名去重副本 细胞中的元素和化合物
BIOLOGY,细胞中的糖类,细胞中的糖类-x1,同章同名去重副本 细胞中的元素和化合物
BIOLOGY,细胞呼吸的影响因素及应用,细胞呼吸的影响因素及应用-x1,同章同名去重副本 细胞呼吸的原理和应用
BIOLOGY,细胞器的结构和功能,细胞器的结构和功能-x1,同章同名去重副本 细胞器之间的分工合作
BIOLOGY,细胞核的结构和功能,细胞核的结构和功能-x1,同章同名去重副本 细胞核的结构和功能
BIOLOGY,细胞的生物膜系统,细胞的生物膜系统-x1,同章同名去重副本 细胞的多样性和统一性
BIOLOGY,群落的结构,群落的结构-x1,同章同名去重副本 群落的结构
BIOLOGY,蛋白质的功能,蛋白质的功能-x1,同章同名去重副本 蛋白质是生命活动的主要承
BIOLOGY,豌豆用作遗传实验的材料,豌豆用作遗传实验的材料-x1,同章同名去重副本 遗传的基本规律
CHEMISTRY,共价键,共价键-x2,同章同名去重副本 共价键
CHEMISTRY,共价键,共价键-x1,同章同名去重副本 共价键
CHEMISTRY,化学反应速率,化学反应速率-x1,同章同名去重副本 化学反应的速率与限度
CHEMISTRY,化学平衡状态,化学平衡状态-x1,同章同名去重副本 化学平衡
CHEMISTRY,化学平衡的移动,化学平衡的移动-x1,同章同名去重副本 化学平衡
CHEMISTRY,化学键,化学键-x1,同章同名去重副本 化学键
CHEMISTRY,原子结构,原子结构-x1,同章同名去重副本 原子结构与元素周期表
CHEMISTRY,原电池,原电池-x1,同章同名去重副本 原电池
CHEMISTRY,氧化还原反应,氧化还原反应-x1,同章同名去重副本 氧化还原反应
CHEMISTRY,沉淀溶解平衡,沉淀溶解平衡-x1,同章同名去重副本 沉淀溶解平衡
CHEMISTRY,物质的量浓度,物质的量浓度-x1,同章同名去重副本 物质的量
CHEMISTRY,绿色化学,绿色化学-x1,同章同名去重副本 环境保护与绿色化学
PHYSICS,受迫振动,受迫振动-x1,同章同名去重副本 6 受迫振动 共振
PHYSICS,向心加速度,向心加速度-x1,同章同名去重副本 3 向心加速度
PHYSICS,波的干涉,波的干涉-x1,同章同名去重副本 4 波的干涉
PHYSICS,电磁感应中的线框模型,电磁感应中的线框模型-x1,同章同名去重副本 3 电磁感应现象及应用
BIOLOGY,细胞呼吸的影响因素及应用,细胞呼吸的影响因素及其应用,跨章近重复同名概念（影响因素的应用/及其应用）
BIOLOGY,无氧呼吸,无氧呼吸-x1,跨章同名同概念
BIOLOGY,无氧呼吸,无氧呼吸-x2,跨章同名同概念
BIOLOGY,有氧呼吸,有氧呼吸-x1,跨章同名同概念
BIOLOGY,有氧呼吸,有氧呼吸-x2,跨章同名同概念
BIOLOGY,原核细胞和真核细胞,原核细胞和真核细胞-x1,跨章同名同概念
BIOLOGY,有丝分裂,有丝分裂-x1,跨章同名同概念
BIOLOGY,染色体变异-x1,染色体变异,跨章同名同概念
CHEMISTRY,平衡常数-x1,平衡常数,跨章同名同概念
CHEMISTRY,气体摩尔体积,气体摩尔体积-x1,跨章同名同概念
CHEMISTRY,溶度积,溶度积-x1,跨章同名同概念
CHEMISTRY,烷烃的命名,烷烃的命名-x1,跨章同名同概念
CHEMISTRY,燃烧热,燃烧热-x1,跨章同名同概念
CHEMISTRY,电离能,电离能-x1,跨章同名同概念
CHEMISTRY,电负性,电负性-x1,跨章同名同概念
CHEMISTRY,盖斯定律,盖斯定律-x1,跨章同名同概念
CHEMISTRY,键参数,键参数-x1,跨章同名同概念
MATH,二面角,二面角-x1,跨章同名同概念
PHYSICS,机械波,机械波-x1,跨章同名同概念
PHYSICS,两种运动状态-x1,两种运动状态,跨章同名同概念
PHYSICS,倾斜传送带,倾斜传送带-x1,跨章同名同概念
PHYSICS,力学对象和电学对象的相互联系-x1,力学对象和电学对象的相互联系,跨章同名同概念
PHYSICS,图像法在处理实验数据方面的应用,图像法在处理实验数据方面的应用-x1,跨章同名同概念
PHYSICS,求解电能的思路-x1,求解电能的思路,跨章同名同概念
