subject,slug,boundary_body
MATH,分离参数法-分离参数后转化为求函数的值域-最值-问题求解,分离参数法指把参数与自变量分离，把问题转化为只含自变量的函数求值域或最值问题，再借助图象求解。常用于恒成立问题和方程根的个数问题。参数不能分离时改用恒成立讨论法，二者以能否分离参数相区分。
MATH,指数,讨论指数与指数幂的意义，把指数从整数推广到分数，并给出指数幂的运算规则。范围限于指数意义与指数幂运算的化简，是学习指数函数的基本工具。要与指数函数相区分，后者是以指数为变量的函数。
MATH,指数函数,讨论指数函数y=a^x的概念、图象与性质，底数a是大于0且不等于1的常数，单调性由底数决定。还比较指数型、幂型、线性型三类函数模型的增长差异。要与幂函数相区分，指数函数底为常数、指数为变量，反之亦然。
MATH,对数,讨论对数的概念，即乘方的逆运算，以及对数的基本运算性质。范围限于对数意义与对数运算的化简求值，是学习对数函数的基本工具。要与对数函数相区分，前者是数的运算，后者是函数。
MATH,对数函数,讨论对数函数y=log_a(x)的概念、图象与性质，底数a是大于0且不等于1的常数，单调性由底数决定。它是指数函数的反函数，两图象关于直线y=x对称。范围限于对数函数自身的基本性质，不涉及对数型复合函数。
MATH,换底公式,讨论换底公式，即把任意底数的对数化为指定底数的方法，及其常用推论。范围限于用换底公式换底与化简。要与指对互化相区分，后者是指数式与对数式的相互转化，两者是不同的工具。
MATH,对数运算,讨论对数的运算性质，即积、商、幂的对数法则，以及对数式的化简策略。范围限于依据运算法则化简、求值对数式。与换底公式相联系，两者常结合使用完成化简。
MATH,指数不等式,讨论指数不等式的解法：底数确定时利用指数函数单调性去指数求解；底数含参数时须对底数分类讨论。对指对混合不等式常用同构变换法处理。还应注意不等式两边乘除负数要变号的规则。
MATH,任意角与弧度制,讨论角的概念推广到任意角，终边相同的角的集合，以及弧度制与角度制的互化。范围限于角的表示与角度弧度换算，是学习三角函数的前提。要与三角函数的定义相区分，后者是下一步内容。
MATH,三角函数的定义,讨论任意角的正弦、余弦、正切定义，即终边上点坐标的比值。还给出三角函数值在各象限的符号规律与口诀。范围限于函数值的定义与符号判断，暂不涉及不同角之间的关系转化。
MATH,同角三角函数的基本关系,讨论同一角的正弦、余弦、正切之间的基本关系，即平方关系与商数关系。它是三角式互化、化简的基本工具，可结合五大化简策略处理三角函数值域问题。要与诱导公式相区分，前者关同一角，后者关不同角转化。
MATH,诱导公式,讨论三角函数的诱导公式，即π±α、2π±α等角的三角函数值与α的三角函数值间的转化规律。还涵盖互余互补角的诱导公式要点，以及多角诱导公式化简的合并策略。要与同角基本关系相区分，后者关同一角、前者关不同角。
MATH,三角函数的图象与性质,讨论y=Asin(ωx+φ)等三角函数的图象与性质，即定义域、值域、单调性、奇偶性、周期性与对称性。涵盖图象变换的两条路径、五点法作图，以及图象对称结构的等距结论。范围限于单一三角函数的性质与图象变换。
MATH,正弦函数,讨论正弦函数y=sinx的图象与性质，即定义域、值域、单调性、奇偶性、周期性与对称轴、对称中心。图象由单位圆定义得到，最小正周期为2π。它是研究其他三角函数图象与性质的基本原型。
MATH,余弦函数,讨论余弦函数y=cosx的图象与性质，即定义域、值域、单调性、奇偶性、周期性与对称轴、对称中心。图象最小正周期为2π且为偶函数。它与正弦函数相余，两图象可经平移互相转化。
MATH,正切函数,本节以正切函数为对象，界定其图象与性质的考察范围；只讨论函数本身，不展开与其他三角函数的综合变形。
MATH,三角函数的值域与最值,本节界定三角函数值域与最值的考察范围，涵盖值域（最值）的六种基本类型与最值（值域）的三类结构处理方法；平移变换中周期与最值保持不变，是常用的判断界限。
MATH,函数y-asin-ωx-φ-的图象,本节围绕 y=Asin(ωx+φ) 的图象与变换展开，界定 A、ω、φ 各参数的几何意义；当 ω 未限定正负时必须分情况讨论，且 ω 的取值范围需单独梳理，这是本节的两个主要界限。
MATH,三角恒等变换,本节界定三角恒等变换的一般思路，覆盖 1±sin2α 的配方变形等典型结构；三角形内角的正切恒等式依赖内角和条件，属特定情形的结论，不能随意推广到任意角。
MATH,两角和与差的公式,本节覆盖两角和与差的正弦、余弦、正切公式，及其与辅助角公式的关联，属三角恒等变换的基础工具；范围以公式本身及其直接变形为限。
MATH,二倍角公式,本节以二倍角公式为核心，覆盖其与升幂、降幂公式的变形关系，并延伸到三倍角公式、两直线夹角正切公式等相邻结论；各公式适用对象不同，应用时注意区分角度关系。
MATH,正弦定理,本节界定正弦定理及其推导思路，包括与外接圆半径配合求角等典型用法；椭圆焦点三角形中的离心率结论属特定图形的推广，使用时须先确认图形条件。
MATH,余弦定理,本节界定余弦定理及其变形公式的范围，核心是用 a²+b²−c² 型结构实现边与角的互相转化；与正弦定理侧重不同，本节不涉及外接圆半径求角等内容。
MATH,三角形面积公式,本节以三角形面积公式为基础，延伸到中线长的向量形式、角形式与高线公式等结论；中线各公式与面积公式的适用前提不同，注意分角互余结构的特定条件。
MATH,边角互化,本节聚焦三角形中边角互化的总思路，说明内角和为 π 时正弦与余弦两种转化关系的建立方式；它是沟通解三角形中边与角的桥梁，不单独推导正弦、余弦定理。
MATH,解三角形的实际应用,本节界定解三角形在实际问题与平面图形中的应用范围，包括三角函数建模等情形；其中双曲线焦点三角形的周长不是定值，是应用时需要特别注意的边界。
MATH,不等式的基本性质,本节覆盖不等式的七条基本性质，是后续不等式推理与求取值范围的基础；交集并集运算性质、双参不等式的最值定位法与值域法属延伸内容，各性质使用须满足前提条件。
MATH,一元二次不等式,本节界定一元二次不等式的核心内容，包括恒成立的三种情形、整数解问题的两条路线，并延伸到一元二次方程根的分布五要素；讨论均以二次项系数非零为前提。
MATH,基本不等式,本节覆盖基本不等式及其链式推广，强调一正二定三相等的使用条件；算术平均与几何平均的比较、三元均值不等式均属其应用范畴，求最值时必须检验等号能否取到。
MATH,不等式恒成立,本节聚焦不等式恒成立问题，二次情形可借助判别式条件或图象条件判断，双参数情形常转化为端点条件；它与能成立问题的转化方向相反，注意区分。
MATH,绝对值不等式,本节以绝对值不等式求解为核心，并延伸到均值不等式链及其变形；对数均值不等式属较深的结论，应用时须先确认其成立条件，不与基本不等式混用。
MATH,不等式恒成立与能成立问题,本节聚焦函数不等式的恒成立与能成立两类问题，一般借助参变分离法求解，并按最值转化原则区分二者；两类问题对应不同的量词含义，转化方向相反，不可混淆。
MATH,含参一元二次不等式的解法,本节聚焦含参一元二次不等式的解法，核心是对参数分类讨论：按二次项系数正负与零、判别式与零的关系、两根大小逐类处理；一元二次分式不等式的解法属延伸内容。
MATH,忽视不等式性质成立的条件致错,本节辨析用不等式基本性质推理论证时忽视前提条件的错误，重点在同向不等式相乘、两端同时乘除数式、两端同时作 n 次方等操作的适用条件；条件不满足时相关变形不成立。
MATH,忽视基本不等式应用的条件致错,本节辨析用基本不等式求函数最值时忽视应用条件的错误，强调实际应用中的三个注意点，如相关项须同号；泰勒放缩与帕德近似用于比大小属延伸方法，注意其使用前提。
MATH,连续使用基本不等式忽略等号同时成立致错,本节辨析连续使用基本不等式时忽略等号同时成立的错误，强调多次取等的条件必须一致；分组使用、含参讨论中参数临界值（等号成立情形）都不可遗漏，否则最值取不到。
MATH,解分数不等式忽略分母不为零致错,本节辨析解分式不等式时忽略分母不为零限制条件的错误，强调去分母前后须防止产生增解；分式不等式与绝对值不等式的等价转化、直线设为 x=my+n 型属延伸技巧。
MATH,利用不等式的性质求数-式-的范围,本节界定利用不等式性质求代数式取值范围的方法，核心是用待定系数法或整体系数换元，把待求式表示为已知范围式的组合后，再按不等式性质推出取值范围；切线夹与割线夹属几何视角的延伸模型。
MATH,解一元二次不等式的步骤,本节聚焦一元二次不等式的标准求解步骤：先使二次项系数为正，再解对应方程并按判别式分类讨论，最后写出解集；三个二次的关系属理论支撑，对称化构造证零点积（和）不等式的四步流程为延伸内容。
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,"本节强调求函数最值时，必须在定义域内、且使实际问题有意义的自变量取值范围内求解；涉及区分""定义域为某区间""与""在某区间上有意义""两种表述，并延伸讨论与复数有关的最值方法。"
MATH,证明不等式,"本节界定不等式证明的方法范围，区分无附加条件与有附加条件两类：前者按结构选用基本不等式及其变形，后者注意用""1""的代换并检验取等条件；切线放缩、指对放缩属解题中需先证明再使用的化归策略。"
MATH,利用元素与集合的关系求参数,本节界定利用元素与集合的关系求参数的方法，核心是用元素的确定性解出参数所有可能值，再用互异性逐一检验；与切线、aₙ 与 Sₙ、复数共轭与模等利用关系列方程求参的问题方法思路相近，属延伸内容。
MATH,利用集合间的关系求参数,本节聚焦利用集合间的关系求参数：先弄清子集方向，再注意含参集合可能为空集，最后把子集条件转成关于参数的方程或不等式组，借助数轴求解；由 A⊆B 求参时还可用逐元素检验法。
MATH,根据交集-并集-补集的运算结果求参数,本节界定根据交集、并集、补集运算结果求参数的方法，可先确定区间端点间的大小关系，也可化简后用数轴列不等式组并逐一检验；端点能否取等号须专门验证，且不可遗漏空集情形。
MATH,端点取值需谨慎-在求参数范围时-要注意边界或区间端点值的检验-从而确定取舍,本节强调求参数范围时端点取舍需谨慎，须回代检验边界是否成立；最值可在区间端点取得而极值不可，是端点取舍的关键区别；由不等式解集反求参数、由图象确定 A、b、ω、φ 属相关应用。
MATH,根据全称-存在量词命题的真假求参数,"本节聚焦根据全称、存在量词命题真假求参数：全称量词常以""恒成立""出现，可用数形结合或分离参数；存在量词常以""存在""出现，可假设存在再求范围。命题与其否定的真假关系属判断基础。"
MATH,解决双变量-存在性-或-任意性-的不等式问题,本节界定含两个变量的存在性与任意性不等式问题，核心是把双变量问题转化为恒成立或能成立问题，共有四种转化类型；转化方向决定取值范围的比较方式，注意区分。
MATH,对集合表示方法的理解偏差致错,本节辨析对集合表示方法的理解偏差，关键是明确代表元素的类型（点集或数集）及其含义；点集与数集的交集运算不同，终边相同的角的集合表示也须按代表元素正确书写。
MATH,忽视-漏-空集致错,本节辨析集合问题中忽视或遗漏空集导致的错误：空集是不含任何元素的集合，在隐含空集参与的包含关系或运算结果等问题中，须单独检验空集情形，否则容易漏解。
MATH,忽视集合元素的互异性致错,本节辨析忽视集合元素互异性导致的错误：集合内不允许出现重复元素，求参数或计数后必须检验所得元素是否互异；互异性与确定性、无序性合称集合元素的三个特性，检验常被遗漏。
MATH,充分性与必要性位置颠倒理解错误致错,"本节辨析充分条件与必要条件判断中位置颠倒的理解错误：见到倒装表述时，应先翻译成""若…则…""的正常结构再判断；单端点情形可用必要性探路，注意其适用场景。"
MATH,对含有一个量词命题的否定理解错误致错,本节辨析含一个量词的命题否定时的理解错误：否定须两步进行，先互换全称与存在量词，再否定结论；常见错误是只否结论不换量词，或遗漏隐含量词，需先挖掘再否定。
MATH,子集的个数问题,本节聚焦子集个数问题，可用列举法（元素较少时）或公式法；含 n 个元素的集合，其子集总数为 2ⁿ，非空子集与真子集各为 2ⁿ−1，非空真子集为 2ⁿ−2；数满足条件的集合个数属公式的典型应用。
MATH,venn图在集合运算中的应用,本节界定 Venn（韦恩）图在集合运算中的应用：把元素与集合的隶属关系、集合间的包含关系形象化，便于条件抽象时寻找解题思路；它是辅助分析的工具，不能替代集合运算的定义与运算律。
MATH,集合新定义的解题思路,本节界定集合新定义问题的解题思路：先分析新定义的特点、弄清其本质，再结合集合元素特性与基本运算求解；新定义运算多建立在现有运算法则与运算律之上，须按定义本身操作，不能直接套用旧结论。
MATH,等价转化法-将命题转化为另一个与之等价的且便于判断真假的命题,本节聚焦等价转化法：把命题或条件转化为与之等价且便于判断真假的形式，常用于恒成立与能成立问题的处理；可与分类讨论法配合，并注意逆否命题与充要条件的等价性。
MATH,数列的概念,本节只界定数列的概念，讨论数列的定义与表示，并涉及分段（分域）数列的处理；不涉及等差、等比等具体数列的公式推导，范围以概念本身为限。
MATH,等差数列,本节界定等差数列的定义、判定与证明方法，涵盖倒数变换法中分式递推构造等差数列等情形；五种判定方法各有使用限制，注意与等比数列判定前提的区别。
MATH,等差数列的通项,本节聚焦等差数列的通项公式及其在数列综合问题中的应用，涵盖数列综合大题的通用流程；等差数列判定的四类方法属基础内容，注意通项与求和公式适用对象的区分。
MATH,等差数列的前n项和,本节界定等差数列前 n 项和公式及其性质，包括下标对称性质、相邻两项和构造隔项等差数列等结论；求和与通项公式适用对象不同，应用时注意区分。
MATH,等比数列,本节界定等比数列的定义、判定与证明方法，强调判定须满足前提条件；涉及相邻两项积构造隔项等比数列等结论，注意与等差数列判定前提的区别。
MATH,等比数列的通项,本节聚焦等比数列的通项公式，涵盖构造等比数列法求通项等应用；等比数列判断与证明的四类方法属基础内容，使用通项公式前须先确认数列为等比。
MATH,等比数列的前n项和,本节界定等比数列前 n 项和公式及其奇偶讨论情形；求和需按公比是否等于 1 分情况使用，注意与等差数列求和公式的区分。
MATH,数列求和,本节界定数列求和的范围，核心是并项求和法与奇偶并项求和法，即把相邻项合并化简后再求和；注意并项后项数的变化，避免漏项或多项。
MATH,数学归纳法,本节界定用数学归纳法证明自然数命题的两步规范：先验证递推基础，再完成递推归纳；数列不等式证明的三条路线属其应用，注意两步缺一不可。
MATH,数列的单调性与最值问题,"把数列看作定义在正整数集上的函数，用作差法或作商法判断其增减，再确定最大项或最小项；单峰情形下可比较相邻两项""两边夹""地定出最值项，若解出的位置不唯一，需再比较各位置项的大小。"
MATH,等差数列前n项和最值问题,常用两种途径：一是把求和式配方，转化为二次函数求最值，注意自变量只取正整数，要结合对称性取舍；二是找正负项的分界，由相邻两项的符号变化确定前n项和取最大或最小的位置。
MATH,等差数列含绝对值问题,先解不等式 an>=0 找出正负项的分界点，再分情况求和：各项同号时绝对值之和等于原和或其相反数；只有前有限项为正（或为负）时，分成两段分别求和再相加，分界点的位置决定每段含哪几项。
MATH,等差数列与等比数列新背景问题,应用背景题先脱去情境读懂题意，再按量的变化规律构造等差、等比或递推模型，最后用数列性质求特定项、通项或前n项和。本点不引入新公式，重点是把实际问题翻译成数列语言。
MATH,混淆数列与函数致错,数列是定义域为正整数集的特殊函数，可以利用函数性质求解；易错处在于把 n 当成连续实数处理，直接套用函数极值点作为数列最值项，而忽略数列取值只发生在离散的正整数上。
MATH,对等比数列-中项-理解错误致错,三项成等比数列时，中间项是前后两项的等比中项，满足 b^2=ac；由定义可知只有同号的两个数才存在等比中项，异号两数没有等比中项，解题时必须注意这一存在条件。
MATH,忽视对公比q的讨论致错,等比数列求和公式是分段给出的：公比 q=1 时按 n 倍首项计，q!=1 时才用含 q 的公式。公比未知时必须分 q=1 与 q!=1 两种情况讨论，漏掉 q=1 是最常见的错误。
MATH,由前几项归纳数列通项的方法,只给出前几项时，通过观察各项的符号、分式分子分母的特征以及相邻项的变化规律，归纳猜想通项，必要时转化为熟悉的特殊数列。所得通项来自归纳，须经检验后才能作为结论使用。
MATH,周期数列的常见形式,周期数列的常见来源有三类：递推关系中含有三角函数、后一项由前两项按某种运算生成、以及难以变形构造的分式型递推。通法是先算出若干项，观察归纳出周期，再利用周期性转化所求项或前n项和。
MATH,求解等差数列基本量的策略,等差数列的五个量 a1、an、d、n、Sn 由通项公式和前n项和公式相互联系，知道其中任意三个就能列方程解出另外两个。a1 与 d 是基本量，把已知条件用它们表示出来是常用的设元方式。
MATH,前n项和公式法-为常数为等差数列,若 Sn/n 是与 n 无关的常数，则数列是等差数列，这是公式法判定的一个结论；判断某数列不是等差数列时，只需找出反例三项即可，而要证明是等差数列则须用定义法或等差中项法。
MATH,求解等比数列基本量的策略,等比数列的通项与前n项和公式联系着五个量，其中 a1 与 q 是基本量，已知三个量可列方程（组）求另外两个。应用求和公式必须分 q=1 与 q!=1 讨论，判断单调性时同样要对 q 的取值分类。
MATH,前项和公式法-若数列的前项和-则该数列是等比数列,若数列的前n项和满足等比求和的公式形式，则可判定该数列是等比数列；但仅满足该形式还不足够，还需检验相应条件。要否定等比性，只需找到一组连续三项不成等比即可。
MATH,应用等比数列性质解题时的2个注意点,用等比数列的性质解题时，要注意挖掘隐含条件、利用性质减少运算量；同时注意性质成立的前提条件，条件不直接匹配时先做适当变形，并善用设而不求的思想。
MATH,由求时忽略对-检验致错,an 与 Sn 的关系是分段给出的：先令 n=1 由 a1=S1 求首项，再按 an=Sn-Sn-1（n>=2）求通项，最后必须把 a1 代入验证是否符合同一表达式。常见错误是跳过 n=1 的检验直接套用，导致通项写错或漏成分段形式。
MATH,裂项相消求和时遗漏剩余项致错,裂项相消后并不一定只剩首、末两项，常出现前面剩两项、后面也剩两项的情形，一般前头剩几项、后头就剩几项。求和时要仔细核对抵消后剩余的各项并全部计入，不能只首末相减。
MATH,由sn求an的步骤,固定三步：先由 a1=S1 得首项；再对 n>=2 用 an=Sn-Sn-1 写出通项表达式；最后检验 a1 是否符合该式，符合则合并书写，否则写成分段形式。也可把含 Sn 与 an 的关系式化为只含 Sn 或只含 an 的递推再处理。
MATH,累加法与累乘法求数列通项,按递推关系的形式选用：相邻两项之差能表示为 n 的函数时用累加法，把各差叠加相消；相邻两项之比能表示为 n 的函数时用累乘法，把各比连乘。两者都把求通项转化为求和或连乘运算。
MATH,构造法求数列通项,针对一阶线性递推 an+1=pan+q，可用平移配凑或待定系数法把它构造为等比数列来求通项；对分式型递推，视参数关系可两边同除或取倒数，化为等差或等比后再用通法。构造方向取决于递推式的结构。
MATH,取倒数法求数列通项,适用于分式型递推：两边取倒数后，若 1/an 的相邻项关系构成等差数列，可直接用等差通项求解；若仍含常数项，可再配凑并用待定系数法处理。取倒数前需确认各项均不为零。
MATH,逆序相加法求数列的前n项和,适用条件是首末等距的两项之和都等于同一个常数：把前n项和正写、倒写两遍再逐项相加，得到 n 倍的该常数。等差数列前n项和公式即由此法推出，不满足这一对称性时不可套用。
MATH,分组-并项-法求数列的前n项和,分两种情形：相邻两项或几项的和为常数或有规律时，两两结合并项求和，符号交替型常用此法；通项较复杂时，把每项拆成两个或多个简单项的代数和，按等差、等比等类型分组后分别求和再合并。
MATH,裂项相消法中常见的裂项技巧,归纳常用的裂项恒等式：分母为若干因式之积的分式可拆成两个分式的差，含根式的项先有理化再裂开，拆出的两项在求和时能连续抵消。使用时按分母结构直接写出裂项式，并核对相消后的剩余项。
MATH,等差乘等比数列求和-令-可以用错位相减法,适用于通项为等差数列与等比数列对应项之积的求和：写出前n项和后乘以等比部分的公比，与原式错位相减，消去中间项后化为易求的形式再整理。相减的方向和末尾剩余项要处理准确。
MATH,导数的概念,导数由瞬时变化率引入，用差商的极限定义函数在某一点处的导数，刻画函数在该点附近的局部变化率。概念层面要分清瞬时变化率与平均变化率的区别，以及极限定义中增量趋于零的含义。
MATH,导数的几何意义,"导数在几何上表示曲线在该点处切线的斜率，由此得到切线方程：切点明确时直接用斜率写点斜式，切点不明时先设切点再解。注意""在点处""与""过点""两类切线问题求法不同。"
MATH,基本初等函数的导数,记忆并运用常数、幂函数、指数函数、对数函数及三角函数等基本初等函数的求导公式，能直接对单一基本函数求导。它只覆盖基本函数本身，和、积、复合等组合运算的求导属于运算法则与链式法则的范畴。
MATH,导数的运算法则,给出和差、乘积、商的求导法则，把由基本函数组合而成的表达式逐项或整体求导。使用时注意商法则与积法则的区分，以及分式结构下法则的选取。
MATH,复合函数的导数,复合函数求导遵循链式法则：先分清外层与内层，外层对中间变量求导、中间变量再对自变量求导，各层导数相乘得到结果。层次越多越要先做分解，避免漏掉某一层。
MATH,函数的单调性与导数,导数的正负决定函数的增减：在区间上单调递增等价于导函数在该区间恒不小于零且不恒为零。单调性讨论是求极值、最值以及含参问题的基础，也是导数综合题的通用第一步。
MATH,函数的极值,"极值是函数在一点附近的局部性质：可导函数取得极值的点处导数为零，且导数在该点两侧变号；""导数为零""只是必要条件，不变号的点不是极值点。极值与最值也不同，最值是整个区间上的全局比较结果。"
MATH,函数的最值,最值是定义区间上的全局概念：先找出区间内的极值点，再把极值与区间端点处的函数值比较，最大者为最大值、最小者为最小值。极值只保证局部最优，最值必须全局比较。
