subject,slug,candidate,reason
BIOLOGY,pcr技术,引物设计原则二·引物间互补：避免连续 4 个及以上碱基互补，尤其 3' 端重叠，防引物二聚体,超长（>24 字）
BIOLOGY,pcr技术,引物设计原则二·自身互补：避免连续 4 个及以上碱基互补形成发卡结构,超长（>24 字）
BIOLOGY,pcr技术,逆转录 PCR（RT-PCR）：RNA 逆转录为 cDNA 再扩增,超长（>24 字）
BIOLOGY,一昼夜CO2浓度变化曲线,一昼夜曲线：凌晨低温低谷（呼吸减弱、CO2 释放减少）,超长（>24 字）
BIOLOGY,一昼夜CO2浓度变化曲线,一昼夜曲线：开始光照即开始光合；与横轴交点为光补偿,超长（>24 字）
BIOLOGY,一昼夜CO2浓度变化曲线,一昼夜曲线：正午凹陷（光合午休）由气孔关闭 CO2 不足所致,超长（>24 字）
BIOLOGY,三率-的关系及测定,真正光合速率、净光合速率与呼吸速率的关系,被 2 个节点同时 claim（全局互斥）
BIOLOGY,与酶有关的曲线分析,电位曲线分段：上升支=Na+ 内流、下降支=K+ 外流、平稳段=Na+-K+ 泵,超长（>24 字）
BIOLOGY,个体或配子致死问题的处理-规律方法,AA 和 BB 均致死：F2 = 4:2:2:1，测交 1:1:1:1,超长（>24 字）
BIOLOGY,个体或配子致死问题的处理-规律方法,AB 配子致死：F2 = 5:3:3:1，测交 1:1:1,超长（>24 字）
BIOLOGY,个体或配子致死问题的处理-规律方法,Ab 或 aB 配子致死：F2 = 7:1:3:1（或 7:3:1:1），测交 1:1:1:1,超长（>24 字）
BIOLOGY,个体或配子致死问题的处理-规律方法,X^A X^A 纯合雌性个体致死 → 存活雌性只有杂合子,超长（>24 字）
BIOLOGY,个体或配子致死问题的处理-规律方法,含 X^A 的雄配子 50% 致死 → 按存活配子重列棋盘,超长（>24 字）
BIOLOGY,主动运输,Na+-K+ 泵持续活动：泵出 Na+、泵入 K+，维持浓度差（耗 ATP）,超长（>24 字）
BIOLOGY,主动运输,水是生命之源,被 2 个节点同时 claim（全局互斥）
BIOLOGY,主动运输,缺氧→ATP 减少→Na+-K+ 泵活动减弱→离子梯度难以维持,超长（>24 字）
BIOLOGY,人脑的高级功能,生理或病理现象、神经中枢参与（损伤）（续,括号不配对（截断残片）
BIOLOGY,从性遗传,从性遗传及其与伴性遗传的区别,被 2 个节点同时 claim（全局互斥）
BIOLOGY,传统发酵技术,泡菜制作的四个处理及其目的,以虚词结尾（截断残片）
BIOLOGY,伴性遗传,X、Y染色体的来源与传递规律,被 2 个节点同时 claim（全局互斥）
BIOLOGY,伴性遗传,母病子女全病、父病子女正常 → 细胞质（线粒体）母系遗传,超长（>24 字）
BIOLOGY,伴性遗传的特点及应用,从性遗传与伴性遗传的区别,被 2 个节点同时 claim（全局互斥）
BIOLOGY,伴性遗传的特点及应用,从性遗传及其与伴性遗传的区别,被 2 个节点同时 claim（全局互斥）
BIOLOGY,伴性遗传的特点及应用,伴 X 显性遗传特征：男病女必病（父病女必病）、代代相传,超长（>24 字）
BIOLOGY,伴性遗传的特点及应用,伴 X 隐性遗传四特征：男病多于女、隔代交叉遗传、母病子必病、父病女必带,超长（>24 字）
BIOLOGY,体液调节和神经调节的区别与联系,神经调节的特点：反应迅速、准确、局限，主要靠反射弧,超长（>24 字）
BIOLOGY,体温调节,下丘脑是体温调节中枢（调节汗腺分泌与皮肤血管舒缩）,超长（>24 字）
BIOLOGY,体温调节,发烧”本身不是疾病,括号不配对（截断残片）
BIOLOGY,使用高倍显微镜观察细胞,原来目镜10×物镜10×，现,含逗号/句末标点（是句子不是名字）
BIOLOGY,使用高倍显微镜观察细胞,在视野右上角看到一个细胞，要,含逗号/句末标点（是句子不是名字）
BIOLOGY,使用高倍显微镜观察细胞,物镜越长，放大倍数越大，目镜,含逗号/句末标点（是句子不是名字）
BIOLOGY,元素和化合物的相互推断-归纳总结,人体细胞鲜重时，含量较多的四,含逗号/句末标点（是句子不是名字）
BIOLOGY,元素和化合物的相互推断-归纳总结,结构简式,被 2 个节点同时 claim（全局互斥）
BIOLOGY,元素和化合物的相互推断-归纳总结,鉴定脂肪时，苏丹Ⅲ或苏丹IV,含逗号/句末标点（是句子不是名字）
BIOLOGY,光合作用,光抑制环节三：ROS 使 PSII 的 D1 蛋白氧化失活,超长（>24 字）
BIOLOGY,光合作用的原理,1954年阿尔农发现，在光照下叶绿体,含逗号/句末标点（是句子不是名字）
BIOLOGY,光合作用的原理,CO2供,以虚词结尾（截断残片）
BIOLOGY,光合作用的原理,在总光照时间相同的条件下，光,含逗号/句末标点（是句子不是名字）
BIOLOGY,光合作用的影响因素,一昼夜曲线：光照为 0 时光合停止，曲线只反映呼吸,超长（>24 字）
BIOLOGY,光合作用的影响因素,光合作用的影响因素及应用（内部因素与单因子外部因素）,超长（>24 字）
BIOLOGY,光合作用的影响因素,换算公式：实际 CO2 消耗量 = 实测 CO2 吸收量 + 呼吸 CO2 释放量,超长（>24 字）
BIOLOGY,光合作用的影响因素,换算公式：实际产氧量 = 实测 O2 释放量 + 呼吸耗氧量,超长（>24 字）
BIOLOGY,光合作用的影响因素,探究光照强度对光合作用强度的影响,被 2 个节点同时 claim（全局互斥）
BIOLOGY,光呼吸,Rubisco 双重催化活性：C5+CO2（固碳）与 C5+O2（光呼吸）竞争,超长（>24 字）
BIOLOGY,光呼吸,光呼吸消耗 ATP 和 NADPH 并释放 CO2、不产生糖,超长（>24 字）
BIOLOGY,光呼吸,光呼吸：C5 与 O2 经 Rubisco 反应生成 C2 的代谢过程,超长（>24 字）
BIOLOGY,光呼吸,提高 CO2 浓度（增施气肥）抑制光呼吸、提高产量,超长（>24 字）
BIOLOGY,光系统与电子传递链,NADP+ 供应不足时电子传给 O2 生成超氧自由基（ROS）,超长（>24 字）
BIOLOGY,光系统与电子传递链,光抑制环节二：电子受体不足使 O2 得电子生成活性氧（ROS）,超长（>24 字）
BIOLOGY,免疫失调,如果自身免疫反应对组织和,以题面/指令开头（是题干不是名字）
BIOLOGY,免疫学的应用,康复期血清/抗体治疗：紧急时直接输入抗体提供免疫保护,超长（>24 字）
BIOLOGY,免疫学的应用,每个人的细胞表面都带有一组与,以虚词结尾（截断残片）
BIOLOGY,免疫系统,免疫系统的三大基本功能,被 2 个节点同时 claim（全局互斥）
BIOLOGY,免疫系统的组成和功能,免疫系统的三大基本功能,被 2 个节点同时 claim（全局互斥）
BIOLOGY,免疫系统的组成和功能,肿瘤免疫逃逸：肿瘤细胞 PD-L1 与 T 细胞 PD-1 结合抑制 T 细胞杀伤功能,超长（>24 字）
BIOLOGY,兴奋在神经纤维上的传导,兴奋在神经纤维上的传导：电位差→局部电流→双向传导,超长（>24 字）
BIOLOGY,兴奋在神经纤维上的传导,神经传导的离子基础：静息时外正内负、动作电位时外负内正,超长（>24 字）
BIOLOGY,兴奋在神经纤维上的传导,静息电位：安静状态下 K+ 通道开放、K+ 外流形成外正内负,超长（>24 字）
BIOLOGY,兴奋的产生和传导,在分析判断兴奋传导方向与,以虚词结尾（截断残片）
BIOLOGY,其他性别决定方式简介-深度拓展,XY 型性别决定：雌性 XX、雄性 XY（雄性决定子代性别）,超长（>24 字）
BIOLOGY,其他植物激素,判断激素合成受阻还是受体功能异常,以题面/指令开头（是题干不是名字）
BIOLOGY,内分泌系统,摘除法：摘除内分泌腺→症状出现→回输恢复，证明腺体功能,超长（>24 字）
BIOLOGY,内环境,组织水肿的成因分析,被 2 个节点同时 claim（全局互斥）
BIOLOGY,内环境的稳态,内环境的作用,被 2 个节点同时 claim（全局互斥）
BIOLOGY,减数分裂,减数分裂各时期的主要特点（以二倍体动物精细胞形成为例）,超长（>24 字）
BIOLOGY,减数分裂,减数分裂和受精作用的意义,被 3 个节点同时 claim（全局互斥）
BIOLOGY,减数分裂,减数分裂的概念与结果,被 2 个节点同时 claim（全局互斥）
BIOLOGY,减数分裂,基因重组发生于减数第一次分裂：交叉互换（前期）与自由组合（后期）,超长（>24 字）
BIOLOGY,减数分裂细胞中染色体-dna数量变化规律,减数分裂和受精作用的意义,被 3 个节点同时 claim（全局互斥）
BIOLOGY,减数分裂细胞中染色体-dna数量变化规律,减数分裂的概念与结果,被 2 个节点同时 claim（全局互斥）
BIOLOGY,减数分裂细胞中染色体-dna数量变化规律,配子中染色体组合多样性的原因,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分泌蛋白的合成和运输,载体蛋白与通道蛋白的比较,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律,分离定律的四种验证方法,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律,分离定律：等位基因在减数分裂时随同源染色体分开分离,超长（>24 字）
BIOLOGY,分离定律,判断显隐性的方法,以题面/指令开头（是题干不是名字）
BIOLOGY,分离定律,在杂种后代中同时出现显性性状和,以虚词结尾（截断残片）
BIOLOGY,分离定律的概率计算-含自交与自由交配,分离定律在育种与医学中的应用,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律的概率计算-含自交与自由交配,分离定律的四种验证方法,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律的概率计算-含自交与自由交配,杂合子连续自交的概率计算,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律的概率计算-含自交与自由交配,男孩患病与患病男孩的概率辨析,被 2 个节点同时 claim（全局互斥）
BIOLOGY,分离定律的概率计算-含自交与自由交配,能量传递效率计算：相邻营养级同化量之比，一般 10%~20%,超长（>24 字）
BIOLOGY,分离定律的概率计算和常规应用,能量流动应用：合理确定能量传递比例、最高传递效率计算,超长（>24 字）
BIOLOGY,分离定律的特殊类型,从性遗传与伴性遗传的区别,被 2 个节点同时 claim（全局互斥）
BIOLOGY,动物细胞培养,动物细胞培养所需气体主要有O2和,以虚词结尾（截断残片）
BIOLOGY,协助扩散,协助扩散：顺浓度梯度、借助载体蛋白或通道蛋白、不耗能,超长（>24 字）
BIOLOGY,协同进化与生物多样性的形成,种群基因组成的变化与物种的形成：基因频率改变→隔离→新物种,超长（>24 字）
BIOLOGY,协同进化与生物多样性的形成,胚胎学是指研究动植物胚胎的形成和,以虚词结尾（截断残片）
BIOLOGY,协同进化与生物多样性的形成,自然选择决定生物进化的方向,被 2 个节点同时 claim（全局互斥）
BIOLOGY,单倍体,单倍体育种：花药离体培养+加倍得纯合子，明显缩短育种年限,超长（>24 字）
BIOLOGY,单克隆抗体,单克隆抗体定义：由单个B淋巴细胞克隆增殖产生的特异性抗体,超长（>24 字）
BIOLOGY,单克隆抗体,单抗制备第二次筛选：克隆化培养+专一抗体检测（抗原—抗体杂交）筛选,超长（>24 字）
BIOLOGY,原核细胞,蓝细菌（蓝藻）：原核生物，含藻蓝素和叶绿素，能进行光合作用,超长（>24 字）
BIOLOGY,原核细胞和真核细胞,原核生物无核膜，转录与翻译耦联进行,含逗号/句末标点（是句子不是名字）
BIOLOGY,原核细胞和真核细胞,原核细胞与真核细胞的统一性,被 2 个节点同时 claim（全局互斥）
BIOLOGY,原核细胞和真核细胞,"原核细胞和真核细·相同点,都有细胞膜、",含逗号/句末标点（是句子不是名字）
BIOLOGY,原核细胞和真核细胞,有细胞结构的生物包括原核生物和,以虚词结尾（截断残片）
BIOLOGY,反射弧,反射弧五部分：感受器→传入神经→神经中枢→传出神经→效应器,超长（>24 字）
BIOLOGY,反馈调节,正反馈调节：促进偏离持续进行（血液凝固、排尿排便）,超长（>24 字）
BIOLOGY,反馈调节,负反馈调节：偏离后纠正回稳态，在生物体中更常见,含逗号/句末标点（是句子不是名字）
BIOLOGY,受精作用,减数分裂和受精作用的意义,被 3 个节点同时 claim（全局互斥）
BIOLOGY,受精作用,受精作用的实质是精子的细胞核与,以虚词结尾（截断残片）
BIOLOGY,叶绿体,叶绿体的结构与功能,被 2 个节点同时 claim（全局互斥）
BIOLOGY,同源染色体,交叉互换：减数第一次分裂前期同源染色体非姐妹染色单体交换片段,超长（>24 字）
BIOLOGY,同源染色体,同源染色体：大小形态相近、一来自父方一来自母方、可联会,超长（>24 字）
BIOLOGY,同源染色体,配子中染色体组合多样性的原因,被 2 个节点同时 claim（全局互斥）
BIOLOGY,噬菌体侵染细菌实验,搅拌和离心的目的,以虚词结尾（截断残片）
BIOLOGY,坐标图类信息题的变量分析,表格信息：看表头，从行列对比找自变量、因变量与差异,超长（>24 字）
BIOLOGY,基因位于染色体上的实验证据,三体定位：F2 比例 1:1 → 基因位于三体染色体,超长（>24 字）
BIOLOGY,基因位于染色体上的实验证据,利用已知基因互交定位突变基因（比例偏离即在已知染色体）,超长（>24 字）
BIOLOGY,基因位于染色体上的实验证据,单体定位：F2 比例 1:1 → 基因位于单体染色体,超长（>24 字）
BIOLOGY,基因位于染色体上的实验证据,如果用芦花雌鸡（ZBW）与,以题面/指令开头（是题干不是名字）
BIOLOGY,基因位于染色体上的实验证据,片段缺失定位：比例偏离正常值→基因位于缺失片段（伪显性）,超长（>24 字）
BIOLOGY,基因位于染色体上的实验证据,萨顿的推论,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因位于染色体上的实验证据,隐性雌×显性雄：子代雄性全为隐性 → 基因仅位于 X 染色体,超长（>24 字）
BIOLOGY,基因位置的判断方法,判断基因位于细胞核还是细胞质,以题面/指令开头（是题干不是名字）
BIOLOGY,基因在染色体上,萨顿的推论,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因型-表型的推断,电泳读图：一条带为纯合子、两条带为杂合子；先标定再判读,超长（>24 字）
BIOLOGY,基因工程,PCR反应过程可以分为变性、复性和,以虚词结尾（截断残片）
BIOLOGY,基因工程,同源重组法：15-20 bp 同源序列 + Exnase II 酶 37℃ 30 分钟体外重组,超长（>24 字）
BIOLOGY,基因工程,基因工程流程四要素：目的基因、载体构建、导入受体、检测鉴定,超长（>24 字）
BIOLOGY,基因工程,基因工程的应用领域：医药（胰岛素/疫苗）、农牧业（抗虫转基因作物）、环境保护,超长（>24 字）
BIOLOGY,基因的表达,circRNA 竞争性结合（海绵吸附）miRNA，解除对靶 mRNA 的抑制,超长（>24 字）
BIOLOGY,基因的表达,miRNA 与靶 mRNA 部分互补结合，抑制翻译或促进降解,超长（>24 字）
BIOLOGY,基因的表达,乳糖操纵子负调控：阻遏蛋白结合操纵基因、乳糖解除抑制,超长（>24 字）
BIOLOGY,基因的表达,表观遗传的几种类型,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因的表达,表观遗传的概念、特征与机制,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因的表达,解旋酶在DNA分子复制时使氢键打开,以题面/指令开头（是题干不是名字）
BIOLOGY,基因突变,DNA分子中发生碱基的替换、增添和,以虚词结尾（截断残片）
BIOLOGY,基因突变,判断两个突变体是否为同一基因突变,以题面/指令开头（是题干不是名字）
BIOLOGY,基因突变,基因突变与生物性状的关系,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因突变,基因突变的意义：生物变异的根本来源，为进化提供原材料,超长（>24 字）
BIOLOGY,基因突变,基因突变：主要发生于分裂间期 DNA 复制时，产生新基因（等位基因）,超长（>24 字）
BIOLOGY,基因突变,引起基因突变的因素分为外部因素和,以虚词结尾（截断残片）
BIOLOGY,基因突变,重叠延伸 PCR（SOE-PCR）：用带突变位点的引物实现基因定点突变,超长（>24 字）
BIOLOGY,基因突变,隐性突变：当代不表现，须等位基因纯合才表现,含逗号/句末标点（是句子不是名字）
BIOLOGY,基因突变与细胞癌变,CRISPR/Cas9 应用：基因敲除、定点插入、突变细胞筛选与疾病治疗,超长（>24 字）
BIOLOGY,基因突变与细胞癌变,人和动物细胞DNA上本来就存在与,以虚词结尾（截断残片）
BIOLOGY,基因编辑,CRISPR/Cas9 作用机理：sgRNA 识别靶序列，Cas9 切割双链 DNA,超长（>24 字）
BIOLOGY,基因表达与性状的关系,基因突变与生物性状的关系,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因重组,基因重组的类型与意义,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因重组,杂交育种的原理与优缺点,被 2 个节点同时 claim（全局互斥）
BIOLOGY,基因频率,遗传平衡定律（哈代-温伯格）：理想种群基因频率代代不变,超长（>24 字）
BIOLOGY,多倍体,多倍体特点：器官大、营养物质含量高，但结实率可能降低,超长（>24 字）
BIOLOGY,大脑皮层,大脑皮层言语区（S、H、V、W区）的功能与受损症状,超长（>24 字）
BIOLOGY,大脑皮层,渴觉在大脑皮层产生，不在下丘脑,含逗号/句末标点（是句子不是名字）
BIOLOGY,孟德尔两对相对性状的杂交实验,判断一对相对性状的显隐性方法是杂交,以题面/指令开头（是题干不是名字）
BIOLOGY,孟德尔两对相对性状的杂交实验,孟德尔获得成功的原因,被 2 个节点同时 claim（全局互斥）
BIOLOGY,孟德尔的豌豆杂交实验过程分析,人们将杂种后代中同时出现显性性状和,以虚词结尾（截断残片）
BIOLOGY,孟德尔的豌豆杂交实验过程分析,判断基因是否遵循两大定律的方法,以题面/指令开头（是题干不是名字）
BIOLOGY,孟德尔的豌豆杂交实验过程分析,孟德尔获得成功的原因,被 2 个节点同时 claim（全局互斥）
BIOLOGY,孟德尔的豌豆杂交实验过程分析,演绎推理”内容——如果假说正确,括号不配对（截断残片）
BIOLOGY,孟德尔的豌豆杂交实验过程分析,长句表达·实验结论类三步：描述自变量→分析结果→下结论,超长（>24 字）
BIOLOGY,孟德尔规律的应用,分离定律在育种与医学中的应用,被 2 个节点同时 claim（全局互斥）
BIOLOGY,孟德尔规律的应用,显隐性性状的判断方法,被 3 个节点同时 claim（全局互斥）
BIOLOGY,实验-使用高倍显微镜观察几种细胞,使用高倍显微镜观·菠菜叶下表皮细胞,坏名检测：题干/答案标记
BIOLOGY,实验-探究酵母菌细胞呼吸的方式,产生酒精的无氧呼吸（酵母菌/植物）：丙酮酸→酒精+CO2,超长（>24 字）
BIOLOGY,实验-探究酵母菌细胞呼吸的方式,判断细胞呼吸方式的“三看法”,以题面/指令开头（是题干不是名字）
BIOLOGY,实验-探究酵母菌细胞呼吸的方式,在酸性条件下，酒精,含逗号/句末标点（是句子不是名字）
BIOLOGY,实验-检测生物组织中的糖类-脂肪和蛋白质,实验步骤（一）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,实验-检测生物组织中的糖类-脂肪和蛋白质,实验步骤（三）,被 2 个节点同时 claim（全局互斥）
BIOLOGY,实验-检测生物组织中的糖类-脂肪和蛋白质,实验步骤（二）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,实验原理（一）,被 2 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,实验原理（二）,被 2 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,实验步骤（一）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,实验步骤（三）,被 2 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,实验步骤（二）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,实验-观察根尖分生区组织细胞的有丝分裂,有丝分裂各时期的特点(以高等植物细胞,括号不配对（截断残片）
BIOLOGY,对照实验的分析方法,实验前测定初始值的目的,以虚词结尾（截断残片）
BIOLOGY,对照实验的分析方法,对照设置四类型：空白对照、条件对照、相互对照、自身对照,超长（>24 字）
BIOLOGY,差速离心法,差速离心法分离细胞器,被 2 个节点同时 claim（全局互斥）
BIOLOGY,干细胞,干细胞的概念与类型,被 2 个节点同时 claim（全局互斥）
BIOLOGY,影响光合作用强度的环境因素,光保护防线三（修复）：D1 蛋白修复替换恢复 PSII 活性,超长（>24 字）
BIOLOGY,影响光合作用强度的环境因素,光抑制三步链：光能过剩→ROS 生成→D1 蛋白失活,超长（>24 字）
BIOLOGY,影响光合作用强度的环境因素,判断限制因素是气孔因素还是非气孔因素,以题面/指令开头（是题干不是名字）
BIOLOGY,影响光合作用强度的环境因素,探究光照强度对光合作用强度的影响,被 2 个节点同时 claim（全局互斥）
BIOLOGY,影响酶促反应的因素分析,探究pH对酶活性影响的实验设计,被 2 个节点同时 claim（全局互斥）
BIOLOGY,微生物的培养,分散的微生物在适宜的固体培养基表面或,以虚词结尾（截断残片）
BIOLOGY,性染色体的传递规律,X、Y染色体的来源与传递规律,被 2 个节点同时 claim（全局互斥）
BIOLOGY,性状分离比,F2 分离比 13:3 → 抑制基因使表现被抑制，测交 3:1,超长（>24 字）
BIOLOGY,性状分离比,F2 分离比 15:1 → 只要含显性基因即表现，测交 3:1,超长（>24 字）
BIOLOGY,性状分离比,F2 分离比 9:6:1 → 显性基因累加效应，测交 1:2:1,超长（>24 字）
BIOLOGY,性状分离比,F2 分离比 9:7 → 基因互补（双显性同时存在才表现）,超长（>24 字）
BIOLOGY,性状分离比,显、隐性性状的判断方法,被 2 个节点同时 claim（全局互斥）
BIOLOGY,性状分离比,显隐性性状的判断方法,被 3 个节点同时 claim（全局互斥）
BIOLOGY,性状分离比的模拟实验,显隐性性状的判断方法,被 3 个节点同时 claim（全局互斥）
BIOLOGY,性状分离比的模拟实验,绿叶中色素的提取和分离实验,被 2 个节点同时 claim（全局互斥）
BIOLOGY,性状显隐性的判断,显、隐性性状的判断方法,被 2 个节点同时 claim（全局互斥）
BIOLOGY,成熟植物细胞的吸水和失水,与绿色成熟植物细胞相比，植物,含逗号/句末标点（是句子不是名字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,AA（或 BB）单独致死：F2 = 6:3:2:1，测交 1:1:1:1,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,F2 分离比 9:3:4 → 隐性纯合归并，测交 1:1:2,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,单隐性 aa（或 bb）致死：F2 = 9:3:1，测交 1:1:1,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,双隐性 aabb 致死：F2 = 9:3:3，测交 1:1:1,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,基因工程实验数据解读：酶切图谱/电泳条带/基因型判断,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,由自交/测交比例对应染色体对数（3:1/1:1/9:3:3:1/1:1:1:1）,超长（>24 字）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,自交两代递推：Dd 自交一次后代杂合 1/2、纯合 1/2,超长（>24 字）
BIOLOGY,捕获光能的色素和结构,一般情况下，光合作用所利用的光都,含逗号/句末标点（是句子不是名字）
BIOLOGY,捕获光能的色素和结构,实验步骤（一）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,捕获光能的色素和结构,实验步骤（二）,被 3 个节点同时 claim（全局互斥）
BIOLOGY,捕获光能的色素和结构,层析时，不,含逗号/句末标点（是句子不是名字）
BIOLOGY,捕获光能的色素和结构,绿叶中色素的提取和分离,被 2 个节点同时 claim（全局互斥）
BIOLOGY,捕获光能的色素和结构,绿叶中色素的提取和分离实验,被 2 个节点同时 claim（全局互斥）
BIOLOGY,探究动植物生命活动调节实验的思路与方法,生长素主要的合成部位是芽、幼嫩的叶和,以虚词结尾（截断残片）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断两对等位基因是否位于同一对同源染色体,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因仅位于X染色体还是X、Y同源区段,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因位于X染色体还是X、Y同源区段,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因位于常染色体还是X、Y同源区段,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因位于常染色体还是X染色体,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因位于常染色体还是X染色体上,以题面/指令开头（是题干不是名字）
BIOLOGY,探究基因位于常染色体上还是x-y染色体同源区段上,判断基因位于细胞核还是细胞质（正反交法）,以题面/指令开头（是题干不是名字）
