subject,slug,prerequisite
CHEMISTRY,元素周期表及其应用易混易错点,元素周期表
CHEMISTRY,元素周期表及其应用易混易错点,元素周期表的应用
CHEMISTRY,元素周期表的应用,元素周期表的结构
CHEMISTRY,元素金属性强弱的判断,元素周期表的结构
CHEMISTRY,共价晶体,共价键
CHEMISTRY,共价键及键参数易混易错点,共价键
CHEMISTRY,分子的性质,分子-或离子-空间结构的判断
CHEMISTRY,分子的性质,分子空间构型
CHEMISTRY,分子间作用力对物质性质的影响,分子间作用力
CHEMISTRY,分散系的分类,分散系
CHEMISTRY,制作一个氢氧燃料电池,燃料电池
CHEMISTRY,勒夏特列原理及应用,勒夏特列原理
CHEMISTRY,化学反应的热效应的易混易错点,化学反应的本质
CHEMISTRY,化学平衡,化学反应速率
CHEMISTRY,化学平衡常数,化学平衡
CHEMISTRY,化学平衡常数的应用,化学平衡常数及影响因素
CHEMISTRY,化学平衡常数的应用,化学平衡常数的影响因素
CHEMISTRY,化学平衡常数的影响因素,化学平衡状态
CHEMISTRY,化学平衡状态,化学反应速率
CHEMISTRY,化学平衡状态的判断,化学平衡状态
CHEMISTRY,化学平衡的移动,化学平衡状态
CHEMISTRY,化学平衡的移动,化学平衡状态的特征及判断
CHEMISTRY,化学键与物质的类别,化学键
CHEMISTRY,化学键对物质性质的影响,化学键与物质的类别
CHEMISTRY,卤代烃在有机合成中的作用,卤代烃
CHEMISTRY,卤代烃的性质及应用,卤代烃的概念
CHEMISTRY,卤代烃的水解反应和消去反应,卤代烃的概念
CHEMISTRY,卤族元素的易错点,卤族元素
CHEMISTRY,原子核外电子排布,原子结构
CHEMISTRY,原子结构易混易错知识点,原子结构
CHEMISTRY,原电池原理的应用,原电池
CHEMISTRY,反应原理,各类物质的化学通性
CHEMISTRY,可逆反应的特点及应用,可逆反应
CHEMISTRY,合成高分子的结构和性质,合成高分子
CHEMISTRY,吸热反应和放热反应,吸热反应
CHEMISTRY,多重平衡体系类型,外界条件对化学平衡的影响
CHEMISTRY,多重平衡体系规则,多重平衡体系类型
CHEMISTRY,工业合成氨的适宜条件,工业生产中化学反应条件的选择
CHEMISTRY,工业生产中的速率和平衡图像,工业生产中化学反应条件的选择
CHEMISTRY,常见有机合成路线,常见有机反应类型总结
CHEMISTRY,平衡常数的应用,平衡常数-x1
CHEMISTRY,平衡类问题需考虑的几个方面,平衡常数的应用
CHEMISTRY,平衡类问题需考虑的几个方面,平衡转化率
CHEMISTRY,弱电解质的电离,平衡常数-x1
CHEMISTRY,弱电解质的电离平衡,弱电解质的电离
CHEMISTRY,弱电解质的电离平衡,强电解质与弱电解质
CHEMISTRY,晶体与非晶体,晶体
CHEMISTRY,晶胞,晶体与非晶体
CHEMISTRY,有关配合物的易混易错点,有关化学键易错点
CHEMISTRY,有机化合物中的共价键,有机化合物中碳原子的成键特点
CHEMISTRY,有机化合物的共面共线的判断,有机化合物中碳原子的成键特点
CHEMISTRY,有机化合物的共面共线的判断,有机化合物的空间结构
CHEMISTRY,有机合成,有机物的结构特点
CHEMISTRY,构造原理,核外电子运动状态
CHEMISTRY,核酸的结构与性质,核酸
CHEMISTRY,氧化性-还原性的判断,氧化还原反应
CHEMISTRY,氧化还原反应概念的-易错点,氧化还原反应
CHEMISTRY,氮及化合物的-十大-误区,氨的化学性质
CHEMISTRY,氮及化合物的-十大-误区,氮气
CHEMISTRY,氮的氧化物,氮气
CHEMISTRY,氯及其化合物的知识盲点,氯气
CHEMISTRY,氯水的成分,氯气
CHEMISTRY,水的电离平衡移动的影响因素,水的电离
CHEMISTRY,水的电离易错-七-点,水的电离平衡移动的影响因素
CHEMISTRY,水的电离易错-七-点,水的离子积常数
CHEMISTRY,沉淀溶解平衡易错六点,沉淀溶解平衡
CHEMISTRY,沉淀滴定法,沉淀溶解平衡的应用
CHEMISTRY,浓硫酸转化为二氧化硫,浓硫酸
CHEMISTRY,海水提镁的工艺流程分析,海水提取镁
CHEMISTRY,溶液的ph,溶液的酸碱性
CHEMISTRY,滴定曲线,溶液的酸碱性
CHEMISTRY,炔烃的化学性质,炔烃
CHEMISTRY,烯烃的化学性质,烯烃
CHEMISTRY,烷烃的命名,烷烃
CHEMISTRY,焰色试验,焰色反应
CHEMISTRY,焰色试验-易错点,焰色试验
CHEMISTRY,物质的量,物质的组成
CHEMISTRY,物质的量-阿伏加德罗常数,物质的量
CHEMISTRY,物质的量浓度,物质的量-阿伏加德罗常数
CHEMISTRY,电离常数,电离平衡
CHEMISTRY,电离平衡中的7个易错点,电离平衡
CHEMISTRY,电离平衡中的7个易错点,电离度
CHEMISTRY,电荷守恒在离子推断中的应用,电离
CHEMISTRY,电解原理易错点,电解和电解池
CHEMISTRY,电解水,电解和电解池
CHEMISTRY,电解水,电解质
CHEMISTRY,电解池,电解原理
CHEMISTRY,电解质及其分类,电解质
CHEMISTRY,电解质导电性的-易错点,电解质及其分类
CHEMISTRY,电解质导电性的-易错点,电解质溶液的导电原理
CHEMISTRY,电解质溶液的导电性,电解质溶液的导电原理
CHEMISTRY,电解质溶液的导电性,电解质的电离
CHEMISTRY,电解质的电离的-易错点,电解质的电离
CHEMISTRY,电负性的三个重要应用,电负性
CHEMISTRY,盐溶液酸碱性的判断,盐溶液
CHEMISTRY,盐溶液酸碱性的判断,盐类水解
CHEMISTRY,盐类水解的三个误区,盐类水解
CHEMISTRY,盐类水解的三个误区,盐类水解的影响因素
CHEMISTRY,盖斯定律的应用,盖斯定律
CHEMISTRY,硅及其化合物的-七大-误区,硅的工业制法
CHEMISTRY,硫化钠转化为单质硫,硫单质
CHEMISTRY,硫及其重要化合物的知识盲点,硫单质
CHEMISTRY,硫及其重要化合物的知识盲点,硫转化为硫化亚铁
CHEMISTRY,碱金属元素易错知识点,碱金属的一般性与特殊性
CHEMISTRY,碳酸钠与碳酸氢钠的相互转化,碳酸钠
CHEMISTRY,碳酸钠和碳酸氢钠易错知识点,碳酸钠与碳酸氢钠的相互转化
CHEMISTRY,离子共存的判断易错点,离子共存
CHEMISTRY,离子共存的判断易错点,离子反应
CHEMISTRY,离子方程式,离子反应
CHEMISTRY,糖类的组成和分类,糖类
CHEMISTRY,糖类的结构和性质,糖类的组成和分类
CHEMISTRY,糖类的结构和性质易混易错点,糖类的结构和性质
CHEMISTRY,羧酸的化学性质,羧酸
CHEMISTRY,羧酸的化学性质,羧酸的组成和结构
CHEMISTRY,羧酸的结构和性质,羧酸的组成和结构
CHEMISTRY,聚合反应及聚合物单体的判断,羧酸的结构和性质
CHEMISTRY,胶体的性质及应用,胶体
CHEMISTRY,胶体知识易错点,胶体的性质及应用
CHEMISTRY,能级,能层
CHEMISTRY,脂肪烃的结构和性质易混易错点,脂肪烃的结构和性质
CHEMISTRY,芳香烃的用途及对环境的影响,芳香烃
CHEMISTRY,芳香烃的结构和性质易混易错点,苯分子的空间结构
CHEMISTRY,苯及其同系物的性质,苯分子的空间结构
CHEMISTRY,苯及其同系物的性质,苯的化学性质
CHEMISTRY,苯的同系物的结构与性质,苯的化学性质
CHEMISTRY,蛋白质和氨基酸的结构与性质,蛋白质
CHEMISTRY,蛋白质的结构与性质,蛋白质和氨基酸的结构与性质
CHEMISTRY,配位化合物,配位键
CHEMISTRY,配位键和配合物,配位键
CHEMISTRY,酚的结构和性质,酚的概念和物理性质
CHEMISTRY,酰胺,酯和油脂的结构和性质
CHEMISTRY,酸碱中和滴定-八-个提醒,酸碱中和滴定
CHEMISTRY,醇和酚的结构和性质易混易错点,醇的化学性质
CHEMISTRY,醇的化学性质,醇的概念及分类
CHEMISTRY,醇的结构和性质,醇的概念及分类
CHEMISTRY,醛-酮在有机合成中的应用,醛-酮的化学性质
CHEMISTRY,醛-酮的化学性质,醛-酮的概念
CHEMISTRY,醛和酮的结构和性质,醛-酮的概念
CHEMISTRY,醛和酮的结构和性质易混易错点,醛和酮的结构和性质
CHEMISTRY,金属及其化合物的制备,还原剂
CHEMISTRY,金属材料和金属的冶炼易错点,金属材料
CHEMISTRY,金属材料和金属的冶炼易错点,金属矿物的开发利用
CHEMISTRY,金属的防护,金属的腐蚀
CHEMISTRY,金属腐蚀的类型,金属腐蚀的本质
CHEMISTRY,金属钠露置在空气中的变化过程,钠与水及酸-碱-盐溶液的反应
CHEMISTRY,钠和钠的氧化物易错知识点,钠与水及酸-碱-盐溶液的反应
CHEMISTRY,铁及其化合物的转化,铁的制备和性质
CHEMISTRY,铁的制备和性质,铁的化学性质
CHEMISTRY,铁的化学性质,铁的原子结构和存在
CHEMISTRY,铁的氢氧化物的稳定性,铁的氢氧化物
CHEMISTRY,铁的氧化物组成的确定,铁的氧化物
CHEMISTRY,铁盐的性质及应用,铁盐
CHEMISTRY,铜及其化合物的易错点,铜及其化合物的性质
CHEMISTRY,铜及其化合物的易错点,铜盐
CHEMISTRY,铝及其化合物的易错点,铝及其化合物之间的性质与应用
CHEMISTRY,铝的制备和用途,铝的化学性质
CHEMISTRY,铵盐及nh的检验,铵盐
CHEMISTRY,键参数,键能
CHEMISTRY,键参数及其应用,键参数
CHEMISTRY,镁及其化合物的难点释疑,镁的化学性质
CHEMISTRY,阿伏加德罗定律的应用,阿伏加德罗定律及其推论
CHEMISTRY,阿伏加德罗定律的应用,阿伏加德罗常数
CHEMISTRY,阿伏加德罗常数-10大-陷阱,阿伏加德罗常数
MATH,三角函数的值域与最值,三角函数的图象与性质
MATH,三角函数的图象与性质,三角函数的定义
MATH,三角形面积公式,三角函数的定义
MATH,不等式恒成立,不等式的基本性质
MATH,不规则几何体建系问题,三视图与直观图
MATH,二面角概念模糊,二面角
MATH,二项式定理,分步乘法计数原理
MATH,余弦定理,余弦函数
MATH,作差法-作商法,作差法
MATH,充分条件与必要条件的判断,充要条件
MATH,函数值域的求法,函数单调性的性质
MATH,函数定义域的常见类型,函数的三要素
MATH,函数的三要素,函数的值域
MATH,函数的单调区间,函数的单调性
MATH,函数的奇偶性,函数的定义域
MATH,函数的对称性,函数的概念
MATH,函数的最值,函数的单调性与导数
MATH,函数的最值,函数的极值
MATH,函数的相关概念,函数的概念
MATH,函数的隐零点问题,函数的极值
MATH,函数零点存在定理,函数零点的定义
MATH,函数零点的求和问题,函数零点的定义
MATH,利用函数的单调性求参数,单调函数的定义
MATH,双曲线的渐近线,双曲线
MATH,复数的四则运算,复数的概念
MATH,复数的模,复数的概念
MATH,对折叠与展开问题认识不清致误,多面体与旋转体
MATH,对数与对数运算,对数
MATH,对数函数,对数与对数运算
MATH,对数函数图象的常用结论,对数函数
MATH,对数函数的图象与性质应用,对数函数图象的常用结论
MATH,对数函数的图象与性质应用,对数函数的概念
MATH,对数混合运算的一般原则,对数运算
MATH,对数运算中的几个运算技巧,对数运算
MATH,导数的几何意义,导数的概念
MATH,导数的运算法则,导数的概念
MATH,已知函数单调性求参数,导数的运算法则
MATH,已知函数的极值求参数,已知函数单调性求参数
MATH,幂函数的图象与性质,幂函数
MATH,平面向量的坐标运算,平面向量基本定理
MATH,平面向量的坐标运算,平面向量的数量积
MATH,平面向量的数量积,平面向量的概念
MATH,平面向量的线性运算,平面向量的概念
MATH,异面直线所成角的求法,异面直线所成角
MATH,抛物线焦半径,抛物线
MATH,抛物线焦半径,抛物线的焦点与准线
MATH,指数不等式,指数函数
MATH,指数函数及其性质,指数函数
MATH,指数函数的图象与性质应用,指数函数及其性质
MATH,指数幂运算的一般原则,指数幂的运算性质
MATH,数列的单调性与最值问题,数列的有关概念
MATH,数学归纳法,数列的概念
MATH,曲线-过-某点的切线问题,曲线-在-某点处的切线问题
MATH,曲线的轨迹方程,椭圆
MATH,椭圆的方程,椭圆
MATH,椭圆的焦点,椭圆的方程
MATH,椭圆的离心率,椭圆的焦点
MATH,正弦定理,正弦函数
MATH,直线与圆的位置关系,直线的方程
MATH,离散型随机变量的方差,离散型随机变量
MATH,离散型随机变量的方差,离散型随机变量的期望
MATH,空间几何体中的截面问题,空间几何体
MATH,空间向量新定义问题,空间向量与立体几何
MATH,空间向量新定义问题,空间向量的数量积及运算律
MATH,空间向量的数量积及运算律,空间向量的有关定理
MATH,空间向量的有关定理,空间向量的有关概念
MATH,空间向量的线性运算,空间向量的有关概念
MATH,空间向量的线性运算,空间点线面的位置关系
MATH,空间距离的求法,空间点线面的位置关系
MATH,等差数列与等比数列新背景问题,等差数列
MATH,等差数列含绝对值问题,等差数列的前n项和
MATH,等差数列的前n项和,等差数列的常用性质
MATH,等差数列的常用性质,等差数列的有关概念
MATH,等差数列的通项,等差数列的有关概念
MATH,等比数列前项和的常用性质,等比数列
MATH,等比数列前项和的常用性质,等比数列的前n项和
MATH,等比数列的常用性质,等比数列的有关概念
MATH,等比数列的通项,等比数列的有关概念
MATH,组合,排列
MATH,裂项相消求和时遗漏剩余项致错,裂项相消法中常见的裂项技巧
MATH,边角互化,诱导公式
MATH,随机事件的相互独立性,随机事件
PHYSICS,万有引力与航天的理解应用,万有引力定律
PHYSICS,万有引力定律的应用,万有引力定律
PHYSICS,三星模型,万有引力定律的应用
PHYSICS,三类情况分析,临界-极值问题
PHYSICS,位移时间公式,位移
PHYSICS,光电效应,光子说
PHYSICS,光电效应方程,光电效应
PHYSICS,光电效应方程,光电效应现象
PHYSICS,光电效应的产生条件,光电效应现象
PHYSICS,光的干涉-衍射和偏振,光的干涉
PHYSICS,共点力的动态平衡,共点力平衡
PHYSICS,分析板块模型的思路,动力学中的经典模型
PHYSICS,力的分解,力的合成
PHYSICS,功能关系,动能
PHYSICS,加速度方向突变,加速度
PHYSICS,动能定理,动能
PHYSICS,动量和动量定理,动量
PHYSICS,动量守恒中的速度,动量和动量定理
PHYSICS,动量守恒中的速度,动量守恒定律
PHYSICS,动量守恒定律,动量守恒定律的推导
PHYSICS,动量守恒定律的推导,动量定理
PHYSICS,动量定理的应用-流体类模型,动量定理
PHYSICS,半衰期,原子核的组成-原子核是由质子和中子组成的-原子核的电荷数等于核内的质子数
PHYSICS,单摆,单位制
PHYSICS,单摆周期,单摆的受力特征
PHYSICS,卫星的对接问题,卫星变轨-1-2-3
PHYSICS,原子核的组成-原子核是由质子和中子组成的-原子核的电荷数等于核内的质子数,原子核式结构
PHYSICS,原子核衰变,原子核式结构
PHYSICS,反冲运动,参考系
PHYSICS,变轨过程分析,变轨原理
PHYSICS,同步卫星,向心力
PHYSICS,向心加速度,向心力
PHYSICS,周期性,周期和频率
PHYSICS,固有振动和固有频率,回复力
PHYSICS,固有振动和固有频率,图象
PHYSICS,圆周运动中的脱轨问题,圆周运动常见的临界状态
PHYSICS,圆周运动的经典模型和应用,圆周运动常见的临界状态
PHYSICS,圆锥摆的两种变形,圆周运动的经典模型和应用
PHYSICS,地球同步卫星,圆周运动
PHYSICS,多普勒效应在生活中的应用,多普勒效应的成因分析
PHYSICS,带电粒子在立体空间中的运动,带电粒子在磁场中的运动
PHYSICS,平抛运动与曲面的结合分析,平抛运动的两个重要结论
PHYSICS,平抛运动的临界问题,平抛运动的两个重要结论
PHYSICS,弹力的大小,弹力
PHYSICS,弹力的大小,弹力的定义及产生条件
PHYSICS,弹力的方向,弹力的定义及产生条件
PHYSICS,弹簧振子,形变
PHYSICS,摩擦力的突变类问题,摩擦力
PHYSICS,斜面碰撞临界,曲线运动的基本概念与处理思想
PHYSICS,无线电波的发射,振荡电路过程中各物理量的变化
PHYSICS,机械波,机械振动
PHYSICS,机械波的分类,机械波
PHYSICS,杨氏双缝干涉,机械波
PHYSICS,核力的特点,核力
PHYSICS,核反应的判断-方程与应用,核反应
PHYSICS,核聚变,核反应的判断-方程与应用
PHYSICS,气体压强,气体分子运动的特点
PHYSICS,气体实验定律,气体压强
PHYSICS,波动图象的信息,波动图象的特点
PHYSICS,波的干涉,波动图象的特点
PHYSICS,波速,波长
PHYSICS,滑块-木板模型的临界问题,滑动摩擦力
PHYSICS,热力学图像问题,热力学第一定律
PHYSICS,牛顿第三定律,牛顿第一定律
PHYSICS,牛顿第三定律,牛顿第二定律
PHYSICS,牛顿第二定律的理解-五性,牛顿第二定律
PHYSICS,牛顿运动三定律的理解和应用,牛顿第二定律的理解-五性
PHYSICS,玻尔理论对氢光谱的解析,玻尔模型
PHYSICS,玻尔理论对氢光谱的解析,玻尔理论的几个重要概念
PHYSICS,电势差,电势
PHYSICS,电势差,电势能
PHYSICS,电势能,电场
PHYSICS,电场强度,电场
PHYSICS,电场线,电场强度
PHYSICS,电容,电容器
PHYSICS,电容器充放电过程,电容器
PHYSICS,电流表的内-外接法的选择,电压表-电流表的改装
PHYSICS,电磁感应中的三大动力学观点,电磁感应
PHYSICS,电磁感应中的单棒模型,电磁感应中的三大动力学观点
PHYSICS,电磁感应中的双棒模型,电磁感应中的单棒模型
PHYSICS,电磁感应中的线框模型,电磁感应中的电路问题
PHYSICS,电磁感应中的线框模型,电磁感应现象
PHYSICS,电磁感应现象及其应用,电磁感应现象
PHYSICS,电磁波,电磁振荡
PHYSICS,电荷守恒定律,电荷
PHYSICS,电表的内接与外接,电表的改装
PHYSICS,电路中的基本定律,电路中的基本概念
PHYSICS,电路的故障分析,电路中的基本概念
PHYSICS,电阻率,电阻定律
PHYSICS,瞬时速度,矢量和标量
PHYSICS,碰撞中的-时间极短-的含义,矢量和标量
PHYSICS,磁场中的仪器,磁场
PHYSICS,磁场中的仪器,磁场的基本概念和性质
PHYSICS,磁感应强度,磁场的基本概念和性质
PHYSICS,磁聚焦模型和磁发散模型,磁感应强度
PHYSICS,离心现象,线速度
PHYSICS,等效重力场的相关知识点及解释,等效重力场
PHYSICS,自感现象的理解,自感
PHYSICS,薄膜干涉的应用,薄膜干涉
PHYSICS,运动的合成与分解,运动特征
PHYSICS,连接体问题,连接体的运动特点
PHYSICS,速度位移公式,速度
PHYSICS,静电屏蔽的应用,静电平衡状态的特征
PHYSICS,非弹性碰撞和完全非弹性碰撞,非弹性碰撞
