subject,pdf_page,content_page,book,chapter,also,note,raw
MATH,0032,28,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章
MATH,0033,29,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章
MATH,0034,30,数学必修第一册,第三章 函数的概念与性质,,,必修第一册 第三章（函数图象变换）
MATH,0035,31,数学必修第一册,第三章 函数的概念与性质,,,必修第一册 第三章
MATH,0036,32,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章 指数函数与对数函数
MATH,0037,33,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章
MATH,0038,34,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章（函数模型及其应用）
MATH,0039,35,数学必修第一册,第四章 指数函数与对数函数,,,必修第一册 第四章
MATH,0041,37,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章 一元函数的导数及其应用
MATH,0042,38,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0043,39,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0044,40,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0045,41,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0046,42,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0047,43,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0048,44,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0049,45,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0050,46,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章
MATH,0051,47,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0052,48,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0053,49,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0054,50,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0055,51,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0056,52,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0057,53,数学选择性必修第二册,第五章 一元函数的导数及其应用,,,选择性必修第二册 第五章（专题拓展）
MATH,0059,55,数学必修第一册,第五章 三角函数,,,必修第一册 第五章 三角函数
MATH,0060,56,数学必修第一册,第五章 三角函数,,,必修第一册 第五章
MATH,0061,57,数学必修第一册,第五章 三角函数,,,必修第一册 第五章 三角函数
MATH,0062,58,数学必修第一册,第五章 三角函数,,,必修第一册 第五章
MATH,0063,59,数学必修第一册,第五章 三角函数,,,必修第一册 第五章 三角函数
MATH,0064,60,数学必修第一册,第五章 三角函数,,,必修第一册 第五章
MATH,0065,61,数学必修第一册,第五章 三角函数,,,必修第一册 第五章
MATH,0066,62,数学必修第一册,第五章 三角函数,,,必修第一册 第五章
MATH,0067,63,数学必修第一册,第五章 三角函数,,,必修第一册 第五章（专题拓展）
MATH,0068,64,数学必修第一册,第五章 三角函数,,,必修第一册 第五章（专题拓展）
MATH,0069,65,数学必修第二册,第六章 平面向量,,,必修第二册 第六章 平面向量及其应用（正弦定理、余弦定理）
MATH,0070,66,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0071,67,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0072,68,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0073,69,数学必修第二册,第六章 平面向量,,,必修第二册 第六章（专题拓展）
MATH,0074,70,数学必修第二册,第六章 平面向量,,,必修第二册 第六章（专题拓展）
MATH,0076,72,数学必修第二册,第六章 平面向量,,,必修第二册 第六章 平面向量及其应用
MATH,0077,73,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0078,74,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0079,75,数学必修第二册,第六章 平面向量,,,必修第二册 第六章 平面向量及其应用
MATH,0080,76,数学必修第二册,第六章 平面向量,,,必修第二册 第六章
MATH,0081,77,数学必修第二册,第七章 复数,,,必修第二册 第七章 复数
MATH,0082,78,数学必修第二册,第七章 复数,,,必修第二册 第七章
MATH,0084,80,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章 数列
MATH,0085,81,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0086,82,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0087,83,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章 数列
MATH,0088,84,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0089,85,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0090,86,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章 数列
MATH,0091,87,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0092,88,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0093,89,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0094,90,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0095,91,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章
MATH,0096,92,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章（专题拓展）
MATH,0097,93,数学选择性必修第二册,第四章 数列,,,选择性必修第二册 第四章（专题拓展）
MATH,0099,95,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0100,96,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章
MATH,0101,97,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章
MATH,0102,98,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章（专题拓展）
MATH,0103,99,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章（专题拓展）
MATH,0104,100,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0105,101,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章
MATH,0106,102,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0107,103,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章
MATH,0108,104,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0109,105,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0110,106,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0111,107,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0112,108,数学必修第二册,第八章 立体几何初步,,,必修第二册 第八章 立体几何初步
MATH,0113,109,数学选择性必修第一册,第一章 空间向量与立体几何,,,选择性必修第一册 第一章 空间向量与立体几何
MATH,0114,110,数学选择性必修第一册,第一章 空间向量与立体几何,,,选择性必修第一册 第一章 空间向量与立体几何
MATH,0115,111,数学选择性必修第一册,第一章 空间向量与立体几何,,,选择性必修第一册 第一章 空间向量与立体几何
MATH,0116,112,数学选择性必修第一册,第一章 空间向量与立体几何,,,选择性必修第一册 第一章 空间向量与立体几何
MATH,0117,113,数学选择性必修第一册,第一章 空间向量与立体几何,,,选择性必修第一册 第一章 空间向量与立体几何
MATH,0118,114,数学必修第二册,第八章 立体几何初步,数学选择性必修第一册 第一章 空间向量与立体几何,,必修第二册 第八章 立体几何初步 / 选择性必修第一册 第一章
MATH,0119,115,数学必修第二册,第八章 立体几何初步,数学选择性必修第一册 第一章 空间向量与立体几何,,必修第二册 第八章 立体几何初步 / 选择性必修第一册 第一章
MATH,0120,116,数学必修第二册,第八章 立体几何初步,数学选择性必修第一册 第一章 空间向量与立体几何,,必修第二册 第八章 立体几何初步 / 选择性必修第一册 第一章
MATH,0122,118,数学选择性必修第一册,第二章 直线和圆的方程,,,选择性必修第一册 第二章 直线和圆的方程
MATH,0123,119,数学选择性必修第一册,第二章 直线和圆的方程,,,选择性必修第一册 第二章 直线和圆的方程
MATH,0124,120,数学选择性必修第一册,第二章 直线和圆的方程,,,选择性必修第一册 第二章 直线和圆的方程
MATH,0125,121,数学选择性必修第一册,第二章 直线和圆的方程,,,选择性必修第一册 第二章 直线和圆的方程
MATH,0126,122,数学选择性必修第一册,第二章 直线和圆的方程,,,选择性必修第一册 第二章 直线和圆的方程
MATH,0127,123,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0128,124,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0129,125,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0130,126,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0131,127,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0132,128,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0133,129,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0134,130,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0135,131,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0136,132,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0137,133,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0138,134,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0139,135,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0140,136,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0141,137,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0142,138,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0143,139,数学选择性必修第一册,第三章 圆锥曲线的方程,,,选择性必修第一册 第三章 圆锥曲线的方程
MATH,0144,140,数学选择性必修第三册,第六章 计数原理,,,选择性必修第三册 第六章 计数原理
MATH,0146,141,数学选择性必修第三册,第六章 计数原理,,,选择性必修第三册 第六章 计数原理
MATH,0147,142,数学选择性必修第三册,第六章 计数原理,,,选择性必修第三册 第六章 计数原理
MATH,0148,143,数学选择性必修第三册,第六章 计数原理,,,选择性必修第三册 第六章 计数原理
MATH,0149,144,数学选择性必修第三册,第六章 计数原理,,,选择性必修第三册 第六章 计数原理
MATH,0150,145,数学必修第二册,第七章 复数,,,必修第二册 第十章 概率；选择性必修第三册 第七章 随机变量及其分布
MATH,0165,160,数学必修第二册,第八章 立体几何初步,,,必修第二册 第九章 统计；选择性必修第三册 第八章 成对数据的统计分析
PHYSICS,0007,1,物理必修第一册,第一章 运动的描述,,,必修第一册 第一章 运动的描述
PHYSICS,0008,2,物理必修第一册,第一章 运动的描述,,,必修第一册 第一章 运动的描述
PHYSICS,0009,3,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0010,4,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0011,5,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0012,6,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0013,7,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0014,8,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0015,9,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0016,10,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究
PHYSICS,0017,11,物理必修第一册,第二章 匀变速直线运动的研究,,,必修第一册 第二章 匀变速直线运动的研究（实验：探究小车速度随时间变化的规律）
PHYSICS,0018,12,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0019,13,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0020,14,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0021,15,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0022,16,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0023,17,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0024,18,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0025,19,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0026,20,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力
PHYSICS,0027,21,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力（实验：探究弹簧弹力与形变量的关系）
PHYSICS,0029,22,物理必修第一册,第三章 相互作用——力,,,必修第一册 第三章 相互作用——力（实验：探究两个互成角度的力的合成规律）
PHYSICS,0030,23,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0031,24,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0032,25,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0033,26,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0034,27,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0035,28,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0036,29,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0037,30,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0038,31,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0039,32,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0040,33,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0041,34,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系
PHYSICS,0042,35,物理必修第一册,第四章 运动和力的关系,,,必修第一册 第四章 运动和力的关系（实验：探究加速度与力、质量的关系）
PHYSICS,0043,36,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0044,37,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0045,38,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0046,39,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0047,40,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0048,41,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0049,42,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0050,43,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动
PHYSICS,0051,44,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动
PHYSICS,0052,45,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动
PHYSICS,0053,46,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动
PHYSICS,0054,47,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动
PHYSICS,0055,48,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动
PHYSICS,0056,49,物理必修第二册,第五章 抛体运动,,,必修第二册 第五章 抛体运动（实验：探究平抛运动的特点）
PHYSICS,0057,50,物理必修第二册,第六章 圆周运动,,,必修第二册 第六章 圆周运动（实验：探究向心力大小的表达式）
PHYSICS,0058,51,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0059,52,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0060,53,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0061,54,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0062,55,物理必修第二册,第七章 万有引力与宇宙航行,物理必修第二册 第八章 机械能守恒定律,,必修第二册 第七章 万有引力与宇宙航行 / 必修第二册 第八章（相对论时空观）
PHYSICS,0063,56,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0064,57,物理必修第二册,第七章 万有引力与宇宙航行,,,必修第二册 第七章 万有引力与宇宙航行
PHYSICS,0065,58,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0066,59,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0067,60,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0068,61,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0069,62,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0070,63,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0071,64,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0072,65,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0073,66,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0074,67,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0075,68,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律
PHYSICS,0076,69,物理必修第二册,第八章 机械能守恒定律,,,必修第二册 第八章 机械能守恒定律（实验：验证机械能守恒定律）
PHYSICS,0077,70,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0078,71,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0079,72,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0080,73,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0081,74,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0082,75,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0083,76,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0084,77,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0085,78,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0086,79,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0087,80,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律
PHYSICS,0088,81,物理选择性必修第一册,第一章 动量守恒定律,,,选择性必修第一册 第一章 动量守恒定律（实验：验证动量守恒定律）
PHYSICS,0089,82,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动
PHYSICS,0090,83,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动
PHYSICS,0091,84,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动
PHYSICS,0096,89,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动
PHYSICS,0097,90,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动
PHYSICS,0098,91,物理选择性必修第一册,第二章 机械振动,,,选择性必修第一册 第二章 机械振动（实验：用单摆测量重力加速度）
PHYSICS,0099,92,物理必修第三册,第九章 静电场及其应用,,,必修第三册 第九章 静电场及其应用
PHYSICS,0100,93,物理必修第三册,第九章 静电场及其应用,,,必修第三册 第九章 静电场及其应用
PHYSICS,0101,94,物理必修第三册,第九章 静电场及其应用,,,必修第三册 第九章 静电场及其应用
PHYSICS,0102,95,物理必修第三册,第九章 静电场及其应用,,,必修第三册 第九章 静电场及其应用
PHYSICS,0103,96,物理必修第三册,第九章 静电场及其应用,,,必修第三册 第九章 静电场及其应用
PHYSICS,0117,110,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0118,111,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0119,112,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0120,113,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0121,114,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0122,115,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0123,116,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0124,117,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用（实验基础）
PHYSICS,0125,118,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0126,119,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0127,120,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用
PHYSICS,0128,121,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0129,122,物理必修第三册,第十二章 电能 能量守恒定律,,,必修第三册 第十二章 电能 能量守恒定律
PHYSICS,0130,123,物理必修第三册,第十一章 电路及其应用,,,必修第三册 第十一章 电路及其应用（实验：练习使用多用电表）
PHYSICS,0131,124,物理必修第三册,第十三章 电磁感应与电磁波初步,,,必修第三册 第十三章 电磁感应与电磁波初步
PHYSICS,0150,143,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0151,144,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0152,145,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0153,146,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0154,147,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0155,148,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0156,149,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0157,150,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0158,151,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0159,152,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0160,153,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0161,154,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0162,155,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0163,156,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0164,157,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0165,158,物理选择性必修第二册,第二章 电磁感应,,,选择性必修第二册 第二章 电磁感应
PHYSICS,0166,159,物理选择性必修第二册,第三章 交变电流,,,选择性必修第二册 第三章 交变电流
PHYSICS,0167,160,物理选择性必修第二册,第三章 交变电流,,,选择性必修第二册 第三章 交变电流
PHYSICS,0168,161,物理选择性必修第二册,第三章 交变电流,,,选择性必修第二册 第三章 交变电流
