subject,material,current_node_slug,verdict,node_slug,evidence,slice
BIOLOGY,bio-mo-gene-137,人类遗传病,REBIND,遗传病的检测和预防,材料讲禁止近亲结婚与遗传咨询与适龄生育与产前诊断（羊水检查、B超、基因检测）等检测预防手段；现挂节点边界只收人类遗传病的概念与三大类型及五个不一定；候选节点边界正是产前诊断不等同基因检测与禁止近亲结婚只能降低隐性遗传病发病率,slice_11
BIOLOGY,bio-mo-segregation-law-007,基因型-表型的推断,REBIND,表型与基因型的关系,材料三条结论是「基因型决定表型」「基因型相同表型不一定相同（受环境影响）」「表型相同基因型不一定相同」；候选节点边界正是「表型不完全由基因型决定、环境也会影响表型」；现挂节点边界讲的是亲代与子代的正推逆推与3:1、1:1等比例计算、材料无任何推断或比例内容,slice_12
CHEMISTRY,chem-fx-di-ding-fen-xi-fa-f70x03,连续型离子方程式的书写-分类分析法,REBIND,滴定分析法,材料讲滴定分析法定义（标准液滴加至按化学计量反应完全、由消耗体积算含量）与指示剂确定终点；现挂「连续型离子方程式的书写」只收连续反应型离子方程式；候选边界正是滴定终点、读数与误差分析,slice_10
CHEMISTRY,chem-fx-dian-jie-jing-lian-tong-f41x11,电解原理应用的四点注意事项,KEEP,,材料即现挂节点第(3)(4)项原文（粗铜阳极泥与Cu2+浓度逐渐减小；电镀时阳极失电子数等于阴极得电子数故电镀液浓度不变）；其中电镀一条被候选节点边界明确划归电镀（纯铜阳极属电镀或电解提纯）故候选收不下全文,slice_11
CHEMISTRY,chem-fx-re-zhong-fen-xi-fa-f01x04,热重分析确定金属化合物的组成,KEEP,,材料定义热重分析法并指明其研究对象为金属含氧酸盐、金属氢氧化物、金属氧化物且一般先失水再分解后氧化；现挂节点边界即收「用热重分析确定金属化合物的组成」并明确涵盖「分步加热中失重的先后顺序」；候选节点边界讲的是1mol基准与金属元素质量守恒等定量计算、材料无计算内容,slice_12
CHEMISTRY,chem-fx-xin-xing-wu-ji-fei-jin-shu-cai-liao-f18x03,金属材料,REBIND,新型无机非金属材料,材料讲高温结构陶瓷（SiC、BN、Si3N4、Al2O3）与碳纳米材料（富勒烯、碳纳米管、石墨烯）；候选节点边界即以碳纳米材料与碳化硅氮化硅的类别判断为内容；现挂节点围绕金属材料展开、与材料内容无交集,slice_01
CHEMISTRY,chem-hj-changjian-liusuyan,过氧化钠的性质与探究,REBIND,常见硫酸盐的性质与用途,材料讲石膏与熟石膏、胆矾及无水硫酸铜检验水、硫酸钡不溶于酸可作钡餐的组成与用途；正对候选节点边界「硫酸钡作钡餐的前提是既不溶于水也不溶于酸」等硫酸盐条目、与现挂「过氧化钠的性质与探究」从化合价分析Na2O2完全无关,slice_02
CHEMISTRY,chem-hj-cuyan-tichun-shunxu,有关铁及其化合物的除杂,REBIND,粗盐提纯的除杂试剂与顺序,材料讲粗盐提纯用BaCl2与NaOH与Na2CO3依次除SO42-与Mg2+与Ca2+再加盐酸并强调BaCl2必须在Na2CO3之前；现挂节点边界只围绕铁及其化合物的除杂（调pH除铁与铜盐溶液除铁）；候选节点边界正是碳酸钠不能加在氯化钡之前与盐酸必须在过滤之后加入,slice_03
CHEMISTRY,chem-hj-f113-jita-jifata-guangpu,元素周期表与原子结构的规律,REBIND,基态、激发态与原子光谱,材料讲基态与激发态跃迁、发射光谱与吸收光谱、特征谱线用于光谱分析（含焰色试验与霓虹灯）；候选节点边界正是「基态到激发态吸收能量对应吸收光谱…光谱分析用于鉴定元素种类」；现挂节点边界只收电子排布与化合价规律,slice_04
CHEMISTRY,chem-hj-jianjixing-yu-suanxing,键的极性和分子的极性,REBIND,键的极性对羧酸酸性的影响,材料专讲羟基极性越大越易电离出氢离子、烷基推电子使酸性减弱；现挂节点主体是极性键与极性分子概念（羧酸酸性只写成附带的延伸内容）；候选节点边界正是基于诱导效应且只适用于同类有机酸比较,slice_05
CHEMISTRY,chem-hj-jingbao-midu-jisuan,有关物质的量浓度的计算,REBIND,晶胞密度的计算,材料讲晶胞密度公式 ρ=n·M/(NA·a³) 与求 NA、逆用求边长与粒子间距、非立方晶胞按实际体积算；现挂节点边界是溶液的物质的量浓度计算（cB、质量分数、密度作桥梁）与晶胞无关；同名节点边界即代入公式前统一长度到厘米与密度到 g/cm³,slice_06
CHEMISTRY,chem-hj-kongjian-liyonglv-jisuan,化学反应速率的计算方法,REBIND,晶胞空间利用率的计算,材料讲空间利用率等于晶胞内粒子总体积比晶胞体积、先数粒子再算体积及体心立方约68%与面心立方约74%；候选边界正是「先把微粒半径 r 与晶胞棱长的关系找对」；现挂「化学反应速率的计算方法」讲反应速率三段式与速率换算、与晶胞计算无关,slice_07
CHEMISTRY,chem-hj-liusuan-gen-jianyan,常见阳离子的检验与推断依据,REBIND,硫酸根离子的检验,材料专讲SO42-检验（先加足量稀盐酸排除CO32-与SO32-与Ag+干扰再加BaCl2看白色沉淀）；现挂节点是阳离子检验节点且边界明说不涉及混合体系中干扰离子的系统排除；候选节点同名且边界即不能用硝酸酸化以免SO32-被氧化造成假阳性；同批 ext-che-b4cc61c65b-008 与 ext-che-813727c8d6-002 已同向改绑,slice_08
CHEMISTRY,chem-hj-lizi-tuiduan-siyuanze,电荷守恒在离子推断中的应用,REBIND,离子推断的四项原则,材料按肯定性互斥性电中性进出性四原则推断；现挂节点只讲用电荷守恒判断最后一种离子是否存在；候选节点同名且边界用电中性原则核对电荷守恒并区分操作中引入的离子,slice_09
CHEMISTRY,chem-hj-na2o2-qiangyanghuaxing,过氧化钠,REBIND,na22,材料通篇讲Na2O2的强氧化性与还原性（SO2/FeCl2/H2S/酚酞褪色、遇KMnO4氧化产物为O2、与CO2和H2O自身歧化、1 mol转移1 mol电子）；候选节点名即材料标题且边界逐条对应；现挂「过氧化钠」是该化合物总节点（水与二氧化碳反应、过氧结构与碱性氧化物辨析、漂白性比较）,slice_10
CHEMISTRY,chem-hj-qiti-rongyu-jisuan,有关物质的量浓度的计算,REBIND,气体溶于水后溶液浓度的计算,材料专讲气体溶于水求浓度的通式（n=V′/22.4；溶液质量=气体质量+水的质量；溶液体积=质量/密度）并以不能用水的体积代替溶液体积为关键；现挂节点边界只把该计算列为三项之一；候选节点边界即溶液体积必须由溶液质量与密度求出且标况才可除以22.4,slice_11
CHEMISTRY,chem-hj-xinxing-wuji-feijinshu-cailiao,金属材料,REBIND,新型无机非金属材料,材料通篇讲高温结构陶瓷、压电陶瓷、透明陶瓷、超导陶瓷与碳纳米管、石墨烯等新型无机非金属材料；候选节点边界即以碳纳米材料与碳化硅氮化硅的类别判断为内容；现挂节点边界围绕金属材料的类别与用途展开、与材料内容无交集,slice_12
CHEMISTRY,chem-hj-yixi-shiyanshi-zhifa,cl2的实验室制法,REBIND,乙烯的实验室制法,材料讲乙醇与浓硫酸170℃制乙烯的原理装置现象与SO2杂质；候选节点边界逐字覆盖温度计插反应液与检验前先除SO2；现挂节点是实验室制氯气的完整流程、与乙烯无关,slice_01
CHEMISTRY,chem-hj-youji-jiegou-biaoshi-fangfa,有机物的结构可用键线式表示-如,REBIND,有机物结构的表示方法,材料把分子式、最简式、电子式、结构式、结构简式、键线式、球棍模型与空间填充模型一并介绍；属候选节点「有机物结构的表示方法」的完整范围、而现挂「键线式」节点只收键线式一种表示法及其写分子式与同分异构体分析,slice_02
CHEMISTRY,chem-hj2-yixi-shiyanshi-zhibei,cl2的实验室制法,REBIND,乙烯的实验室制法,材料讲乙醇与浓硫酸在170℃发生消去制乙烯与浓硫酸的双重作用与温度计水银球插入反应液与排水法收集；现挂节点边界是实验室制氯气的完整流程（强氧化剂与浓盐酸与净化除杂与尾气吸收与验满）；候选节点边界正是温度计测反应液温度与温度偏低增大副反应与SO2杂质须先除,slice_03
CHEMISTRY,chem-kb-ground-excited-state-spectrum,元素周期表与原子结构的规律,REBIND,基态、激发态与原子光谱,材料讲基态原子吸收能量跃迁为激发态、原子光谱与光谱分析（特征谱线鉴定元素）；候选节点边界「基态到激发态吸收能量对应吸收光谱…光谱分析用于鉴定元素种类」完全对应；现挂节点边界只收电子排布与化合价规律、不含跃迁与光谱,slice_04
CHEMISTRY,chem-kb-h2s-properties,na2o2的性质及应用,REBIND,硫化氢的性质,材料讲 H2S 分步电离的二元弱酸性、强还原性与作重金属沉淀剂；现挂节点边界是过氧化钠与二氧化碳和水反应的自身氧化还原与固体增重规律；候选节点边界正是 H2S 与氧气反应产物随量不同与尾气吸收,slice_05
CHEMISTRY,chem-kb-ion-exchange-membranes,在浓差电池中-为了限定某些离子的移动-常涉及到-离子交换膜,KEEP,,材料讲常见离子交换膜（阳膜、阴膜、质子膜各自允许通过的离子）与作用（隔离两极区阻止两极物质反应、选择性通过以平衡电荷形成闭合回路）及选择依据是离子的定向移动方向；现挂节点边界第 (1)(2)(3) 项逐条即此内容且作用表述与材料一致；候选节点是同题另建节点（边界另讲膜不改变电极反应、不能只按电荷数判断）,slice_06
CHEMISTRY,chem-kb-ionization-constant-concept,常温下-几种弱酸的电离平衡常数如下表所示,REBIND,电离平衡常数,材料讲电离平衡常数的定义式、只与温度有关与多元弱酸分步电离及K越大酸性越强；候选边界正是「K只随温度改变、稀释或加同离子都不会改变K」；现挂「弱酸电离常数的应用」收的是用常数表比较弱电解质强弱与分析电离度等应用,slice_07
CHEMISTRY,chem-kb-molecular-chirality,有机化合物中碳原子的成键特点,REBIND,分子的手性,材料讲手性异构与手性分子的定义及手性碳原子须连四个不同的原子或原子团；现挂节点边界限于碳原子的成键数目与键的类型与碳骨架分类 并明说不涉及具体有机分子的空间构型；候选节点同名且边界即手性碳判断（饱和碳sp3与四个基团互不相同）,slice_08
CHEMISTRY,chem-kb-three-bleaching-types,过氧化钠,REBIND,三类漂白剂的区别,材料讲氧化型加合型吸附型三类漂白剂的可逆性与选择性；过氧化钠在材料里只是氧化型的一个例子；现挂节点边界限于过氧化钠与水二氧化碳反应及强氧化性；候选节点同名 边界讲褪色是否复原的鉴别依据,slice_09
CHEMISTRY,chem-mo-youji-jiegou-biaoshifangfa,有机物的结构可用键线式表示-如,REBIND,有机物结构的表示方法,材料并列最简式/结构式/结构简式/键线式/球棍模型/空间填充模型六种表示法及其规范；现挂「键线式」边界只收键线式一种（由键线式写分子式并分析同分异构体）；候选边界正对表示方法规范（端点拐点都算碳、结构简式不可省双键三键符号）,slice_10
BIOLOGY,ext-bio-013e7e4c37-016b,种群的数量变化,REBIND,密度制约因素与非密度制约因素,材料逐条给出密度制约因素（食物天敌传染病）与非密度制约因素（气温干旱地震火灾）并强调判断依据是作用强度是否随种群密度变化；候选节点边界即此判据；现挂节点讲出生率死亡率等直接因素与λ值、未收该判据,slice_01
BIOLOGY,ext-bio-26746c92ba-128c,种群数量的变化,REBIND,密度制约因素与非密度制约因素,材料通篇讲生物因素多为密度制约因素且有反馈调节作用、非生物因素多为非密度制约因素且作用猛烈并可调节密度制约因素；正对候选节点边界「判断的关键是作用强度是否随种群密度变化」、而现挂「种群数量的变化」边界只收J形与S形增长模型和K值,slice_02
BIOLOGY,ext-bio-636de2a928-021,分离定律的特殊类型,REBIND,从性遗传与限性遗传,材料通篇只讲从性遗传与限性遗传（公牛母牛斑块表型不同；限性遗传基因只在一种性别表现）并强调基因在常染色体上与伴性遗传不同；现挂节点边界是血型与翅型与角型等特殊类型的基因型表型对照总表；候选节点边界即「基因位于常染色体、表型受性别影响」这一材料主张,slice_03
BIOLOGY,ext-bio-94a83ecf21-003,免疫失调,REBIND,自身免疫病与免疫缺陷病,材料分两部分讲自身免疫病（攻击自身成分；风湿性心脏病机理）与免疫缺陷病（功能不足或缺乏；先天性/获得性；艾滋病）；候选节点边界「自身免疫病针对自身成分、免疫缺陷病是免疫功能不足」与材料逐句对应；现挂节点边界是三类免疫失调的总述且HIV环节已另有材料,slice_04
BIOLOGY,ext-bio-ccd0d00ddf-004b,细胞增殖,REBIND,无丝分裂,材料是纯无丝分裂专述（无纺锤体和染色体变化、核缢裂过程、蛙的红细胞、DNA 仍复制并平均分配）；现挂节点边界只在「细胞增殖的方式」里顺带提到无丝分裂；候选节点边界正是无丝分裂与哺乳动物成熟红细胞不分裂的辨析且已收同题材料,slice_05
BIOLOGY,ext-bio-e3a300b276-010c,人类遗传病,REBIND,调查人群中的遗传病,材料通篇讲调查方法（发病率在人群中随机抽样且群体足够大；遗传方式在患者家系调查并绘系谱图；再列调查步骤与对象选择）；现挂节点边界收人类遗传病的概念、三大类型与五个不一定等易错判定；同名节点边界即两种调查的对象与场所不能混淆,slice_06
BIOLOGY,ext-bio-e3a300b276-011b,遗传病的检测和预防,REBIND,遗传病的检测与预防,材料讲遗传咨询与产前诊断的手段及B超查外观性别、羊水查染色体、血细胞筛地中海贫血、基因检测查基因病的手段对应关系；候选边界正是「各类手段的适用范围不能张冠李戴」；两节点是同一知识点的重复节点且同名材料《遗传病的检测与预防手段》已挂候选节点,slice_07
BIOLOGY,ext-bio-f49eeec233-007,人类遗传病,REBIND,调查人群中的遗传病,材料讲发病率须在群体中随机抽样且样本足够大、遗传方式须在患者家系调查并绘系谱图与调查过程四步；现挂节点边界只收人类遗传病的概念与三大类型及五个不一定；候选节点同名且边界正是两种调查的对象与目的不能混淆；同批 bio-fj-17-genetic-disease-survey 与 ext-bio-e3a300b276-010c 已同向改绑,slice_08
BIOLOGY,ext-bio-f49eeec233-007b,人类遗传病,REBIND,遗传病的检测和预防,材料讲遗传咨询与产前诊断手段及基因检测与基因治疗；现挂节点人类遗传病只讲概念与三大类型和五个不一定；候选节点同名且边界正讲产前诊断不等同基因检测 基因治疗尚在研究,slice_09
CHEMISTRY,ext-che-004850c1e8-013b,硫及其化合物之间的转化规律,KEEP,,材料兼讲同价态之间（SO2与亚硫酸及亚硫酸盐等）的酸碱转化与不同价态之间的氧化还原台阶式升降且强调相邻价态不发生氧化还原反应；现挂节点边界正是价态与类别两个角度的转化规律；候选节点只收不同价态的氧化还原转化（定位为氧化还原反应实验）收不下同价态部分,slice_11
CHEMISTRY,ext-che-004850c1e8-015b,硫代硫酸钠,KEEP,,材料讲硫代硫酸钠的物理性质、与酸反应生成S与SO2、与碘反应生成连四硫酸钠、与氯气和高锰酸钾的还原性及用途；现挂节点边界即「硫的平均价态＋2；与碘反应生成S4O6²⁻而不过度氧化；与酸反应属自身歧化、产物是S与SO2」逐条对上；候选节点边界同为该物质的性质与碘量法滴定提示、属同题子节点,slice_12
CHEMISTRY,ext-che-020cba294a-018,氧化还原反应规律及其应用,REBIND,氧化还原反应的守恒规律,材料讲质量守恒电子守恒电荷守恒及其配平与定量计算应用；候选节点边界即三守恒同时满足与电子电荷守恒确定系数比；现挂节点边界明说不涉及配平过程、所收为强生弱先后价态三大规律,slice_01
CHEMISTRY,ext-che-020cba294a-019,氧化还原反应规律及其应用,REBIND,价态规律及其应用,材料专讲价态高低规律、归中规律（只靠拢不交叉）与歧化反应及其应用；与候选节点边界「归中规律只适用于含同种元素的物质之间的反应」「判断产物时不能出现价态交叉」逐条吻合、且包里强弱规律与先后规律亦各有同名节点,slice_02
CHEMISTRY,ext-che-020cba294a-020,氧化还原反应规律及其应用,REBIND,强弱规律及其应用,材料只讲氧化性还原性强弱规律（取决于得失电子的难易且与数目无关）与其两个应用（判断反应能否发生与判断先后顺序）；现挂节点边界是强生弱与先后与价态三大规律的总纲；候选节点边界即「强者先反应须同时考虑量的多少」,slice_03
CHEMISTRY,ext-che-020cba294a-021,氧化还原反应规律及其应用,REBIND,先后规律及其应用,材料通篇只讲先后规律（多种还原剂或氧化剂共存时按强弱依次反应）与常见强弱顺序；候选节点名即「先后规律及其应用」且边界要求「强者优先…氧化性与还原性顺序不能记混」；现挂节点虽在边界里并列三大规律但材料并不讲强弱规律与价态规律,slice_04
CHEMISTRY,ext-che-02e43d3aeb-001b,o2作为原电池的正极反应物时-其电极反应在不同的介质中有不同的写法,REBIND,甲烷作燃料电池的负极反应物时-其电极反应式在不同的介质中有不同的写法,材料讲燃料电池电极反应式书写三步法（写总反应、写随介质而变的正极氧还原、用总反应减正极得负极）；现挂节点只收氧气作正极反应物的写法；候选节点是标题同名点且已收同题材料（先写总反应再拆正负极）,slice_05
CHEMISTRY,ext-che-043d5a4425-018b,键的极性对化学性质的影响,KEEP,,材料讲羧基中羟基极性越大酸性越强、吸电子基团使酸性增强烃基推电子使酸性减弱并给 CF3COOH 与 CHCl2COOH 等实例、后半讲无机含氧酸酸性随非羟基氧原子数增大而增强；现挂节点边界同时覆盖这两部分（含无机含氧酸比较与 n 值判据）；候选节点边界只限同类有机酸之间的比较、不能推广到酚醇；收不下材料中的无机含氧酸部分,slice_06
CHEMISTRY,ext-che-1422ee20c2-005,气体制备,REBIND,装置气密性的检查方法,材料整篇讲微热法、液差法、滴液法、抽气吹气法、分段法与量气法的操作与现象；候选边界正是「描述现象必须写清是否形成稳定的液柱或液面差」；现挂「气体制备」边界自限「范围限定气体物质的制备层面」,slice_07
CHEMISTRY,ext-che-144a906566-003,晶胞,REBIND,晶胞参数与晶体密度的计算,材料讲用切割法求晶胞微粒数Z后由密度等于Z乘M比NA乘a³求晶胞参数与单位换算及空间利用率与原子半径关系；现挂节点边界明说范围限于晶胞的基本认识 不含晶胞中粒子数目的计算；候选节点同名且边界即均摊后的粒子数与单位必须换算成cm,slice_08
CHEMISTRY,ext-che-15fcabc7cf-030,化工流程题的分析模型,REBIND,循环物质的确定方法,材料专讲循环物质的确定方法（生成后又消耗 主线产物不算 母液尾气回收）；现挂节点边界只把「流程中循环使用的物质要单独识别并说明」列为一句提醒；候选节点同名且边界正是前面工序需要与后面工序生成两条件,slice_09
CHEMISTRY,ext-che-1e9a37df8e-012b,羧酸的结构和性质,REBIND,键的极性对羧酸酸性的影响,材料讲羧酸酸性由羧基中羟基极性决定（吸电子基增强酸性、烃基推电子削弱、甲酸强于乙酸强于丙酸）；候选节点名即材料标题且边界写明该规律基于诱导效应、只适用同类有机酸；现挂「羧酸的结构和性质」是羧酸结构-性质关系总节点（还含醇酚羧酸羟基氢活泼性比较等）,slice_10
CHEMISTRY,ext-che-20d30e5ba6-003,化学反应速率及其计算,REBIND,化学反应速率的计算方法,材料给公式法（v=Δc/Δt）与速率之比等于计量数之比与三段式法并含转化率与产率的求法；候选节点边界逐条即定义式与速率之比与三段式；现挂节点边界自述与图像信息结合求速率且明言区别于三段式计算速率,slice_11
CHEMISTRY,ext-che-21d2923986-013,陶瓷,REBIND,新型无机非金属材料,材料讲新型陶瓷五类与碳纳米材料（富勒烯、碳纳米管、石墨烯）；候选节点边界即碳纳米材料属碳单质与碳化硅氮化硅属共价晶体的类别判断；现挂节点边界明说「限定在陶瓷材料、不涉及其他无机非金属材料」、收不下材料中的碳纳米材料部分,slice_12
CHEMISTRY,ext-che-258405f3c6-008,离子推断的方法与原则,KEEP,,材料讲检验依据与肯定性互斥性电中性进出性四项原则及先排除干扰离子；现挂节点边界（电中性原则只用于电荷加和、每步检查新引入的离子）覆盖该内容；候选节点是同题近重复节点,slice_01
CHEMISTRY,ext-che-25f43f1fc3-019,氧化还原反应规律及其应用,REBIND,氧化还原反应的守恒规律,材料讲质量守恒、电子守恒与电荷守恒及其在配平与电子转移计算中的应用；候选节点边界正是「电荷守恒用于确定离子方程式中H+与OH−或H2O的系数、电子守恒用于确定氧化剂与还原剂的系数比」、而现挂节点边界明写「不涉及配平过程」,slice_02
CHEMISTRY,ext-che-309fd84b7e-004,核反应方程的分析,KEEP,,材料讲核反应方程须用质量数守恒与电荷数守恒两条依据列式求解且不能用化学方程式的方法配平；其边界与现挂节点边界同文（只差定位前缀）；候选「核反应方程的分析思路」与之同题近重复；材料讲的正是现挂节点声明的范围,slice_03
CHEMISTRY,ext-che-309fd84b7e-004b,核反应方程的分析,REBIND,核反应方程的分析思路,材料讲质量数守恒与电荷数守恒两条并据此推断未知微粒（碳14 β衰变示例）；候选节点边界「守恒的对象是质量数与电荷数…判断元素种类只看质子数」与材料对应；材料标题与候选节点名逐字相同,slice_04
CHEMISTRY,ext-che-48262bc853-002,氧化还原反应规律及其应用,REBIND,强弱规律及其应用,材料讲氧化剂氧化性强于氧化产物、还原剂还原性强于还原产物并据此比较强弱与判断反应先后顺序；现挂节点是强生弱、先后、价态三规律合一的桶；候选节点边界正是「强者先反应」要结合氧化剂或还原剂量的多少,slice_05
CHEMISTRY,ext-che-48262bc853-003,氧化还原反应规律及其应用,KEEP,,材料只讲价态规律（化合价升降守恒、归中两相靠不相交、歧化中间价变两头）及其应用（判断同种元素能否反应、据化合价定氧化剂还原剂与产物）；现挂节点边界明确把价态规律（归中、相邻价态不反应、歧化）列为三大规律之一并声明用于判断反应能否发生与产物且不涉及配平；材料内容未越出该子项；候选节点边界讲的是同一子规律的易错判定、不构成改绑理由,slice_06
CHEMISTRY,ext-che-4aca25a694-004,水电离出的c(H+)（或c(OH-)）的计算,REBIND,水电离出的离子浓度的计算,材料讲25℃时由水电离出的c(H+)或c(OH-)三种情形算法（酸碱取小值、可水解盐取大值）；候选边界正是「酸碱溶液中不能把溶液中总c(H+)当作水电离出的浓度」；两节点为同一知识点的重复节点且材料标题即候选节点名,slice_07
CHEMISTRY,ext-che-4aca25a694-016,氧化还原滴定,REBIND,氧化还原滴定的原理与指示剂,材料讲电子守恒原理与常用试剂与三类指示剂（氧化还原指示剂与碘量法淀粉与KMnO4自身指示剂）及酸性条件控制；现挂节点边界只落在电子守恒列式与自身指示剂；候选节点同名且边界正是介质条件与淀粉指示剂只能在碘量法中使用；同标题材料 ext-che-c3ab790e04-021d 已同向改绑,slice_08
CHEMISTRY,ext-che-4dd2e79693-049b,晶胞,REBIND,晶胞密度的计算,材料用均摊法求微粒数后用 m=NM/NA 与晶胞体积相除求密度并强调单位换算；现挂节点晶胞边界明确写「范围限于晶胞的基本认识 不含晶胞中粒子数目的计算」；候选节点同名,slice_09
CHEMISTRY,ext-che-5fce0adee9-011,常见阳离子的检验与推断依据,REBIND,离子推断的四项基本原则,材料讲肯定性/互斥性/电中性/进出性四原则（含由酸性碱性、指示剂颜色、与铝放H2等隐含条件否定离子、并排除试剂引入的干扰）；现挂边界明言范围限于由反应产物判断阳离子是否存在、不涉及混合体系中干扰离子的系统排除；候选边界即不确定离子不能判为不存在、先排除干扰、结论须合电中性,slice_10
CHEMISTRY,ext-che-6bf2e64662-016,硫酸,REBIND,硫酸的工业制备（接触法）,材料通篇三步接触法（硫铁矿或硫燃烧制SO2与SO2催化氧化与SO3吸水）与用98.3%浓硫酸吸收SO3防酸雾的原因；候选节点边界即SO3不能用水吸收与SO2必须净化与尾气用碱液吸收；现挂节点是硫酸性质与工业制备的总节点而制备只是其主要方面之一,slice_11
CHEMISTRY,ext-che-6e5105e0b4-020,物质的量浓度,REBIND,浓度计算的常用方法,材料按「依据定义计算／依据换算公式计算／依据稀释定律计算」三条给出浓度计算方法；候选节点边界逐条就是这三条依据与对应公式；现挂节点边界以物质的量浓度的概念、溶质判断与质量分数溶解度换算为主、未收稀释定律部分,slice_12
CHEMISTRY,ext-che-72b20828f8-011b,核外电子运动状态,REBIND,基态、激发态与原子光谱,材料通篇讲基态与激发态及吸收发射光谱、光谱分析、焰色反应；候选节点边界即吸收光谱对应基态到激发态与光谱分析鉴定元素种类；现挂节点收电子云原子轨道能级顺序、只含光谱的初步联系,slice_01
CHEMISTRY,ext-che-747e72a70a-007,化学计算中的守恒法,REBIND,守恒法在化学计算中的应用,材料讲守恒法解题三步与原子守恒、电子守恒、电荷守恒在化学计算中的适用；材料标题与候选节点同名且候选边界「每种守恒都有明确的适用对象、只列出守恒式往往不足以求解需与另一个数量关系联立」正对它、两个节点为同主题近重复节点,slice_02
