source_unit,nodes,current_place,book,chapter,decision,samples
专题02 硫及其化合物,28,化学必修第二册 第五章·硫氮及其化合物,化学必修第二册,第五章 化工生产中的重要非金属元素,keep,硫单质 / 易错辨析。 / 在下列反应中硫元素只表现氧化性的是(　　) / 易错辨析
专题02 离子反应,37,化学必修第一册 第一章·离子反应与氧化还原,化学必修第一册,第一章 物质及其变化,keep,电解质及其分类 / 电解质的电离 / 电解质溶液的导电性 / 完成下列反应的离子方程式。
专题02 空间向量与立体几何,33,数学必修第二册 第六章·平面向量,数学选择性必修第一册,第一章 空间向量与立体几何,fix,空间向量的有关概念 / 空间向量的线性运算 / 空间向量的有关定理 / 空间向量的数量积及运算律
专题02 铁及其重要化合物,29,化学必修第一册 第三章·铁与金属材料,化学必修第一册,第三章 铁 金属材料,keep,铁的物理性质 / 铁的化学性质 / 下列说法正确的是(   ) / 在指定条件下，下列有关铁单质的转化不能实现的是(
专题03 化学平衡常数及相关计算,20,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第二章 化学反应速率与化学平衡,fix,平衡常数的应用 / 平衡转化率 / 在一定温度下，已知以下三个反应的平衡常数： / 压强平衡常数
专题03 化学键 分子结构与性质,55,化学必修第二册 第六章·化学反应与能量,化学选择性必修2,第二章 分子结构与性质,fix,物质变化过程中的化学键变化 / 下列各组物质中化学键的类型和化合物的类型都相同的 / 写出下列物质的电子式： / 键参数
专题03 氧化还原反应,34,化学选择性必修1 第一章·反应热与能量,化学必修第一册,第一章 物质及其变化,fix,常见的氧化剂与还原剂 / 氢化钠(NaH)广泛应用于工业生产。 / 已知NaBH4与水反应的化学方程式为NaBH4＋ / 氧化性、还原性的判断
专题03 氮及其化合物,33,化学必修第二册 第五章·硫氮及其化合物,化学必修第二册,第五章 化工生产中的重要非金属元素,keep,氮的氧化物 / 下列氮气的用途叙述中，分别应用了氮气的什么性质？ / NOx是汽车尾气中的主要污染物之一。 / 氨的化学性质
专题03 烃的衍生物,59,化学选择性必修3·有机化学基础,化学选择性必修3,第三章 烃的衍生物,fix,为了测定某卤代烃分子中所含有的卤素原子种类，可按 / 有以下物质：①CH3Cl　②CH2Cl—CH2C / 醇的概念及分类 / 醇的化学性质
专题03 牛顿运动定律的理解应用(学生版）,29,物理必修第一册 第一章·运动的描述,物理必修第一册,第四章 运动和力的关系,fix,意义： / 惯性参考系： / 非惯性参考系： / 定义：物体具有保持原来匀速直线运动状态或静止状态
专题03 电解池、金属的腐蚀与防护,28,化学必修第一册 第三章·铁与金属材料,化学选择性必修1,第四章 化学反应与电能,fix,"电解和电解池 / 判断正误,正确的打“√”,错误的打“×”。 / 电解饱和食盐水——氯碱工业 / 粗铜的电解精炼示意图如图所示。"
专题03 盐类的水解,26,化学选择性必修1 第三章·水溶液中的离子平衡,化学选择性必修1,第三章 水溶液中的离子反应与平衡,keep,定义 / 实质 / 规律 / 盐类水解离子方程式的书写
专题03 铝及其重要化合物,24,CHEMISTRY·综合·综合,化学必修第一册,第三章 铁 金属材料,fix,铝元素的原子结构和存在 / 铝的物理性质 / 铝的化学性质 / 铝的制备和用途
专题04 化学反应的方向 化学反应的调控,12,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第二章 化学反应速率与化学平衡,fix,自发反应 / 熵和熵变的含义 / 合成氨反应的特点 / 提高合成氨反应速率和平衡转化率的条件比较
专题04 晶体结构与性质,20,化学选择性必修2·物质结构与性质,化学选择性必修2,第三章 晶体结构与性质,keep,晶胞 / 晶胞组成的计算——均摊法。 / 下列有关晶体的叙述正确的是(    ) / 某离子晶体的晶胞结构如图所示，X位于立方体的顶点
专题04 曲线运动,32,物理必修第一册 第一章·运动的描述,物理必修第二册,第五章 抛体运动,fix,概念：物体运动轨迹是曲线的运动。 / 运动特征： / 核心思想:运动分解 / 核心处理思想：运动的合成与分解 + 约束条件：
专题04 沉淀溶解平衡,18,化学选择性必修1 第二章·化学平衡,化学选择性必修1,第三章 水溶液中的离子反应与平衡,fix,溶度积 / 溶度积和离子积的关系 / Ksp的影响因素 / 难溶电解质的Ksp数值越小，表明在水中的溶解能力
专题04 生物大分子 合成高分子,26,化学选择性必修3·有机化学基础,化学选择性必修3,第四章 生物大分子,fix,糖类的组成和分类 / 单糖 / 多糖——淀粉与纤维素 / 为了检验淀粉水解产物，某学生设计了如下实验方案：
专题04 碳、硅及无机非金属材料,20,化学必修第二册 第五章第三节·无机非金属材料,化学必修第二册,第五章 化工生产中的重要非金属元素,keep,C、Si单质的存在形态、物理性质及用途 / 碳、硅单质的化学性质——还原性 / 正误判断，正确的打“√”，错误的打“×” / 写出除去下列气体中混有的杂质(括号内为杂质)可采
专题04 金属材料及金属矿物的开发利用,20,化学必修第一册 第三章·铁与金属材料,化学必修第一册,第三章 铁 金属材料,keep,镁的化学性质 / 镁的重要化合物 / 海水提取镁 / 单质铜的化学性质
专题05 化学反应速率和化学平衡图像,18,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第二章 化学反应速率与化学平衡,fix,速率-时间图像 / 全程速率—时间图像 / 含量(或转化率)-时间-温度(压强)图像 / 常见图像形式：
专题05 圆周运动,24,物理必修第一册 第一章·运动的描述,物理必修第二册,第六章 圆周运动,fix,物体间恰好不发生相对滑动 的临界条件是物体间恰好 / 水平转盘上运动物体模型 / 分析方法 / 圆锥摆模型规律总结
专题05 有机合成与推断,31,化学必修第二册 第七章·有机化合物,化学选择性必修3,第五章 合成高分子,fix,"4-溴甲基-1-环己烯的一种合成路线如下： / (1)根据的结构特征，预测其可能的化学性质。 / 官能团的转化 / 以溴乙烷为原料制备1,2-二溴乙烷，下列方案中最"
专题06 万有引力与航天,26,物理必修第二册 第七章·万有引力与宇宙航行,物理必修第二册,第七章 万有引力与宇宙航行,keep,表达式：F＝G / 天上：星球上空距离星体中心r＝R＋h处的重力加速 / 地下：在天体内部距离中心r处（r＜R）加速度为g / 自力更生法：求解地球（中心天体）质量
专题07 机械能,24,物理必修第二册 第八章·机械能与能量守恒,物理必修第二册,第八章 机械能守恒定律,keep,功和能 / 对公式W＝Flcosα的理解 / 合力做功的计算方法 / 公式P＝ 和P＝Fv的比较
专题08 动量,31,物理选择性必修第一册 第一章·动量,物理选择性必修第一册,第一章 动量守恒定律,keep,动量和动量定理 / 性质： / 冲量的计算方法 / 动量变化量的理解和计算
专题09 动力学三大观点的应用,29,PHYSICS·综合·综合,跨册综合,力学综合（动力学/能量/动量三观点）,fix,动力学三大观点的基本理解和应用 / 能量观点：用动能定理和能量守恒观点解题，可处理非 / 常见的图象 / 图象的应用
专题10 静电场,31,物理必修第三册 第九十章·静电场,物理必修第三册,第九章 静电场及其应用,keep,静电场的基本概念和规律 / 三种起电方式 / 静电力做功 / 静电场的应用
专题11 恒定电流,22,物理必修第三册 第十一十二章·恒定电流,,,split,作用： / 原理： / 电源的内阻：电源内部是由导体构成，所以也有电阻， / 电流：
专题12 磁场,25,物理必修第三册 第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,,,split,磁场的基本概念和性质 / 概念理解： / 对磁感应强度定义式：B＝的理解 / 定义：通电导线在磁场中受到的力叫安培力。
专题13 电磁感应,28,物理必修第三册 第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,物理选择性必修第二册,第二章 电磁感应,fix,产生感应电流的条件： / 判断电磁感应现象能否产生的方法： / 适用情况：判断导线切割磁感线产生的感应电流方向。 / 产生条件：穿过回路的磁通量发生改变，与电路是否闭
专题14 交变电流,22,物理选择性必修第二册 第三四章·交变电流与电磁波,,,split,正弦式交变电流的产生和变化规律 / 周期和频率 / 电容：通交流、隔直流；通高频、阻低频。 / 周期与频率：
专题15 机械振动与机械波,32,物理必修第二册 第八章·机械能与能量守恒,物理选择性必修第一册,第二章 机械振动,fix,机械振动 / 定义： / 表达式： / 位移、速度和加速度：
专题16 光学(学生版）,21,物理选择性必修第一册 第四章·光学,物理选择性必修第一册,第四章 光,keep,光的反射和折射 / 反射定律： / 图示： / 光路可逆性
专题17 热学,32,物理选择性必修第三册 第一至三章·热学,,,split,分子模型 / 宏观量和微观量： / 扩散 / 分子热运动
专题18 近代物理,39,物理选择性必修第三册 第四五章·近代物理,,,split,原子结构与波粒二象性 / 几个基本概念的理解 / 分类 / 特征谱线
专题19 实验相关基础知识和实验仪器的原理及使用,27,PHYSICS·综合·综合,跨册综合,物理实验基础与仪器,fix,实验基础知识 / 常见的导出单位 / 系统误差： / 偶然误差：
专题20 力学实验,25,PHYSICS·综合·综合,跨册综合,力学实验,fix,纸带处理： / 探究结果：胡克定律（x为形变量） / 重点步骤： / 需要平衡摩擦力（为了使绳子拉力即合力）
专题22 热学和光学实验,15,物理选择性必修第三册 第一至三章·热学,跨册综合,热学与光学实验,fix,实验步骤 / 数据处理 / 误差分析 / 注意事项
人教A版高中数学（2019）,120,数学必修第二册 第九十章（条件概率与正态分布见选择性必修第三册）·概率统计,,,keep_per_node,函数的概念 / 函数的定义域 / 函数的值域 / 函数的对应关系
人教版高中教材（2019）,469,跨册综合·实验与方案设计,,,keep_per_node,路程 / 平均速度 / 瞬时速度 / 质点
第01讲 走近细胞,8,生物学必修1 第一章·细胞与生命活动,生物学必修1,第一章 走近细胞,keep,实验：使用高倍显微镜观察几种细胞★★☆☆☆ / 病毒★★★☆☆ / 使用高倍显微镜观察细胞 / 原核细胞和真核细胞
第02讲 细胞中的元素和化合物,9,生物学必修1 第一章·细胞与生命活动·细胞中的元素和化合物,生物学必修1,第二章 组成细胞的分子,fix,实验：检测生物组织中的糖类、脂肪和蛋白质★★★☆ / 预测： / 实验：检测生物组织中的糖类、脂肪和蛋白质 / 细胞中的水★★★☆☆
第03讲 糖类和脂质,2,生物学必修1 第二章·细胞的分子组成,生物学必修1,第二章 组成细胞的分子,keep,糖与脂质的转化★★★☆☆ / 细胞中的糖类★★★☆☆
第03讲 细胞中的糖类和脂质,4,生物学必修1 第一章·细胞与生命活动·细胞中的元素和化合物,生物学必修1,第二章 组成细胞的分子,fix,细胞中的糖类 / 细胞中的脂质 / 糖类和脂质的相互转化 / 糖类和脂肪的转化
第04讲 蛋白质和核酸,13,生物学必修1 第二章·细胞的分子组成·蛋白质是生命活动的主要承担者,生物学必修1,第二章 组成细胞的分子,fix,生物大分子以碳链为骨架★★☆☆☆ / 预测： / 生物大分子以碳链为骨架 / 蛋白质的功能★★★☆☆
第05讲 细胞膜和细胞核,7,生物学必修1 第一章·细胞与生命活动·细胞膜的结构和功能,生物学必修1,第三章 细胞的基本结构,fix,膜的流动镶嵌模型 / 细胞核的结构和功能★★★☆☆ / 细胞核的结构和功能 / 对细胞膜的探究历程★★☆☆☆
第06讲 细胞器和生物膜系统,8,生物学必修1 第一章·细胞与生命活动,生物学必修1,第三章 细胞的基本结构,fix,用高倍显微镜观察叶绿体和细胞质的流动★★☆☆☆ / 生物膜系统及其功能 / 用高倍显微镜观察叶绿体和细胞质的流动 / 分泌蛋白的合成和运输
第07讲 物质运输,7,生物学必修1 第四章·物质的输入与输出,生物学必修1,第四章 细胞的物质输入和输出,keep,物质出入细胞的方式★★★☆☆ / 物质出入细胞的方式 / 主动运输的类型 / 动物细胞的吸水和失水★★☆☆☆
第08讲 酶和ATP,11,生物学必修1 第五章·酶与ATP,生物学必修1,第五章 细胞的能量供应和利用,fix,酶在代谢中的作用★★★☆☆ / 探究酶的专一性、高效性相关实验★★★★☆ / 组：反应物＋酶1溶液反应物被分解。 / 预测：
第09讲 细胞呼吸,13,生物学必修1 第一章·细胞与生命活动·细胞呼吸的原理和应用,生物学必修1,第五章 细胞的能量供应和利用,fix,有氧呼吸★★★☆☆ / 无氧呼吸★★★☆☆ / 有氧呼吸 / 无氧呼吸
第10讲 光合作用,6,生物学必修1 第五章第四节·光合作用,生物学必修1,第五章 细胞的能量供应和利用,fix,捕获光能的色素和结构★★☆☆☆ / “三率”的关系及测定★★★☆☆ / 预测： / 探索光合作用原理的部分实验★★☆☆☆
第11讲 细胞代谢综合分析,3,生物学必修1 第一章·细胞与生命活动,生物学必修1,第五章 细胞的能量供应和利用,fix,辨析真正光合速率、净光合速率和呼吸速率★★★☆☆ / C4植物、CAM植物等特殊代谢类型★★★☆☆ / 光合作用与细胞呼吸过程、物质和能量的关系★★★☆
第12讲 细胞的增殖,3,生物学必修1 第一章·细胞与生命活动,生物学必修1,第六章 细胞的生命历程,fix,细胞周期★★★☆☆ / 有丝分裂★★★☆☆ / 实验：观察根尖分生区组织细胞的有丝分裂★★★☆☆
第13讲 减数分裂和受精作用,5,生物学必修2 第一章·遗传的细胞基础·减数分裂和受精作用,生物学必修2,第二章 基因和染色体的关系,fix,精子的形成过程★★★☆☆ / 精子与卵细胞形成过程的比较★★★☆☆ / 减数分裂细胞中染色体、DNA数量变化规律★★★☆ / 受精作用★★★☆☆
第14讲 细胞的分化、衰老和死亡,2,生物学必修1 第一章·细胞与生命活动·细胞的多样性和统一性,生物学必修1,第六章 细胞的生命历程,fix,细胞的死亡★★★☆☆ / 细胞的分化与全能性★★★☆☆
第15讲 分离定律,11,生物学必修2 第一章第二节·遗传的基本规律,生物学必修2,第一章 遗传因子的发现,fix,豌豆用作遗传实验的材料★★★☆☆ / 基因型、表型的推断★★★☆☆ / 分离定律的概率计算（含自交与自由交配）★★★★☆ / 分离定律的概率计算和常规应用
第16讲 三角恒等变换,10,数学必修第一册 第五章·三角函数,数学必修第一册,第五章 三角函数,keep,（2025·安徽蚌埠·三模）已知，则（   ） / （2023·山西·模拟预测）已知，且，，则（   / （2025·黑龙江吉林·模拟预测）已知，则的值为 / （2024·天津·一模）在中，角，，的对边分别为
第16讲 自由组合定律,11,生物学必修2 第一章第二节·遗传的基本规律,生物学必修2,第一章 遗传因子的发现,fix,自由组合定律的解题规律及方法★★★★☆ / 预测： / 自由组合定律中的特殊分离比问题分析 / 自由组合定律的内容
第17讲 伴性遗传和人类遗传病,10,生物学必修2 第一章·遗传的细胞基础,生物学必修2,第二章 基因和染色体的关系,fix,基因位于染色体上的实验证据★★★☆☆ / 遗传系谱图和电泳图谱分析★★★★☆ / 遗传系谱图的分析及概率的计算 / 基因位于染色体上的实验证据
第18讲 遗传综合实验分析,1,生物学必修2 第一章·遗传的细胞基础,生物学必修2,第二章 基因和染色体的关系,fix,探究基因位于常染色体上还是X、Y染色体同源区段上
第19讲 DNA是主要的遗传物质,3,生物学必修1 第四章·物质的输入与输出,生物学必修2,第三章 基因的本质,fix,肺炎链球菌转化实验★★★☆☆ / 噬菌体侵染细菌实验★★★☆☆ / DNA是主要的遗传物质★★★☆☆
第19讲 数列的概念及其表示,5,数学选择性必修第二册 第四章·数列,数学选择性必修第二册,第四章 数列,fix,（2025·新疆喀什·模拟预测）已知数列中，，则 / （2025·四川广安·模拟预测）已知数列满足，， / （2025·江苏苏州·三模）已知数列满足，则（  / （2025·海南海口·模拟预测）若数列满足：，已
第20讲 DNA分子的结构、复制与基因的本质,2,生物学必修2 第三四章·遗传的分子基础·DNA是主要的遗传物质,生物学必修2,第三章 基因的本质,fix,基因的本质★★★☆☆ / DNA的结构及特点★★★☆☆
第20讲 等差数列及其前n项和,7,数学选择性必修第二册 第四章·数列,数学选择性必修第二册,第四章 数列,fix,已知数列，求证:. / （2025·四川成都·一模）在等差数列中，，，则 / （2025·江苏·模拟预测）函数满足：，且．设， / （2025·山西·三模）已知数列的通项公式为，则
第21讲 基因的表达、基因与性状的关系,3,BIOLOGY·综合·综合·核酸是遗传信息的携带者,生物学必修2,第四章 基因的表达,fix,遗传信息的翻译★★★☆☆ / 中心法则的提出及其发展★★★☆☆ / 基因表达与性状的关系★★★☆☆
第22讲 生物的变异,5,生物学必修2 第五六章·变异与进化,生物学必修2,第五章 基因突变及其他变异,fix,育种★★★☆☆ / 预测： / 基因突变与细胞癌变★★★☆☆ / 染色体变异★★★☆☆
第23讲 生物的进化,5,生物学选择性必修3·生物技术与工程,生物学必修2,第六章 生物的进化,fix,隔离在物种形成中的作用★★★☆☆ / 实验：探究抗生素对细菌的选择作用★★☆☆☆ / 结束后，应将耐药菌、培养基、纸片等进行高温灭菌处 / 生物有共同祖先的证据★★★☆☆
第24讲 内环境与稳态,3,生物学选择性必修1 第一章·内环境与稳态,生物学选择性必修1,第一章 内环境与稳态,fix,实验：模拟生物体维持pH的稳定★★☆☆☆ / 内环境的稳态★★★☆☆ / 细胞生活的环境★★★☆☆
第25讲 神经调节,4,生物学选择性必修1 第二章·神经调节·神经调节的结构基础,生物学选择性必修1,第二章 神经调节,keep,兴奋的产生和传导★★★☆☆ / 神经调节的结构基础★★★☆☆ / 神经调节的基本方式★★★☆☆ / 人脑的高级功能★★★☆☆
第27讲 体液调节与神经调节的关系,3,生物学选择性必修1 第二章·神经调节,生物学选择性必修1,第三章 体液调节,fix,水和无机盐平衡的调节★★★★☆ / 预测： / 体液调节和神经调节的区别与联系★★★☆☆
第28讲 免疫调节,2,生物学选择性必修1 第四章·免疫调节·免疫系统的组成和功能,生物学选择性必修1,第四章 免疫调节,keep,免疫系统的组成和功能★★★☆☆ / 特异性免疫★★★★☆
第29讲 免疫失调和免疫学的应用,2,生物学选择性必修1 第四章·免疫调节·免疫失调,生物学选择性必修1,第四章 免疫调节,keep,免疫失调★★★☆☆ / 免疫学的应用★★★☆☆
第30讲 动物生命活动调节的综合分析,2,BIOLOGY·综合·综合,生物学选择性必修1,第二至四章 动物生命活动调节（综合）,fix,膜电位的测量及电表指针偏转的判断★★★☆☆ / 探究动植物生命活动调节实验的思路与方法★★★☆☆
第31讲 植物生命活动调节,5,生物学选择性必修1 第五章·植物生命活动的调节·植物生长调节剂的应用,生物学选择性必修1,第五章 植物生命活动的调节,fix,预测： / 其他植物激素★★★☆☆ / 植物生长素及其生理作用★★★☆☆ / 植物生长调节剂的应用★★★☆☆
第32讲 种群,4,生物学选择性必修2 第一二章·种群与群落·种群数量的变化,生物学选择性必修2,第一章 种群及其动态,fix,预测： / 种群的数量特征★★★☆☆ / 种群数量的变化★★★☆☆ / 实验：培养液中酵母菌种群数量的变化★★★☆☆
第33讲 群落,2,生物学选择性必修2 第一二章·种群与群落·群落的结构,生物学选择性必修2,第二章 群落及其演替,fix,群落的结构★★★☆☆ / 群落的主要类型及群落的演替★★★☆☆
1.1集合的概念,8,数学必修第一册 第一章·集合与常用逻辑用语,数学必修第一册,集合与常用逻辑用语,keep,集合的含义与表示 / 集合中元素的特征 / 集合的分类 / 元素与集合的关系
1.4命题与充要条件,1,数学必修第一册 第一章·集合与常用逻辑用语,数学必修第一册,集合与常用逻辑用语,keep,命题
第九章 统计与成对数据的统计分析·第2节 用样本估计总体,3,数学必修第二册 第九十章（条件概率与正态分布见选择性必修第三册）·概率统计,数学必修第二册,概率统计,keep,百分位数 / 众数、中位数与平均数 / 方差与标准差
第12节 函数模型及其应用,1,数学必修第一册 …指数函数与对数函数,数学必修第一册,指数函数与对数函数,keep,函数模型与增长速度的比较
第05讲 古典概型与概率的基本性质,1,数学必修第二册 …概率统计,数学必修第二册,概率统计,keep,概率的基本性质
化学计算的常用方法,1,化学必修第一册·第一章·物质分类与转化,化学必修第一册,物质分类与转化,keep,差量法
2027版53高考总复习A版·化学精讲册,10,化学必修第一册 第一章·物质分类与转化,化学必修第一册,物质分类与转化,keep,同素异形体 / 单质 / 化合物 / 离子化合物
2027版53高考总复习A版·物理精讲册,1,物理选择性必修第三册 第四五章·近代物理,物理选择性必修第三册,近代物理,keep,第一次人工核反应
解题觉醒,149,,,,keep_per_node,基础类选择题的选项设置陷阱 / 构图法分析复杂文字信息题 / 模式图逻辑链的分析方法 / 坐标图类信息题的变量分析 / 长句应答题的作答方法 / 教材文字迁移类长句题
5·3 B版 分层训练（2027版）视觉转写,179,,,,keep_per_node,线粒体遗传的阈值效应 / 光合产物的运输与转化 / 反推法（代入法）解选择题 / 目的基因的检测与鉴定 / 启动子与终止子的辨析 / 通道蛋白与载体蛋白的辨析
5·3 B版 / 分层训练 等（2027版）,179,,,,keep_per_node,视觉转写新节点（归属逐条写在 boundary 的定位串里）
