subject,pdf_page,content_page,wusan_chapter,wusan_section,renjiao_book,renjiao_chapter,locator
MATH,0031,27,第二章,2.5（续） / 对数函数的图象与性质、反函数、指数幂的化简,必修第一册,第四章,第二章 / 2.5（续）/ 对数函数的图象与性质、反函数、指数幂的化简
MATH,0032,28,第二章,2.5（续） / 对数运算、指数函数的图象与性质,必修第一册,第四章,第二章 / 2.5（续）/ 对数运算、指数函数的图象与性质
MATH,0033,29,第二章,2.5（续） / 对数式与幂指对大小比较,必修第一册,第四章,第二章 / 2.5（续）/ 对数式与幂指对大小比较
MATH,0034,30,第二章,2.6 函数的图象,必修第一册,第三章（函数图象变换）,第二章 / 2.6 函数的图象
MATH,0035,31,第二章,2.6（续） / 作函数图象、识辨图象,必修第一册,第三章,第二章 / 2.6（续）/ 作函数图象、识辨图象
MATH,0036,32,第二章,2.7 函数的零点与方程的根,必修第一册,第四章 指数函数与对数函数,第二章 / 2.7 函数的零点与方程的根
MATH,0037,33,第二章,2.7（续） / 零点所在区间、零点个数、含参零点,必修第一册,第四章,第二章 / 2.7（续）/ 零点所在区间、零点个数、含参零点
MATH,0038,34,第二章,2.8 函数的模型及应用,必修第一册,第四章（函数模型及其应用）,第二章 / 2.8 函数的模型及应用
MATH,0039,35,第二章,2.8（续） / 函数模型的建立与应用,必修第一册,第四章,第二章 / 2.8（续）/ 函数模型的建立与应用
MATH,0040,36,第三章 导数及其应用,考情清单,,,第三章 导数及其应用 / 考情清单
MATH,0041,37,第三章,3.1 导数的概念及运算,选择性必修第二册,第五章 一元函数的导数及其应用,第三章 / 3.1 导数的概念及运算
MATH,0042,38,第三章,3.1（续） / 导数的运算、曲线的切线,选择性必修第二册,第五章,第三章 / 3.1（续）/ 导数的运算、曲线的切线
MATH,0043,39,第三章,3.2 导数与函数的单调性、极值和最值,选择性必修第二册,第五章,第三章 / 3.2 导数与函数的单调性、极值和最值
MATH,0044,40,第三章,3.2（续） / 利用导数求单调区间,选择性必修第二册,第五章,第三章 / 3.2（续）/ 利用导数求单调区间
MATH,0045,41,第三章,3.2（续） / 含参函数单调性讨论、已知单调性求参数,选择性必修第二册,第五章,第三章 / 3.2（续）/ 含参函数单调性讨论、已知单调性求参数
MATH,0046,42,第三章,3.2（续） / 极值、最值问题的一般思路,选择性必修第二册,第五章,第三章 / 3.2（续）/ 极值、最值问题的一般思路
MATH,0047,43,第三章,3.3 导数的综合应用 / 考点1 利用导数证明不等式,选择性必修第二册,第五章,第三章 / 3.3 导数的综合应用 / 考点1 利用导数证明不等式
MATH,0048,44,第三章,3.3（续） / 不等式恒（能）成立问题,选择性必修第二册,第五章,第三章 / 3.3（续）/ 不等式恒（能）成立问题
MATH,0049,45,第三章,3.3（续） / 放缩公式、函数零点,选择性必修第二册,第五章,第三章 / 3.3（续）/ 放缩公式、函数零点
MATH,0050,46,第三章,3.3（续） / 隐零点问题,选择性必修第二册,第五章,第三章 / 3.3（续）/ 隐零点问题
MATH,0051,47,第三章,高考热点 1 三次函数的性质综合,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 1 三次函数的性质综合
MATH,0052,48,第三章,高考热点 1（续） / 三次函数的四类问题,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 1（续）/ 三次函数的四类问题
MATH,0053,49,第三章,高考热点 2 导数中的构造问题 / 类型1 导数中原函数与导函数的混合构造,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 2 导数中的构造问题 / 类型1 导数中原函数与导函数的混合构造
MATH,0054,50,第三章,高考热点 2（续） / 类型2 导数中的指对同构问题,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 2（续）/ 类型2 导数中的指对同构问题
MATH,0055,51,第三章,高考热点 3 导数中的双变量问题 / 类型1 双变量地位等同同构思想,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 3 导数中的双变量问题 / 类型1 双变量地位等同同构思想
MATH,0056,52,第三章,高考热点 3（续） / 根与系数关系代换、变量比值代换,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 3（续）/ 根与系数关系代换、变量比值代换
MATH,0057,53,第三章,高考热点 3（续） / 类型3 极值点偏移,选择性必修第二册,第五章（专题拓展）,第三章 / 高考热点 3（续）/ 类型3 极值点偏移
MATH,0058,54,第四章 三角函数与解三角形,考情清单,,,第四章 三角函数与解三角形 / 考情清单
MATH,0059,55,第四章,4.1 三角函数的概念、同角三角函数的基本关系及诱导公式,必修第一册,第五章 三角函数,第四章 / 4.1 三角函数的概念、同角三角函数的基本关系及诱导公式
MATH,0060,56,第四章,4.1（续） / 三角函数定义、同角关系、诱导公式,必修第一册,第五章,第四章 / 4.1（续）/ 三角函数定义、同角关系、诱导公式
MATH,0061,57,第四章,4.2 三角恒等变换,必修第一册,第五章 三角函数,第四章 / 4.2 三角恒等变换
MATH,0062,58,第四章,4.2（续） / 三角函数式的化简、求值,必修第一册,第五章,第四章 / 4.2（续）/ 三角函数式的化简、求值
MATH,0063,59,第四章,4.3 三角函数的图象与性质,必修第一册,第五章 三角函数,第四章 / 4.3 三角函数的图象与性质
MATH,0064,60,第四章,4.3（续） / 三角函数最值的常见形式、由图象求解析式,必修第一册,第五章,第四章 / 4.3（续）/ 三角函数最值的常见形式、由图象求解析式
MATH,0065,61,第四章,4.3（续） / 图象变换步骤、三角函数的单调性,必修第一册,第五章,第四章 / 4.3（续）/ 图象变换步骤、三角函数的单调性
MATH,0066,62,第四章,4.3（续） / 奇偶性、周期性、对称性,必修第一册,第五章,第四章 / 4.3（续）/ 奇偶性、周期性、对称性
MATH,0067,63,第四章,高考热点 4 三角函数中 $\omega$ 的范围问题,必修第一册,第五章（专题拓展）,第四章 / 高考热点 4 三角函数中 $\omega$ 的范围问题
MATH,0068,64,第四章,高考热点 4（续） / 利用零点、极值求 $\omega$ 的范围,必修第一册,第五章（专题拓展）,第四章 / 高考热点 4（续）/ 利用零点、极值求 $\omega$ 的范围
MATH,0069,65,第四章,4.4 解三角形,必修第二册,第六章 平面向量及其应用（正弦定理、余弦定理）,第四章 / 4.4 解三角形
MATH,0070,66,第四章,4.4（续） / 实际问题中的常用角、正弦余弦定理求基本量、判断三角形形状,必修第二册,第六章,第四章 / 4.4（续）/ 实际问题中的常用角、正弦余弦定理求基本量、判断三角形形状
MATH,0071,67,第四章,4.4（续） / 三角形形状判断的易错点、解的个数,必修第二册,第六章,第四章 / 4.4（续）/ 三角形形状判断的易错点、解的个数
MATH,0072,68,第四章,4.4（续） / 最值与范围问题、实际应用,必修第二册,第六章,第四章 / 4.4（续）/ 最值与范围问题、实际应用
MATH,0073,69,第四章,"高考热点 5 三角形中的""爪型""模型 / 类型1 角平分线模型",必修第二册,第六章（专题拓展）,"第四章 / 高考热点 5 三角形中的""爪型""模型 / 类型1 角平分线模型"
MATH,0074,70,第四章,高考热点 5（续） / 中线模型、高线模型,必修第二册,第六章（专题拓展）,第四章 / 高考热点 5（续）/ 中线模型、高线模型
MATH,0075,71,第五章 平面向量与复数,考情清单,,,第五章 平面向量与复数 / 考情清单
MATH,0076,72,第五章,5.1 平面向量的概念、线性运算、基本定理及坐标表示,必修第二册,第六章 平面向量及其应用,第五章 / 5.1 平面向量的概念、线性运算、基本定理及坐标表示
MATH,0077,73,第五章,5.1（续） / 向量概念、共线向量定理,必修第二册,第六章,第五章 / 5.1（续）/ 向量概念、共线向量定理
MATH,0078,74,第五章,5.1（续） / 平面向量基本定理、坐标运算,必修第二册,第六章,第五章 / 5.1（续）/ 平面向量基本定理、坐标运算
MATH,0079,75,第五章,5.2 平面向量的数量积,必修第二册,第六章 平面向量及其应用,第五章 / 5.2 平面向量的数量积
MATH,0080,76,第五章,5.2（续） / 数量积运算、模、夹角、投影向量,必修第二册,第六章,第五章 / 5.2（续）/ 数量积运算、模、夹角、投影向量
MATH,0081,77,第五章,5.3 复数,必修第二册,第七章 复数,第五章 / 5.3 复数
MATH,0082,78,第五章,5.3（续） / 复数运算的技巧与几何意义,必修第二册,第七章,第五章 / 5.3（续）/ 复数运算的技巧与几何意义
MATH,0083,79,第六章 数列,考情清单,,,第六章 数列 / 考情清单
MATH,0084,80,第六章,6.1 数列的概念及表示,选择性必修第二册,第四章 数列,第六章 / 6.1 数列的概念及表示
MATH,0085,81,第六章,6.1（续） / 数列单调性、最值、通项公式,选择性必修第二册,第四章,第六章 / 6.1（续）/ 数列单调性、最值、通项公式
MATH,0086,82,第六章,6.1（续） / 累加法、累乘法、构造法求通项,选择性必修第二册,第四章,第六章 / 6.1（续）/ 累加法、累乘法、构造法求通项
MATH,0087,83,第六章,6.2 等差数列,选择性必修第二册,第四章 数列,第六章 / 6.2 等差数列
MATH,0088,84,第六章,6.2（续） / 基本量运算、等差数列的判定与证明,选择性必修第二册,第四章,第六章 / 6.2（续）/ 基本量运算、等差数列的判定与证明
MATH,0089,85,第六章,6.2（续） / 前 $n$ 项和最值、等差数列的性质,选择性必修第二册,第四章,第六章 / 6.2（续）/ 前 $n$ 项和最值、等差数列的性质
MATH,0090,86,第六章,6.3 等比数列,选择性必修第二册,第四章 数列,第六章 / 6.3 等比数列
MATH,0091,87,第六章,6.3（续） / 基本量运算、等比数列的判定与证明,选择性必修第二册,第四章,第六章 / 6.3（续）/ 基本量运算、等比数列的判定与证明
MATH,0092,88,第六章,6.3（续） / 等比数列的性质应用,选择性必修第二册,第四章,第六章 / 6.3（续）/ 等比数列的性质应用
MATH,0093,89,第六章,6.4 数列求和 / 考点1 错位相减法求和,选择性必修第二册,第四章,第六章 / 6.4 数列求和 / 考点1 错位相减法求和
MATH,0094,90,第六章,6.4（续） / 裂项相消法,选择性必修第二册,第四章,第六章 / 6.4（续）/ 裂项相消法
MATH,0095,91,第六章,6.4（续） / 考点3 分组、并项法求和,选择性必修第二册,第四章,第六章 / 6.4（续）/ 考点3 分组、并项法求和
MATH,0096,92,第六章,高考热点 6 数列的综合 / 类型1 数列与不等式的综合,选择性必修第二册,第四章（专题拓展）,第六章 / 高考热点 6 数列的综合 / 类型1 数列与不等式的综合
MATH,0097,93,第六章,高考热点 6（续） / 类型3 数列的创新题,选择性必修第二册,第四章（专题拓展）,第六章 / 高考热点 6（续）/ 类型3 数列的创新题
MATH,0098,94,第七章 立体几何与空间向量,考情清单,,,第七章 立体几何与空间向量 / 考情清单
MATH,0099,95,第七章,7.1 空间几何体的结构特征、表面积与体积,必修第二册,第八章 立体几何初步,第七章 / 7.1 空间几何体的结构特征、表面积与体积
MATH,0100,96,第七章,7.1（续） / 结构特征识辨、直观图、展开图,必修第二册,第八章,第七章 / 7.1（续）/ 结构特征识辨、直观图、展开图
MATH,0101,97,第七章,7.1（续） / 表面积与体积,必修第二册,第八章,第七章 / 7.1（续）/ 表面积与体积
MATH,0102,98,第七章,高考热点 7 球的接、切问题 / 类型1 几何体的外接球,必修第二册,第八章（专题拓展）,第七章 / 高考热点 7 球的接、切问题 / 类型1 几何体的外接球
MATH,0103,99,第七章,高考热点 7（续） / 棱切球、叠切球,必修第二册,第八章（专题拓展）,第七章 / 高考热点 7（续）/ 棱切球、叠切球
MATH,0104,100,第七章,7.2 空间点、线、面的位置关系,必修第二册,第八章 立体几何初步,第七章 / 7.2 空间点、线、面的位置关系
MATH,0105,101,第七章,7.2（续） / 位置关系判定、异面直线所成角,必修第二册,第八章,第七章 / 7.2（续）/ 位置关系判定、异面直线所成角
MATH,0106,102,第七章,7.3 直线、平面平行的判定与性质,必修第二册,第八章 立体几何初步,第七章 / 7.3 直线、平面平行的判定与性质
MATH,0107,103,第七章,7.3（续） / 线面平行与面面平行的证明方法,必修第二册,第八章,第七章 / 7.3（续）/ 线面平行与面面平行的证明方法
MATH,0108,104,第七章,7.4 直线、平面垂直的判定与性质,必修第二册,第八章 立体几何初步,第七章 / 7.4 直线、平面垂直的判定与性质
MATH,0109,105,第七章,7.4 直线、平面垂直的判定与性质,必修第二册,第八章 立体几何初步,第七章 / 7.4 直线、平面垂直的判定与性质
MATH,0110,106,第七章,7.4 直线、平面垂直的判定与性质,必修第二册,第八章 立体几何初步,第七章 / 7.4 直线、平面垂直的判定与性质
MATH,0111,107,第七章,高考热点 8 截面与翻折问题,必修第二册,第八章 立体几何初步,第七章 / 高考热点 8 截面与翻折问题
MATH,0112,108,第七章,高考热点 8 截面与翻折问题,必修第二册,第八章 立体几何初步,第七章 / 高考热点 8 截面与翻折问题
MATH,0113,109,第七章,7.5 空间角与空间距离、空间向量及其应用,选择性必修第一册,第一章 空间向量与立体几何,第七章 / 7.5 空间角与空间距离、空间向量及其应用
MATH,0114,110,第七章,7.5 空间角与空间距离、空间向量及其应用,选择性必修第一册,第一章 空间向量与立体几何,第七章 / 7.5 空间角与空间距离、空间向量及其应用
MATH,0115,111,第七章,7.5 空间角与空间距离、空间向量及其应用,选择性必修第一册,第一章 空间向量与立体几何,第七章 / 7.5 空间角与空间距离、空间向量及其应用
MATH,0116,112,第七章,7.5 空间角与空间距离、空间向量及其应用 · 考点 2 空间距离,选择性必修第一册,第一章 空间向量与立体几何,第七章 / 7.5 空间角与空间距离、空间向量及其应用 · 考点 2 空间距离
MATH,0117,113,第七章,7.5 空间角与空间距离、空间向量及其应用 · 考点 2 空间距离,选择性必修第一册,第一章 空间向量与立体几何,第七章 / 7.5 空间角与空间距离、空间向量及其应用 · 考点 2 空间距离
MATH,0118,114,第七章,高考热点 9 立体几何中的存在和动态问题 · 类型 1 存在性问题的探索,必修第二册 第八章 立体几何初步 / 选择性必修第一册,第一章,第七章 / 高考热点 9 立体几何中的存在和动态问题 · 类型 1 存在性问题的探索
MATH,0119,115,第七章,高考热点 9 立体几何中的存在和动态问题 · 类型 2 动态问题的探索,必修第二册 第八章 立体几何初步 / 选择性必修第一册,第一章,第七章 / 高考热点 9 立体几何中的存在和动态问题 · 类型 2 动态问题的探索
MATH,0120,116,第七章,高考热点 9 立体几何中的存在和动态问题,必修第二册 第八章 立体几何初步 / 选择性必修第一册,第一章,第七章 / 高考热点 9 立体几何中的存在和动态问题
MATH,0121,117,第八章 平面解析几何,考情清单,,,第八章 平面解析几何 / 考情清单
MATH,0122,118,第八章 平面解析几何,8.1 直线和圆,选择性必修第一册,第二章 直线和圆的方程,第八章 平面解析几何 / 8.1 直线和圆
MATH,0123,119,第八章 平面解析几何,8.1 直线和圆,选择性必修第一册,第二章 直线和圆的方程,第八章 平面解析几何 / 8.1 直线和圆
MATH,0124,120,第八章 平面解析几何,8.1 直线和圆,选择性必修第一册,第二章 直线和圆的方程,第八章 平面解析几何 / 8.1 直线和圆
MATH,0125,121,第八章 平面解析几何,8.1 直线和圆 · 考点 2 直线和圆、圆和圆的位置关系,选择性必修第一册,第二章 直线和圆的方程,第八章 平面解析几何 / 8.1 直线和圆 · 考点 2 直线和圆、圆和圆的位置关系
MATH,0126,122,第八章 平面解析几何,8.1 直线和圆 · 角度 4~6,选择性必修第一册,第二章 直线和圆的方程,第八章 平面解析几何 / 8.1 直线和圆 · 角度 4~6
MATH,0127,123,第八章 平面解析几何,8.2 椭圆,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.2 椭圆
MATH,0128,124,第八章 平面解析几何,8.2 椭圆,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.2 椭圆
MATH,0129,125,第八章 平面解析几何,8.2 椭圆（考点 1 椭圆的定义和标准方程 · 考点 2 椭圆的几何性质）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.2 椭圆（考点 1 椭圆的定义和标准方程 · 考点 2 椭圆的几何性质）
MATH,0130,126,第八章 平面解析几何,8.2 椭圆（考点 2 椭圆的几何性质 · 角度 1 求椭圆的离心率 · 角度 2 求离心率的最值（范围））,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.2 椭圆（考点 2 椭圆的几何性质 · 角度 1 求椭圆的离心率 · 角度 2 求离心率的最值（范围））
MATH,0131,127,第八章 平面解析几何,8.3 双曲线（知识清单 · 知识点 1 双曲线的定义 · 知识点 2 双曲线的标准方程及几何性质）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.3 双曲线（知识清单 · 知识点 1 双曲线的定义 · 知识点 2 双曲线的标准方程及几何性质）
MATH,0132,128,第八章 平面解析几何,8.3 双曲线（考点 1 双曲线的定义和标准方程 · 角度 1 求双曲线的方程 · 角度 2 焦点三角形问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.3 双曲线（考点 1 双曲线的定义和标准方程 · 角度 1 求双曲线的方程 · 角度 2 焦点三角形问题）
MATH,0133,129,第八章 平面解析几何,8.3 双曲线（考点 2 双曲线的几何性质 · 角度 1 渐近线 · 角度 2 离心率）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.3 双曲线（考点 2 双曲线的几何性质 · 角度 1 渐近线 · 角度 2 离心率）
MATH,0134,130,第八章 平面解析几何,8.4 抛物线（知识清单 · 知识点 1 抛物线的定义 · 知识点 2 抛物线的标准方程与几何性质）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.4 抛物线（知识清单 · 知识点 1 抛物线的定义 · 知识点 2 抛物线的标准方程与几何性质）
MATH,0135,131,第八章 平面解析几何,8.4 抛物线（考点 1 抛物线的定义和标准方程 · 考点 2 抛物线的几何性质）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.4 抛物线（考点 1 抛物线的定义和标准方程 · 考点 2 抛物线的几何性质）
MATH,0136,132,第八章 平面解析几何,8.5 直线与圆锥曲线的位置关系（考点 1 直线与圆锥曲线的位置关系 · 考点 2 弦长与面积问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.5 直线与圆锥曲线的位置关系（考点 1 直线与圆锥曲线的位置关系 · 考点 2 弦长与面积问题）
MATH,0137,133,第八章 平面解析几何,8.5 直线与圆锥曲线的位置关系（考点 2 弦长与面积问题 · 考点 3 定点、定值与定线问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.5 直线与圆锥曲线的位置关系（考点 2 弦长与面积问题 · 考点 3 定点、定值与定线问题）
MATH,0138,134,第八章 平面解析几何,8.5 直线与圆锥曲线的位置关系（考点 3 定点、定值与定线问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 8.5 直线与圆锥曲线的位置关系（考点 3 定点、定值与定线问题）
MATH,0139,135,第八章 平面解析几何,高考热点 10 轨迹问题（类型 1 常规曲线的轨迹问题 · 类型 2 非常规曲线的轨迹问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 高考热点 10 轨迹问题（类型 1 常规曲线的轨迹问题 · 类型 2 非常规曲线的轨迹问题）
MATH,0140,136,第八章 平面解析几何,高考热点 11 圆锥曲线中的最值与范围问题（类型 1 圆锥曲线中的最值问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 高考热点 11 圆锥曲线中的最值与范围问题（类型 1 圆锥曲线中的最值问题）
MATH,0141,137,第八章 平面解析几何,高考热点 11 圆锥曲线中的最值与范围问题（类型 2 圆锥曲线中的范围问题）,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 高考热点 11 圆锥曲线中的最值与范围问题（类型 2 圆锥曲线中的范围问题）
MATH,0142,138,第八章 平面解析几何,高考热点 12 圆锥曲线中的存在性（探索性）问题,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 高考热点 12 圆锥曲线中的存在性（探索性）问题
MATH,0143,139,第八章 平面解析几何,高考热点 12 圆锥曲线中的存在性（探索性）问题,选择性必修第一册,第三章 圆锥曲线的方程,第八章 平面解析几何 / 高考热点 12 圆锥曲线中的存在性（探索性）问题
MATH,0144,140,第九章 计数原理,9.1 计数原理、排列与组合（知识清单 · 知识点 1 两个计数原理 · 知识点 2 排列与组合）,选择性必修第三册,第六章 计数原理,第九章 计数原理 / 9.1 计数原理、排列与组合（知识清单 · 知识点 1 两个计数原理 · 知识点 2 排列与组合）
MATH,0145,,广告插页（无章节归属）,,不适用,,广告插页（无章节归属）
MATH,0146,141,第九章 计数原理,9.1 计数原理、排列与组合（考点 1 两个计数原理的应用 · 考点 2 排列组合问题）,选择性必修第三册,第六章 计数原理,第九章 计数原理 / 9.1 计数原理、排列与组合（考点 1 两个计数原理的应用 · 考点 2 排列组合问题）
MATH,0147,142,第九章 计数原理,9.1 计数原理、排列与组合（角度 1 排列的常见模型 · 角度 2 组合的常见模型 · 角度 3 分组与分配问题）,选择性必修第三册,第六章 计数原理,第九章 计数原理 / 9.1 计数原理、排列与组合（角度 1 排列的常见模型 · 角度 2 组合的常见模型 · 角度 3 分组与分配问题）
MATH,0148,143,第九章 计数原理,9.2 二项式定理（知识清单 · 知识点 1 二项式定理 · 知识点 2 二项式系数的性质）,选择性必修第三册,第六章 计数原理,第九章 计数原理 / 9.2 二项式定理（知识清单 · 知识点 1 二项式定理 · 知识点 2 二项式系数的性质）
MATH,0149,144,第九章 计数原理,9.2 二项式定理（角度 1 二项展开式中的特定项和特定项的系数 · 角度 2 二项式系数和与各项系数和）,选择性必修第三册,第六章 计数原理,第九章 计数原理 / 9.2 二项式定理（角度 1 二项展开式中的特定项和特定项的系数 · 角度 2 二项式系数和与各项系数和）
MATH,0150,145,第十章 概率,考情清单与综合分析,必修第二册 第十章 概率；选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 考情清单与综合分析
MATH,0151,146,第十章 概率,10.1 随机事件、古典概型、条件概率与全概率公式,必修第二册,第十章 概率,第十章 概率 / 10.1 随机事件、古典概型、条件概率与全概率公式
MATH,0152,147,第十章 概率,10.1 随机事件、古典概型、条件概率与全概率公式,必修第二册,第十章 概率,第十章 概率 / 10.1 随机事件、古典概型、条件概率与全概率公式
MATH,0153,148,第十章 概率,10.1 随机事件、古典概型、条件概率与全概率公式（考点清单）,必修第二册,第十章 概率,第十章 概率 / 10.1 随机事件、古典概型、条件概率与全概率公式（考点清单）
MATH,0154,149,第十章 概率,10.1 随机事件、古典概型、条件概率与全概率公式（考点清单）,必修第二册,第十章 概率,第十章 概率 / 10.1 随机事件、古典概型、条件概率与全概率公式（考点清单）
MATH,0155,150,第十章 概率,10.2 离散型随机变量及其分布列、均值、方差,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.2 离散型随机变量及其分布列、均值、方差
MATH,0156,151,第十章 概率,10.2 离散型随机变量及其分布列、均值、方差（考点清单）,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.2 离散型随机变量及其分布列、均值、方差（考点清单）
MATH,0157,152,第十章 概率,10.2 离散型随机变量及其分布列、均值、方差（考点清单）,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.2 离散型随机变量及其分布列、均值、方差（考点清单）
MATH,0158,153,第十章 概率,10.3 二项分布、超几何分布及正态分布,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.3 二项分布、超几何分布及正态分布
MATH,0159,154,第十章 概率,10.3 二项分布、超几何分布及正态分布,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.3 二项分布、超几何分布及正态分布
MATH,0160,155,第十章 概率,10.3 二项分布、超几何分布及正态分布（考点清单）,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.3 二项分布、超几何分布及正态分布（考点清单）
MATH,0161,156,第十章 概率,10.3 二项分布、超几何分布及正态分布（考点清单）,选择性必修第三册,第七章 随机变量及其分布,第十章 概率 / 10.3 二项分布、超几何分布及正态分布（考点清单）
