subject,slug,material_slug,current_node_slug,suggested_node_slug,verdict,evidence,slice
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-005,免疫系统的组成和功能,,NONE,正文：「1. 概念——抗原：可使机体产生特异性免疫反应的物质；抗体：机体受抗原刺激后产生的并能与该抗原发生特异性结合的免疫球蛋白；细胞因子：由多种细胞，特别是免疫细胞所产生的小分子蛋白质，在免疫细胞分化发育等方面发挥重要作用」——材料是抗原/抗体/细胞因子三概念对比表（每行以抗原领衔），其中抗原、抗体在库内各有独立节点，材料无单一首要对象 ⇒ 留人工（宜按概念拆条或另行定节点）,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-006,免疫系统的组成和功能,,NONE,正文：「1. 分布——抗原：既可以游离，也可存在于细菌、病毒等病原微生物以及细胞上；抗体：主要分布于血清，也分布于组织液和外分泌液中；细胞因子：分布于组织间隙和体液（多数）、细胞的表面（少数）」——同 bio-mo-immunity-005 的续表（分布、举例两行仍以抗原领衔），三概念并列无首要对象 ⇒ 留人工,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-007,免疫系统的组成和功能,非特异性免疫,REBIND,材料正文原句：「1. 唾液、泪液、胃液具有一定的杀菌作用，但都不是体液，而属于黏膜的分泌物，是第一道防线。」——对象是黏膜分泌物属第一道防线、体液中的溶菌酶属第二道防线，即非特异性免疫；现库有『非特异性免疫』节点,slice-05
BIOLOGY,免疫系统的组成和功能,bio-tumor-immunology-pd1,免疫系统的组成和功能,,NONE,正文：「2. 结合作用：PD-L1 与 PD-1 结合→给 T 细胞传递抑制信号→T 细胞不能分泌细胞因子、不杀癌细胞→免疫逃逸、肿瘤进展。」——对象是肿瘤免疫逃逸的分子机制与 PD-1/PD-L1 抗体阻断思路，不是免疫系统的组成/分工；现节点边界（组成、分工、辅助性T细胞）不含此内容，候选『免疫学的应用』（免疫治疗，现边界为器官移植/排斥）与『免疫失调』（三类失调）都框不住，无更优现节点 ⇒ 留人工（宜新建「肿瘤免疫逃逸/免疫治疗」节点）,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-26746c92ba-122b,免疫系统的组成和功能,,KEEP,正文：「辅助性T细胞在体液免疫和细胞免疫中都起关键性作用，既参与B细胞的活化，也参与细胞毒性T细胞的活化（通过分泌细胞因子）。」——以两类免疫的配合与辅助性T细胞的衔接作用为对象，与节点边界「强调辅助性T细胞在衔接两类免疫中的作用」逐字对应,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-26746c92ba-124,免疫系统的组成和功能,,KEEP,正文：「1. 对外：免疫系统对外可消灭入侵的病原微生物，此为免疫防御。」——以三大功能的内外强弱模型为对象，属免疫功能面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-2907715275-001c,免疫系统的组成和功能,,KEEP,正文：「淋巴细胞只包括 **T 细胞和 B 细胞**；巨噬细胞、树突状细胞等虽然参与免疫，但**不属于淋巴细胞**。」——以免疫细胞的来源与成熟场所（T细胞—胸腺、B细胞—骨髓）及抗原呈递细胞为对象，正是该节点的组成与分工面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-2907715275-002c,免疫系统的组成和功能,,KEEP,正文：「**抗原呈递细胞（APC）**包括 **B 细胞、树突状细胞和巨噬细胞**，能摄取、加工处理抗原并把抗原信息呈递给辅助性 T 细胞。」——以抗原呈递细胞的种类为对象，与该节点边界「树突状细胞与巨噬细胞承担抗原处理和呈递」逐字对应；后半的三道防线为其邻近面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-2907715275-007,免疫系统的组成和功能,,KEEP,正文：「免疫活性物质是指由**免疫细胞或其他细胞**产生的、发挥免疫作用的物质，包括**细胞因子、抗体、溶菌酶**等。」——以免疫活性物质的来源与种类为对象，免疫活性物质是该节点的组成部分,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-2907715275-009b,免疫系统的组成和功能,,KEEP,正文：「免疫系统有三大功能，含义不同：」——以免疫防御/自稳/监视三大功能的区分为对象，正是节点名中的「功能」面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-2907715275-010b,免疫系统的组成和功能,,KEEP,正文：「免疫系统具有三大基本功能：」——以三大基本功能及其异常为对象，属免疫功能面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-94a83ecf21-001,免疫系统的组成和功能,,KEEP,正文：「## 一、免疫器官（免疫细胞生成、成熟或集中分布的场所）」——以免疫器官/免疫细胞/免疫活性物质三部分的组成与分工为对象，逐字对上节点边界,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-9752acd916-105,免疫系统的组成和功能,,KEEP,正文：「免疫系统的功能按对内、对外两条线判断，每条线再看过强、过弱：」——以三大功能的判断口径为对象，属免疫功能面,slice-05
BIOLOGY,免疫系统的组成和功能,ext-bio-cfff2e6c9b-002d,免疫系统的组成和功能,,KEEP,正文：「唯一能分泌抗体的免疫细胞是浆细胞；唯一不能识别抗原的免疫细胞是浆细胞；唯一能识别抗原但不具有特异性的免疫细胞是吞噬细胞。」——以浆细胞与吞噬细胞的识别/分泌特点为对象，属节点边界「免疫系统各组分之间的分工与配合」,slice-05
BIOLOGY,免疫系统的组成和功能,wusan-bio-v-d9b6bb60,免疫系统的组成和功能,,KEEP,正文：「①免疫器官：骨髓是各种免疫细胞的发生地；胸腺是T细胞分化、发育、成熟的场所；脾在胃的左侧，含大量淋巴细胞，也参与制造新的血细胞与清除衰老的血细胞。」——以免疫系统三部分（器官/细胞/活性物质）与抗原抗体辨析为对象，属该节点,slice-05
BIOLOGY,分离定律的特殊类型,ext-bio-636de2a928-030,分离定律的特殊类型,,KEEP,材料讲的是分离定律的一类特殊情形：「正反交 F₁ 颜色出现差异，且该遗传方式为母性影响——影响子代表型的仍旧是核基因，母本的核基因使子代表型推迟一代表现出来」；同节点已有「细胞质基因与细胞核基因共同决定雄性不育」「从性遗传与伴性遗传的区别」等特殊情况材料。｜材料正文原句（materials[9]）,slice-06
BIOLOGY,原核细胞和真核细胞,bio-mo-cell-010,原核细胞和真核细胞,,KEEP,首句主语即节点概念：「原核细胞与真核细胞的主要区别是有无以核膜为界限的细胞核」；全篇讲两类细胞的划分与归类（真核生物/原核生物举例），是节点的定义面。｜材料正文原句（slice-06.json materials[0]）,slice-06
BIOLOGY,密码子,ext-bio-2e2f39614d-004,密码子,,KEEP,材料讲密码子自身的属性而非旁支：「每种氨基酸对应一种或多种密码子，这种现象称为密码子的简并性」；同节点既有「密码子的简并性」「密码子的简并性及其意义」两条同面材料。｜材料正文原句（materials[2]）,slice-06
BIOLOGY,激素,bio-adrenal-cortex-glucocorticoid,激素,,KEEP,正文：「糖皮质激素（皮质醇）作用：促进蛋白质/脂肪分解转化为糖（糖异生）→升高血糖；与肾上腺素协同（应激状态）。」——以糖皮质激素（皮质醇）的分泌部位与升血糖作用为对象，属激素与内分泌系统的激素功能面（库内无更细的糖皮质激素节点）,slice-05
BIOLOGY,激素,bio-fx-hormone-target-specificity,激素,,KEEP,正文：「2. 靶细胞膜上或胞内存在特异性受体，激素与之识别并结合才起作用。」——以激素经体液运输、只与含受体的靶细胞结合并失活为对象，属激素作用方式面,slice-05
BIOLOGY,激素,bio-fx-judge-hormone-biuret,激素,,KEEP,正文：「2. 提示：蛋白质（肽类）激素如胰岛素、生长激素可用双缩脲试剂检测。」——以激素化学本质与双缩脲检测为对象，属激素概念面,slice-05
BIOLOGY,激素,bio-growth-hormone-gh,激素,,KEEP,正文：「生长激素（GH）：促进细胞生长与增殖（尤其软骨）与蛋白质合成；幼年不足→侏儒症（身材矮小但智力正常）、幼年过多→巨人症、成年过多→肢端肥大症。」——以生长激素的分泌部位、作用与分泌异常为对象，属激素功能面（库内无更细的生长激素节点）,slice-05
BIOLOGY,激素,bio-hypothalamus-glucose-center,激素,,NONE,正文：「血糖调节中枢位于下丘脑：血糖变化→下丘脑通过神经（副交感/交感）作用于胰岛 B 细胞（胰岛素）与胰岛 A 细胞（胰高血糖素）、肾上腺。」——对象是血糖的神经调节路径（下丘脑→神经→胰岛A/B细胞、肾上腺），不是激素的概念/发现史/研究方法/分级调节（现节点边界四项）；全库检索「血糖」只命中『胰岛素』『胰高血糖素』『水和无机盐平衡的调节』等，无「血糖平衡的调节」节点可指 ⇒ 留人工（宜新建该节点）,slice-05
BIOLOGY,激素,bio-injection-method-scope,激素,,KEEP,正文：「注射法直接把激素注入体内观察生理效应；适合蛋白质、多肽类等会被消化道分解的激素。」——以注射法（研究激素的方法）为对象,slice-05
BIOLOGY,激素,bio-kb2-26-hormone-synergy-antagonism,激素,,KEEP,正文：「拮抗：胰岛素与胰高血糖素（或肾上腺素）在血糖调节上作用相抗衡。」——以激素间的协同与拮抗为对象，属激素作用关系面,slice-05
BIOLOGY,激素,bio-kb2-26-secretin-discovery,激素,,KEEP,正文：「促胰液素由小肠黏膜分泌，作用于胰腺，促进胰液（胰腺外分泌）的分泌。」——以促胰液素的发现过程为对象，属激素发现史面,slice-05
BIOLOGY,激素,bio-mo-hormone-012,激素,,KEEP,正文：「2. 内分泌腺没有导管，内分细胞产生的激素弥散到体液中，随血液到全身，传递着各种信息，因此，临床上通过抽取血样来检测内分泌系统肿激素的水平。」——以激素的分泌、运输与靶细胞识别为对象，属激素概念与作用面,slice-05
BIOLOGY,激素,bio-mo-hormone-015,激素,,KEEP,正文：「1. （1）分级调节：是一种分层控制的方式，属于反馈调节的一部分，如下丘脑分泌激素控制垂体活动，垂体分泌激素控制相关腺体活动。」——以分级调节与反馈调节为对象，对上节点边界的分级调节面,slice-05
BIOLOGY,激素,bio-mo-hormone-017,激素,,KEEP,正文：「1. 化学本质——动物激素：蛋白质类或多肽类、氨基酸衍生物类、固醇类；酶：蛋白质或RNA；神经递质：主要是小分子化合物」——以动物激素（领衔列）的化学本质、产生部位与作用为对象，属激素概念面,slice-05
BIOLOGY,激素,bio-mo-hormone-018,激素,,KEEP,正文：「1. 作用部位——动物激素：靶细胞、靶器官；酶：细胞内外；神经递质：突触后膜」——同 bio-mo-hormone-017 的续表，仍以动物激素领衔，属激素概念面,slice-05
BIOLOGY,激素,bio-mo-hormone-019,激素,,KEEP,正文：「1. （1）激素的靶细胞既可以是其他细胞，也可以是分泌激素的自身细胞信号分子发挥作用的三种类型：（2）激素只作用于靶细胞（因只有靶细胞的细胞膜上或细胞内才有其受体），但激素分泌后会广泛运输或弥散于体液中，并非“只运输给”靶细胞。」——以激素的靶细胞与「不只运输给靶细胞」为对象，属激素作用方式面,slice-05
BIOLOGY,激素,ext-bio-2b9586914c-001,激素,,KEEP,正文：「下丘脑释放促肾上腺皮质激素释放激素 → 作用于垂体 → 促进垂体分泌促肾上腺皮质激素 → 作用于肾上腺 → 增强其分泌功能，体现激素的分级调节。」——以下丘脑→垂体→肾上腺的分级调节为对象，对上节点边界「以下丘脑—垂体—肾上腺轴为例理解激素的分级调节」,slice-05
BIOLOGY,激素,ext-bio-2b9586914c-004,激素,,KEEP,正文：「皮质醇的分泌主要受“下丘脑—垂体—肾上腺皮质”（HPA 轴）的调节，这是从上而下的逐级激活活动，具有分级调节机制；当血液中皮质醇含量增加到一定程度时，会通过负反馈调节抑制下丘脑和垂体分泌相关激素，以维持激素水平的稳定。」——以皮质醇的 HPA 轴分级调节与负反馈为对象（末段瘦素分析为其附属）,slice-05
BIOLOGY,激素,ext-bio-4a138bdd58-003b,激素,,KEEP,正文：「2. **激素不一定都由内分泌腺产生**：有的结构不是内分泌腺但也可产生激素 如下丘脑神经内分泌细胞分泌的抗利尿激素。」——以激素的化学本质、受体位置、靶器官靶细胞等八个易错为对象，属激素概念面,slice-05
BIOLOGY,激素,wusan-bio-v-d17b0c83,激素,,KEEP,正文：「③研究激素的常用方法：切除法（减法原理，对照组不切除或做假手术）、饲喂法（加法原理，适用于甲状腺激素、性激素等）和注射法（加法原理，适用于各种激素）；实验设计思路为取材分组→变量处理→培养、观察、记录→得出结论。」——以促胰液素的发现史与研究激素的常用方法为对象，逐字对上节点边界「了解动物激素的发现史与研究激素的常用方法」,slice-05
BIOLOGY,特异性免疫,ext-bio-9752acd916-104,特异性免疫,,KEEP,材料正是节点边界明写的判断视角：「判断某过程属于体液免疫还是细胞免疫，用三看法逐层排除」，节点边界即「判断免疫类型时可从参与细胞、效应途径和涉及物质几个视角综合区分」；同节点已有「三看法区分体液免疫和细胞免疫」。｜材料正文原句（materials[7]）,slice-06
BIOLOGY,环境因素参与调节植物的生命活动,bio-kb3-f1-s1-1-n03,环境因素参与调节植物的生命活动,细胞学说,REBIND,材料通篇讲细胞学说：「细胞学说揭示了动物和植物的统一性，从而阐明了生物界的统一性。未涉及生物界的多样/差异性。」；现绑节点「环境因素参与调节植物的生命活动」是选必1 第五章植物生命活动的调节（温度、重力、光信号），与细胞学说无关；包内节点 细胞学说（生物学必修1·第一章·细胞与生命活动）边界即「细胞学说要点，及其对理解动植物结构统一性的意义」。｜材料正文原句（materials[8]）,slice-06
BIOLOGY,细胞中的脂质,bio-fj-02-lipid-element-function,细胞中的脂质,,KEEP,正文：「2. 功能定位：储能物质（脂肪）和膜结构成分（磷脂）。」——以脂质元素组成与功能定位为对象,slice-05
BIOLOGY,细胞中的脂质,bio-fj-03-blood-glucose-to-triglyceride,细胞中的脂质,糖类和脂质的相互转化,REBIND,材料正文原句：「3. 这体现了糖类在供应充足时可大量转化为脂肪。」——对象是糖类→脂肪的转化方向与条件（血糖→甘油三酯储存），不是脂质的分类/元素/功能；现库有『糖类和脂质的相互转化』节点（同主题另有『糖类和脂肪的转化』，二者需人工择一）,slice-05
BIOLOGY,细胞中的脂质,bio-fj-03-lipid-elements-traits,细胞中的脂质,,KEEP,正文：「1. 组成元素：主要是C、H、O，磷脂还含N、P。」——以脂质元素组成与理化特点为对象,slice-05
BIOLOGY,细胞中的脂质,bio-fj-03-phospholipid-membrane,细胞中的脂质,,KEEP,正文：「2. 磷脂是所有细胞（包括原核细胞）必不可少的脂质。」——以磷脂是生物膜的重要成分为对象，磷脂属脂质,slice-05
BIOLOGY,细胞中的脂质,bio-kb-fat-structure-and-functions,细胞中的脂质,,KEEP,正文：「1. 组成：三分子脂肪酸＋一分子甘油；元素为C、H、O。」——以脂肪的组成与储能/保温/缓冲功能为对象，属脂质的分类与功能面,slice-05
BIOLOGY,细胞中的脂质,bio-kb-fat-vs-sugar-as-main-energy,细胞中的脂质,,KEEP,正文：「1. 等量脂肪比糖类含能量多，但脂肪在细胞内的氧化速率慢，耗氧量大。」——以脂肪为何不是主要能源物质为对象，属脂质功能辨析,slice-05
BIOLOGY,细胞中的脂质,bio-kb-lipid-elements-and-solubility,细胞中的脂质,,KEEP,正文：「3. 物性：通常不溶于水，而溶于脂溶性有机溶剂。」——以脂质的元素组成与溶解性为对象，正是该节点边界第1、2条,slice-05
BIOLOGY,细胞中的脂质,bio-kb-sterol-types-functions,细胞中的脂质,,KEEP,正文：「1. 胆固醇：构成动物细胞膜的重要成分，参与人体血液中脂质的运输。」——以固醇三分（胆固醇/性激素/维生素D）为对象，固醇属脂质,slice-05
BIOLOGY,细胞中的脂质,bio-kb2-03-phospholipid-function,细胞中的脂质,,KEEP,正文：「磷脂是构成所有细胞生物膜的重要成分，在脑、卵细胞、肝脏及大豆种子中含量丰富；」——以磷脂是所有细胞必不可少的脂质为对象，属脂质分类中的磷脂面,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n10,细胞中的脂质,,KEEP,正文：「与糖类不同的是，脂质分子中氧含量远远低于糖类，而氢的含量更高。」——以脂质存在于所有细胞及其元素特点为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n11,细胞中的脂质,,KEEP,正文：「常见的脂质有脂肪、磷脂、固醇三种，其中脂肪是最常见的脂质。」——以脂质的三分类为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n12,细胞中的脂质,,KEEP,正文：「脂肪的组成元素是C、H、O，是由三分子脂肪酸与一分子甘油发生反应而形成的酯，即三酰甘油（又称甘油三酯）。」——以脂肪的组成元素与结构为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n13,细胞中的脂质,,KEEP,正文：「脂肪的作用：是细胞内良好的储能物质；是一种很好的绝热体，起到保温作用；具有缓冲减压的作用，可以保护内脏器官。」——以脂肪的三项作用为对象，属脂质功能,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n14,细胞中的脂质,,KEEP,正文：「磷脂是构成细胞膜和细胞器膜的重要成分。」——以磷脂与脂肪的结构差异为对象，属脂质分类的结构辨析,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f2-s2-3-n16,细胞中的脂质,,KEEP,正文：「胆固醇是构成动物细胞膜的重要成分，在人体内还参与血液中脂质的运输；性激素能促进人和动物生殖器官的发育以及生殖细胞的形成；」——以胆固醇、性激素、维生素D三种固醇为对象，固醇属脂质,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f3-s3-1-n09,细胞中的脂质,细胞膜成分和结构的探究历程,REBIND,材料正文原句：「科学家研究发现细胞的表面张力明显低于油-水界面的表面张力，由此推测细胞膜除了含脂质分子外，可能还附有蛋白质。」——对象是对细胞膜成分的探索（由油-水界面表面张力差推出膜含蛋白质），属『细胞膜成分和结构的探究历程』（边界「1.对细胞膜成分的探索」），不是脂质的组成/分类/功能,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n01,细胞中的脂质,,KEEP,正文：「脂质功能：脂质存在于所有细胞中，是组成细胞和生物体的重要有机化合物。」——以脂质的功能与存在为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n02,细胞中的脂质,,KEEP,正文：「脂质元素组成：主要由C、H、O组成，有些脂质还含有N、P。」——以脂质元素组成为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n03,细胞中的脂质,,KEEP,正文：「(1)相对于糖类，脂质分子氧的含量低，氢的含量高。」——以脂质分子特点与溶解性为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n04,细胞中的脂质,,KEEP,正文：「脂质的分类和功能。」——以脂质分类与功能起头为对象（正文仅起头，属碎片级切分，质量层面另见规范§4.3）,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n05,细胞中的脂质,,KEEP,正文：「元素组成：结构组成；C、H、O：①脂肪是由三分子脂肪酸与一分子甘油发生反应而形成的酯，即三酰甘油(又称甘油三酯)。」——以脂肪（三酰甘油）的构成与元素组成为对象，属脂质结构组成,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n06,细胞中的脂质,,KEEP,正文：「C、H、O：②脂肪酸可以分为不饱和脂肪酸(植物脂肪大多含有此种脂肪酸，在室温时呈液态)和饱和脂肪酸(大多数动物脂肪含有此种脂肪酸，室温时呈固态)。」——以脂肪酸的饱和/不饱和分类为对象，属脂肪结构组成,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n07,细胞中的脂质,,KEEP,正文：「元素组成：功能；C、H、O：①细胞内良好的储能物质；②很好的绝热体，有保温作用；③能缓冲和减压，可以保护内脏器官。」——以脂肪的三项功能为对象，属脂质功能,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n08,细胞中的脂质,,KEEP,正文：「元素组成：分布；C、H、O：大量存在于某些植物的种子、果实及动物体的脂肪组织中。」——以脂肪的分布为对象，属脂质分布面,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n09,细胞中的脂质,,KEEP,正文：「元素组成：结构组成；C、H、O、P、N：甘油、脂肪酸、磷酸及其他衍生物结合构成。」——以磷脂的构成（甘油+脂肪酸+磷酸）为对象，属脂质结构组成,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n10,细胞中的脂质,,KEEP,正文：「元素组成：功能；C、H、O、P、N：构成细胞膜以及多种细胞器膜的重要成分。」——以磷脂构成生物膜的功能为对象,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n11,细胞中的脂质,,KEEP,正文：「元素组成：分布；C、H、O、P、N：在人和动物的脑、卵细胞、肝脏以及大豆的种子中含量丰富。」——以磷脂的分布为对象，属脂质分布面,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n12,细胞中的脂质,,KEEP,正文：「元素组成：种类及功能；C、H、O：胆固醇；①构成动物细胞膜的重要成分；②在人体内参与血液中脂质的运输。」——以胆固醇的两项功能为对象，属脂质种类及功能,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n13,细胞中的脂质,,KEEP,正文：「元素组成：种类及功能；C、H、O：性激素；促进人和动物生殖器官的发育以及生殖细胞的形成。」——以性激素的功能为对象，属脂质种类及功能,slice-05
BIOLOGY,细胞中的脂质,bio-kb3-f4-s11-n14,细胞中的脂质,,KEEP,正文：「元素组成：种类及功能；C、H、O：维生素D；能有效地促进人和动物肠道对钙和磷的吸收。」——以维生素D的功能为对象，属脂质种类及功能,slice-05
BIOLOGY,细胞中的脂质,bio-mo-cell-037,细胞中的脂质,,KEEP,正文：「1. 常见的脂质有脂肪、磷脂和固醇等。」——以脂质三分类及其功能为对象,slice-05
BIOLOGY,细胞中的脂质,bio-mo-cell-040,细胞中的脂质,,KEEP,正文：「2. 脂肪是由三分子脂肪酸与一分子甘油发生反应而形成的酯，即三酰甘油（又称甘油三酯）。」——以脂肪的分子构成为对象，属脂质结构,slice-05
BIOLOGY,细胞中的脂质,bio-mo-cell-042,细胞中的脂质,,KEEP,正文：「1. ①相对于糖类分子，脂肪分子中H的比例高，而O的比例小。」——以脂肪与糖类的元素差异及供能后果为对象，属脂质功能辨析,slice-05
BIOLOGY,细胞中的脂质,bio-mo-cell-046,细胞中的脂质,,KEEP,正文：「2. 所以，对于生物体的生命活动而言，糖类和脂肪都可以作为储备能源，但是糖类是生物体生命活动利用的主要能源物质。」——以糖类与脂肪的供能对比为对象，落点是脂肪不是主要能源物质，属脂质功能辨析,slice-05
BIOLOGY,细胞中的脂质,bio-mo-cell-236,细胞中的脂质,,KEEP,正文：「1. 植物脂肪大多数含有不饱和脂肪酸，在室温时呈液态，而大多数动物脂肪含有饱和脂肪酸，室温时呈固态。」——以脂肪/磷脂/胆固醇的功能与脂肪酸类型为对象，属脂质分类与功能,slice-05
