subject,point_slug,prereq_slug,verdict,reason
MATH,指数函数的图象与性质应用,指数函数及其性质,valid,应用建立于图象与性质
MATH,对数函数的图象与性质应用,对数函数图象的常用结论,valid,图象识别应用建立于图象结论
MATH,指数,抽象函数的性质综合,unrelated,不同章节无关
MATH,指数函数,指数不等式,inverted,不等式建立于指数函数，实际函数在先
MATH,对数,存在量词与存在量词命题,unrelated,逻辑用语与对数无关
MATH,对数函数,对数与对数运算,valid,对数函数建立于对数概念
MATH,换底公式,指数幂运算的一般原则,unrelated,换底公式由对数定义推得
MATH,对数运算,对数混合运算的一般原则,inverted,混合运算原则建立在运算法则上
MATH,指数不等式,指数,unrelated,中间隔指数函数，无直接前置
MATH,任意角与弧度制,二次函数在闭区间上的最值问题,unrelated,不同章节无关
MATH,三角函数的定义,三角函数的图象与性质,inverted,图象与性质建立于定义
MATH,同角三角函数的基本关系,双曲线的离心率,unrelated,圆锥曲线与三角无关
MATH,诱导公式,解三角形的实际应用,unrelated,解三角形在后无关
MATH,三角函数的图象与性质,三角函数的值域与最值,inverted,值域最值由图象得出，实际图象在先
MATH,正弦函数,正切函数,unrelated,正弦正切平行
MATH,余弦函数,任意角与弧度制,unrelated,中间隔三角函数定义，无直接前置
MATH,正切函数,椭圆的离心率,unrelated,三角函数与圆锥曲线不同章无关
MATH,三角函数的值域与最值,一元二次不等式,unrelated,值域主要依赖三角函数性质非其前提
MATH,三角恒等变换,三角形面积公式,unrelated,面积公式是解三角形后置工具非前提
MATH,两角和与差的公式,两条直线的位置关系,unrelated,直线位置关系与和差公式无关
MATH,二倍角公式,为奇函数,unrelated,奇偶性与二倍角公式无关
MATH,正弦定理,正弦函数,valid,正弦定理依赖正弦函数概念与性质
MATH,余弦定理,余弦函数,valid,余弦定理依赖余弦函数概念与性质
MATH,三角形面积公式,三角函数的定义,valid,三角形面积公式由三角函数定义导出
MATH,边角互化,诱导公式,valid,边角互化角度运算依赖诱导公式
MATH,解三角形的实际应用,绝对值不等式,unrelated,绝对值不等式与解三角形应用无关
MATH,不等式的基本性质,不等式恒成立,inverted,不等式基本性质是恒成立问题的前提
MATH,一元二次不等式,venn图在集合运算中的应用,unrelated,韦恩图是集合工具与二次不等式无关
MATH,基本不等式,圆锥曲线的综合问题,unrelated,圆锥曲线与基本不等式无关
MATH,不等式恒成立,三角恒等变换,unrelated,恒成立问题与三角恒等变换无关
MATH,绝对值不等式,相等函数与分段函数,unrelated,分段函数与绝对值不等式无关
MATH,作差法,作差法-作商法,inverted,一般作差法是对数作差作商比较的基础
MATH,集合运算中的常用二级结论,边角互化,unrelated,集合二级结论与边角互化无关
MATH,充要条件,充分条件与必要条件的判断,inverted,先有充要条件概念后有判断方法
MATH,全称量词与全称量词命题,充要条件,unrelated,量词命题与充要条件为平行逻辑专题
MATH,存在量词与存在量词命题,子集的个数问题,unrelated,存在量词命题与子集个数问题无关
MATH,利用充分必要条件求参数,分段函数的常见类型及解法,unrelated,分段函数与充分必要求参数无关
MATH,忽视-漏-空集致错,忽视集合元素的互异性致错,unrelated,两种平行的集合易错点
MATH,忽视集合元素的互异性致错,幂函数的性质,unrelated,幂函数性质与集合互异性无关
MATH,子集的个数问题,基本不等式,unrelated,子集个数与基本不等式无关
MATH,充分条件与必要条件的判断,作差法,unrelated,作差法在后续章节非判断前提
MATH,数列的概念,数列的有关概念,unrelated,同概念不同侧面
MATH,等差数列,空间距离的求法,unrelated,空间距离与等差数列无关
MATH,等差数列的通项,等差数列的有关概念,valid,等差数列通项公式由定义推导
MATH,等差数列的前n项和,等差数列含绝对值问题,inverted,含绝对值问题依赖前n项和公式
MATH,等比数列,等差数列的通项,unrelated,等比数列与等差数列平行学习
MATH,等比数列的通项,等比数列的有关概念,valid,等比数列通项公式由定义推导
MATH,等比数列的前n项和,等比数列前项和的常用性质,inverted,前n项和性质由求和公式导出
MATH,数列求和,投影向量,unrelated,投影向量与数列求和无关
MATH,数学归纳法,数列的概念,valid,数学归纳法是数列章证明工具依赖数列概念
MATH,数列的有关概念,数列的单调性与最值问题,inverted,单调性与最值问题是数列概念的应用
MATH,等差数列的有关概念,等差数列的常用性质,inverted,等差数列常用性质由定义推导
MATH,等差数列的常用性质,等差数列的前n项和,inverted,求和逆序相加法用到通项性质
MATH,等差数列前项和的常用性质,等差数列前n项和最值问题,unrelated,和的性质与和最值为平行应用
MATH,等比数列的有关概念,等比数列的常用性质,inverted,等比数列常用性质由定义推导
MATH,等比数列的常用性质,等比数列的前n项和,unrelated,通项性质与求和公式平行互非前提
MATH,等比数列前项和的常用性质,等比数列,valid,前n项和性质依赖等比数列概念
MATH,数列的单调性与最值问题,数列求和,unrelated,单调性与最值同求和为平行技巧
MATH,等差数列前n项和最值问题,等差数列前n项和性质的应用,unrelated,和最值与和性质应用为平行问题
MATH,等差数列含绝对值问题,等差数列前项和的常用性质,unrelated,含绝对值需求和公式而非和性质
MATH,等差数列与等比数列新背景问题,等差数列,valid,新背景问题需先掌握等差数列
MATH,混淆数列与函数致错,求解等比数列基本量的策略,unrelated,概念性易错与基本量策略无关
MATH,忽视对公比q的讨论致错,忽略建系的条件而出错,unrelated,不同章节的平行易错点
MATH,求解等差数列基本量的策略,求解几何体外接球的半径的思路,unrelated,外接球与等差数列基本量无关
MATH,等差数列前n项和性质的应用,等差数列与等比数列新背景问题,unrelated,新背景问题是综合应用非性质前提
MATH,求解等比数列基本量的策略,求解等差数列基本量的策略,unrelated,等差等比五量策略平行
MATH,数列的递推公式,逆序相加法求数列的前n项和,unrelated,递推公式与逆序相加法平行
MATH,特征根法与不动点法,点到直线的距离,unrelated,点到直线距离与不动点法无关
MATH,分组转化法,分层随机抽样,unrelated,分层抽样与分组转化法无关
MATH,求和问题,正态分布,unrelated,正态分布与数列求和无关
MATH,余数列周期性,二项分布,unrelated,二项分布与余数列周期性无关
MATH,由求时忽略对-检验致错,独立性检验,unrelated,独立性检验是统计方法非数列前提
MATH,裂项相消求和时遗漏剩余项致错,表面积与体积,unrelated,表面积体积与裂项相消无关
MATH,累加法与累乘法求数列通项,简单随机抽样,unrelated,简单随机抽样与累加累乘无关
MATH,构造法求数列通项,极值点偏移问题,unrelated,极值点偏移与构造法无关
MATH,取倒数法求数列通项,动点问题没有取舍,unrelated,动点取舍与取倒数法无关
MATH,逆序相加法求数列的前n项和,过定点的多切线问题,unrelated,切线问题与数列求和法跨章无依赖
MATH,裂项相消法中常见的裂项技巧,裂项相消求和时遗漏剩余项致错,inverted,易错点依赖裂项技巧的使用，方向反
MATH,导数的概念,导数的几何意义,inverted,几何意义建立在导数概念之上，方向反
MATH,导数的几何意义,导数与零点,unrelated,零点是平行应用，非几何意义前置
MATH,基本初等函数的导数,回归分析,unrelated,回归分析属统计章，与导数无关
MATH,导数的运算法则,导数的概念,valid,学运算法则须先掌握导数概念
MATH,复合函数的导数,处理空间几何体体积的基本思路,unrelated,立体几何体积与导数无关
MATH,函数的单调性与导数,几何体展开图最短距离问题,unrelated,展开图属立体几何，与导数无关
MATH,函数的极值,函数的最值,inverted,最值由极值与单调性推出，方向反
MATH,函数的最值,函数的单调性与导数,valid,求最值依赖单调性与极值分析
MATH,导数与不等式,对折叠与展开问题认识不清致误,unrelated,折叠属立体易错，与导数无关
MATH,导数与零点,导数与函数零点问题,unrelated,同一概念两名，不同侧面
MATH,过定点的多切线问题,超几何分布,unrelated,超几何分布属概率，与切线无关
MATH,含参函数的单调性讨论,向量的模与夹角,unrelated,向量夹角与导数单调性讨论无关
MATH,导数与函数零点问题,导数与不等式,unrelated,零点与不等式为平行应用，互不依赖
MATH,函数的隐零点问题,函数的极值,valid,隐零点需极值点处导数为零
MATH,极值点偏移问题,条件概率,unrelated,条件概率属概率章，与极值无关
MATH,曲线-在-某点处的切线问题,数学归纳法,unrelated,数学归纳法与切线问题无关
MATH,曲线-过-某点的切线问题,曲线-在-某点处的切线问题,valid,过点切线以在点切线方法为基础
MATH,两曲线的公切线问题,不规则几何体建系问题,unrelated,建系属立体几何，与公切线无关
MATH,已知函数单调性求参数,导数的运算法则,valid,求参数须先会求导
MATH,已知函数的极值求参数,已知函数单调性求参数,valid,极值求参依赖单调性判定技巧
MATH,利用导数研究函数的最值,利用向量法解二面角问题的策略,unrelated,二面角向量法属立体，与最值无关
MATH,平面向量的概念,平面向量的数量积,inverted,数量积以向量概念为前提，方向反
MATH,平面向量的线性运算,平面向量的概念,valid,线性运算以向量概念为前提
MATH,平面向量的数量积,平面向量的坐标运算,inverted,坐标表示在数量积定义之后，方向反
MATH,平面向量的坐标运算,平面向量基本定理,valid,坐标运算以基底的向量基本定理为前提
MATH,平面向量基本定理,平面与平面平行,unrelated,面面平行属立体，与向量定理无关
MATH,向量的模与夹角,向量共线定理,unrelated,共线定理非模与夹角的前置
MATH,投影向量,忽视零向量,unrelated,零向量易错点非投影向量前置
MATH,向量共线定理,古典概型,unrelated,古典概型属概率，与共线定理无关
MATH,复数的概念,复数的四则运算,inverted,四则运算以复数概念为前提，方向反
MATH,复数的四则运算,复数的几何意义,unrelated,几何意义与运算是平行侧面
MATH,复数的几何意义,复合函数的导数,unrelated,复合函数导数与复数几何意义无关
MATH,复数的模,复数的概念,valid,模以复数概念为前提
MATH,共轭复数,全概率,unrelated,全概率属概率，与共轭复数无关
MATH,空间几何体,离散型随机变量的期望,unrelated,随机变量期望属概率，与立体无关
MATH,三视图与直观图,集合运算中的常用二级结论,unrelated,集合运算与三视图无关
MATH,多面体与旋转体,复数的模,unrelated,复数模与多面体旋转体无关
MATH,表面积与体积,统计图表的读取,unrelated,统计图表属统计，与立体无关
MATH,空间点线面的位置关系,空间向量的线性运算,inverted,位置关系先于空间向量，方向反
MATH,直线与平面平行,直线与平面垂直,unrelated,线面平行与垂直为平行判定
MATH,直线与平面垂直,由求时忽略对-检验致错,unrelated,数列易错点与线面垂直无关
MATH,空间向量与立体几何,空间几何体的直观图,unrelated,直观图画法非空间向量章的前置
MATH,异面直线所成的角,平面向量的线性运算,unrelated,异面直线角为几何定义，不依赖平面向量
MATH,二面角,两曲线的公切线问题,unrelated,公切线属导数应用，与二面角无关
MATH,特殊的棱柱和棱锥,特征根法与不动点法,unrelated,不动点法属数列，与立体无关
MATH,空间几何体的直观图,空间几何体中的截面问题,unrelated,直观图画法非截面问题前置
MATH,四个公理,含参函数的单调性讨论,unrelated,导数含参讨论与立体四公理无关
MATH,平面与平面平行,平面与平面垂直,unrelated,面面平行与垂直为平行判定
MATH,直线和平面所成的角,直线与平面所成角,unrelated,同一概念几何与向量两面
MATH,平面与平面垂直,平均数与中位数,unrelated,统计量与立体几何无关
MATH,几何体展开图最短距离问题,共轭复数,unrelated,共轭复数与展开图最短距离无关
MATH,空间几何体中的截面问题,空间几何体,valid,截面问题以空间几何体概念为前提
MATH,求解几何体外接球的半径的思路,求空间几何体表面积,unrelated,外接球不依赖表面积技巧
MATH,线面平行定理的理解不够准确,累加法与累乘法求数列通项,unrelated,数列通项法与线面平行无关
MATH,对折叠与展开问题认识不清致误,多面体与旋转体,valid,折叠问题以空间几何体概念为前提
MATH,求空间几何体表面积,求和问题,unrelated,数列求和问题与立体表面积无关
MATH,处理空间几何体体积的基本思路,基本初等函数的导数,unrelated,基本初等函数导数与立体体积无关
MATH,利用面面平行的定义,利用空间向量解决最值范围问题,unrelated,向量最值法不依赖面面平行定义法
MATH,面面垂直性质的应用,随机事件的相互独立性,unrelated,立体几何与概率无关章节
MATH,异面直线所成角的求法,异面直线所成角,valid,求法以概念定义为前提
MATH,二面角的求法,二面角概念模糊,unrelated,同一内容两个侧面
MATH,空间距离的求法,空间点线面的位置关系,valid,基础位置关系先于求距离
MATH,随机事件,数列的递推公式,unrelated,概率与数列无关章节
MATH,古典概型,取倒数法求数列通项,unrelated,概率与数列无关章节
MATH,随机事件的相互独立性,随机事件,valid,随机事件概念先于独立性
MATH,条件概率,曲线-过-某点的切线问题,unrelated,概率与导数无关章节
MATH,全概率,余数列周期性,unrelated,概率与数列无关章节
MATH,离散型随机变量,直线的方向向量和平面的法向量,unrelated,概率与空间向量无关
MATH,离散型随机变量的期望,离散型随机变量的方差,inverted,方差依期望定义，方向反
MATH,离散型随机变量的方差,离散型随机变量,valid,方差概念依赖随机变量概念
MATH,二项分布,二面角的求法,unrelated,概率与立体几何无关
MATH,正态分布,构造法求数列通项,unrelated,概率与数列无关章节
MATH,简单随机抽样,等比数列的通项,unrelated,统计与数列无关章节
MATH,分层随机抽样,函数的隐零点问题,unrelated,统计与导数无关章节
MATH,统计图表的读取,线面距和面面距,unrelated,统计与立体几何无关
MATH,回归分析,四个公理,unrelated,统计与立体几何无关
MATH,独立性检验,特殊的棱柱和棱锥,unrelated,统计与立体几何无关
MATH,直线的方程,直线与圆的位置关系,inverted,直线方程先于线圆关系
MATH,两条直线的位置关系,不等式的基本性质,unrelated,不等式性质非其前提
MATH,直线与圆的位置关系,正弦定理,unrelated,解析几何与解三角无关
MATH,椭圆,曲线的轨迹方程,inverted,椭圆推导即轨迹方程范例
MATH,椭圆的方程,椭圆,valid,概念先于方程
MATH,椭圆的离心率,椭圆的焦点,valid,离心率公式依赖焦点参数
MATH,椭圆的焦点,椭圆的方程,valid,焦点由标准方程参数确定
MATH,双曲线,单调函数的定义,unrelated,圆锥曲线与函数无关章节
MATH,双曲线的渐近线,双曲线,valid,渐近线是双曲线的性质
MATH,双曲线的离心率,双曲线的渐近线,unrelated,两条性质为兄弟概念
MATH,抛物线,忽视-漏-空集致错,unrelated,圆锥曲线与集合无关
MATH,抛物线的焦点与准线,抛物线焦半径,inverted,焦半径由焦点准线推出
MATH,抛物线焦半径,抛物线,valid,焦半径以抛物线概念为前提
MATH,圆锥曲线的综合问题,圆的方程,unrelated,综合问题依赖圆锥曲线自身
MATH,分类加法计数原理,分步乘法计数原理,unrelated,两条平行基本计数原理
MATH,分步乘法计数原理,二项式定理,inverted,计数原理先于二项式定理
MATH,排列,分类加法计数原理,unrelated,排列由分步乘法原理导出
MATH,组合,排列,valid,组合在排列基础上引入
MATH,二项式定理,面面垂直性质的应用,unrelated,计数原理与立体几何无关
MATH,空间向量的有关概念,空间向量的有关定理,inverted,定理建立在概念之上
MATH,空间向量的线性运算,空间向量的有关概念,valid,运算以概念定义为前提
MATH,空间向量的有关定理,空间向量的数量积及运算律,inverted,基本定理先于数量积
MATH,空间向量的数量积及运算律,空间向量新定义问题,inverted,新定义问题是基本的应用
MATH,直线的方向向量和平面的法向量,直线和平面所成的角,unrelated,两者为不同概念无直接前提
MATH,异面直线所成角,异面直线所成的角,unrelated,同一概念不同表述
MATH,直线与平面所成角,直线与平面平行,unrelated,兄弟位置关系非角直接前提
MATH,点到直线的距离,点到平面的距离,unrelated,两个并列的求距公式
MATH,点到平面的距离,混淆数列与函数致错,unrelated,立体几何与数列无关章节
MATH,线面距和面面距,线面平行定理的理解不够准确,unrelated,易错辨析项非距离前提
MATH,利用空间向量解决探索性问题,利用空间向量求空间距离,unrelated,两种并列应用题型
MATH,利用空间向量解决最值范围问题,利用空间向量解决探索性问题,unrelated,两种并列应用题型
MATH,不规则几何体建系问题,三视图与直观图,valid,建系需先认识几何体形状
MATH,空间向量新定义问题,空间向量与立体几何,valid,新定义问题以章节基础为前提
MATH,忽视零向量,忽视对公比q的讨论致错,unrelated,空间向量与等比数列无关
MATH,忽略建系的条件而出错,异面直线所成角的求法,unrelated,不同问题语境无前提关系
MATH,二面角概念模糊,二面角,valid,辨析项以二面角概念为前提
MATH,动点问题没有取舍,利用面面平行的定义,unrelated,动点取舍与面面平行无关
MATH,利用向量法解二面角问题的策略,分组转化法,unrelated,立体几何与数列求和无关
MATH,利用空间向量求空间距离,利用导数研究函数的最值,unrelated,空间向量与导数无关章节
PHYSICS,路程,超重,unrelated,运动描述与牛顿定律无关
PHYSICS,平均速度,干涉和衍射中几种光现象的判断,unrelated,运动学与光学无关章节
PHYSICS,矢量和标量,瞬时速度,inverted,速度是矢量，矢量概念先于瞬时速度
PHYSICS,非常规运动学图像,静摩擦力,unrelated,图像问题不依赖摩擦力，章节无关
PHYSICS,临界法,临界-极值问题,unrelated,不同章节的临界问题，平行应用
PHYSICS,函数法,几种等时圆模型分析,unrelated,追及函数法与等时圆模型无关
PHYSICS,图象法,向心加速度,unrelated,运动学图象法与圆周运动无关
PHYSICS,追及问题的常见类型,连接体问题,unrelated,运动学追及与力学连接体无关
PHYSICS,非惯性参考系,非弹性碰撞和完全非弹性碰撞,unrelated,参考系与动量碰撞无前置关系
PHYSICS,对牛顿第三定律的理解,对心碰撞,unrelated,碰撞依赖动量而非牛顿第三定律
PHYSICS,等时圆使用条件,碰撞中的-时间极短-的含义,unrelated,圆周模型与碰撞术语无关
PHYSICS,模型示意图,模型特点,unrelated,力的示意图与动量模型无关
PHYSICS,几种等时圆模型分析,几何光学中的范围和临界问题,unrelated,力学模型与光学问题无关
PHYSICS,连接体问题,连接体的运动特点,valid,列方程依赖绳杆速度加速度约束
PHYSICS,连接体的运动特点,运动的对称性,unrelated,约束关系与匀变速时间对称无关
PHYSICS,板块模型,杨氏双缝干涉,unrelated,力学模型与光学干涉无关
PHYSICS,倾斜传送带,作用力与反作用力,unrelated,传送带问题依赖摩擦力非作用反作用
PHYSICS,倾斜传送带,两种运动状态-x1,unrelated,电磁感应平衡态与传送带无关
PHYSICS,临界-极值问题,三类情况分析,inverted,一般临界极值方法先于圆周三类情况
PHYSICS,求解的基本思路,水平转盘上运动物体模型,unrelated,上下文不足，转盘模型非其前提
PHYSICS,运动特征,运动的合成与分解,inverted,曲线运动速度特点先于合成分解
PHYSICS,核心思想-运动分解,极限思想,unrelated,同章平行思想方法
PHYSICS,核心思想-运动分解-x1,核心思想-运动分解,unrelated,同一思想重复条目
PHYSICS,斜面碰撞临界,摩擦力的突变类问题,unrelated,抛体临界状态与摩擦突变无关
PHYSICS,按运动独立性建立坐标系,折射率,unrelated,抛体运动与光学无关
PHYSICS,逆向思维,追及问题的常见类型,unrelated,竖直上抛逆推与追及问题无关
PHYSICS,对称性分析,对牛顿第三定律的理解,unrelated,抛体对称性与作用反作用无关
PHYSICS,极限思想,板块模型,unrelated,抛体极限分析与板块模型无关
PHYSICS,水平转盘上运动物体模型,横波,unrelated,圆周运动与机械波无关
PHYSICS,圆锥摆的两种变形,圆周运动的经典模型和应用,valid,变形依赖圆锥摆基本模型
PHYSICS,三类情况分析,三种光学模型的光路特点,unrelated,圆周临界问题与光路模型无关
PHYSICS,脱轨条件与类型,胡克定律,unrelated,脱轨为支持力为零，不涉及弹簧
PHYSICS,质点,薄膜干涉的应用,unrelated,运动学概念与光学干涉无关
PHYSICS,参考系,单摆,unrelated,参考系与机械振动无关
PHYSICS,位移,伽利略斜面实验,unrelated,斜面实验不是位移概念的前提
PHYSICS,速度,逆向思维,unrelated,速度概念与逆向思维方法无关
PHYSICS,加速度,力的合成,unrelated,加速度属运动学，力的合成非前提
PHYSICS,坐标系,圆锥摆的两种变形,unrelated,坐标系与圆周运动变形无关
PHYSICS,运动的对称性,运动特征,unrelated,第二章时间对称不依赖曲线运动
PHYSICS,匀变速直线运动,动量定理的应用-流体类模型,unrelated,匀变速直线运动与动量定理无关
PHYSICS,牛顿运动三定律的理解和应用,牛顿第二定律的理解-五性,valid,三定律应用以掌握第二定律为前提
PHYSICS,作用力与反作用力,位移时间公式,unrelated,牛顿第三定律与运动学公式无关
PHYSICS,速度时间公式,速度位移公式,unrelated,同一定义导出的平行公式
PHYSICS,位移时间公式,位移,valid,公式建立在位移概念之上
PHYSICS,速度位移公式,速度,valid,公式建立在速度概念之上
PHYSICS,自由落体运动,脱轨条件与类型,unrelated,自由落体与圆周脱轨无关
PHYSICS,静摩擦力,重力,unrelated,重力与摩擦力为平行力概念
PHYSICS,滑动摩擦力,流体模型,unrelated,摩擦力与动量流体模型无关
PHYSICS,力的分解,初速度为零的几个重点推论,unrelated,力的分解与运动学推论无关
PHYSICS,形变,弹簧振子,inverted,弹簧振子依赖弹性形变，方向反
PHYSICS,弹力的定义及产生条件,弹力的大小,inverted,定义先于大小，大小是其侧面
PHYSICS,弹力的方向,弹力的定义及产生条件,valid,方向判定以定义和产生条件为前提
PHYSICS,弹力的大小,弹力,valid,胡克定律建立在弹力概念之上
PHYSICS,合力范围,受迫振动,unrelated,合力范围与机械振动无关
PHYSICS,特殊情形-三力平衡,牛顿运动三定律的理解和应用,unrelated,平衡在第三章，三定律应用在第四章
PHYSICS,动态平衡问题,加速度方向突变,unrelated,平衡问题与加速度突变无关
PHYSICS,重力,速度时间公式,unrelated,重力与运动学公式无关
PHYSICS,摩擦力,描述运动的基本概念,unrelated,摩擦力概念不依赖运动学概念
PHYSICS,摩擦力的突变类问题,摩擦力,valid,突变问题以掌握摩擦力为前提
PHYSICS,力的合成,力的分解,inverted,分解是合成的逆用，合成在先
PHYSICS,共点力平衡,共振,unrelated,受力平衡与机械振动共振无关
PHYSICS,共点力的动态平衡,共点力平衡,valid,动态平衡建立在平衡条件之上
PHYSICS,加速度方向突变,加速度,valid,加速度是基本概念 方向突变是对其的分析
PHYSICS,牛顿第一定律,激光,unrelated,光学内容 与牛顿第一定律完全无关
PHYSICS,牛顿第二定律,牛顿第三定律,inverted,第二定律先于第三定律学习 方向反
PHYSICS,牛顿第三定律,牛顿第一定律,valid,三定律依序学习 第一定律是概念基础
PHYSICS,牛顿第二定律的理解-五性,牛顿第二定律,valid,五性是对定律的深化理解 以定律本身为前提
PHYSICS,超重,质点,unrelated,超失重与质点无前置关系
PHYSICS,单位制,匀变速直线运动,unrelated,单位制是基本约定 与匀变速直线运动无关
PHYSICS,线速度,离心现象,inverted,离心现象是圆周运动应用 方向反
PHYSICS,角速度,能量守恒定律,unrelated,角速度是圆周运动基本量 与能量守恒无关
PHYSICS,离心现象,电能的输送,unrelated,力学与电学内容 完全无关
PHYSICS,曲线运动,普通二极管和发光二极管,unrelated,二极管是电子元件 与曲线运动完全无关
PHYSICS,曲线运动的基本概念与处理思想,斜面碰撞临界,inverted,斜面碰撞是具体问题型 方向反
PHYSICS,平抛运动,常见传感器的特点,unrelated,传感器与平抛运动完全无关
PHYSICS,平抛运动的两个重要结论,平抛运动与曲面的结合分析,inverted,曲面结合是进阶应用 方向反
PHYSICS,平抛运动的临界问题,平抛运动的两个重要结论,valid,临界问题依托两个重要结论求解
PHYSICS,平抛运动与斜面的结合分析,平均速度,unrelated,斜面问题用速度分量 与平均速度无直接关系
PHYSICS,平抛运动与曲面的结合分析,平抛运动与斜面的结合分析,unrelated,两类平行问题 无前置关系
PHYSICS,圆周运动的经典模型和应用,圆周运动常见的临界状态,valid,经典模型需借助常见临界状态判据
PHYSICS,圆周运动常见的临界状态,圆周运动中的脱轨问题,inverted,脱轨问题是临界状态的应用 方向反
PHYSICS,圆周运动中的脱轨问题,图象法,unrelated,追及相遇图象法属直线运动 与此无关
PHYSICS,向心力,同步卫星,inverted,同步卫星是应用 方向反
PHYSICS,向心力,合力范围,unrelated,合力范围是力合成性质 非向心力的前置
PHYSICS,向心加速度,向心力,valid,向心加速度由F=ma导出 先学向心力
PHYSICS,开普勒三定律,平抛运动,unrelated,开普勒定律属天体经验规律 与平抛无关
PHYSICS,宇宙速度,天体质量计算,unrelated,二者均为万有引力定律的平行应用
PHYSICS,同步卫星,变轨过程分析,unrelated,二者为引力平行应用 无前置关系
PHYSICS,天体质量计算,多普勒效应的成因分析,unrelated,多普勒效应属机械波内容 与此无关
PHYSICS,变轨原理,变压器,unrelated,电学与航天内容 完全无关
PHYSICS,变轨过程分析,变轨原理,valid,过程分析以变轨原理为前提
PHYSICS,卫星的对接问题,卫星变轨-1-2-3,valid,对接依托1→2→3变轨过程
PHYSICS,深空引力导航,波的干涉,unrelated,波的干涉与引力导航完全无关
PHYSICS,小行星防御与资源开发,对称性,unrelated,简谐运动的对称性 与小行星防御无关
PHYSICS,地球同步卫星,圆周运动,valid,同步卫星做匀速圆周运动 需圆周运动基础
PHYSICS,卫星变轨-1-2-3,单摆的受力特征,unrelated,单摆属机械振动 与卫星变轨无关
PHYSICS,双星模型,卫星的对接问题,unrelated,二者均为万有引力的平行应用
PHYSICS,三星模型,万有引力定律的应用,valid,三星模型是万有引力定律的进一步应用
PHYSICS,万有引力定律,万有引力与航天的理解应用,inverted,定律是其理解应用的基础 方向反
