subject,slug,alias
BIOLOGY,个体或配子致死问题的处理-规律方法,伴性遗传中的致死问题类型
BIOLOGY,个体或配子致死问题的处理-规律方法,伴性遗传中的配子致死与个体致死分析
BIOLOGY,个体或配子致死问题的处理-规律方法,分离定律中的致死类型与判断
BIOLOGY,个体或配子致死问题的处理-规律方法,合子不完全致死的算法
BIOLOGY,个体或配子致死问题的处理-规律方法,手枪模型：合子致死问题
BIOLOGY,个体或配子致死问题的处理-规律方法,显性纯合致死类的配子分析法计算
BIOLOGY,个体或配子致死问题的处理-规律方法,用棋盘格逐项检验“哪个配子不育”
BIOLOGY,个体或配子致死问题的处理-规律方法,由分离比拆分判断配子不育及其涉及的基因
BIOLOGY,个体或配子致死问题的处理-规律方法,自私基因杀死雄配子引起的分离比偏离
BIOLOGY,个体或配子致死问题的处理-规律方法,致死与不育类遗传题的解题技巧
BIOLOGY,个体或配子致死问题的处理-规律方法,致死基因的分类与效应
BIOLOGY,个体或配子致死问题的处理-规律方法,致死效应下子代比例的处理
BIOLOGY,个体或配子致死问题的处理-规律方法,致死现象的两类情形
BIOLOGY,个体或配子致死问题的处理-规律方法,致死现象的分析与排除方法
BIOLOGY,个体或配子致死问题的处理-规律方法,致死类特殊分离比的分析方法
BIOLOGY,个体或配子致死问题的处理-规律方法,致死问题分析的底层逻辑
BIOLOGY,个体或配子致死问题的处理-规律方法,致死问题拆分综合策略：先拆对分析、再综合归一化
BIOLOGY,个体或配子致死问题的处理-规律方法,致死题中分解组合法的失效与棋盘法
BIOLOGY,个体或配子致死问题的处理-规律方法,配子不完全致死的算法
BIOLOGY,个体或配子致死问题的处理-规律方法,配子致死与合子致死的对比处理
BIOLOGY,个体或配子致死问题的处理-规律方法,金鱼模型：配子致死与不完全致死
BIOLOGY,中心法则,RNA复制过程的条件与产物
BIOLOGY,中心法则,中心法则与不同生物的遗传信息流动
BIOLOGY,中心法则,中心法则的内容与不同生物的传递过程
BIOLOGY,中心法则,中心法则的提出与不同生物的表达式
BIOLOGY,中心法则,核酸链的判别与遗传信息流向
BIOLOGY,中心法则,逆转录过程的条件与产物
BIOLOGY,中心法则的提出及其发展,中心法则及其补充
BIOLOGY,中心法则的提出及其发展,中心法则的提出与发展
BIOLOGY,主动运输,ATP为主动运输供能
BIOLOGY,主动运输,ATP驱动的主动运输泵
BIOLOGY,主动运输,光驱动泵的主动运输
BIOLOGY,主动运输,光驱泵：能量来自光能的主动运输
BIOLOGY,主动运输,动物细胞内外不同离子的相对浓度
BIOLOGY,主动运输,协同转运的能量来源与方向关系
BIOLOGY,主动运输,囊性纤维化发生的一种主要原因
BIOLOGY,主动运输,扩散是分子的运动形式
BIOLOGY,主动运输,无机盐的存在形式与吸收方式
BIOLOGY,主动运输,氧气含量通过呼吸供能影响主动运输
BIOLOGY,主动运输,渗透平衡时半透膜两侧液面仍存在
BIOLOGY,主动运输,生理意义
BIOLOGY,主动运输,用浓度梯度判断主动运输
BIOLOGY,主动运输,离子通道与离子泵
BIOLOGY,主动运输,耐盐植物的离子区隔化与能耗代价
BIOLOGY,主动运输,胞吞和胞吐
BIOLOGY,主动运输,载体蛋白的磷酸化与构象改变
BIOLOGY,主动运输,载体蛋白磷酸化与主动运输机制
BIOLOGY,主动运输,选择透过性膜
BIOLOGY,主动运输,钙泵类载体蛋白的运输与载体通道辨析
BIOLOGY,主动运输,钠钾泵与静息电位幅度的关系
BIOLOGY,主动运输的类型,主动运输消耗能量的三种来源
BIOLOGY,主动运输的类型,主动运输的三种类型
BIOLOGY,主动运输的类型,主动运输的三种驱动方式与协同转运
BIOLOGY,主动运输的类型,主动运输的意义
BIOLOGY,主动运输的类型,主动运输的方向特征：逆浓度梯度
BIOLOGY,主动运输的类型,主动运输的条件
BIOLOGY,主动运输的类型,主动运输的特点与意义
BIOLOGY,主动运输的类型,主动运输的能量来源拓展
BIOLOGY,主动运输的类型,光驱动泵驱动的主动运输
BIOLOGY,主动运输的类型,协同转运蛋白与间接消耗 ATP
BIOLOGY,主动运输的类型,单一运输载体与协同运输载体
BIOLOGY,主动运输的类型,反向协同转运：液泡的离子与蔗糖转运
BIOLOGY,主动运输的类型,同向协同转运：小肠吸收葡萄糖
BIOLOGY,主动运输的类型,疫苗的作用机理与类型
BIOLOGY,主动运输的类型,离子梯度驱动的同向转运（协同运输）
BIOLOGY,交配类型的辨析及应用,五种交配类型的辨析
BIOLOGY,人工异花传粉的操作流程,人工异花传粉的操作流程与原理
BIOLOGY,人类基因组测序,人类基因组测序需测定的染色体数目
BIOLOGY,人类遗传病,人类遗传病中的五个不一定
BIOLOGY,人类遗传病,人类遗传病的三大类型
BIOLOGY,人类遗传病,人类遗传病的概念与三大类型
BIOLOGY,人类遗传病,人类遗传病的概念与类型
BIOLOGY,人类遗传病,人类遗传病的类型与实例
BIOLOGY,人类遗传病,人类遗传病的调查、检测与预防
BIOLOGY,人类遗传病,人类遗传病的调查方法
BIOLOGY,人类遗传病,人类遗传病通常是指由遗传物质改变而引
BIOLOGY,人类遗传病,伴性遗传与人类遗传病易错判定汇总
BIOLOGY,人类遗传病,先天性疾病、家族性疾病与遗传病的关系
BIOLOGY,人类遗传病,先天性疾病不一定是遗传病
BIOLOGY,人类遗传病,单基因与多基因遗传病的特点对比
BIOLOGY,人类遗传病,单基因遗传病是指受一对等位基因控制
BIOLOGY,人类遗传病,基因检测也是产前检测的手段之一
BIOLOGY,人类遗传病,基因治疗是指用正常基因取代或修补患者
BIOLOGY,人类遗传病,多基因遗传病和染色体异常遗传病的特点
BIOLOGY,人类遗传病,携带遗传病基因的个体不一定会患遗传病
BIOLOGY,人类遗传病,是否携带遗传病基因与是否患遗传病
BIOLOGY,人类遗传病,杂交育种与遗传病概率推断
BIOLOGY,人类遗传病,染色体异常遗传病是指由染色体变异引起
BIOLOGY,人类遗传病,用孕妇血液游离DNA做产前基因诊断
BIOLOGY,人类遗传病,调查人群中的遗传病的方法
BIOLOGY,人类遗传病,调查人群中的遗传病的方法要点
BIOLOGY,人类遗传病,调查遗传方式与发病率的范围不同
BIOLOGY,人类遗传病,通过遗传咨询和产前诊断等手段对
BIOLOGY,人类遗传病,遗传咨询与产前诊断
BIOLOGY,人类遗传病,遗传病患者与携带者的区分
BIOLOGY,人类遗传病,遗传病携带者的概念
BIOLOGY,人类遗传病,遗传病的检测和预防手段
BIOLOGY,人类遗传病,遗传病的调查方法与检测预防
BIOLOGY,人类遗传病,遗传病致病来源的三个易错点
BIOLOGY,人类遗传病,避免近亲结婚不能预防所有遗传病
BIOLOGY,人类遗传病,隐性遗传病往往需在基因纯合时发病
BIOLOGY,人脑的高级功能,人的大脑除了感知外部世界以及控制机体
BIOLOGY,人脑的高级功能,人脑的高级功能与大脑皮层言语区
BIOLOGY,人脑的高级功能,因在某种生理或病理现象下参与的神经中
BIOLOGY,人脑的高级功能,学习、记忆与情绪（人脑高级功能）
BIOLOGY,人脑的高级功能,学习和记忆涉及脑内神经递质
BIOLOGY,人脑的高级功能,情绪也是大脑的高级功能之一
BIOLOGY,人脑的高级功能,条件反射的建立与脑区的联系
BIOLOGY,人脑的高级功能,生理或病理现象、神经中枢参与（损伤）
BIOLOGY,人脑的高级功能,视觉中枢≠视觉语言中枢
BIOLOGY,人脑的高级功能,言语区损伤与脑功能定位
BIOLOGY,传统发酵技术,乳酸菌是厌氧细菌
BIOLOGY,传统发酵技术,传统发酵以混合菌种的固体发酵及半固体
BIOLOGY,传统发酵技术,传统发酵技术和发酵工程都
BIOLOGY,传统发酵技术,传统发酵技术（腐乳 泡菜 果酒与果醋的制作）
BIOLOGY,传统发酵技术,传统发酵的条件控制归纳
BIOLOGY,传统发酵技术,制曲与豆瓣酱发酵的操作目的分析
BIOLOGY,传统发酵技术,微生物的发酵反应式强调
BIOLOGY,传统发酵技术,果酒与果醋发酵流程
BIOLOGY,传统发酵技术,果酒与果醋发酵的菌种与操作差异
BIOLOGY,传统发酵技术,果酒与食醋发酵的菌种与产物变化
BIOLOGY,传统发酵技术,果酒自然发酵时
BIOLOGY,传统发酵技术,毛霉在腐乳制作中的作用
BIOLOGY,传统发酵技术,泡菜在腌制过程中会有亚硝酸盐产生
BIOLOGY,传统发酵技术,用于制作泡菜的蔬菜应新鲜
BIOLOGY,传统发酵技术,白酒酿造中的微生物与发酵条件
BIOLOGY,传统发酵技术,直接利用原材料中天然存在的微生物
BIOLOGY,传统发酵技术,腐乳一直受到人们的喜爱
BIOLOGY,传统发酵技术,选择新鲜的葡萄
BIOLOGY,传统发酵技术,酵母菌是兼性厌氧微生物
BIOLOGY,传统发酵技术,醋酸发酵分层固体发酵法的操作分析
BIOLOGY,传统发酵技术,醋酸菌是好氧细菌
BIOLOGY,伴性遗传,X、Y染色体的传递规律
BIOLOGY,伴性遗传,X染色体上基因频率的计算
BIOLOGY,伴性遗传,X染色体与Y染色体的结构差异
BIOLOGY,伴性遗传,伴性遗传的核心概念
BIOLOGY,伴性遗传,伴性遗传的概念与 XY 染色体的区段
BIOLOGY,伴性遗传,伴性遗传的概念与三种类型
BIOLOGY,伴性遗传,伴性遗传的概念与常见的性别决定类型
BIOLOGY,伴性遗传,双亲对子代贡献的差异：细胞质基因
BIOLOGY,伴性遗传,并非所有真核生物都有性染色体
BIOLOGY,伴性遗传,性别决定类型与性染色体传递特点
BIOLOGY,伴性遗传,性别鉴定：细胞质分裂与染色体判断
BIOLOGY,伴性遗传,性染色体上基因频率的计算
BIOLOGY,伴性遗传,性染色体上的基因未必都与性别决定有关
BIOLOGY,伴性遗传,性染色体的存在与传递规律
BIOLOGY,伴性遗传,性染色体（XY型）的传递特点
