subject,pdf_page,content_page,candidate,match_kind,node_slug,node_name
MATH,0009,5,全称量词命题的否定是存在量词命题,none,,
MATH,0009,5,存在量词命题的否定是全称量词命题,none,,
MATH,0009,5,全称量词命题为真的判据（所有元素都满足）与为假的判据,none,,
MATH,0009,5,存在量词命题为真的判据（存在一个满足）与为假的判据,none,,
MATH,0009,5,命题与其否定的真假相反,none,,
MATH,0010,6,充分、必要条件判断的两种方法,none,,
MATH,0010,6,集合法适用的情形,none,,
MATH,0010,6,求参数范围的两个关键,none,,
MATH,0010,6,全称量词命题为真的证明方法,none,,
MATH,0010,6,存在量词命题为真的证明方法,none,,
MATH,0010,6,利用命题与否定的真假相反关系间接判断,none,,
MATH,0010,6,将命题真假转化为不等式恒成立、有解、方程解的存在性、函数最值问题,none,,
MATH,0010,6,全称命题恒成立与最值的关系、存在命题有解与最值的关系,none,,
MATH,0011,7,不等式的八条基本性质,none,,
MATH,0011,7,可乘性中对乘数符号的讨论要求,none,,
MATH,0011,7,倒数性质,none,,
MATH,0011,7,分数性质,none,,
MATH,0011,7,一元二次不等式与二次函数图象、二次方程根的三者对应关系,none,,
MATH,0011,7,二次项系数为负时先化为正数再求解,none,,
MATH,0011,7,一元二次不等式解集的三种情形,none,,
MATH,0011,7,分式不等式的等价转化,none,,
MATH,0011,7,绝对值不等式的解法,none,,
MATH,0012,8,不等式性质的四条易错条件,none,,
MATH,0012,8,比较两个数（式）大小的四种方法,none,,
MATH,0012,8,作差法与作商法的步骤及含根号式子的处理,none,,
MATH,0012,8,利用不等式性质求取值范围的方法,none,,
MATH,0012,8,解二次项系数含参数的一元二次不等式的步骤,none,,
MATH,0013,9,一元二次不等式在 $\mathbf{R}$ 上恒成立的等价条件,none,,
MATH,0013,9,一元二次不等式在 $\mathbf{R}$ 上恒小于零的等价条件,none,,
MATH,0013,9,"恒成立问题中""二次项系数为 0""的讨论必要性",none,,
MATH,0013,9,给定区间上恒成立的解题策略,none,,
MATH,0013,9,分离参数法求恒成立的原理,none,,
MATH,0013,9,"给定参数范围求变元范围的""主元法""",none,,
MATH,0014,10,"基本不等式 $\sqrt{ab}\le\frac{a+b}{2}$ 及其成立条件（$a,b>0$）与等号条件",none,,
MATH,0014,10,算术平均数与几何平均数的定义及基本不等式的文字叙述,none,,
MATH,0014,10,重要不等式 $a^2+b^2\ge2ab$,none,,
MATH,0014,10,重要不等式 $\frac{a}{b}+\frac{b}{a}\ge2$,none,,
MATH,0014,10,重要不等式 $ab\le\left(\frac{a+b}{2}\right)^2$,none,,
MATH,0014,10,均值不等式链 $\sqrt{\frac{a^2+b^2}{2}}\ge\frac{a+b}{2}\ge\sqrt{ab}\ge\frac{2}{1/a+1/b}$,none,,
MATH,0014,10,基本不等式求最值的两条结论,none,,
MATH,0014,10,多次使用基本不等式时等号条件的相容性与不等号方向一致性,none,,
MATH,0014,10,配凑法的思想,none,,
MATH,0015,11,"常数代换法（""1""的代换）的四个步骤",none,,
MATH,0015,11,常数代换法的典型构造 $(ax+by)(\frac{m}{x}+\frac{n}{y})$ 及其最小值 $am+bn+2\sqrt{abmn}$,none,,
MATH,0015,11,常数代换法的取等条件 $\frac{bmy}{x}=\frac{anx}{y}$,none,,
MATH,0015,11,消元法的思路,none,,
MATH,0015,11,配凑法、常数代换法、消元法的适用结构对照,none,,
MATH,0015,11,不等式恒成立的等价条件,none,,
MATH,0015,11,不等式有解的等价条件,none,,
MATH,0015,11,不等式无解的等价条件,none,,
MATH,0016,12,应用基本不等式解决实际问题的四个步骤,none,,
MATH,0016,12,基本不等式与概率统计的交汇,none,,
MATH,0016,12,基本不等式与平面向量的交汇,none,,
MATH,0016,12,基本不等式与函数导数的交汇,none,,
MATH,0016,12,交汇类最值问题的通用套路,none,,
MATH,0018,14,函数的概念,exact,函数的概念,函数的概念
MATH,0018,14,自变量、函数值、定义域、值域的定义,none,,
MATH,0018,14,函数图象与竖直直线的交点个数,none,,
MATH,0018,14,判断两个函数是否为同一函数的两个要件,none,,
MATH,0018,14,函数的三种表示法,none,,
MATH,0018,14,分段函数的定义,none,,
MATH,0018,14,分段函数是一个函数而非几个函数；定义域与值域均为各段的并集,none,,
MATH,0019,15,已知 $f(x)$ 定义域求 $f(g(x))$ 定义域的方法,none,,
MATH,0019,15,已知 $f(g(x))$ 定义域求 $f(x)$ 定义域的方法,none,,
MATH,0019,15,$f(\ )$ 括号内整体取值范围决定 $f$ 的定义域,none,,
MATH,0019,15,求函数解析式的五种方法,none,,
MATH,0019,15,换元法的三个步骤与新元取值范围的必要性,none,,
MATH,0019,15,构造法解含 $f(x)$ 与 $f(1/x)$（或 $f(-x)$）的方程组,none,,
MATH,0019,15,求分段函数函数值的方法,none,,
MATH,0019,15,分段函数的方程与不等式解法,none,,
MATH,0019,15,分段函数求值域的两种方法,none,,
MATH,0020,16,函数在区间上单调递增、单调递减的定义,none,,
MATH,0020,16,增函数与减函数的定义,none,,
MATH,0020,16,单调性的图象描述,none,,
MATH,0020,16,单调性的两种等价形式,none,,
MATH,0020,16,单调区间的定义,none,,
MATH,0020,16,复合函数的单调性判据,none,,
MATH,0020,16,函数最大值的定义,none,,
MATH,0020,16,函数最小值的定义,none,,
MATH,0020,16,闭区间上连续函数必有最值,none,,
MATH,0020,16,"开区间上""单峰""连续函数必有最大值或最小值",none,,
MATH,0021,17,判断函数单调性的六种方法,none,,
MATH,0021,17,公共定义域内单调函数的运算性质,none,,
MATH,0021,17,数乘对单调性的影响,none,,
MATH,0021,17,"复合函数单调性的""同增异减""判据",none,,
MATH,0021,17,定义法证明单调性的四步,none,,
MATH,0021,17,导数法判断单调性,none,,
MATH,0021,17,赋值法处理抽象函数的单调性,none,,
MATH,0021,17,利用单调性比较大小的步骤,none,,
MATH,0021,17,利用单调性解函数不等式的框架,none,,
MATH,0022,18,求解函数不等式的本质,none,,
MATH,0022,18,利用单调性求参数的策略,none,,
MATH,0022,18,分段函数单调性的两个必要条件,none,,
MATH,0022,18,求函数最值的五种常用方法,none,,
MATH,0022,18,换元法求最值时需注意新元的取值范围,none,,
MATH,0022,18,导数法求最值的步骤,none,,
MATH,0022,18,分离常数法处理分子分母同次的公式形式,none,,
MATH,0022,18,各类函数形式与推荐求值域方法的对应关系,none,,
MATH,0023,19,奇函数与偶函数的定义,none,,
MATH,0023,19,奇偶函数的图象特征,none,,
MATH,0023,19,函数具有奇偶性的前提条件,none,,
MATH,0023,19,奇偶性的等价形式,none,,
MATH,0023,19,奇函数在 $x=0$ 处有定义则 $f(0)=0$,none,,
MATH,0023,19,偶函数满足 $f(x)=f(|x|)$,none,,
MATH,0023,19,奇偶性与单调性的关系,none,,
MATH,0023,19,函数平移后的奇偶性表达式,none,,
MATH,0023,19,周期函数与最小正周期的定义,none,,
MATH,0023,19,周期性结论,none,,
MATH,0023,19,图象自对称性,none,,
MATH,0023,19,两个函数图象的相互对称性,none,,
MATH,0023,19,由 $f(a+x)=f(b-x)$、$f(a+x)=-f(b-x)$、$f(a+x)+f(b-x)=c$ 判断对称轴或对称中心,none,,
MATH,0023,19,对称性与周期性的三条关系,none,,
MATH,0024,20,判断函数奇偶性的三种方法,none,,
MATH,0024,20,定义法的流程,none,,
MATH,0024,20,图象法判据,none,,
MATH,0024,20,奇偶函数的运算性质,none,,
MATH,0024,20,奇偶性应用的两个方向,none,,
MATH,0024,20,求函数值时用奇偶性把自变量转化到已知解析式的区间,none,,
MATH,0024,20,求参数时用定义等价式得恒等式、由系数相等构造方程组,none,,
MATH,0024,20,取特殊值求参数只提供必要条件，需验证,none,,
MATH,0025,21,运用奇偶性与单调性解不等式的策略,none,,
MATH,0025,21,奇函数在对称区间上单调性相同、偶函数相反,none,,
MATH,0025,21,"偶函数用 $f(x)=f(|x|)$ 把问题转化到 $[0,+\infty)$ 上求解",none,,
MATH,0025,21,函数周期性的判定方法,none,,
MATH,0025,21,周期的整数倍也是周期,none,,
MATH,0025,21,由局部性质推整体性质,none,,
MATH,0025,21,单调性与对称性结合问题的解题技巧,none,,
MATH,0025,21,奇偶性与对称性的互化,none,,
MATH,0026,22,解决奇偶性与对称性综合问题的两种思路,none,,
MATH,0026,22,由双对称（两轴、两中心、一轴一中心）得到周期结论,none,,
MATH,0026,22,奇偶性与周期性综合问题的处理流程,none,,
MATH,0026,22,函数四大性质（奇偶性、对称性、周期性、单调性）综合命题的处理方法,none,,
MATH,0026,22,借助奇偶性、对称性、周期性实现区间转换，再用单调性解决问题,none,,
MATH,0027,23,二次函数解析式的三种形式,none,,
MATH,0027,23,二次函数的定义域、值域、单调区间与对称轴,none,,
MATH,0027,23,二次函数值域公式,none,,
MATH,0027,23,二次函数在闭区间上的最值讨论,none,,
MATH,0027,23,二次函数最值的判据,none,,
MATH,0027,23,幂函数的概念 $y=x^\alpha$,none,,
MATH,0027,23,五个常用幂函数的定义域、值域、奇偶性与单调性,none,,
MATH,0027,23,函数 $y=ax+b/x$（$ab\ne0$）的图象、定义域、值域、奇偶性与单调性,none,,
MATH,0027,23,对勾函数的最小值,none,,
MATH,0028,24,研究二次函数图象的三个关键点,none,,
MATH,0028,24,求二次函数解析式的待定系数法,none,,
MATH,0028,24,二次函数三种解析式形式的适用情形,none,,
MATH,0028,24,一元二次方程根的分布问题的解法,none,,
MATH,0028,24,二次函数在区间上的单调性判据,none,,
MATH,0028,24,含参二次函数问题的分类讨论原则,none,,
MATH,0029,25,作幂函数图象的三个注意点,none,,
MATH,0029,25,幂函数图象的分布规律,none,,
MATH,0029,25,幂函数 $y=x^\alpha$ 在第一象限的单调性与 $\alpha$ 符号的关系,none,,
MATH,0029,25,形如 $x^{m/n}$ 的幂函数奇偶性的三条判据,none,,
MATH,0029,25,各常用幂函数的定义域、奇偶性、单调性与所过定点,none,,
MATH,0029,25,"所有幂函数在第一象限都过点 $(1,1)$",none,,
MATH,0030,26,根式的概念与性质,none,,
MATH,0030,26,正、负分数指数幂的定义与 $0$ 的指数幂的意义,none,,
MATH,0030,26,指数幂的三条运算性质,none,,
MATH,0030,26,对数的四条性质,none,,
MATH,0030,26,对数的换底公式 $\log_aN=\frac{\log_cN}{\log_ca}$ 及推论,none,,
MATH,0030,26,对数的三条运算性质,none,,
MATH,0030,26,指数函数的概念,none,,
MATH,0030,26,指数型函数与指数函数的区别,none,,
MATH,0030,26,指数函数的图象与性质,none,,
MATH,0030,26,指数函数图象恒过的三个点,none,,
MATH,0030,26,$y=a^x$ 与 $y=(1/a)^x$ 的图象关于 $y$ 轴对称,none,,
MATH,0030,26,$y$ 轴右侧指数函数图象越高底数越大,none,,
MATH,0030,26,"对数函数的概念（$y=\log_ax$，定义域 $(0,+\infty)$）与三个特征",none,,
MATH,0031,27,对数函数的定义域、值域、过定点与函数值符号规律,none,,
MATH,0031,27,对数函数的单调性与底数的关系,none,,
MATH,0031,27,由直线 $y=1$ 与对数函数图象的交点横坐标比较底数大小,none,,
MATH,0031,27,第一象限内对数函数图象从左到右底数逐渐增大,none,,
MATH,0031,27,指数函数与对数函数互为反函数,none,,
MATH,0031,27,指数幂化简与求值的三条技巧,none,,
MATH,0031,27,指数幂运算结果的规范性要求,none,,
MATH,0032,28,解决对数运算问题的四种常用方法,none,,
MATH,0032,28,由解析式判断指数函数图象的策略,none,,
MATH,0032,28,指数型函数图象的变换方法,none,,
MATH,0032,28,由直线 $x=1$ 与指数函数图象的交点判断底数大小,none,,
MATH,0032,28,比较指数式大小的三种情形与方法,none,,
MATH,0032,28,与指数函数有关的复合函数的处理,none,,
MATH,0033,29,比较对数式大小的三种类型与方法,none,,
MATH,0033,29,处理对数型复合函数必须弄清的三点,none,,
MATH,0033,29,对数型复合函数必须先求定义域的纪律,none,,
MATH,0033,29,"""同增异减""在复合函数单调性中的应用",none,,
MATH,0033,29,比较幂、指、对大小的基本思路,none,,
MATH,0033,29,中间量法,none,,
MATH,0033,29,构造法,none,,
MATH,0034,30,函数图象的平移变换规律（左加右减、上加下减）及其对 $x$ 系数不为 1 时的处理,none,,
MATH,0034,30,函数图象的对称变换,none,,
MATH,0034,30,指数函数与对数函数图象关于 $y=x$ 对称,none,,
MATH,0034,30,函数图象的伸缩变换,none,,
MATH,0034,30,函数图象的翻折变换,none,,
MATH,0034,30,$y=f(|x|)$ 必为偶函数,none,,
MATH,0035,31,画函数图象的三种一般方法,none,,
MATH,0035,31,含绝对值符号的函数用分段函数法作图,none,,
MATH,0035,31,作图必须注意定义域,none,,
MATH,0035,31,图象变换要注意变换顺序与先变形,none,,
MATH,0035,31,函数图象识别的六个观察角度,none,,
MATH,0035,31,由定义域判断图象的左右位置、由值域判断上下位置,none,,
MATH,0035,31,由奇偶性判断对称性、由单调性判断变化趋势、由周期性判断循环往复,none,,
MATH,0035,31,用特殊点与极限位置排除错误选项,none,,
MATH,0035,31,函数图象在方程根、不等式、含参问题中的应用,none,,
MATH,0036,32,函数零点的定义,exact,函数零点的定义,函数零点的定义
MATH,0036,32,零点的三个等价关系,none,,
MATH,0036,32,函数零点存在定理,exact,函数零点存在定理,函数零点存在定理
MATH,0036,32,二分法的定义与操作,none,,
MATH,0036,32,零点存在定理的逆向不成立（有零点不能推出端点异号），故 $f(a)f(b)<0$ 是充分不必要条件,none,,
MATH,0036,32,零点唯一性的判据,none,,
MATH,0036,32,函数零点与两函数图象交点的等价转化,none,,
MATH,0036,32,函数图象的三个应用角度,none,,
MATH,0036,32,图象应用问题的四个步骤,none,,
MATH,0037,33,判断函数零点所在区间的两种方法,none,,
MATH,0037,33,判断零点个数的三种方法,none,,
MATH,0037,33,"零点存在定理只能判断""存在""而不能判断""个数""的局限性",none,,
MATH,0037,33,用单调性、奇偶性、周期性、对称性确定零点个数,none,,
MATH,0037,33,已知函数零点求参数的三种方法,none,,
MATH,0037,33,含参零点问题中分离参数法的原理,none,,
MATH,0038,34,六种常见函数模型及其解析式,none,,
MATH,0038,34,指数、对数、幂函数模型在增长速度上的比较,none,,
MATH,0038,34,三类函数的图象变化趋势,none,,
MATH,0038,34,三类函数值的大小关系,none,,
MATH,0038,34,"""直线上升""""指数爆炸""""对数增长""的含义与增长量特征",none,,
MATH,0038,34,由增长特征选择合适函数模型的方法,none,,
MATH,0039,35,已知函数模型解决实际问题的三个关键,none,,
MATH,0039,35,用待定系数法确定函数模型中的参数,none,,
MATH,0039,35,解函数应用问题的四个步骤,none,,
MATH,0039,35,建模的实质,none,,
MATH,0039,35,还原环节的必要性,none,,
MATH,0039,35,常见实际问题与函数模型的对应,none,,
MATH,0041,37,函数在某点处的导数的定义,none,,
MATH,0041,37,导函数的定义,none,,
MATH,0041,37,$f'(x)$ 与 $f'(x_0)$ 的区别与联系,none,,
MATH,0041,37,导数的几何意义,exact,导数的几何意义,导数的几何意义
MATH,0041,37,切线方程 $y-y_0=f'(x_0)(x-x_0)$,none,,
MATH,0041,37,导数的绝对值反映图象变化的快慢与切线的陡峭程度,none,,
MATH,0041,37,八个基本初等函数的导数公式,none,,
MATH,0041,37,导数的四则运算法则,none,,
MATH,0041,37,复合函数的求导法则,none,,
MATH,0041,37,函数倒数的导数与根式的导数公式,none,,
MATH,0042,38,求函数导数的原则（先化简解析式再求导）与抽象函数、复合函数的求导策略,none,,
MATH,0042,38,解决切线问题的三个等式,none,,
MATH,0042,38,"""在某点处的切线""与""过某点的切线""的区别与联系",none,,
MATH,0042,38,"求""过某点""切线方程的四步法",none,,
MATH,0042,38,求两曲线公切线的两种情形,none,,
MATH,0043,39,导数符号与函数单调性的对应关系,none,,
MATH,0043,39,极小值点与极小值的定义,none,,
MATH,0043,39,极大值点与极大值的定义,none,,
MATH,0043,39,极值与极值点的概念,none,,
MATH,0043,39,极值不唯一、极大值可能小于极小值,none,,
MATH,0043,39,导数为零的点不一定是极值点,none,,
MATH,0043,39,处处可导函数的极值点处导数必为零,none,,
MATH,0043,39,闭区间上连续函数必有最值，最值在极值点或端点处取得,none,,
MATH,0043,39,有极值未必有最值、有最值未必有极值,none,,
MATH,0043,39,极值不一定是最值，不在端点处的最值必是极值,none,,
MATH,0043,39,单调函数的最值取在区间端点,none,,
MATH,0044,40,利用导数求函数单调区间的四个步骤,none,,
MATH,0044,40,单调区间必须是定义域的子集,none,,
MATH,0044,40,$f'(x)\ge0$ 且仅在有限个点为零时函数仍单调递增,none,,
MATH,0044,40,"""函数在某区间上单调递增""与""函数的单调递增区间是某区间""的区别",none,,
MATH,0044,40,由 $y=f'(x)$ 的图象读取 $f(x)$ 的单调区间,none,,
MATH,0045,41,讨论含参函数单调性的本质,none,,
MATH,0045,41,含参单调性讨论的四个分类层次,none,,
MATH,0045,41,已知单调性求参数范围的策略,none,,
MATH,0045,41,单调性与导数符号的等价转化,none,,
MATH,0045,41,"""单调递增""对应 $f'(x)\ge0$ 而非 $f'(x)>0$",none,,
MATH,0046,42,解决函数极值问题的一般思路,none,,
MATH,0046,42,判断极值必须验证根两侧导数变号,none,,
MATH,0046,42,"求闭区间 $[a,b]$ 上最值的两步",none,,
MATH,0046,42,开区间/无穷区间上最值的判断,none,,
MATH,0046,42,含参最值问题的分类讨论,none,,
MATH,0047,43,直接构造法证明不等式,none,,
MATH,0047,43,参变分离构造法,none,,
MATH,0047,43,构造双函数法,none,,
MATH,0047,43,凹凸反转法中两侧取最值的条件不必相同,none,,
MATH,0047,43,两个经典切线放缩不等式,none,,
MATH,0047,43,直接构造求导困难时改用双函数构造的判据,none,,
MATH,0048,44,不等式恒成立问题转化为最值的四种基本形式,none,,
MATH,0048,44,不等式能成立（有解）问题转化为最值的四种形式,none,,
MATH,0048,44,恒成立与能成立在最值取向上相反,none,,
MATH,0048,44,双变量恒（能）成立问题的四种量词组合与最值对应关系,none,,
MATH,0048,44,"全称量词对应""最不利""侧、存在量词对应""最有利""侧的记忆规则",none,,
MATH,0048,44,利用导数解决不等式恒成立问题的四种转化策略,none,,
MATH,0049,45,指数型放缩公式,none,,
MATH,0049,45,对数型放缩公式,none,,
MATH,0049,45,二次加强型放缩（$\mathrm{e}^x\ge1+x+\frac{1}{2}x^2$（$x\ge0$）；$\mathrm{e}^x\le1+x+\frac{1}{2}x^2$（$x\le0$）；$\ln x\le\frac{1}{\mathrm{e}}x$）,none,,
MATH,0049,45,切线放缩的几何含义,none,,
MATH,0049,45,函数零点问题的三条解题思路,none,,
MATH,0050,46,隐零点的定义,none,,
MATH,0050,46,解决隐零点问题的六条基本思路,none,,
MATH,0050,46,隐零点问题中利用 $f'(x_0)=0$ 的恒等式变形并代入其他式子以消去超越项,none,,
MATH,0050,46,隐零点所在区间的估算方法,none,,
MATH,0050,46,把零点作为主变量、其他变量作为参变量的处理技巧,none,,
MATH,0051,47,三次函数 $f(x)=ax^3+bx^2+cx+d$ 的导数 $f'(x)=3ax^2+2bx+c$ 与判别式 $\Delta=4(b^2-3ac)$,none,,
MATH,0051,47,三次函数的单调区间与极值,none,,
MATH,0051,47,三次函数极值点的个数特征,none,,
MATH,0051,47,三次函数只有 2 个零点时必有一个零点与极值点重合,none,,
MATH,0051,47,三次函数图象的中心对称性,none,,
MATH,0051,47,三次函数图象的轴对称性与 $f'(x)$ 的最值点,none,,
MATH,0051,47,一元三次方程根的个数判据,none,,
MATH,0052,48,三次函数四类问题的划分（图象与性质、极（最）值、零点、切线）,none,,
MATH,0052,48,三次函数中心对称性的应用,none,,
MATH,0052,48,三次函数两个极值点关于对称中心对称,none,,
MATH,0052,48,"""过某点作三条切线""与三次方程有三个实根的等价转化",none,,
MATH,0052,48,三次函数零点个数的判据,none,,
MATH,0053,49,导数中构造函数解不等式的关键,none,,
MATH,0053,49,"十种常见""原函数与导函数混合结构""的构造函数对照表",none,,
MATH,0053,49,$xf'(x)\pm nf(x)$ 型构造幂函数,none,,
MATH,0053,49,$f\pm f'$ 型构造指数函数,none,,
MATH,0053,49,含三角函数的构造,none,,
MATH,0053,49,$f'/f$ 型构造对数函数 $\ln f(x)$,none,,
MATH,0053,49,构造函数的核心思想,none,,
MATH,0053,49,构造问题按结合初等函数的四种角度划分,none,,
MATH,0054,50,四个常见的指对同构模型,none,,
MATH,0054,50,同构的核心原理,none,,
MATH,0054,50,利用 $x\mathrm{e}^x=\mathrm{e}^{x+\ln x}$ 得到的不等式 $\mathrm{e}^{x+\ln x}\ge x+\ln x+1$ 与 $\ln(x\mathrm{e}^x)\le x\mathrm{e}^x-1$,none,,
MATH,0054,50,凑常数、凑参数、凑变量的同构手法,none,,
MATH,0054,50,三类典型的同构变形,none,,
MATH,0054,50,用 $f(t)=t\mathrm{e}^t$ 或 $f(t)=t+\ln t$ 的单调性脱去函数符号,none,,
MATH,0054,50,指对同构问题的三个角度,none,,
MATH,0056,52,根与系数关系代换的思路,none,,
MATH,0056,52,双变量问题的核心思想,none,,
MATH,0056,52,变量比值代换的方法,none,,
MATH,0056,52,令 $t=x_2/x_1$ 或 $x_1/x_2$ 把双变量函数化为关于 $t$ 的单变量函数,none,,
MATH,0056,52,比值代换中新元 $t$ 的取值范围要求,none,,
MATH,0056,52,通过对数平均不等式型结构 $\frac{x_1-x_2}{\ln x_1-\ln x_2}$ 的比值换元,none,,
MATH,0056,52,双变量问题四种类型的处理主线,none,,
MATH,0057,53,极值点偏移的识别,none,,
MATH,0057,53,极值点偏移问题的解题核心,none,,
MATH,0057,53,"""把 $x_1$ 换成 $f$ 值相等的 $x_2$""的转化技巧",none,,
MATH,0057,53,两种常见构造形式,none,,
MATH,0057,53,极值点左偏与右偏的判别与结论形式,none,,
MATH,0057,53,极值点偏移问题也可用比值代换法证明,none,,
MATH,0057,53,极值点偏移问题的解题三步,none,,
MATH,0059,55,终边相同的角的集合表示,none,,
MATH,0059,55,终边关于 $x$ 轴、$y$ 轴对称的两角关系,none,,
MATH,0059,55,弧长公式 $l=|\alpha|r$ 与扇形面积公式 $S=\frac{1}{2}lr=\frac{1}{2}|\alpha|r^2$,none,,
MATH,0059,55,用单位圆定义三角函数,none,,
MATH,0059,55,用终边上任意点的坐标定义三角函数,none,,
MATH,0059,55,三角函数值在各象限的符号规律,none,,
MATH,0059,55,同角三角函数的平方关系 $\sin^2\alpha+\cos^2\alpha=1$,none,,
MATH,0059,55,同角三角函数的商数关系 $\tan\alpha=\sin\alpha/\cos\alpha$,none,,
MATH,0059,55,八组诱导公式,none,,
MATH,0059,55,诱导公式的总口诀,none,,
MATH,0060,56,求角的终边经过某一点的三角函数值的方法,none,,
MATH,0060,56,弦切互化的技巧,none,,
MATH,0060,56,和（差）积转换公式 $(\sin\alpha\pm\cos\alpha)^2=1\pm2\sin\alpha\cos\alpha$,none,,
MATH,0060,56,由 $\sin\alpha\pm\cos\alpha$、$\sin\alpha\cos\alpha$ 等知一求二的方程思想,none,,
MATH,0060,56,"""1""的两种三角变换",none,,
MATH,0060,56,利用诱导公式求任意角三角函数值的四步流程,none,,
MATH,0061,57,两角和与差的正弦、余弦、正切公式,none,,
MATH,0061,57,二倍角公式,exact,二倍角公式,二倍角公式
MATH,0061,57,半角公式,none,,
MATH,0061,57,辅助角公式 $a\sin\alpha+b\cos\alpha=\sqrt{a^2+b^2}\sin(\alpha+\varphi)$ 及 $\varphi$ 的确定,none,,
MATH,0061,57,降幂公式,none,,
MATH,0061,57,升幂公式,none,,
MATH,0061,57,公式的常用变形,none,,
MATH,0061,57,万能公式,none,,
MATH,0061,57,半角正切的另一种形式,none,,
MATH,0062,58,"三角函数式化简的""三看原则""",none,,
MATH,0062,58,化简的具体方法,none,,
MATH,0062,58,给角求值的三种常用方法,none,,
MATH,0062,58,"给值求值的""变角""技巧（$\alpha=(\alpha+\beta)-\beta$ 等）与角的范围讨论",none,,
MATH,0062,58,给值求角的转化思路,none,,
MATH,0063,59,正弦函数、余弦函数图象的五个关键点,none,,
MATH,0063,59,用五点法画 $y=A\sin(\omega x+\varphi)$ 简图的五点坐标,none,,
MATH,0063,59,振动量的振幅、周期、频率、相位、初相的定义,none,,
MATH,0063,59,由 $y=\sin x$ 变换到 $y=A\sin(\omega x+\varphi)$ 的两种途径,none,,
MATH,0063,59,两种途径中平移量的差异,none,,
MATH,0063,59,正弦、余弦、正切函数的定义域、值域、对称轴、对称中心、周期、单调区间与奇偶性,none,,
MATH,0063,59,对称性与周期的三条关系,none,,
MATH,0063,59,正切函数在定义域上不单调,none,,
MATH,0064,60,求三角函数最值的五种常见函数形式,none,,
MATH,0064,60,一次齐次型用辅助角公式求最值,none,,
MATH,0064,60,二次齐次型降次整理后用辅助角公式,none,,
MATH,0064,60,含 $\sin^2x$ 与 $\cos x$ 的函数转化为关于 $\cos x$ 的二次函数,none,,
MATH,0064,60,对称型用换元 $t=\sin x+\cos x$ 转化为代数问题,none,,
MATH,0064,60,分式与三角混合型换元后结合图象求最值,none,,
MATH,0064,60,由 $y=A\sin(\omega x+\varphi)+B$ 的图象求解析式的三步,none,,
MATH,0064,60,$A=(M-m)/2$、$B=(M+m)/2$ 的求法,none,,
MATH,0064,60,求 $\varphi$ 时优先选最高点或最低点代入以避免多解,none,,
MATH,0065,61,三角函数图象变换的三个解题要点,none,,
MATH,0065,61,求 $y=A\sin(\omega x+\varphi)$ 单调区间的方法,none,,
MATH,0065,61,$\omega<0$ 时先用诱导公式化为正数的必要性,none,,
MATH,0065,61,求 $y=A|\sin(\omega x+\varphi)|$ 单调区间用数形结合法,none,,
MATH,0065,61,根据单调区间求参数的思路,none,,
MATH,0065,61,正弦型与余弦型函数的递增、递减条件对照,none,,
MATH,0066,62,正弦型函数为奇函数、偶函数时相位 $\varphi$ 的取值判据,none,,
