subject,slug,to_topic_slug,reason
PHYSICS,类平抛运动,物理必修第二册·第五六章·抛体运动与圆周运动,恒力垂直于初速的曲线运动
PHYSICS,小船渡河模型,物理必修第二册·第五六章·抛体运动与圆周运动,运动的合成与分解的典型情境
PHYSICS,口诀法比较平抛轨迹,物理必修第二册·第五六章·抛体运动与圆周运动,平抛轨迹比较的方法
PHYSICS,用传感器探究平抛运动的特点,物理必修第二册·第五六章·抛体运动与圆周运动,平抛实验的传感器方案
PHYSICS,探究向心力大小与半径角速度质量的关系实验,物理必修第二册·第五六章·抛体运动与圆周运动,向心力实验
PHYSICS,知二求三求解卫星运动物理量,物理必修第二册·第七章·万有引力与宇宙航行,卫星运动物理量的关联式
PHYSICS,公式法解天体追及相遇问题,物理必修第二册·第七章·万有引力与宇宙航行,天体追及与相遇
PHYSICS,四星模型,物理必修第二册·第七章·万有引力与宇宙航行,多星系统中的一种构型
PHYSICS,双星与多星问题的分析关键,物理必修第二册·第七章·万有引力与宇宙航行,多星系统的基本处理
PHYSICS,碰撞与轨道变化综合问题的分析流程,物理必修第二册·第七章·万有引力与宇宙航行,以轨道变化为主线的综合分析
PHYSICS,万有引力与重力的关系,物理必修第二册·第七章·万有引力与宇宙航行,地面与轨道上的重力差异
PHYSICS,近地卫星、同步卫星与赤道上物体的比较,物理必修第二册·第七章·万有引力与宇宙航行,三类环绕比较
PHYSICS,椭圆轨道上卫星的速率计算,物理必修第二册·第七章·万有引力与宇宙航行,椭圆轨道速率与开普勒定律
PHYSICS,电动机牵引情境的功率与能量关系,物理必修第二册·第八章·机械能与能量守恒,机车/电动机牵引的能量分析
PHYSICS,求解变力做功的常用方法,物理必修第二册·第八章·机械能与能量守恒,变力做功的多种求法
PHYSICS,含弹簧变力做功问题的解题思路,物理必修第二册·第八章·机械能与能量守恒,弹簧弹性势能与变力做功
PHYSICS,验证机械能守恒定律,物理必修第二册·第八章·机械能与能量守恒,机械能守恒实验
PHYSICS,验证机械能守恒定律实验,物理必修第二册·第八章·机械能与能量守恒,机械能守恒实验（重复命名分支）
PHYSICS,验证机械能守恒定律实验的误差与创新方案,物理必修第二册·第八章·机械能与能量守恒,机械能守恒实验的误差分析
PHYSICS,能量图像的斜率意义,物理必修第二册·第八章·机械能与能量守恒,能量类图像的斜率含义
PHYSICS,碰撞恢复系数,物理选择性必修第一册·第一章·动量,碰撞的能量损失描述
PHYSICS,保守型与耗散型碰撞拓展模型,物理选择性必修第一册·第一章·动量,两类碰撞模型的拓展
PHYSICS,图像法与数学归纳法解决多次碰撞问题,物理选择性必修第一册·第一章·动量,多次碰撞的处理方法
PHYSICS,爆炸模型,物理选择性必修第一册·第一章·动量,反冲与爆炸的动量守恒
PHYSICS,正则动量定理的应用,物理选择性必修第一册·第一章·动量,动量定理的推广形式
PHYSICS,单方向的简谐运动,物理选择性必修第一册·第二三章·机械振动与机械波,简谐运动的单向处理
PHYSICS,用单摆测量重力加速度,物理选择性必修第一册·第二三章·机械振动与机械波,单摆实验
PHYSICS,测量玻璃的折射率实验,物理选择性必修第一册·第四章·光学,折射率测量实验
PHYSICS,用双缝干涉测量光的波长实验,物理选择性必修第一册·第四章·光学,双缝干涉实验
PHYSICS,复合场中的上抛模型,物理必修第三册·第九十章·静电场,电场与重力场中的抛体运动
PHYSICS,电场强度与电势的叠加,物理必修第三册·第九十章·静电场,叠加原理在电场的应用
PHYSICS,电池组的串联与并联,物理必修第三册·第十一十二章·恒定电流,电源组合的等效
PHYSICS,电路中的三类图线,物理必修第三册·第十一十二章·恒定电流,电路图像基础
PHYSICS,电路的等效处理方法,物理必修第三册·第十一十二章·恒定电流,电路简化的通法
PHYSICS,含容电路的分析策略,物理必修第三册·第十一十二章·恒定电流,含电容器的电路分析
PHYSICS,电桥法测电阻,物理必修第三册·第十一十二章·恒定电流,电桥测电阻
PHYSICS,电池容量与放电曲线,物理必修第三册·第十一十二章·恒定电流,电池容量与放电特性
PHYSICS,多用电表欧姆挡的原理与使用,物理必修第三册·第十一十二章·恒定电流,欧姆挡原理与操作
PHYSICS,磁电式电表的原理,物理必修第三册·第十一十二章·恒定电流,磁电式表头原理
PHYSICS,电源与电阻的U-I图像比较,物理必修第三册·第十一十二章·恒定电流,电源与电阻伏安特性对比
PHYSICS,测电阻的创新方案,物理必修第三册·第十一十二章·恒定电流,测电阻的开放方案
PHYSICS,欧姆表的原理与使用,物理必修第三册·第十一十二章·恒定电流,欧姆表原理
PHYSICS,两类U-I图像的综合应用,物理必修第三册·第十一十二章·恒定电流,伏安特性图像综合
PHYSICS,差值法测电阻,物理必修第三册·第十一十二章·恒定电流,差值法测电阻
PHYSICS,半偏法测电表内阻,物理必修第三册·第十一十二章·恒定电流,半偏法测内阻
PHYSICS,左手定则与右手定则,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,两个定则的区分与使用
PHYSICS,电磁流量计,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,洛伦兹力应用装置
PHYSICS,回旋加速器与同步加速器的工作原理,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,回旋加速器模型
PHYSICS,磁场的叠加,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,磁场的叠加原理
PHYSICS,洛伦兹力作用下带电体的运动,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,带电体在磁场中的运动
PHYSICS,动量定理在磁场中的应用,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,磁场中冲量-动量方法
PHYSICS,探究影响感应电流方向的因素实验,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,楞次定律探究实验
PHYSICS,电磁阻尼和电磁驱动,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,电磁阻尼与驱动
PHYSICS,电磁感应中的电荷量计算,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,感应电量 q=ΔΦ/R 类问题
PHYSICS,动量定理在电磁感应中的应用,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,电磁感应中的动量方法
PHYSICS,配速法,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应,复合场中速度分解的处理
PHYSICS,远距离输电,物理选择性必修第二册·第三四章·交变电流与电磁波,输电模型
PHYSICS,探究变压器电压与匝数关系的实验,物理选择性必修第二册·第三四章·交变电流与电磁波,变压器实验
PHYSICS,油膜法估测油酸分子的大小,物理选择性必修第三册·第一至三章·热学,分子大小估测
PHYSICS,用油膜法估测油酸分子的大小实验,物理选择性必修第三册·第一至三章·热学,油膜法实验
PHYSICS,浸润不浸润与毛细现象,物理选择性必修第三册·第一至三章·热学,液体表面与毛细现象
PHYSICS,探究等温情况下气体压强与体积的关系实验,物理选择性必修第三册·第一至三章·热学,玻意耳定律实验
BIOLOGY,电子传递过程的三步定位法,生物学必修1·第五章第三节·细胞呼吸,有氧呼吸第三阶段的方法提炼
BIOLOGY,细胞分裂时期的判断方法,生物学必修2·第一章·遗传的细胞基础,减数分裂各时期图像判断
BIOLOGY,减数分裂异常的原因分析,生物学必修2·第一章·遗传的细胞基础,减数分裂异常的成因
BIOLOGY,光合产物的运输与转化,生物学必修1·第五章第四节·光合作用,光合产物去向
BIOLOGY,光合作用与化能合成作用的比较,生物学必修1·第五章第四节·光合作用,两类合成作用对比
BIOLOGY,启动子与终止子的辨析,生物学选择性必修3·生物技术与工程·基因工程的基本操作程序,基因表达元件辨析
BIOLOGY,通道蛋白与载体蛋白的辨析,生物学必修1·第四章·物质的输入与输出,两类转运蛋白辨析
BIOLOGY,H和ATP的来源与去向,生物学必修1·第五章·酶与ATP,能量货币的来源与去向
BIOLOGY,连锁与互换,生物学必修2·第一章第二节·遗传的基本规律,连锁互换的遗传规律
CHEMISTRY,能源类型的划分,化学必修第二册·第六章·化学反应与能量,能源与反应热
CHEMISTRY,化学与环境问题,化学必修第二册·第八章·化学与可持续发展,化学与社会
CHEMISTRY,化学与材料的分类,化学必修第二册·第八章·化学与可持续发展,材料与可持续发展
CHEMISTRY,生活中的化学常识与常见药物,化学必修第二册·第八章·化学与可持续发展,化学与生活
CHEMISTRY,化学与技术中的重要应用,化学必修第二册·第八章·化学与可持续发展,化工技术应用
CHEMISTRY,常见食品添加剂及其功能,化学必修第二册·第七章·有机化合物·基本营养物质,食品添加剂属基本营养物质
CHEMISTRY,热重法测定物质组成,CHEMISTRY·综合·实验与方案设计·实验分析,定量分析实验方法（挂主题层；顶层「化学实验基础」推不出"册 章"）
CHEMISTRY,无机化合物制备实验的分析模型,CHEMISTRY·综合·实验与方案设计·实验分析,制备实验的分析框架
CHEMISTRY,晶胞投影,化学选择性必修2·物质结构与性质·物质的聚集状态与晶体的常识,晶胞投影属晶体结构
MATH,指对处理,数学必修第一册·第四章·指数函数与对数函数,指对互化与同构处理
MATH,分类讨论法,MATH·综合·综合·综合,跨章节的分类讨论通法（数学原本没有综合桶）
MATH,数形结合找临界,MATH·综合·综合·综合,跨章节的数形结合通法
MATH,平行四边形恒等式与中线定理,数学必修第二册·第六章·平面向量,向量恒等式与三角形中线
MATH,平方和与立方和公式,数学选择性必修第二册·第四章·数列,数列求和用到的幂和公式
MATH,参数化动点的轨迹分析,数学选择性必修第一册·第二三章·解析几何,动点轨迹的两类处理
MATH,动点问题处理策略,数学选择性必修第一册·第二三章·解析几何,解析几何动点策略
MATH,欧拉线,数学选择性必修第一册·第二三章·解析几何,三角形心线的解析处理
MATH,一元三次方程根的个数判断,数学选择性必修第二册·第五章·函数与导数,用导数判断三次方程根的个数
MATH,三垂线定理及其逆定理,数学必修第二册·第八章（空间向量见选择性必修第一册）·立体几何,立体几何垂直判定
MATH,二项式系数的性质,数学选择性必修第三册·第六章·计数原理,二项式定理分支
MATH,分组分配问题,数学选择性必修第三册·第六章·计数原理,排列组合的分组分配
MATH,二项展开式系数最大项,数学选择性必修第三册·第六章·计数原理,二项式系数最值
MATH,全期望公式,数学必修第二册·第九十章（条件概率与正态分布见选择性必修第三册）·概率统计,条件期望与全期望
MATH,半角公式与万能公式,数学必修第一册·第五章·三角函数,三角恒等变换公式
MATH,积化和差与和差化积公式,数学必修第一册·第五章·三角函数,三角恒等变换公式
