subject,slug,name,book,chapter,section,score
MATH,离散型随机变量的期望,离散型随机变量的期望,数学选择性必修第三册,第七章 随机变量及其分布,7.2 离散型随机变量及其分布列,0.60
MATH,离散型随机变量的方差,离散型随机变量的方差,数学选择性必修第三册,第七章 随机变量及其分布,7.2 离散型随机变量及其分布列,0.60
MATH,二项分布,二项分布,数学选择性必修第三册,第七章 随机变量及其分布,7.3 二项分布与超几何分布,0.50
MATH,超几何分布,超几何分布,数学选择性必修第三册,第七章 随机变量及其分布,7.3 二项分布与超几何分布,0.67
MATH,正态分布,正态分布,数学选择性必修第三册,第七章 随机变量及其分布,7.4 正态分布,1.00
MATH,简单随机抽样,简单随机抽样,数学必修第二册,第九章 统计,9.1 随机抽样,1.00
MATH,分层随机抽样,分层随机抽样,数学必修第二册,第九章 统计,9.1 随机抽样,0.80
MATH,统计图表的读取,统计图表的读取,数学必修第二册,第九章 统计,9.3 统计分析案例,0.25
MATH,平均数与中位数,平均数与中位数,数学必修第一册,第四章 指数函数与对数函数,4.3 对数,0.25
MATH,回归分析,回归分析,数学选择性必修第三册,第八章 成对数据的统计分析,8.2 一元线性回归及其应用,0.33
MATH,独立性检验,独立性检验,数学必修第二册,第十章 概率,10.2 事件的相互独立性,0.33
MATH,直线的方程,直线的方程,数学选择性必修第一册,第二章 直线和圆的方程,2.2 直线的方程,1.00
MATH,两条直线的位置关系,两条直线的位置关系,数学选择性必修第一册,第二章 直线和圆的方程,2.5 直线与圆、圆与圆的位置关系,0.67
MATH,圆的方程,圆的方程,数学选择性必修第一册,第二章 直线和圆的方程,2.4 圆的方程,1.00
MATH,直线与圆的位置关系,直线与圆的位置关系,数学选择性必修第一册,第二章 直线和圆的方程,2.5 直线与圆、圆与圆的位置关系,1.00
MATH,椭圆,椭圆,数学选择性必修第一册,第三章 圆锥曲线的方程,3.1 椭圆,1.00
MATH,椭圆的方程,椭圆的方程,数学选择性必修第一册,第二章 直线和圆的方程,2.4 圆的方程,0.75
MATH,椭圆的离心率,椭圆的离心率,数学选择性必修第一册,第三章 圆锥曲线的方程,3.1 椭圆,0.40
MATH,椭圆的焦点,椭圆的焦点,数学选择性必修第一册,第三章 圆锥曲线的方程,3.1 椭圆,0.50
MATH,双曲线,双曲线,数学选择性必修第一册,第三章 圆锥曲线的方程,3.2 双曲线,1.00
MATH,双曲线的渐近线,双曲线的渐近线,数学选择性必修第一册,第三章 圆锥曲线的方程,3.2 双曲线,0.60
MATH,双曲线的离心率,双曲线的离心率,数学选择性必修第一册,第三章 圆锥曲线的方程,3.2 双曲线,0.50
MATH,抛物线,抛物线,数学选择性必修第一册,第三章 圆锥曲线的方程,3.3 抛物线,1.00
MATH,抛物线的焦点与准线,抛物线的焦点与准线,数学选择性必修第一册,第三章 圆锥曲线的方程,3.3 抛物线,0.50
MATH,抛物线焦半径,抛物线焦半径,数学选择性必修第一册,第三章 圆锥曲线的方程,3.3 抛物线,0.50
MATH,曲线的轨迹方程,曲线的轨迹方程,数学选择性必修第一册,第二章 直线和圆的方程,2.2 直线的方程,0.43
MATH,圆锥曲线的综合问题,圆锥曲线的综合问题,数学选择性必修第一册,第三章 圆锥曲线的方程,3.2 双曲线,0.22
MATH,分类加法计数原理,分类加法计数原理,数学选择性必修第三册,第六章 计数原理,6.1 分类加法计数原理与分步乘法计数原理,0.86
MATH,分步乘法计数原理,分步乘法计数原理,数学选择性必修第三册,第六章 计数原理,6.1 分类加法计数原理与分步乘法计数原理,0.71
MATH,排列,排列,数学选择性必修第三册,第六章 计数原理,6.2 排列与组合,0.50
MATH,组合,组合,数学选择性必修第三册,第六章 计数原理,6.2 排列与组合,0.50
MATH,二项式定理,二项式定理,数学选择性必修第三册,第六章 计数原理,6.3 二项式定理,1.00
MATH,函数的相关概念,函数的相关概念,数学必修第一册,第三章 函数的概念与性质,3.1 函数的概念及其表示,0.50
MATH,函数的三要素,函数的三要素,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.50
MATH,相等函数与分段函数,相等函数与分段函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,单调函数的定义,单调函数的定义,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,函数的单调区间,函数的单调区间,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,函数单调性的性质,函数单调性的性质,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.57
MATH,函数奇偶性的几个重要结论,函数奇偶性的几个重要结论,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.21
MATH,周期函数的定义,周期函数的定义,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.33
MATH,关于线对称,关于线对称,数学选择性必修第一册,第二章 直线和圆的方程,2.5 直线与圆、圆与圆的位置关系,0.22
MATH,关于点对称,关于点对称,数学必修第二册,第八章 立体几何初步,8.4 空间点、直线、平面之间的位置关系,0.15
MATH,函数值域的求法,函数值域的求法,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.33
MATH,配方法-主要用于二次函数或可化为二次函数的函数-要特别注意自变量的取值范围,配方法,数学选择性必修第一册,第二章 直线和圆的方程,2.4 圆的方程,0.20
MATH,判别式法-主要用于含有二次的分式函数-形如,判别式法,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.14
MATH,为奇函数,为奇函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.67
MATH,函数的奇偶性-周期性-对称性关系,函数的奇偶性、周期性、对称性关系,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.23
MATH,抽象函数的性质综合,抽象函数的性质综合,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.45
MATH,判断抽象函数单调性的方法,判断抽象函数单调性的方法,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.29
MATH,复合函数定义域忽略内层值域与外层定义域关系致错,复合函数定义域忽略内层值域与外层定义域关系致错,数学必修第一册,第一章 集合与常用逻辑用语,1.2 集合间的基本关系,0.14
MATH,忽略二次型式子最高次系数为0致错,忽略二次型式子最高次系数为0致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.22
MATH,判断函数奇偶性时忽略定义域致错,判断函数奇偶性时忽略定义域致错,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.17
MATH,利用单调性解不等式时忽略定义域致错,利用单调性解不等式时忽略定义域致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.21
MATH,研究分段函数单调性时忽略分段点致错,研究分段函数单调性时忽略分段点致错,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.3 导数在研究函数中的应用,0.29
MATH,函数定义域的常见类型,函数定义域的常见类型,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.33
MATH,偶次方根的被开方数的被开方数必须大于等于零-即中,偶次方根被开方数的取值范围,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.17
MATH,待定系数法-若已知函数的类型-如一次函数-二次函数等-可用待定系数法,待定系数法,数学选择性必修第二册,第四章 数列,4.4 数学归纳法,0.25
MATH,换元法-主要用于解决已知的解析式-求函数的解析式的问题,换元法,数学必修第一册,第五章 三角函数,5.5 三角恒等变换,0.14
MATH,方程组法-主要解决已知与-的方程-求解析式,方程组法,数学选择性必修第一册,第二章 直线和圆的方程,2.4 圆的方程,0.40
MATH,分段函数的常见类型及解法,分段函数的常见类型及解法,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,比较函数值的大小-先将自变量转化到同一个单调区间内-然后利用函数的单调性解决,比较函数值的大小,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.29
MATH,利用函数的单调性求参数,利用函数的单调性求参数,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.30
MATH,利用奇偶性求值-将待求函数值或不等式利用奇偶性转化为已知区间上的函数值求解,利用奇偶性求值,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.11
MATH,根式与分数指数幂,根式与分数指数幂,数学必修第一册,第四章 指数函数与对数函数,4.1 指数,0.40
MATH,指数幂的运算性质,指数幂的运算性质,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.38
MATH,对数与对数运算,对数与对数运算,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.75
MATH,幂函数的定义-一般地-函数y-xα叫做幂函数-其中x是自变量-α是常数,幂函数的定义,数学必修第一册,第三章 函数的概念与性质,3.3 幂函数,0.60
MATH,幂函数的性质,幂函数的性质,数学必修第一册,第三章 函数的概念与性质,3.3 幂函数,0.60
MATH,指数函数及其性质,指数函数及其性质,数学必修第一册,第四章 指数函数与对数函数,4.2 指数函数,0.60
MATH,指数函数的常用技巧,指数函数的常用技巧,数学必修第一册,第四章 指数函数与对数函数,4.2 指数函数,0.60
MATH,对数函数的概念,对数函数的概念,数学必修第一册,第三章 函数的概念与性质,3.1 函数的概念及其表示,0.67
MATH,对数函数图象的常用结论,对数函数图象的常用结论,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.40
MATH,函数零点的定义,函数零点的定义,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.33
MATH,函数零点存在定理,函数零点存在定理,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.33
MATH,二分法,二分法,数学必修第一册,第四章 指数函数与对数函数,4.5 函数的应用（二）,0.25
MATH,二次函数在闭区间上的最值问题,二次函数在闭区间上的最值问题,数学必修第一册,第四章 指数函数与对数函数,4.5 函数的应用（二）,0.27
MATH,指数型复合函数的单调性问题,指数型复合函数的单调性问题,数学必修第一册,第四章 指数函数与对数函数,4.2 指数函数,0.33
MATH,指数型复合函数的值域问题,指数型复合函数的值域问题,数学必修第一册,第四章 指数函数与对数函数,4.2 指数函数,0.33
MATH,对数型复合函数的单调性问题的求解策略,对数型复合函数的单调性问题的求解策略,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.21
MATH,对数型复合函数的值域问题的求解策略,对数型复合函数的值域问题的求解策略,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.18
MATH,嵌套函数的零点问题,嵌套函数的零点问题,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.25
MATH,函数零点的求和问题,函数零点的求和问题,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.29
MATH,忽略对指数与对数底数的讨论致错,忽略对指数与对数底数的讨论致错,数学必修第一册,第四章 指数函数与对数函数,4.1 指数,0.22
MATH,求复合函数单调性时忽略定义域致错,求复合函数单调性时忽略定义域致错,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.17
MATH,对零点存在定理理解不准确致错,对零点存在定理理解不准确致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.08
MATH,指数幂运算的一般原则,指数幂运算的一般原则,数学必修第二册,第七章 复数,7.2 复数的四则运算,0.36
MATH,对数混合运算的一般原则,对数混合运算的一般原则,数学必修第二册,第七章 复数,7.2 复数的四则运算,0.36
MATH,对数运算中的几个运算技巧,对数运算中的几个运算技巧,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.38
MATH,幂函数的图象与性质,幂函数的图象与性质,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.67
MATH,指数函数的图象与性质应用,指数函数的图象与性质应用,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.67
MATH,对数函数的图象与性质应用,对数函数的图象与性质应用,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,0.75
MATH,指对幂比较大小的常用方法,指对幂比较大小的常用方法,数学必修第一册,第四章 指数函数与对数函数,4.1 指数,0.11
MATH,作差法-作商法,作差法、作商法,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.17
MATH,估值法-1-估算要比较大小的两个值所在的大致区间,估值法,数学选择性必修第二册,第四章 数列,4.4 数学归纳法,0.14
MATH,构造函数-运用函数的单调性比较,构造函数，运用函数的单调性比较,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.25
MATH,定理法-利用零点存在定理-函数的图象在区间上是连续不断的曲线-且,定理法,数学选择性必修第三册,第六章 计数原理,6.3 二项式定理,0.20
MATH,性质法-利用函数性质-若能确定函数的单调性-则其零点个数不难得到,性质法,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.40
MATH,直接法-利用零点存在的判定定理构建不等式求解,直接法,数学选择性必修第一册,第二章 直线和圆的方程,2.2 直线的方程,0.17
MATH,分离参数法-分离参数后转化为求函数的值域-最值-问题求解,分离参数法,数学选择性必修第二册,第四章 数列,4.4 数学归纳法,0.29
MATH,重要不等式-当且仅当时取号,重要不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.33
MATH,利用基本不等式求最值,利用基本不等式求最值,数学必修第一册,第二章 一元二次函数、方程和不等式,2.2 基本不等式,0.50
MATH,不等式恒成立与能成立问题,不等式恒成立与能成立问题,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.20
MATH,含参一元二次不等式的解法,含参一元二次不等式的解法,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.46
MATH,忽视不等式性质成立的条件致错,忽视不等式性质成立的条件致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.33
MATH,忽视基本不等式应用的条件致错,忽视基本不等式应用的条件致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.2 基本不等式,0.40
MATH,连续使用基本不等式忽略等号同时成立致错,连续使用基本不等式忽略等号同时成立致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.2 基本不等式,0.25
MATH,解分数不等式忽略分母不为零致错,解分数不等式忽略分母不为零致错,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.19
MATH,作差法,作差法,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.20
MATH,利用不等式的性质求数-式-的范围,利用不等式的性质求数（式）的范围,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.44
MATH,解一元二次不等式的步骤,解一元二次不等式的步骤,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.55
MATH,基本不等式的实际应用,基本不等式的实际应用,数学必修第一册,第二章 一元二次函数、方程和不等式,2.2 基本不等式,0.67
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,求函数最值时须在定义域内,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.18
MATH,证明不等式,证明不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.33
MATH,集合运算中的常用二级结论,集合运算中的常用二级结论,数学必修第一册,第一章 集合与常用逻辑用语,1.3 集合的基本运算,0.40
MATH,充要条件,充要条件,数学必修第一册,第一章 集合与常用逻辑用语,1.4 充分条件与必要条件,0.80
MATH,全称量词与全称量词命题,全称量词与全称量词命题,数学必修第一册,第一章 集合与常用逻辑用语,1.5 全称量词与存在量词,0.57
MATH,存在量词与存在量词命题,存在量词与存在量词命题,数学必修第一册,第一章 集合与常用逻辑用语,1.5 全称量词与存在量词,0.43
MATH,命题的否定-对命题p加以否定-得到一个新的命题-记作-读作-非p-或p的否定,命题的否定,数学选择性必修第三册,第六章 计数原理,6.3 二项式定理,0.14
MATH,利用元素与集合的关系求参数,利用元素与集合的关系求参数,数学必修第一册,第一章 集合与常用逻辑用语,1.2 集合间的基本关系,0.31
MATH,利用集合间的关系求参数,利用集合间的关系求参数,数学必修第一册,第一章 集合与常用逻辑用语,1.2 集合间的基本关系,0.45
MATH,根据交集-并集-补集的运算结果求参数,根据交集、并集、补集的运算结果求参数,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.21
MATH,利用充分必要条件求参数,利用充分必要条件求参数,数学必修第一册,第一章 集合与常用逻辑用语,1.4 充分条件与必要条件,0.56
MATH,端点取值需谨慎-在求参数范围时-要注意边界或区间端点值的检验-从而确定取舍,端点取值需谨慎,数学选择性必修第一册,第二章 直线和圆的方程,2.3 直线的交点坐标与距离公式,0.06
MATH,根据全称-存在量词命题的真假求参数,根据全称、存在量词命题的真假求参数,数学必修第一册,第一章 集合与常用逻辑用语,1.5 全称量词与存在量词,0.36
MATH,解决双变量-存在性-或-任意性-的等式问题,解决双变量“存在性”或“任意性”的等式问题,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.12
MATH,解决双变量-存在性-或-任意性-的不等式问题,解决双变量“存在性”或“任意性”的不等式问题,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.19
MATH,对集合表示方法的理解偏差致错,对集合表示方法的理解偏差致错,数学必修第一册,第一章 集合与常用逻辑用语,1.1 集合的概念,0.17
MATH,忽视-漏-空集致错,忽视（漏）空集致错,数学必修第一册,第一章 集合与常用逻辑用语,1.1 集合的概念,0.10
MATH,忽视集合元素的互异性致错,忽视集合元素的互异性致错,数学必修第一册,第一章 集合与常用逻辑用语,1.1 集合的概念,0.15
MATH,充分性与必要性位置颠倒理解错误致错,充分性与必要性位置颠倒理解错误致错,数学必修第一册,第一章 集合与常用逻辑用语,1.4 充分条件与必要条件,0.23
MATH,对含有一个量词命题的否定理解错误致错,对含有一个量词命题的否定理解错误致错,数学必修第一册,第一章 集合与常用逻辑用语,1.5 全称量词与存在量词,0.13
MATH,子集的个数问题,子集的个数问题,数学必修第一册,第四章 指数函数与对数函数,4.3 对数,0.17
MATH,判断集合间的关系,判断集合间的关系,数学必修第一册,第一章 集合与常用逻辑用语,1.2 集合间的基本关系,0.56
MATH,列举观察法-列出几何中的全部元素-通过定义得出集合间关系,列举观察法,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.14
MATH,venn图在集合运算中的应用,Venn图在集合运算中的应用,数学必修第一册,第一章 集合与常用逻辑用语,1.3 集合的基本运算,0.57
