subject,material,material_title,current_node_slug,current_node_name,title_matches_node,note
PHYSICS,phys-hj2-kulunli-pingheng-wenti,库仑力作用下的平衡问题,安培力作用下导体的平衡与加速问题,安培力作用下导体的平衡与加速问题,库仑力作用下的平衡问题,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-dianshi-gaodi-panfang,电势高低与电势能大小的判断方法,利用电场线和等势面解决带电粒子运动问题的方法,利用电场线和等势面解决带电粒子运动问题的方法,电势高低与电势能大小的判断方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-chaozhong-shizhong-panfang-fangfa,超重与失重的判断方法,波的干涉中振动加强点和减弱点的判断方法,波的干涉中振动加强点和减弱点的判断方法：,超重与失重的判断方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-collision-classification,碰撞的分类与比较,非弹性碰撞,非弹性碰撞,碰撞的分类与比较,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-particle-ac-field,带电粒子在交变电场中的运动,带电粒子在交变电磁场中的运动,带电粒子在交变电磁场中的运动：,带电粒子在交变电场中的运动,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-micrometer-reading,螺旋测微器的原理与读数,必备实验仪器的原理及使用,必备实验仪器的原理及使用,螺旋测微器的原理与读数,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-gas-image-analysis,气体状态变化图像的分析方法,分析方法,运动描述的分析方法,气体状态变化图像的分析方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-oil-film-exp-principle,用油膜法估测油酸分子的大小,物体看作质点的条件-物体的大小和形状对研究问题的影响可以忽略,物体看作质点的条件,用油膜法估测油酸分子的大小,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-incline-circular-motion,斜面上圆周运动的临界问题,平抛运动的临界问题,平抛运动的临界问题,斜面上圆周运动的临界问题,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-motion-composition-relations,合运动与分运动的关系,核心处理思想-运动的合成与分解-约束条件,核心处理思想：运动的合成与分解 + 约束条件：,合运动与分运动的关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj3-composition-nature-judge,两个直线运动合运动性质的判断,定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度,惯性,两个直线运动合运动性质的判断,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-alternating-field-motion,带电粒子在交变电场中的运动,带电粒子在交变电磁场中的运动,带电粒子在交变电磁场中的运动：,带电粒子在交变电场中的运动,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-ammeter-ammeter-method,安安法测电阻,电压表-电流表的改装,电压表、电流表的改装,安安法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-voltmeter-voltmeter-method,伏伏法测电阻,电压表-电流表的改装,电压表、电流表的改装,伏伏法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-current-half-bias-method,电流半偏法测电流表内阻,小量程电流表-表头,小量程电流表(表头),电流半偏法测电流表内阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-voltage-half-bias-method,电压半偏法测电压表内阻,电压表-电流表的改装,电压表、电流表的改装,电压半偏法测电压表内阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-power-average-instantaneous,平均功率与瞬时功率,平均速度与瞬时速度的区别,平均速度与瞬时速度的区别：,平均功率与瞬时功率,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-autotransformer-instrument-transformer,自耦变压器与互感器,变压器,变压器,自耦变压器与互感器,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-fx-momentum-conservation-procedure,应用动量守恒定律的解题步骤,多物体-多过程问题中动量守恒定律的应用,多物体、多过程问题中动量守恒定律的应用,应用动量守恒定律的解题步骤,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-mo-l05-three-nature-forces-b,力的概念,模型示意图,力的图示与力的示意图,力的概念,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-mo-l09-newton-laws-basic-b-2,牛顿第二定律,牛顿第二定律的理解-五性,牛顿第二定律的理解：“五性”,牛顿第二定律,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,ext-che-02e43d3aeb-001b,燃料电池电极反应式的书写,o2作为原电池的正极反应物时-其电极反应在不同的介质中有不同的写法,氧气的电极反应式书写,甲烷作燃料电池的负极反应物时-其电极反应式在不同的介质中有不同的写法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,ext-che-15fcabc7cf-030,循环物质的确定方法,化工流程题的分析模型,化工流程题的分析模型,循环物质的确定方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,ext-che-1422ee20c2-005,装置气密性的检查方法,气体制备,气体制备,装置气密性的检查方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,ext-che-a4f995ac24-002b,乙烯的实验室制法,乙烯,乙烯,乙烯的实验室制法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-mo-l14-projectile-b-2,斜抛运动,竖直上抛运动的处理方法,竖直上抛运动的处理方法：,斜抛运动,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-ionization-constant-concept,电离平衡常数,常温下-几种弱酸的电离平衡常数如下表所示,弱酸电离常数的应用,电离平衡常数,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-ground-excited-state-spectrum,基态、激发态与原子光谱,元素周期表与原子结构的规律,元素周期表与原子结构的规律,基态、激发态与原子光谱,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-ion-exchange-membranes,离子交换膜的种类与作用,在浓差电池中-为了限定某些离子的移动-常涉及到-离子交换膜,在浓差电池中,离子交换膜的种类与作用,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-h2s-properties,硫化氢的性质,na2o2的性质及应用,Na2O2的性质及应用,硫化氢的性质,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-three-bleaching-types,三类漂白剂的区别,过氧化钠,过氧化钠,三类漂白剂的区别,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-kb-molecular-chirality,分子的手性,有机化合物中碳原子的成键特点,有机化合物中碳原子的成键特点,分子的手性,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-na2o2-qiangyanghuaxing,过氧化钠的强氧化性与还原性,过氧化钠,过氧化钠,na22,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-qiti-rongyu-jisuan,气体溶于水后溶液浓度的计算,有关物质的量浓度的计算,有关物质的量浓度的计算,气体溶于水后溶液浓度的计算,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-liusuan-gen-jianyan,硫酸根离子的检验,常见阳离子的检验与推断依据,常见阳离子的检验与推断依据,硫酸根离子的检验,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-cuyan-tichun-shunxu,粗盐提纯的除杂试剂与顺序,有关铁及其化合物的除杂,有关铁及其化合物的除杂,粗盐提纯的除杂试剂与顺序,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-changjian-liusuyan,常见硫酸盐的性质与用途,过氧化钠的性质与探究,过氧化钠的性质与探究,常见硫酸盐的性质与用途,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-lizi-tuiduan-siyuanze,离子推断的四项原则,电荷守恒在离子推断中的应用,电荷守恒在离子推断中的应用,离子推断的四项原则,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-jianjixing-yu-suanxing,键的极性对羧酸酸性的影响,键的极性和分子的极性,键的极性和分子的极性,键的极性对羧酸酸性的影响,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-kongjian-liyonglv-jisuan,晶胞空间利用率的计算,化学反应速率的计算方法,化学反应速率的计算方法,晶胞空间利用率的计算,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-jingbao-midu-jisuan,晶胞密度的计算,有关物质的量浓度的计算,有关物质的量浓度的计算,晶胞密度的计算,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-xinxing-wuji-feijinshu-cailiao,新型无机非金属材料,金属材料,金属材料,新型无机非金属材料,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-youji-jiegou-biaoshi-fangfa,有机物结构的表示方法,有机物的结构可用键线式表示-如,键线式,有机物结构的表示方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-yixi-shiyanshi-zhifa,乙烯的实验室制法,cl2的实验室制法,Cl2的实验室制法,乙烯的实验室制法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj-f113-jita-jifata-guangpu,基态、激发态与原子光谱,元素周期表与原子结构的规律,元素周期表与原子结构的规律,基态、激发态与原子光谱,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-hj2-yixi-shiyanshi-zhibei,乙烯的实验室制法,cl2的实验室制法,Cl2的实验室制法,乙烯的实验室制法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-fx-re-zhong-fen-xi-fa-f01x04,热重分析法,热重分析确定金属化合物的组成,热重分析确定金属化合物的组成,热重分析法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-fx-xin-xing-wu-ji-fei-jin-shu-cai-liao-f18x03,新型无机非金属材料,金属材料,金属材料,新型无机非金属材料,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,ext-bio-26746c92ba-128c,密度制约因素与非密度制约因素,种群数量的变化,种群数量的变化,密度制约因素与非密度制约因素,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,ext-bio-f49eeec233-007,调查人群中的遗传病,人类遗传病,人类遗传病,调查人群中的遗传病,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,ext-bio-f49eeec233-007b,遗传病的检测和预防,人类遗传病,人类遗传病,遗传病的检测和预防,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-83dd6313b9-001b,库仑力作用下的平衡问题,库仑定律,库仑定律,库仑力作用下的平衡问题,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,ext-mat-21f409769a-001,直线的倾斜角与斜率,直线的方程,直线的方程,直线的倾斜角与斜率,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-00dee0496f-009c,核能的计算方法,质量亏损,质量亏损,核能的计算方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-fx-dian-jie-jing-lian-tong-f41x11,电解精炼铜,电解原理应用的四点注意事项,电解原理应用的四点注意事项,电解精炼铜,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-fx-di-ding-fen-xi-fa-f70x03,滴定分析法,连续型离子方程式的书写-分类分析法,连续型离子方程式的书写(分类分析法)：,滴定分析法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,chem-mo-youji-jiegou-biaoshifangfa,有机物结构的表示方法,有机物的结构可用键线式表示-如,键线式,有机物结构的表示方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-kb2-07-transport-modes-compare,物质跨膜运输方式的比较,自由扩散,自由扩散,物质跨膜运输方式的比较,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-kb2-07-transport-factors,影响物质跨膜运输的因素,物质出入细胞的方式,物质出入细胞的方式,影响物质跨膜运输的因素,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-fj-04-nucleic-acid-function,核酸是遗传信息的携带者,遗传信息的翻译,遗传信息的翻译,核酸是遗传信息的携带者,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-fj-04-dna-diversity-specificity,DNA分子的多样性与特异性,dna的双螺旋结构,DNA的双螺旋结构,DNA分子的多样性与特异性,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-fj-07-factors-affecting-transport,影响物质跨膜运输的因素,物质出入细胞的方式,物质出入细胞的方式,影响物质跨膜运输的因素,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-fj-17-genetic-disease-survey,调查人群中的遗传病,人类遗传病,人类遗传病,调查人群中的遗传病,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-fj-32-population-research-application,种群研究的应用,细胞呼吸原理的应用,细胞呼吸原理的应用,种群研究的应用,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,ext-mat-756b0344d1-001b,极值点偏移的对称化构造法,极值点偏移问题,极值点偏移问题,极值点偏移的对称化构造法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,ext-mat-9e21a7e47c-003,等差数列的判定与证明方法,等差数列,等差数列,等差数列的判定与证明方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,ext-mat-9e21a7e47c-003b,等比数列的判定与证明方法,等比数列,等比数列,等比数列的判定与证明方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-kb3-f2-s2-5-n01,核酸是遗传信息的携带者,遗传信息的翻译,遗传信息的翻译,核酸是遗传信息的携带者,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-kb3-f2-s2-5-n05,核酸是遗传信息的携带者,遗传信息的翻译,遗传信息的翻译,核酸是遗传信息的携带者,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-mo-cell-064,核酸是遗传信息的携带者,核酸,核酸,核酸是遗传信息的携带者,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-mo-gene-137,遗传病的检测和预防,人类遗传病,人类遗传病,遗传病的检测和预防,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
CHEMISTRY,ext-che-4dd2e79693-049b,晶胞密度的计算,晶胞,晶胞,晶胞密度的计算,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,bio-mo-segregation-law-007,表型与基因型的关系,基因型-表型的推断,基因型、表型的推断,表型与基因型的关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-5ba7f10b79-019,动能定理在多过程问题中的应用,应用动能定理求解步骤,应用动能定理求解步骤,动能定理在多过程问题中的应用,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-206fb04353-053b,电偏转与磁偏转的比较,带电粒子在组合场-电场与磁场各位于一定的区域内-并不重叠-中的运动,带电粒子在组合场,电偏转与磁偏转的比较,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-206fb04353-086d,核能的计算方法,比结合能,比结合能,核能的计算方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-206fb04353-105,探究变压器原副线圈电压与匝数的关系,变压器,变压器,探究变压器原副线圈电压与匝数的关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-206fb04353-106,用油膜法估测油酸分子的大小,油膜法估测油酸分子的大小,油膜法估测油酸分子的大小,用油膜法估测油酸分子的大小,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-2b63d7a05b-010,滑块-木板模型,滑块-木板模型的临界问题,滑块-木板模型的临界问题,滑块-木板模型,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-59dd10c06b-001c,弹力有无的判断方法,弹力,弹力,弹力有无的判断方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-59dd10c06b-004,静摩擦力有无及方向的判断方法,静摩擦力,静摩擦力,静摩擦力有无及方向的判断方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-df69780a4e-016,回旋加速器,磁场中的仪器,磁场中的仪器,回旋加速器,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,ext-phy-211199b145-007b,电磁阻尼与电磁驱动,电磁阻尼和电磁驱动,电磁阻尼和电磁驱动,电磁阻尼与电磁驱动,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
