subject,slug,name,bound_materials,figure_verbalized,hit,sample_content
MATH,端点取值需谨慎-在求参数范围时-要注意边界或区间端点值的检验-从而确定取舍,端点取值需谨慎：在求参数范围时，要注意边界或区间端点值的检验，从而确定取舍．,8,yes,单调,连续型集合含参问题：数轴画出区间→解不等式组→注意端点取舍 连续型集合用数轴表示端点大小关系，列不等式组求参数范围；先讨论空集，再考虑端点能否取等。 区间集合含
MATH,数列的单调性与最值问题,数列的单调性与最值问题,10,yes,单调,用函数观点求数列最值 把数列视为函数，借助图象、作差作商或两边夹求数列的最值。 通项已知或含参的数列最值问题。 将 $a_n=f(n)$ 视为函数在 $n\in
MATH,等差数列含绝对值问题,等差数列含绝对值问题,6,yes,曲线,"a,b 不都为正时系数最值：比较 |A_k| 再按奇偶定号 系数有正有负时先解 $|A_k|$ 的不等式组定候选，再按 k 的奇偶确定最大正值与最小负值。 $("
MATH,2025-广东佛山-三模-已知数列满足-且是关于的方程的两个根,（2025·广东佛山·三模）已知数列满足，且是关于的方程的两个根．,9,yes,极值,"双中心对称求周期：图象关于 $(a,0)$ 与 $(b,0)\ (a\neq b)$ 对称 $\Rightarrow 2|a-b|$ 为一个周期 图象关于 $x"
MATH,导数与函数的单调性的关系,导数与函数的单调性的关系,12,yes,单调,三个“二次”的关系 二次函数图象、二次方程的根、二次不等式的解集通过判别式 Δ 联系。 解一元二次不等式、由解集反求参数。 对 $y=ax^2+bx+c\ (a
MATH,函数极值与最值的关系,函数极值与最值的关系,12,yes,极值,三次函数极值由判别式 $\Delta=4(b^2-3ac)$ 决定：$\Delta>0$ 两个极值点，$\Delta\le 0$ 无极值点 三次函数 $f(x)
MATH,对导数正负与函数图象升降关系理解不准确致错,对导数正负与函数图象升降关系理解不准确致错,12,yes,对称轴,"奇函数加轴对称求周期：奇函数图象关于 $x=a\ (a\neq 0)$ 对称 $\Rightarrow 4|a|$ 为一个周期 奇函数已有对称中心 $(0,0)"
MATH,导数定义在极限中的计算,导数定义在极限中的计算,3,no,,导数的定义（极限式） f′(x₀) 是平均变化率当 Δx→0 时的极限，即瞬时变化率。 用定义求导、求相关极限的变形。 $f′(x_0)=\displaysty
MATH,曲线-在-某点处的切线问题,曲线“在”某点处的切线问题,7,yes,斜率,求“在”某点处的切线方程 切点已知，斜率即该点导数，用点斜式写方程。 切点给定的切线问题。 第一步：求 $f′(x_0)$ 得斜率；第二步：点斜式写 $y-f(
MATH,曲线-过-某点的切线问题,曲线“过”某点的切线问题,6,yes,曲线,"过圆 x²+y²=r² 上一点的切线方程公式 过单位形式圆上一点 $P(x_0,y_0)$ 的切线为 $x_0x+y_0y=r^2$。 点在圆上时快速写切线方程"
MATH,两曲线的公切线问题,两曲线的公切线问题,11,yes,斜率,公切线问题四步法：设两切点→求斜率→写切线方程→联立消元 求两曲线公切线时，在两曲线上各设一个切点，分别求斜率与切线方程，由斜率相等且截距相等联立求解。 两条曲
MATH,直线与平面所成角,直线与平面所成角,4,yes,交点,方程解（交点）个数讨论中不可遗漏直线与曲线相切的情形 直线与曲线相交求交点个数时，相切（方程判别式为零）也提供一个解，讨论时不可只按相交或相离二分。 含参方程解
MATH,点到直线的距离,点到直线的距离,9,yes,曲线,点到直线的距离向量公式 $d=\sqrt{|\vec{PM}|^2-\left(\frac{\vec{m}\cdot\vec{PM}}{|\vec{m}|}\r
MATH,利用空间向量解决最值范围问题,利用空间向量解决最值范围问题,3,yes,曲线,向量法解最值与范围问题 以参数表示动点建立目标函数求最值，或利用几何特征直观判断。 空间角、距离随动点变化的范围问题。 函数法：设参数，写出所求角的三角函数值或
MATH,空间向量新定义问题,空间向量新定义问题,5,yes,曲线,空间动态问题——定义法化归为平面轨迹 条件满足线段、圆、椭圆等定义时，用曲线定义直接确定动点轨迹。 动点距离和、距离比、距离差满足特殊曲线定义的轨迹问题。 当题
MATH,复数的四则运算,复数的四则运算,8,yes,曲线,"导数的四则运算法则 和差积商导数：$[fg]'=f'g+fg'$，$\left[rac{f}{g}ight]'=rac{f'g-fg'}{g^2}$。 求复杂"
MATH,复数的几何意义,复数的几何意义,10,yes,纵轴,"复数、复平面点、平面向量三者一一对应 复数 $z=a+b\mathrm{i}$、点 $Z(a,b)$、向量 $\vec{OZ}$ 一一对应。 复数问题转化为几何"
MATH,三视图与直观图,三视图与直观图,2,yes,面积,"直观图与原图的面积关系 $S_{直观图}=\frac{\sqrt2}{4}S_{原图}$，即 $S_{原图}=2\sqrt2\,S_{直观图}$。 由直观图面积"
MATH,表面积与体积,表面积与体积,1,yes,面积,表面积计算的轴截面与展开图要点 旋转体抓轴截面与侧面展开图，多面体逐面求和，组合体注意衔接。 求柱、锥、台及组合体的表面积。 1. 旋转体表面积问题注意轴截面及
MATH,空间向量与立体几何,空间向量与立体几何,2,no,,相等向量与相反向量 相等向量同长同向；相反向量同长反向。 辨析向量相等与相反。 长度相等且方向相同的向量叫相等向量；长度相等且方向相反的向量叫相反向量，如 $\
MATH,点-方法技巧-点拨解题方法-练一题通一类,点·方法技巧：点拨解题方法，练一题通一类,5,yes,曲线,非对称问题方法一：配凑半代换 把非对称式配凑变形，能代换的部分先用根与系数关系代换再化简。 目标式含 $\frac{x_1}{x_2}$、$mx_1+nx_2$
MATH,空间几何体的直观图,空间几何体的直观图,1,yes,斜率,解析几何勿漏斜率为 0 与不存在的直线 与坐标轴平行的直线斜率为 0 或不存在，综合问题单列防漏解。 直线与圆锥曲线综合问题中的设线讨论。 与坐标轴平行的直线，
MATH,在棱长为的正四面体中-高-外接球半径-内切球半径,在棱长为的正四面体中，高，外接球半径，内切球半径.,32,yes,顶点,墙角型四面体的外接球半径 三条棱两两垂直的四面体（可补形为长方体）：$R=\frac{\sqrt{a^2+b^2+c^2}}{2}$。 有公共顶点的三条棱两两垂
MATH,直线与直线的位置关系,直线与直线的位置关系,4,yes,交点,设而不求思想：设坐标与直线，用根与系数关系解题 设出点的坐标、直线方程，联立后用根与系数的关系整体代换，不求出交点。 圆锥曲线中弦长、中点、定点、定值、范围等综
MATH,平面与平面平行,平面与平面平行,1,no,,球面与平面相交：交线为圆，勾股定理求截面圆半径 球面与平面相交，交线是圆，其半径满足 $r=\sqrt{R^2-d^2}$。 球被平面所截求交线形状、长度或其上
MATH,空间几何体中的截面问题,空间几何体中的截面问题,8,yes,顶点,内切球问题作轴截面将空间问题平面化 几何体与球相切问题作出轴截面是关键，可把空间问题平面化。 圆柱、圆锥、圆台与球的相切（内切）问题。 对于空间几何体与球相切问
MATH,对命题条件探索的三种方法,对命题条件探索的三种方法：,12,yes,图示,有限制条件的排列组合：三种考虑途径 有限制条件的计数可从特殊元素、特殊位置入手，或用间接法总数减不符。 带限制条件的排列数、组合数计算题。 解有限制条件的元素或
MATH,求体积的常用方法,求体积的常用方法,6,yes,单调,作二面角平面角的常用方法 定义法、垂面法、三垂线法三种作平面角的途径。 综合法求二面角。 定义法：在棱上取点，在两半平面内分别作棱的垂线；垂面法：作垂直于棱的平
MATH,垂线法求线面角-也称直接法,垂线法求线面角（也称直接法）：,6,yes,交点,二面角的几何法（垂线法作平面角） 过一面内一点作另一面垂线，再作棱垂线，连接得二面角平面角。 存在明显线面垂直关系的二面角问题。 二面角·几何法：①过半平面 $
MATH,直线与圆的位置关系,直线与圆的位置关系,11,yes,斜率,过点作圆切线的条数由点与圆的位置关系决定 点在圆上切线一条，点在圆外切线两条，点在圆内无切线。 求过定点的圆的切线方程、判断切线是否存在。 求过某点的圆的切线方
MATH,双曲线,双曲线,6,yes,曲线,双曲线中 e 与 b/a 的互化公式 双曲线中 $e=\sqrt{1+(b/a)^2}$，即 $b/a=\sqrt{e^2-1}$。 双曲线离心率与渐近线斜率（
MATH,双曲线的渐近线,双曲线的渐近线,10,yes,曲线,椭圆与双曲线的通径长 2b²/a 倾斜角 90° 的过焦点弦即通径，椭圆与双曲线通径长均为 2b²/a。 通径计算、焦点弦最短问题（双曲线同支情形）。 当倾斜角
MATH,双曲线的离心率,双曲线的离心率,2,yes,曲线,离心率取值范围——圆锥曲线自身性质与坐标范围 用曲线上点坐标的范围、焦半径范围等曲线自身性质列不等式。 动点在曲线上、由坐标或焦半径限制求离心率范围。 利用圆锥
MATH,抛物线的焦点与准线,抛物线的焦点与准线,13,yes,曲线,圆锥曲线的第二定义（到焦点与准线距离之比） 到定点距离与到定直线距离之比为常数 e 的轨迹：0<e<1 椭圆，e>1 双曲线。 用第二定义转化距离、证明轨迹、处
MATH,抛物线焦半径,抛物线焦半径,4,yes,横轴,"椭圆焦半径公式（口诀：左加右减、下加上减） 椭圆上点 P(x₀,y₀) 到左焦点 $a+ex_0$、到右焦点 $a-ex_0$；竖轴型把 x₀ 换成 y₀。 求"
MATH,曲线的轨迹方程,曲线的轨迹方程,3,yes,曲线,空间动态问题——建系法求动点轨迹方程 图形规则时建空间直角坐标系，求动点轨迹方程以确定轨迹。 几何图形规则（如正方体、正棱柱）时的动点轨迹问题。 当几何图形比较
MATH,圆锥曲线的综合问题,圆锥曲线的综合问题,10,yes,曲线,概率与统计综合问题的思路 先确定概率模型再计算，常与频率分布、独立性检验结合。 概率统计综合大题。 概率统计综合问题一般步骤：①由统计图表或频率估计概率；②识别
PHYSICS,物体看作质点的条件-物体的大小和形状对研究问题的影响可以忽略,物体看作质点的条件：物体的大小和形状对研究问题的影响可以忽略。,10,yes,面积,斜面板块受向上牵引力保持相对静止的条件 F作用在M上时保持相对静止向上滑动的条件为 $(M+m)g(\mu_2\cos\theta+\sin\theta)<F<
PHYSICS,时刻与时间间隔区别与联系,时刻与时间间隔区别与联系,5,yes,纵坐标,不连续相等时间间隔位移差的推广式 对不连续的相等时间间隔，位移差公式可推广为 $x_m-x_n=(m-n)aT^2$（m>n）。 相隔若干个相等时间间隔的两段位
PHYSICS,路程-物体运动轨迹的长度-只有大小-没有方向-是标量-其单位就是长度的单位,路程：物体运动轨迹的长度，只有大小，没有方向，是标量，其单位就是长度的单位。,5,yes,曲线,由运动轨迹判断电场力方向与速度方向 电场力指向轨迹凹侧且沿电场线切线（或与等势线垂直），电荷速度方向沿轨迹切线。 由带电粒子运动轨迹和电场线（等势面）图判断受力
PHYSICS,速度定义-位移与发生这段位移所用时间之比-表示物体运动快慢的物理量-是过程量,速度定义：位移与发生这段位移所用时间之比，表示物体运动快慢的物理量，是过程量。,35,yes,斜率,x-t图像斜率表示瞬时速度 x-t图线上某点斜率 $k=\frac{\Delta x}{\Delta t}$ 表示该时刻的瞬时速度。 判断物体速度大小、方向及运
PHYSICS,速度-速度的变化量-加速度的比较,速度、速度的变化量、加速度的比较,23,yes,面积,a-t图像面积表示速度变化量 a-t图线与t轴围成的面积表示速度变化量 $\Delta v=at$。 由加速度图像求某段时间内速度的变化量。 $\Delta v
PHYSICS,初速度为零的几个重点推论,初速度为零的几个重点推论：,11,yes,图线,初速度为零匀变速按时间等分的位移比 连续相等时间间隔内的位移之比为 $1:3:5:\cdots:(2n-1)$。 初速度为零的匀加速运动求各相等时间间隔内位移比
PHYSICS,运动规律,运动规律:,1,no,,传动装置中的运动规律 不打滑的皮带（摩擦、齿轮）传动边缘线速度相等；同轴传动角速度相等。 比较传动装置上各点运动参量时使用。 皮带（摩擦、齿轮）传动：边缘线速度
PHYSICS,x-t图像-v-t图像-a-t图像的对比,x-t图像，v-t图像，a-t图像的对比,14,yes,图线,E-x图像的三条分析要点 E-x图像中图线与x轴围成面积表示电势差，纵坐标乘q可转化为F-x图像，面积乘q表示电场力做功。 非匀强电场中由E-x图像求电势差、做
PHYSICS,非常规运动学图像,非常规运动学图像,13,yes,纵坐标,常规运动图像四步处理法 按'横纵坐标→图像走势→斜率截距面积→交点'四步提取图像信息解题。 一切 x-t、v-t、a-t 等常规运动图像的分析与选择题。 1. 
PHYSICS,追及相遇问题的实质及分析思路,追及相遇问题的实质及分析思路：,24,yes,面积,追及相遇问题的两个关系与速度相等临界点 处理追及相遇问题抓住时间关系和位移关系列式；速度相等是能否追上及距离最大、最小的临界点。 各类两物体追及、相遇、避碰问题
PHYSICS,图象法,图象法,0,no,,
PHYSICS,追及问题的分析和解题思路,追及问题的分析和解题思路,7,yes,纵坐标,电场图像问题的分析关键 电场图像问题先从横、纵坐标直接分析物理量随x的变化关系，再从静电场公式计算相关物理量。 φ-x、E-x、Ep-x等各类电场图像问题的通用
PHYSICS,竖直上抛运动的处理方法,竖直上抛运动的处理方法：,23,yes,图线,斜抛运动的正交分解模型 将斜抛速度按水平和竖直分解：水平以 $v_x=v_0\cos\theta$ 匀速，竖直以 $v_y=v_0\sin\theta$ 做竖直
PHYSICS,对牛顿第三定律的理解,对牛顿第三定律的理解,8,yes,由图,U-I 图像中电阻的理解 由图像求元件电阻 非线性元件 非线性元件的 U-I 图线是曲线，某状态下电阻应按 $R=U/I$ 即该点与原点连线的斜率计算，不能用切
PHYSICS,动力学的两类基本问题的解题步骤,动力学的两类基本问题的解题步骤,14,yes,极值,线框水平穿过磁场的动力学特征 光滑水平面上，线框进入和穿出磁场时做加速度减小的减速运动；完全在磁场中时无感应电流、不受安培力，做匀速直线运动。 水平面光滑、线框
PHYSICS,模型示意图,模型示意图：,2,yes,图示,力的图示与力的示意图 力的图示精确表示三要素，线段长度按标度画；示意图只反映方向和作用点，不需标度。 画受力图、表述力的三要素。 1. 力的图示：用一条带箭头的
PHYSICS,动力学图像法在动力学问题中的应用-数形结合思想,动力学图像法在动力学问题中的应用——数形结合思想,11,yes,斜率,动力学图像法 结合 v-t、a-t、F-t、F-a 图像的斜率、截距、面积提取信息解题。 处理与图像结合的动力学问题时使用。 v-t 图斜率为加速度，a-t 图
PHYSICS,概念-物体运动轨迹是曲线的运动,概念：物体运动轨迹是曲线的运动。,3,yes,曲线,非线性元件伏安特性曲线的电阻判读 伏安特性曲线上某状态的电阻等于该点与原点连线斜率的倒数（U/I），不是切线斜率的倒数。 小灯泡、二极管等非线性元件某工作点电阻
PHYSICS,核心处理思想-运动的合成与分解-约束条件,核心处理思想：运动的合成与分解 + 约束条件：,11,yes,曲线,碰撞速度合理性：同向运动的约束 同向运动碰撞碰前应有v后>v前；碰后原在前物体速度一定增大，若仍同向应有v'前≥v'后。 判断两物体同向碰撞后结果是否物理合理。
PHYSICS,运动性质-匀变速曲线运动-加速度恒为重力加速度-g-大小方向不变,运动性质：匀变速曲线运动，加速度恒为重力加速度 g（大小方向不变）。,40,yes,曲线,三力平衡之矢量三角形法 当F₁大小方向不变、F₂方向不变大小可变、F₃大小方向均可变时，将三力合成闭合三角形图解分析力的变化。 三力动态平衡中只有一个力方向不变
PHYSICS,关联速度的分析-运动分解的核心思想,关联速度的分析——运动分解的核心思想,13,yes,纵坐标,v-x图像结合a=v·Δv/Δx的分析 结合 $a=\frac{\Delta v}{\Delta t}=\frac{\Delta v}{\Delta x}\cd
PHYSICS,分析方法,分析方法,3,yes,并联,含电容电路的分析方法 稳定电路中电容器视为断路，其电压等于所并联部分的电压，充放电电荷量 $ΔQ=CΔU$。 含电容器的直流电路稳态分析。 1. 电路简化：不分
PHYSICS,匀变速直线运动的规律,匀变速直线运动的规律,14,yes,并联,匀变速直线运动位移差公式Δx=aT² 做匀变速直线运动的物体在连续相等时间间隔T内的位移差为恒量 $\Delta x=aT^2$。 纸带处理、连续相等时间间隔求
PHYSICS,曲线运动的基本概念与处理思想,曲线运动的基本概念与处理思想,1,no,,力的概念与基本性质 力是物体间的相互作用，具有物质性、相互性、矢量性、独立性。 理解力的基本概念与特征。 力是物体与物体间的相互作用；作用效果是使物体发生形变或
PHYSICS,平抛运动的临界问题,平抛运动的临界问题,9,yes,极值,平抛运动临界问题的求解 处理恰好不出界类平抛问题 平抛与边界、斜面、圆弧结合 抓住恰好不出界、刚好飞过壕沟、速度方向恰好与斜面平行等关键词，把临界条件转化为位移
PHYSICS,速度时间公式,速度时间公式,4,yes,斜率,v-t 图像的识读 v-t 图像的斜率表示加速度，面积表示位移。 由速度图像分析物体运动、求位移时使用。 斜率表示加速度；纵截距表示初速度；两图线交点表示此时刻
PHYSICS,位移时间公式,位移时间公式,2,yes,斜率,x-t 图像的识读 x-t 图像的斜率表示速度，交点表示相遇。 由位移图像分析物体运动时使用。 斜率表示速度，上倾为正、下斜为负，陡缓表示大小；水平线表示静止。
PHYSICS,速度位移公式,速度位移公式,2,yes,图线,人船模型（零初速系统的位移分配） 初速度为零的系统在某一方向动量守恒时，各部分对地位移与其质量成反比。 人在船上走动、气球上攀爬等系统初始静止、受内力作用的问题
PHYSICS,大小-g-mg-可用弹簧测力计测量,大小：G＝mg，可用弹簧测力计测量．,3,yes,图示,力的合成实验注意事项 规范操作力的合成实验 互成角度力的合成实验 弹簧测力计应与木板平行且沿轴线方向，指针拉杆不与纸面摩擦；细绳套适当长些，沿绳两端描点连线确定
PHYSICS,弹力的方向,弹力的方向,5,yes,斜率,重力的方向与 g 的变化 重力方向竖直向下，大小 $G=mg$，g 随纬度和高度变化。 计算重力、分析重力方向时使用。 重力方向总是竖直向下，不一定指向地心，也
PHYSICS,曲线运动,曲线运动,0,no,,
PHYSICS,卫星发射速度和宇宙速度与运动轨迹的关系,卫星发射速度和宇宙速度与运动轨迹的关系,11,yes,曲线,卫星发射与变轨的基本过程 低圆轨道→近地点点火加速做离心运动进入椭圆轨道→远地点再次点火加速进入高圆轨道。 卫星变轨类问题的过程框架。 1. 卫星在圆轨道Ⅰ上做
PHYSICS,弹力做功与弹性势能变化的关系,弹力做功与弹性势能变化的关系,24,yes,纵轴,微元法求方向变化的变力做功 力大小不变、方向改变但与速度方向夹角不变时，把路程分段求和：$W_f=F_f\cdot 2\pi R$。 圆周运动中摩擦力、空气阻力
PHYSICS,机车启动问题,机车启动问题,7,yes,斜率,机车启动的两种模式 恒功率启动做加速度减小的加速运动；恒加速度启动先匀加速后变加速。 分析机车、汽车启动问题时使用。 最大速度：$v_m=\frac{P_{额}
PHYSICS,图象,图象,0,no,,
PHYSICS,图象信息,图象信息：,0,no,,
PHYSICS,波动图象的特点,波动图象的特点,8,yes,曲线,电场线的特点 电场线从正电荷出发到负电荷终止，不闭合、不相交，疏密表示场强大小。 定性分析电场分布时使用。 电场线上每点切线方向为该点场强方向；疏处场强小、密处
PHYSICS,波动图象的信息,波动图象的信息,4,yes,曲线,简谐运动图像的信息 由 x-t 图像可直接读出振幅、周期及各时刻的速度方向。 振动图像分析时使用。 可直接读出振幅 A、周期 T（或频率）与任意时刻的位移。 曲
PHYSICS,传播方向和振动方向的判断-图像理解,传播方向和振动方向的判断——图像理解,17,yes,图线,波的多解因素：双向性 波的传播方向不确定和质点振动方向不确定是波动问题多解的另一主要因素。 未指明传播方向或质点起振方向的波形图问题。 双向性包括两类：1. 传
PHYSICS,解决波的多解问题的思路和步骤,解决波的多解问题的思路和步骤,5,no,,波的多解因素：周期性 时间间隔与周期、传播距离与波长的关系不明确是波动问题多解的主要因素之一。 由两时刻波形或两位置波形求波速、周期类问题。 造成波传播问题多解
PHYSICS,机械能守恒定律,机械能守恒定律,31,yes,斜率,链条（液柱）类机械能守恒的判断 链条、液柱类物体不能看成质点，但运动中只有重力做功时整体机械能守恒。 链条滑落、液柱流动等形状连续变化且不计摩擦的情境。 链条（
PHYSICS,多普勒效应的成因分析,多普勒效应的成因分析,4,yes,图线,多普勒效应 波源与观察者相对靠近时接收频率变高，远离时变低。 解释测速、测星等应用时使用。 相对静止时接收频率等于波源频率；靠近时接收到的频率变大，远离时变小。
PHYSICS,波的干涉中振动加强点和减弱点的判断方法,波的干涉中振动加强点和减弱点的判断方法：,20,yes,面积,干涉加强点减弱点：同相波源的距离差条件 两波源频率相同、振动情况完全相同时，Δr=nλ振动加强，Δr=(2n+1)λ/2振动减弱。 双波源干涉中判断某质点振动加
PHYSICS,简谐运动,简谐运动,10,yes,曲线,简谐运动的定义与回复力 回复力与位移大小成正比、方向相反的振动是简谐运动。 判断简谐运动、分析振子受力时使用。 动力学定义 $F=-kx$，运动学定义 $x=A
PHYSICS,电场线,电场线,3,yes,曲线,由轨迹判断电性与受力 合力指向轨迹凹侧，结合电场线方向判断电荷电性。 已知运动轨迹和电场线（等势面）时使用。 带电粒子只受电场力时，电场力指向轨迹弯曲的内侧，且
PHYSICS,做直线运动的条件,做直线运动的条件,8,yes,曲线,带电粒子（带电体）做直线运动的条件 合力为0时静止或匀速直线运动；合力不为0但方向不变且与初速度共线时做变速直线运动。 判断带电粒子在电场中能否做直线运动。 1
PHYSICS,求解电偏转问题的两种思路,求解电偏转问题的两种思路,2,yes,由图,交变电场偏转问题的思维方法（ay-t与vy-t图像） 由已知图像和电性比荷画出平行于电场方向的ay-t图像，再画vy-t图像，用周期性综合求解。 由电压（场强）
PHYSICS,e-x图像,E-x图像,0,no,,
PHYSICS,φ-x图像-反映了电势随位移变化的规律,φ-x图像（反映了电势随位移变化的规律）,5,yes,面积,a-x图像面积表示速度平方变化的一半 由 $a=\frac{v^2-v_0^2}{2x}$ 可知 a-x 图线与x轴围成面积表示 $\frac{1}{2}(v^
PHYSICS,ep-x图像,Ep-x图像,0,no,,
PHYSICS,利用电场线和等势面解决带电粒子运动问题的方法,利用电场线和等势面解决带电粒子运动问题的方法,14,yes,曲线,匀强电场的电场线与等势面特征 匀强电场的电场线是平行且等间距的直线，等势面是垂直于电场线的一簇平面。 匀强电场的识别与电场图像判断。 匀强电场：电场线是平行且等
PHYSICS,平行板电容器的动态分析问题的两种情况,平行板电容器的动态分析问题的两种情况,14,yes,面积,电容器与电容 电容表示电容器容纳电荷本领，由电容器本身决定。 电容计算与充放电分析时使用。 定义式 $C=\frac{Q}{U}$，单位法拉；C 与 Q、U 无
PHYSICS,等效法求解电场中圆周运动问题的解题思路,等效法求解电场中圆周运动问题的解题思路,10,yes,斜率,均匀带电圆环缺口的等效法求圆心场强 均匀带电圆环剪掉一小段后，圆心处场强等于补上该小段（视为点电荷）产生场强的反向补齐，E=kQl/(2πr³)。 圆环缺口、不
