subject,count,declared_book,declared_chapter,current_book,current_chapter,samples
PHYSICS,18,物理必修第二册,第六章 圆周运动,物理必修第一册,运动的描述,相对滑动的临界条件 / 水平转盘上运动物体模型 / 运动描述的分析方法
PHYSICS,18,物理选择性必修第三册,第二章 气体、固体和液体,物理选择性必修第三册,热学,气体实验定律 / 理想气体状态方程 / 晶体
PHYSICS,18,跨册综合,力学综合（动力学/能量/动量三观点）,PHYSICS,综合,动力学三大观点的基本理解和应用 / 能量观点 / 常见的图象
PHYSICS,18,跨册综合,力学实验,PHYSICS,综合,探究结果：胡克定律（x为形变量） / 需要平衡摩擦力（为了使绳子拉力即合力） / 实验方法
PHYSICS,17,物理选择性必修第二册,第一章 安培力与洛伦兹力,物理必修第三册,磁场与电磁感应,安培力 / 洛伦兹力 / 洛伦兹力的特点
BIOLOGY,17,生物学必修2,第一章 遗传因子的发现,生物学必修2,遗传的基本规律,豌豆用作遗传实验的材料 / 基因型、表型的推断 / 分离定律的概率计算（含自交与自由交配）
PHYSICS,16,物理必修第三册,第十二章 电能 能量守恒定律,物理必修第三册,恒定电流,电功率 / 焦耳定律 / 电源的内阻
CHEMISTRY,16,化学必修第一册,第二章 海水中的重要元素——钠和氯,化学必修第一册,氯及其化合物,从化合价的角度认识Cl2的化学性质——歧化反应 / 次氯酸和次氯酸盐 / Cl2的实验室制法
CHEMISTRY,15,化学选择性必修2,第三章 晶体结构与性质,化学选择性必修2,物质结构与性质,碳元素的单质有多种形式 / 晶体 / 物质的聚集状态
PHYSICS,14,物理选择性必修第一册,第三章 机械波,物理必修第二册,机械能与能量守恒,传播特点 / 机械波的分类 / 波长λ
CHEMISTRY,14,化学选择性必修1,第四章 化学反应与电能,化学必修第二册,化学反应与能量,一次电池 / 二次电池 / 燃料电池电极反应式的书写
CHEMISTRY,14,化学选择性必修2,第一章 原子结构与性质,化学选择性必修2,物质结构与性质,原子结构中微粒的关系及计算 / 原子结构易混易错知识点 / 能层
MATH,12,数学选择性必修第一册,第三章 圆锥曲线的方程,数学选择性必修第一册,解析几何,椭圆 / 椭圆的方程 / 椭圆的离心率
CHEMISTRY,12,化学必修第二册,第五章 化工生产中的重要非金属元素,化学必修第二册,无机非金属材料,C、Si单质的存在形态、物理性质及用途 / 碳、硅单质的化学性质——还原性 / 除杂的试剂选择与操作方法
PHYSICS,11,物理选择性必修第三册,第一章 分子动理论,物理选择性必修第三册,热学,阿伏加德罗常数 / 布朗运动 / 分子间作用力
BIOLOGY,11,生物学必修1,第二章 组成细胞的分子,生物学必修1,细胞的分子组成,糖与脂质的转化 / 生物大分子以碳链为骨架 / 蛋白质的功能
BIOLOGY,11,生物学必修2,第二章 基因和染色体的关系,生物学必修2,遗传的细胞基础,精子的形成过程 / 精子与卵细胞形成过程的比较 / 基因位于染色体上的实验证据
PHYSICS,10,物理选择性必修第一册,第二章 机械振动,物理必修第二册,机械能与能量守恒,机械振动 / 简谐运动的振动图象 / 简谐运动的周期性
PHYSICS,10,跨册综合,热学与光学实验,物理选择性必修第三册,热学,实验步骤 / 数据处理 / 误差分析
BIOLOGY,10,生物学必修1,第五章 细胞的能量供应和利用,生物学必修1,酶与ATP,酶在代谢中的作用 / 探究酶的专一性、高效性相关实验 / 酶相关实验的易错辨析
PHYSICS,9,物理选择性必修第三册,第三章 热力学定律,物理选择性必修第三册,热学,两种表述 / 物理意义 / 第二类永动机
BIOLOGY,9,生物学必修1,第二章 组成细胞的分子,生物学必修1,细胞与生命活动,实验：检测生物组织中的糖类、脂肪和蛋白质 / 糖类和脂质的相互转化 / 糖类和脂肪的转化
BIOLOGY,9,生物学必修1,第三章 细胞的基本结构,生物学必修1,细胞与生命活动,细胞的生物膜系统 / 膜的流动镶嵌模型 / 细胞膜的结构和功能
BIOLOGY,9,生物学必修1,第五章 细胞的能量供应和利用,生物学必修1,细胞与生命活动,有氧呼吸的过程分析 / 实验：探究酵母菌细胞呼吸的方式 / 细胞呼吸的影响因素及应用
BIOLOGY,9,生物学必修2,第五章 基因突变及其他变异,生物学必修2,变异与进化,多倍体 / 单倍体 / 育种
BIOLOGY,9,生物学选择性必修2,第一章 种群及其动态,生物学选择性必修2,种群与群落,种群密度 / 样方法 / 标志重捕法
MATH,8,数学选择性必修第三册,第七章 随机变量及其分布,数学必修第二册,概率统计,条件概率 / 全概率 / 离散型随机变量
PHYSICS,7,物理必修第三册,第十一章 电路及其应用,物理必修第三册,恒定电流,电阻定律 / 电流 / 欧姆定律
BIOLOGY,7,生物学选择性必修3,第三章 基因工程,生物学选择性必修3,生物技术与工程,基因工程 / 限制酶 / 载体
BIOLOGY,6,生物学必修1,第一章 走近细胞,生物学必修1,细胞与生命活动,实验：使用高倍显微镜观察几种细胞 / 使用高倍显微镜观察细胞 / 细胞的统一性
BIOLOGY,6,生物学必修2,第三章 基因的本质,生物学必修2,遗传的分子基础,DNA是主要的遗传物质 / 基因的本质 / DNA的双螺旋结构
PHYSICS,5,物理必修第三册,第十三章 电磁感应与电磁波初步,物理必修第三册,磁场与电磁感应,磁场的基本概念和性质 / 对磁感应强度定义式：B＝的理解 / 磁通量、变化量与变化率的比较
PHYSICS,5,物理选择性必修第二册,第四章 电磁振荡与电磁波,物理选择性必修第二册,交变电流与电磁波,振荡电路过程中各物理量的变化 / 电磁振荡 / 电磁振动、电磁波和传感器
CHEMISTRY,5,化学选择性必修2,第二章 分子结构与性质,化学选择性必修2,物质结构与性质,分子的极性 / 杂化轨道 / VSEPR模型
BIOLOGY,5,生物学必修1,第五章 细胞的能量供应和利用,生物学必修1,光合作用,捕获光能的色素和结构 / “三率”的关系及测定 / 探索光合作用原理的部分实验
BIOLOGY,5,生物学必修2,第四章 基因的表达,生物学必修2,遗传的分子基础,基因的表达 / 转录 / 翻译
BIOLOGY,5,生物学必修2,第六章 生物的进化,生物学必修2,变异与进化,共同进化 / 自然选择 / 基因频率
BIOLOGY,5,生物学必修2,第六章 生物的进化,生物学选择性必修3,生物技术与工程,生物有共同祖先的证据 / 协同进化与生物多样性的形成 / 隔离在物种形成中的作用
BIOLOGY,5,生物学选择性必修3,第二章 细胞工程,生物学选择性必修3,生物技术与工程,植物组织培养 / 动物细胞培养 / 细胞融合
MATH,4,数学选择性必修第一册,第二章 直线和圆的方程,数学选择性必修第一册,解析几何,直线的方程 / 两条直线的位置关系 / 圆的方程
BIOLOGY,4,生物学必修1,第四章 细胞的物质输入和输出,生物学必修1,物质的输入与输出,物质出入细胞的方式 / 主动运输的类型 / 动物细胞的吸水和失水
BIOLOGY,4,生物学必修1,第六章 细胞的生命历程,生物学必修1,细胞与生命活动,细胞周期 / 细胞的死亡 / 细胞的分化与全能性
BIOLOGY,4,生物学选择性必修2,第二章 群落及其演替,生物学选择性必修2,种群与群落,生态位 / 群落的结构 / 群落的演替
BIOLOGY,4,生物学选择性必修3,第一章 发酵工程,生物学选择性必修3,生物技术与工程,传统发酵技术 / 微生物的培养 / 无菌技术
BIOLOGY,3,生物学必修2,第四章 基因的表达,BIOLOGY,综合,中心法则的提出及其发展 / 基因表达与性状的关系 / 遗传信息的翻译
MATH,2,数学选择性必修第三册,第八章 成对数据的统计分析,数学必修第二册,概率统计,回归分析 / 独立性检验
BIOLOGY,2,生物学必修2,第三章 基因的本质,生物学必修1,物质的输入与输出,肺炎链球菌转化实验 / 噬菌体侵染细菌实验
BIOLOGY,2,生物学选择性必修1,第三章 体液调节,生物学选择性必修1,神经调节,水和无机盐平衡的调节 / 体液调节和神经调节的区别与联系
BIOLOGY,2,生物学选择性必修1,第二至四章 动物生命活动调节（综合）,BIOLOGY,综合,膜电位的测量及电表指针偏转的判断 / 探究动植物生命活动调节实验的思路与方法
PHYSICS,1,物理选择性必修第一册,第四章 光,物理选择性必修第一册,机械振动与机械波,波长
CHEMISTRY,1,化学选择性必修3,第五章 合成高分子,化学选择性必修3,有机化学基础,合成高分子
CHEMISTRY,1,化学选择性必修3,第一章 有机化合物的结构特点与研究方法,化学选择性必修3,有机化学基础,有机物的结构特点
BIOLOGY,1,生物学选择性必修2,第四章 人与环境,生物学选择性必修2,生态系统,生态工程
BIOLOGY,1,生物学选择性必修3,第四章 生物技术的安全性与伦理问题,生物学选择性必修3,生物技术与工程,转基因生物的安全性
