material_slug,point_slug,subject,reason
bio-kb-ribosome-centrosome-structure,核糖体,BIOLOGY,原绑「蛋白质的功能★★★☆☆」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-kb-mitochondria-chloroplast-independence-judgment,线粒体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「线粒体」互为整名包含，改指
bio-kb-photosystem-electron-transfer-detail,类囊体,BIOLOGY,原绑「用高倍显微镜观察叶绿体和细胞质的流动★★☆☆☆」与标题零字面重合；标题与「类囊体」互为整名包含，改指
bio-kb-gene-recombination-types,基因重组,BIOLOGY,原绑「自由组合定律」与标题零字面重合；标题与「基因重组」互为整名包含，改指
bio-kb-breeding-methods-comparison-table,育种,BIOLOGY,原绑「基因工程」与标题零字面重合；标题与「育种」互为整名包含，改指
bio-kb2-04-nucleic-acid-distribution,核酸,BIOLOGY,原绑「DNA、RNA、蛋白质等的水解产物和氧化产物（归纳总结）」与标题零字面重合；标题与「核酸」互为整名包含，改指
bio-kb2-06-no-membrane-organelles,核糖体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-fj-01-cell-theory-judgments,细胞学说,BIOLOGY,原绑「光学显微镜和电子显微镜」与标题零字面重合；标题与「细胞学说」互为整名包含，改指
bio-fj-01-virus-replication,病毒,BIOLOGY,原绑「基因突变」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-fj-01-virus-application,病毒,BIOLOGY,原绑「基因工程」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-fj-02-inorganic-salt-form,无机盐,BIOLOGY,原绑「主动运输」与标题零字面重合；标题与「无机盐」互为整名包含，改指
bio-fj-02-inorganic-salt-functions,无机盐,BIOLOGY,原绑「酸碱平衡」与标题零字面重合；标题与「无机盐」互为整名包含，改指
bio-fj-02-physiological-saline,水,BIOLOGY,原绑「水和无机盐平衡的调节★★★★☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-fj-02-water-production-processes,水,BIOLOGY,原绑「脱水缩合」与标题零字面重合；标题与「水」互为整名包含，改指
bio-fj-02-antidiuretic-water-transport,水,BIOLOGY,原绑「自由扩散」与标题零字面重合；标题与「水」互为整名包含，改指
bio-fj-02-inorganic-salt-synthesis,无机盐,BIOLOGY,原绑「酸碱平衡」与标题零字面重合；标题与「无机盐」互为整名包含，改指
bio-fj-02-penguin-water-produce,蛋白质,BIOLOGY,原绑「脱水缩合」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-fj-04-peptide-bond-formula,水,BIOLOGY,原绑「氨基酸」与标题零字面重合；标题与「水」互为整名包含，改指
bio-fj-04-nucleic-acid-mistakes,核酸,BIOLOGY,原绑「线粒体」与标题零字面重合；标题与「核酸」互为整名包含，改指
bio-fj-05-cell-wall-features,细胞壁,BIOLOGY,原绑「高尔基体」与标题零字面重合；标题与「细胞壁」互为整名包含，改指
bio-fj-05-membrane-composition-ratio,细胞膜,BIOLOGY,原绑「实验：检测生物组织中的糖类、脂肪和蛋白质★★★☆☆」与标题零字面重合；标题与「细胞膜」互为整名包含，改指
bio-fj-07-ion-transport-modes,无机盐,BIOLOGY,原绑「协助扩散」与标题零字面重合；标题与「无机盐」互为整名包含，改指
bio-fj-07-exocytosis-small-molecules,胞吐,BIOLOGY,原绑「神经递质」与标题零字面重合；标题与「胞吐」互为整名包含，改指
bio-fj-08-enzyme-nature,酶的本质,BIOLOGY,原绑「DNA、RNA、蛋白质等的水解产物和氧化产物（归纳总结）」与标题零字面重合；标题与「酶的本质」互为整名包含，改指
bio-fj-10-light-reaction-process,光反应,BIOLOGY,原绑「ATP的合成和利用」与标题零字面重合；标题与「光反应」互为整名包含，改指
bio-fj-10-dark-reaction-process,暗反应,BIOLOGY,原绑「用高倍显微镜观察叶绿体和细胞质的流动★★☆☆☆」与标题零字面重合；标题与「暗反应」互为整名包含，改指
bio-fj-13-gene-recombination-forms,基因重组,BIOLOGY,原绑「自由组合定律」与标题零字面重合；标题与「基因重组」互为整名包含，改指
bio-fj-21-transcription-process,转录,BIOLOGY,原绑「细胞核的结构和功能★★★☆☆」与标题零字面重合；标题与「转录」互为整名包含，改指
bio-fj-22-gene-recombination-types,基因重组,BIOLOGY,原绑「自由组合定律」与标题零字面重合；标题与「基因重组」互为整名包含，改指
bio-fj-22-breeding-cross,育种,BIOLOGY,原绑「基因重组」与标题零字面重合；标题与「育种」互为整名包含，改指
bio-fj-22-breeding-mutation,育种,BIOLOGY,原绑「基因突变」与标题零字面重合；标题与「育种」互为整名包含，改指
bio-fj-22-polyploid-sterility-reasons,多倍体,BIOLOGY,原绑「同源染色体」与标题零字面重合；标题与「多倍体」互为整名包含，改指
bio-fj-23-population-gene-pool,基因,BIOLOGY,原绑「蛋白质的基本单位——氨基酸」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-fj-06-er-mito-cooperation,线粒体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「线粒体」互为整名包含，改指
bio-fj-12-tetraploid-cell-plate-formation,细胞壁,BIOLOGY,原绑「高尔基体」与标题零字面重合；标题与「细胞壁」互为整名包含，改指
bio-fj-19-bacteriophage-material-advantage,病毒,BIOLOGY,原绑「DNA是主要的遗传物质★★★☆☆」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-fj-21-start-stop-codons,密码子,BIOLOGY,原绑「氨基酸」与标题零字面重合；标题与「密码子」互为整名包含，改指
bio-fj-23-selection-acting-levels,自然选择,BIOLOGY,原绑「基因型、表型的推断★★★☆☆」与标题零字面重合；标题与「自然选择」互为整名包含，改指
bio-kb3-f1-s1-1-n05,病毒,BIOLOGY,原绑「细胞是基本的生命系统★★☆☆☆」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-kb3-f2-s2-1-n10,蛋白质,BIOLOGY,原绑「元素和化合物的相互推断（归纳总结）」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-kb3-f2-s2-2-n02,水,BIOLOGY,原绑「细胞中的无机盐」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f2-s2-2-n03,水,BIOLOGY,原绑「细胞中的无机盐」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f2-s2-3-n10,脂质,BIOLOGY,原绑「细胞中的糖类」与标题零字面重合；标题与「脂质」互为整名包含，改指
bio-kb3-f2-s2-4-n07,蛋白质,BIOLOGY,原绑「环境因素参与调节植物的生命活动★★★☆☆」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-kb3-f3-s3-1-n07,水,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f3-s3-2-n02,线粒体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「线粒体」互为整名包含，改指
bio-kb3-f3-s3-2-n04,内质网,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「内质网」互为整名包含，改指
bio-kb3-f5-s5-2-n05,水,BIOLOGY,原绑「细胞的多样性和统一性」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f5-s5-2-n07,水,BIOLOGY,原绑「细胞的多样性和统一性」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f5-s5-2-n12,水,BIOLOGY,原绑「细胞的多样性和统一性」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f5-s5-3-n07,线粒体,BIOLOGY,原绑「细胞呼吸的影响因素及应用★★★★☆」与标题零字面重合；标题与「线粒体」互为整名包含，改指
bio-kb3-f5-s5-4-1-n03,水,BIOLOGY,原绑「捕获光能的色素和结构★★☆☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f5-s5-4-1-n08,光合作用,BIOLOGY,原绑「捕获光能的色素和结构★★☆☆☆」与标题零字面重合；标题与「光合作用」互为整名包含，改指
bio-kb3-f5-s5-4-1-n13,水,BIOLOGY,原绑「捕获光能的色素和结构★★☆☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f5-s5-4-2-n02,叶绿体,BIOLOGY,原绑「光合作用的原理★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f5-s5-4-2-n04,叶绿体,BIOLOGY,原绑「光合作用的原理★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f5-s5-4-3-n01,光合作用,BIOLOGY,原绑「细胞呼吸的影响因素及其应用」与标题零字面重合；标题与「光合作用」互为整名包含，改指
bio-kb3-f5-s5-4-3-n02,光合作用,BIOLOGY,原绑「细胞呼吸的影响因素及其应用」与标题零字面重合；标题与「光合作用」互为整名包含，改指
bio-kb3-f5-s5-4-3-n11,光合作用,BIOLOGY,原绑「细胞呼吸的影响因素及其应用」与标题零字面重合；标题与「光合作用」互为整名包含，改指
bio-kb3-f2-s2-3-n03x2,脱水缩合,BIOLOGY,原绑「细胞中的糖类」与标题零字面重合；标题与「脱水缩合」互为整名包含，改指
bio-kb3-f2-s2-3-n11,脂质,BIOLOGY,原绑「细胞中的糖类」与标题零字面重合；标题与「脂质」互为整名包含，改指
bio-kb3-f2-s2-5-n08,核酸,BIOLOGY,原绑「遗传信息的翻译★★★☆☆」与标题零字面重合；标题与「核酸」互为整名包含，改指
bio-kb3-f3-s3-1-n13,流动镶嵌模型,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「流动镶嵌模型」互为整名包含，改指
bio-kb3-f3-s3-2-n06,核糖体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-kb3-f5-s5-2-n06,atp的结构,BIOLOGY,原绑「细胞的多样性和统一性」与标题零字面重合；标题与「ATP的结构」互为整名包含，改指
bio-kb3-f4-s08-n01,水,BIOLOGY,原绑「细胞中的水★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f4-s08-n02,水,BIOLOGY,原绑「细胞中的水★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f4-s08-n03,水,BIOLOGY,原绑「细胞中的水★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f4-s08-n07,水,BIOLOGY,原绑「细胞中的水★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f4-s08-n08,水,BIOLOGY,原绑「细胞中的水★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-kb3-f4-s46-n01,光合作用,BIOLOGY,原绑「捕获光能的色素和结构★★☆☆☆」与标题零字面重合；标题与「光合作用」互为整名包含，改指
bio-kb3-f4-s47-n01,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n02,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n03,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n04,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n05,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n06,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s47-n07,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-kb3-f4-s49-n11,光反应,BIOLOGY,原绑「光合作用的原理★★★☆☆」与标题零字面重合；标题与「光反应」互为整名包含，改指
bio-vacuole-function,渗透压,BIOLOGY,原绑「成熟植物细胞的吸水和失水★★☆☆☆」与标题零字面重合；标题与「渗透压」互为整名包含，改指
bio-fx-virus-materials-from-host,病毒,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-fx-recombination-two-sources,基因重组,BIOLOGY,原绑「同源染色体」与标题零字面重合；标题与「基因重组」互为整名包含，改指
bio-fx-pcr-gene-detection,基因,BIOLOGY,原绑「非特异性免疫」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-fx-judge-plasma-osmotic-ions,渗透压,BIOLOGY,原绑「细胞中的无机盐」与标题零字面重合；标题与「渗透压」互为整名包含，改指
bio-fx-judge-antibody-location,抗体,BIOLOGY,原绑「体液免疫」与标题零字面重合；标题与「抗体」互为整名包含，改指
bio-fx-hybrid-breeding,育种,BIOLOGY,原绑「基因重组」与标题零字面重合；标题与「育种」互为整名包含，改指
bio-fx-mutation-breeding,育种,BIOLOGY,原绑「基因突变」与标题零字面重合；标题与「育种」互为整名包含，改指
bio-fx-albumin-edema-mechanism,水,BIOLOGY,原绑「渗透压」与标题零字面重合；标题与「水」互为整名包含，改指
bio-fx-ecosystem-concept-components,生态系统,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「生态系统」互为整名包含，改指
bio-fx-info-functions-ecosystem,信息传递,BIOLOGY,原绑「环境因素参与调节植物的生命活动★★★☆☆」与标题零字面重合；标题与「信息传递」互为整名包含，改指
bio-fx-membrane-protein-asymmetry,细胞膜,BIOLOGY,原绑「膜的流动镶嵌模型」与标题零字面重合；标题与「细胞膜」互为整名包含，改指
bio-mo-internal-environment-013,水,BIOLOGY,原绑「内环境的稳态★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-fermentation-035,发酵工程,BIOLOGY,原绑「细胞呼吸的影响因素及其应用」与标题零字面重合；标题与「发酵工程」互为整名包含，改指
bio-mo-fermentation-036,发酵工程,BIOLOGY,原绑「细胞呼吸的影响因素及其应用」与标题零字面重合；标题与「发酵工程」互为整名包含，改指
bio-mo-population-009,样方法,BIOLOGY,原绑「种群的数量特征★★★☆☆」与标题零字面重合；标题与「样方法」互为整名包含，改指
bio-mo-cell-011,水,BIOLOGY,原绑「细胞的多样性和统一性」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-heredity-004,分离定律,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「分离定律」互为整名包含，改指
