subject,book,chapter,kb_nodes,kb_nodes_with_material,wusan_pages,wusan_candidates,gap
MATH,数学选择性必修第三册,第六章 计数原理,5,5,5,51,有节点有材料
MATH,数学选择性必修第二册,第五章 一元函数的导数及其应用,33,30,17,104,部分无材料
MATH,数学选择性必修第二册,第四章 数列,61,47,14,106,部分无材料
PHYSICS,物理必修第一册,第一章 运动的描述,17,15,2,0,部分无材料
PHYSICS,物理必修第一册,第三章 相互作用——力,46,26,11,55,部分无材料
PHYSICS,物理必修第一册,第二章 匀变速直线运动的研究,32,21,9,0,部分无材料
PHYSICS,物理必修第一册,第四章 运动和力的关系,34,26,13,88,部分无材料
PHYSICS,物理必修第三册,第九章 静电场及其应用,37,24,5,37,部分无材料
PHYSICS,物理必修第三册,第十一章 电路及其应用,10,6,8,73,部分无材料
PHYSICS,物理必修第三册,第十三章 电磁感应与电磁波初步,15,9,1,7,部分无材料
PHYSICS,物理必修第三册,第十二章 电能 能量守恒定律,18,15,6,53,部分无材料
PHYSICS,物理必修第三册,第十章 静电场中的能量,7,4,13,95,部分无材料
PHYSICS,物理必修第二册,第七章 万有引力与宇宙航行,29,18,7,56,部分无材料
PHYSICS,物理必修第二册,第五章 抛体运动,38,23,9,62,部分无材料
PHYSICS,物理必修第二册,第八章 机械能守恒定律,32,27,12,91,部分无材料
PHYSICS,物理必修第二册,第六章 圆周运动,24,16,6,43,部分无材料
PHYSICS,物理选择性必修第一册,第一章 动量守恒定律,32,23,12,90,部分无材料
PHYSICS,物理选择性必修第一册,第三章 机械波,21,15,4,29,部分无材料
PHYSICS,物理选择性必修第一册,第二章 机械振动,19,10,6,50,部分无材料
PHYSICS,物理选择性必修第一册,第四章 光,28,17,6,54,部分无材料
PHYSICS,物理选择性必修第三册,第一章 分子动理论,12,6,3,28,部分无材料
PHYSICS,物理选择性必修第三册,第三章 热力学定律,12,6,2,21,部分无材料
PHYSICS,物理选择性必修第三册,第二章 气体、固体和液体,19,12,9,67,部分无材料
PHYSICS,物理选择性必修第三册,第五章 原子核和核反应,25,13,2,24,部分无材料
PHYSICS,物理选择性必修第三册,第四章 原子结构和波粒二象性,25,16,5,56,部分无材料
PHYSICS,物理选择性必修第二册,第一章 安培力与洛伦兹力,20,15,18,117,部分无材料
PHYSICS,物理选择性必修第二册,第三章 交变电流,23,15,6,49,部分无材料
PHYSICS,物理选择性必修第二册,第二章 电磁感应,23,20,16,136,部分无材料
PHYSICS,物理选择性必修第二册,第四章 电磁振荡与电磁波,5,2,1,11,部分无材料
PHYSICS,跨册综合,力学实验,21,11,0,0,部分无材料
PHYSICS,跨册综合,力学综合（动力学/能量/动量三观点）,22,10,0,0,部分无材料
PHYSICS,跨册综合,热学与光学实验,12,9,0,0,部分无材料
PHYSICS,跨册综合,物理实验基础与仪器,27,13,0,0,部分无材料
