subject,slug,action,new_name,new_slug,reason
MATH,定义法-步骤是-一作-二证-三求,rename,定义法,,名称只含难度星号/结尾标点，清理即可
MATH,求距离的方法,rename,求距离的方法,,只有标题冒号 -> 机械推导
MATH,点面距离-线面距离-面面距离都转化为点面距离,rename,点面距离、线面距离、面面距离都转化为点面距离,,名称只含难度星号/结尾标点，清理即可
PHYSICS,物体看作质点的条件-物体的大小和形状对研究问题的影响可以忽略,rename,物体看作质点的条件,,整句话当名称 -> 机械推导
PHYSICS,时刻-表示某一瞬间-在时间轴上用点表示-是一个状态量,rename,时刻,,整句话当名称 -> 机械推导
PHYSICS,路程-物体运动轨迹的长度-只有大小-没有方向-是标量-其单位就是长度的单位,review,,,改名后与「路程」同名，需确认是否同一概念（同概念则 merge）
PHYSICS,矢量和标量,rename,矢量和标量,,只有标题冒号 -> 机械推导
PHYSICS,速度定义-位移与发生这段位移所用时间之比-表示物体运动快慢的物理量-是过程量,rename,速度定义,,整句话当名称 -> 机械推导
PHYSICS,平均速度与瞬时速度的区别,rename,平均速度与瞬时速度的区别,,名称只含难度星号/结尾标点，清理即可
PHYSICS,分类,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,基本规律,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,以上各式均为矢量式-应用时应规定正方向,rename,列方程时规定正方向,,残句当名称（机械 rename 只把 slug 的连字符换成标点，名字并未成形）
PHYSICS,平均速度公式,rename,平均速度公式,,只有标题冒号 -> 机械推导
PHYSICS,位移差公式,rename,位移差公式,,只有标题冒号 -> 机械推导
PHYSICS,初速度为零的几个重点推论,rename,初速度为零的几个重点推论,,名称只含难度星号/结尾标点，清理即可
PHYSICS,多过程问题,rename,多过程运动问题的分析方法,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：运动包含几个阶段就要分段分析，各段交接处的速度是连接各段的纽带
PHYSICS,基本规律-x1,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,运动规律,rename,运动规律,,只有标题冒号 -> 机械推导
PHYSICS,追及相遇问题的实质及分析思路,rename,追及相遇问题的实质及分析思路,,名称只含难度星号/结尾标点，清理即可
PHYSICS,在1t末-2t末-3t末-4t末-n-t末的速度比为-1-2-3-n,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,解题方法,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,竖直上抛运动的处理方法,rename,竖直上抛运动的处理方法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,意义,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,惯性参考系,rename,惯性参考系,,只有标题冒号 -> 机械推导
PHYSICS,非惯性参考系,rename,非惯性参考系,,只有标题冒号 -> 机械推导
PHYSICS,定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,公式,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,超重-物体有向上的加速度称物体处于超重,review,,,改名后与「超重」同名，需确认是否同一概念（同概念则 merge）
PHYSICS,等时圆使用条件,rename,等时圆使用条件,,只有标题冒号 -> 机械推导
PHYSICS,模型示意图,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,解题的思路,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,解题思路,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,运动特征,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,核心处理思想-运动的合成与分解-约束条件,review,,,改名后与「核心处理思想：运动的合成与分解：」同名，需确认是否同一概念（同概念则 merge）
PHYSICS,运动性质-匀变速曲线运动-加速度恒为重力加速度-g-大小方向不变,rename,运动性质,,整句话当名称 -> 机械推导
PHYSICS,产生条件,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,核心处理思想-运动的合成与分解,review,,,改名后与「核心处理思想：运动的合成与分解 + 约束」同名，需确认是否同一概念（同概念则 merge）
PHYSICS,定义,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,与平抛的区别,rename,与平抛的区别,,只有标题冒号 -> 机械推导
PHYSICS,基本概念,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,关键物理量,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,应用场景,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,水平射程-即水平射程由初速度v0和下落高度h共同决定-与其他因素无关,rename,水平射程,,整句话当名称 -> 机械推导
PHYSICS,按实际作用效果分解-最典型的是将速度分解为,rename,按力的作用效果分解,,残句当名称（机械 rename 只把 slug 的连字符换成标点，名字并未成形）
PHYSICS,按运动独立性建立坐标系,rename,按运动独立性建立坐标系,,名称只含难度星号/结尾标点，清理即可
PHYSICS,物体间恰好不发生相对滑动-的临界条件是物体间恰好达到最大静摩擦力,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,分析方法,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,两个质量均为m的木块a-b用恰好伸直的轻绳相连-放在水平圆盘上,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,解题关键,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,绳球模型-杆球模型两类经典模型中的临界条件-情景分析,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,受力分析-图示如下,rename,受力分析,,名称只含难度星号/结尾标点，清理即可
PHYSICS,力的分解-x1,rename,力的分解,,只有标题冒号 -> 机械推导
PHYSICS,运动的对称性,rename,运动的对称性,,只有标题冒号 -> 机械推导
PHYSICS,单位制-由基本单位和导出单位共同构成-常考-国际单位制-si-国际制基本单位,review,,,改名后与「单位制」同名，需确认是否同一概念（同概念则 merge）
PHYSICS,牛顿第二定律的理解-五性,rename,牛顿第二定律的理解,,名称只含难度星号/结尾标点，清理即可
PHYSICS,合成与分解法则-平行四边形法则,rename,合成与分解法则,,名称只含难度星号/结尾标点，清理即可
PHYSICS,向心力-x1,rename,向心力,,只有标题冒号 -> 机械推导
PHYSICS,向心力计算,rename,向心力计算,,只有标题冒号 -> 机械推导
PHYSICS,力的分解,merge,,力的分解-x1,与 力的分解-x1 是同一概念（去星号后同名）
PHYSICS,性质,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,四种基本相互作用-引力相互作用-电磁相互作用-强相互作用和弱相互作用,rename,四种基本相互作用,,整句话当名称 -> 机械推导
PHYSICS,方向-总是竖直向下-竖直向下是和水平面垂直-不一定和接触面垂直-也不一定指向地心,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,核心规律-受力分析-力的合成与分解-共点力的平衡,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,定义与目的,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,基本原则,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,常见力分析,rename,重力、弹力与摩擦力的对比,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：重力 地球吸引 G=mg；弹力 接触形变；摩擦力…三者的产生、方向与大小
PHYSICS,分析步骤,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,特点,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,合力范围,rename,合力范围,,只有标题冒号 -> 机械推导
PHYSICS,本质-是力的合成的逆运算-同样遵循矢量运算法则,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,分解法则,rename,力的分解法则,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：（1）平行四边形定则…（2）按力的作用效果分解
PHYSICS,分解方法,rename,分解方法,,只有标题冒号 -> 机械推导
PHYSICS,平衡条件-根本条件-作用在物体上的所有共点力的合力为零-即-f_合-0,rename,平衡条件,,整句话当名称 -> 机械推导
PHYSICS,核心特点,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,动态平衡问题,rename,动态平衡问题,,只有标题冒号 -> 机械推导
PHYSICS,静摩擦-滑动摩擦-大小突减,rename,静摩擦 → 滑动摩擦 (大小突减),,名称只含难度星号/结尾标点，清理即可
PHYSICS,滑动摩擦-静摩擦-大小可能突增,rename,滑动摩擦 → 静摩擦 (大小可能突增),,名称只含难度星号/结尾标点，清理即可
PHYSICS,接触面性质突变,rename,接触面性质突变,,只有标题冒号 -> 机械推导
PHYSICS,外部作用导致-n-突变,rename,外部作用导致 N 突变,,名称只含难度星号/结尾标点，清理即可
PHYSICS,斜面倾角突变-等效于-n-变,rename,斜面倾角突变 (等效于 N 变),,名称只含难度星号/结尾标点，清理即可
PHYSICS,外力方向突变,rename,外力方向突变,,只有标题冒号 -> 机械推导
PHYSICS,约束条件改变,rename,约束条件改变,,只有标题冒号 -> 机械推导
PHYSICS,核心分析方法,rename,三力平衡的图解法,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：（1）图解法（矢量三角形法）最常用直观；适用：三力平衡问题…
PHYSICS,相似三角形-动态三角形-拉密定理等方法解决临界极值问题,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,加速度方向突变,rename,加速度方向突变,,只有标题冒号 -> 机械推导
PHYSICS,向心力,merge,,向心力-x1,与 向心力-x1 是同一概念（去星号后同名）
PHYSICS,向心加速度,merge,,向心加速度-x1,与 向心加速度-x1 是同一概念（去星号后同名）
PHYSICS,天上-星球上空距离星体中心r-r-h处的重力加速度为g,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,地下-在天体内部距离中心r处-r-r-加速度为g-r,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,自力更生法-求解地球-中心天体-质量,rename,自力更生法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,环绕天体法-计算天体的质量,rename,环绕天体法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,卫星变轨-1-2-3,rename,卫星变轨,,名称只含难度星号/结尾标点，清理即可
PHYSICS,模型解读,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,模型分类,merge,,模型解读,知识点的属性条目被提成独立节点（定义：/表达式：/应用：），并入主节点（目标名 卫星的追及与相遇问题，同一主题下；原边界讲的是两卫星相距最近/最远）
PHYSICS,性质-x1,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,传送带模型中的功和能量的关系,rename,传送带模型中的功和能量的关系,,名称只含难度星号/结尾标点，清理即可
PHYSICS,定义-x2,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,表达式,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,位移-速度和加速度,rename,位移、速度和加速度,,只有标题冒号 -> 机械推导
PHYSICS,图象信息,rename,振动图象的信息,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：由图象可得出振幅 A、周期 T（或频率 f）和初相位 φ0
PHYSICS,传播特点,rename,传播特点,,只有标题冒号 -> 机械推导
PHYSICS,机械波的分类,rename,机械波的分类,,只有标题冒号 -> 机械推导
PHYSICS,波长λ-在波动中振动相位总是相同的两个相邻质点间的距离-用-λ-表示,rename,波长λ,,整句话当名称 -> 机械推导
PHYSICS,波速v-波长λ和频率f-周期t的关系-v-λf,rename,波速v、波长λ和频率f、周期T的关系,,整句话当名称 -> 机械推导
PHYSICS,反射-波在传播过程中遇到介质界面会返回来继续传播的现象叫作波的反射,rename,反射,,整句话当名称 -> 机械推导
PHYSICS,衍射-波在传播过程中可以绕过障碍物继续传播的现象叫做波的衍射,rename,衍射,,整句话当名称 -> 机械推导
PHYSICS,单摆周期,rename,单摆周期,,只有标题冒号 -> 机械推导
PHYSICS,运动特点,rename,运动特点,,只有标题冒号 -> 机械推导
PHYSICS,单摆的受力特征,rename,单摆的受力特征,,只有标题冒号 -> 机械推导
PHYSICS,动能定理表达式的推导,rename,动能定理表达式的推导,,只有标题冒号 -> 机械推导
PHYSICS,回复力,rename,回复力,,只有标题冒号 -> 机械推导
PHYSICS,波的干涉-x1,merge,,波的干涉,与 波的干涉 是同一概念（去星号后同名）
PHYSICS,波的干涉中振动加强点和减弱点的判断方法,rename,波的干涉中振动加强点和减弱点的判断方法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,性质-x2,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,定义-物体在一个过程中所受合外力的冲量等于该物体在这个过程中动量的变化量,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,定性分析有关现象,rename,定性分析有关现象,,只有标题冒号 -> 机械推导
PHYSICS,定量计算某过程中合外力的冲量或动量变化量,rename,定量计算某过程中合外力的冲量或动量变化量,,名称只含难度星号/结尾标点，清理即可
PHYSICS,定义-碰撞指的是两个物体在很短的时间内发生相互作用,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,情景分析,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,结果讨论,delete,,,抽取事故：题干/答案标记，非知识点
PHYSICS,模型解读-x1,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,模型临界问题,rename,动量守恒中的临界问题,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：上升到最大高度时 m 与 M 具有共同的水平速度，系统水平方向动量守恒
PHYSICS,规律,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,机械波,merge,,机械波-x1,与 机械波-x1 是同一概念（去星号后同名）
PHYSICS,受迫振动,merge,,受迫振动-x1,与 受迫振动-x1 是同一概念（去星号后同名）
PHYSICS,反射定律,rename,反射定律,,只有标题冒号 -> 机械推导
PHYSICS,图示,rename,折射定律,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：折射定律：(1)内容：如图所示…(2)表达式：＝n12
PHYSICS,分类-x1,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,偏振光-在垂直于光的传播方向的平面上-只沿着某个特定的方向振动的光,rename,偏振光,,整句话当名称 -> 机械推导
PHYSICS,电磁说-麦克斯韦认为光是一种电磁波,rename,电磁说,,名称只含难度星号/结尾标点，清理即可
PHYSICS,条件-①光从光密介质射入光疏介质-②入射角大于或等于临界角,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,应用,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,应用光的折射和全反射解决问题的两个技巧,rename,应用光的折射和全反射解决问题的两个技巧,,名称只含难度星号/结尾标点，清理即可
PHYSICS,应用光的折射和全反射解决问题的四个注意,rename,应用光的折射和全反射解决问题的四个注意,,名称只含难度星号/结尾标点，清理即可
PHYSICS,过程分析,rename,静电感应,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：将金属导体放到外电场 E0 中，自由电子移动，导体内部出现反向电场 E'
PHYSICS,分析方法-x1,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,求电场力做功的方法,rename,求电场力做功的方法,,只有标题冒号 -> 机械推导
PHYSICS,结构,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,原理,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,作用,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,原理-x1,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,电源的内阻-电源内部是由导体构成-所以也有电阻-这个电阻叫做电源的内阻,rename,电源的内阻,,整句话当名称 -> 机械推导
PHYSICS,电流-x1,merge,,电流,与 电流 是同一概念（去星号后同名）
PHYSICS,电阻,rename,电阻,,只有标题冒号 -> 机械推导
PHYSICS,电流做功的实质-电能转化成其他形式能的过程,rename,电流做功的实质,,名称只含难度星号/结尾标点，清理即可
PHYSICS,定义-x1,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,程序法-遵循-局部-整体-局部-的思路,rename,程序法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,结论法-串反并同-应用条件为电源内阻不为零,rename,结论法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,特殊值法-对于某些特殊电路问题-可以采取代入特殊值的方法去判定,rename,特殊值法,,整句话当名称 -> 机械推导
PHYSICS,电源输出功率-整个外电路上消耗的电功率,rename,电源输出功率,,名称只含难度星号/结尾标点，清理即可
PHYSICS,电动势-x1,merge,,电动势,与 电动势 是同一概念（去星号后同名）
PHYSICS,概念理解,rename,磁性、磁体与磁极,,列表项的**行首标签**被当成了名字，名字脱离父主题就不成知识点名；原边界：（1）磁性…（2）磁体…（3）磁极…不存在磁单极
PHYSICS,对磁感应强度定义式-b-的理解,rename,对磁感应强度定义式,,名称只含难度星号/结尾标点，清理即可
PHYSICS,大小,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,特点-f-b-f-v-即f垂直于b与v决定的平面-f与v始终垂直-洛伦兹力不做功,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,仪器构造,review,,,名称不可用（只有标题冒号），需读上下文定名
PHYSICS,仪器构造-质谱仪由粒子源-加速电场-偏转磁场和照相底片构成,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,仪器介绍-磁流体发电是一项新兴技术-它可以把内能直接转化为电能,rename,仪器介绍,,整句话当名称 -> 机械推导
PHYSICS,解题方法-x1,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,产生感应电流的条件,rename,产生感应电流的条件,,只有标题冒号 -> 机械推导
PHYSICS,判断电磁感应现象能否产生的方法,rename,判断电磁感应现象能否产生的方法,,名称只含难度星号/结尾标点，清理即可
PHYSICS,适用情况-判断导线切割磁感线产生的感应电流方向,rename,适用情况,,名称只含难度星号/结尾标点，清理即可
PHYSICS,产生条件-穿过回路的磁通量发生改变-与电路是否闭合无关,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,危害-互感现象能发生在任何两个相互靠近的电路之间-互感现象有时会影响电路的工作,rename,危害,,整句话当名称 -> 机械推导
PHYSICS,定义-一个线圈中的电流变化时-它所产生的变化的磁场在它本身激发出感应电动势的现象,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,自感电动势的大小-el-l-式中l为自感系数-它可以超出线圈两端的原电压,rename,自感电动势的大小,,整句话当名称 -> 机械推导
PHYSICS,自感现象的理解,rename,自感现象的理解,,只有标题冒号 -> 机械推导
PHYSICS,特点-整个导体回路的电阻一般很小-感应电流很大-故金属块的发热功率很大,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,应用-1-涡流热效应的应用-如真空冶炼炉-2-涡流磁效应的应用-如探雷器,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,平动切割与转动切割的几种情形,rename,平动切割与转动切割的几种情形,,名称只含难度星号/结尾标点，清理即可
PHYSICS,基本思路-x1,review,,,名称不可用（通用名词无主语），需读上下文定名
PHYSICS,两种运动状态-x1,merge,,两种运动状态,与 两种运动状态 是同一概念（去星号后同名）
PHYSICS,力学对象和电学对象的相互联系-x1,merge,,力学对象和电学对象的相互联系,与 力学对象和电学对象的相互联系 是同一概念（去星号后同名）
PHYSICS,求解电能的思路-x1,merge,,求解电能的思路,与 求解电能的思路 是同一概念（去星号后同名）
PHYSICS,磁通量φ-磁通量的变化量δφ及磁通量的变化率的比较,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,带电粒子在叠加场-复合场-电场与磁场重叠-中的运动,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,带电粒子在组合场-电场与磁场各位于一定的区域内-并不重叠-中的运动,review,,,名称不可用（整句话当名称），需读上下文定名
PHYSICS,带电粒子在交变电磁场中的运动,rename,带电粒子在交变电磁场中的运动,,名称只含难度星号/结尾标点，清理即可
