rel_path,top_dir,ext,bytes,content_bearing,pages,text_cjk_sample,text_layer
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.2集合间的基本关系（讲义）（教师版）.docx,2026年新高考资料,.docx,1408743,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.3集合的基本运算（讲义）（学生版）.docx,2026年新高考资料,.docx,1717808,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.3集合的基本运算（讲义）（教师版）.docx,2026年新高考资料,.docx,1912879,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.4命题与充要条件（讲义）（学生版）.docx,2026年新高考资料,.docx,973452,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.4命题与充要条件（讲义）（教师版）.docx,2026年新高考资料,.docx,983098,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/2.1基本不等式（讲义）（学生版）.docx,2026年新高考资料,.docx,921474,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/2.1基本不等式（讲义）（教师版）.docx,2026年新高考资料,.docx,943668,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.1平面向量的概念（讲义）（学生版）.docx,2026年新高考资料,.docx,917090,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.1平面向量的概念（讲义）（教师版）.docx,2026年新高考资料,.docx,926485,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.2平面向量的线性运算（讲义）（学生版）.docx,2026年新高考资料,.docx,1581888,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.2平面向量的线性运算（讲义）（教师版）.docx,2026年新高考资料,.docx,1995095,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.3平面向量的数量积（讲义）（学生版）.docx,2026年新高考资料,.docx,1037882,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.3平面向量的数量积（讲义）（教师版）.docx,2026年新高考资料,.docx,1057127,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（学生版）.docx,2026年新高考资料,.docx,917168,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（教师版）.docx,2026年新高考资料,.docx,957055,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（学生版）.docx,2026年新高考资料,.docx,1039180,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（教师版）.docx,2026年新高考资料,.docx,1106372,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.2任意角的三角函数（讲义）（学生版）.docx,2026年新高考资料,.docx,944497,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.2任意角的三角函数（讲义）（教师版）.docx,2026年新高考资料,.docx,949004,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.3同角三角函数之间的关系（讲义）（学生版）.docx,2026年新高考资料,.docx,921417,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.3同角三角函数之间的关系（讲义）（教师版）.docx,2026年新高考资料,.docx,931335,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.4三角函数诱导公式（讲义）（学生版）.docx,2026年新高考资料,.docx,919576,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.4三角函数诱导公式（讲义）（教师版）.docx,2026年新高考资料,.docx,926893,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.5两角和与差的正余弦（讲义）（学生版）.docx,2026年新高考资料,.docx,911965,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.5两角和与差的正余弦（讲义）（教师版）.docx,2026年新高考资料,.docx,918684,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.6三角函数的二倍角公式（讲义）（学生版）.docx,2026年新高考资料,.docx,914834,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.6三角函数的二倍角公式（讲义）（教师版）.docx,2026年新高考资料,.docx,924870,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.7正弦函数的图像与性质（讲义）（学生版）.docx,2026年新高考资料,.docx,925282,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.7正弦函数的图像与性质（讲义）（教师版）.docx,2026年新高考资料,.docx,963922,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.8余弦函数的图像与性质（讲义）（学生版）.docx,2026年新高考资料,.docx,925953,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.8余弦函数的图像与性质（讲义）（教师版）.docx,2026年新高考资料,.docx,941797,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.1正弦定理（讲义）（学生版）.docx,2026年新高考资料,.docx,927615,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.1正弦定理（讲义）（教师版）.docx,2026年新高考资料,.docx,1007881,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.2余弦定理（讲义）（学生版）.docx,2026年新高考资料,.docx,912581,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/5.2余弦定理（讲义）（教师版）.docx,2026年新高考资料,.docx,918608,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.1等差数列（讲义）（学生版）.docx,2026年新高考资料,.docx,916218,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.1等差数列（讲义）（教师版）.docx,2026年新高考资料,.docx,926793,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.2等比数列（讲义）（学生版）.docx,2026年新高考资料,.docx,927720,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.2等比数列（讲义）（教师版）.docx,2026年新高考资料,.docx,926315,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.3数列求和（讲义）（学生版）.docx,2026年新高考资料,.docx,932890,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/6.3数列求和（讲义）（教师版）.docx,2026年新高考资料,.docx,962105,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.1基本立体图形及其体积与表面积（讲义）（学生版）.docx,2026年新高考资料,.docx,5273588,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.1基本立体图形及其体积与表面积（讲义）（教师版）.docx,2026年新高考资料,.docx,7800804,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.2直线、平面平行的判定与性质（讲义）（学生版）.docx,2026年新高考资料,.docx,7839055,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.2直线、平面平行的判定与性质（讲义）（教师版）.docx,2026年新高考资料,.docx,13211025,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.3直线与平面垂直的判定和性质（讲义）（学生版）.docx,2026年新高考资料,.docx,2006476,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/7.3直线与平面垂直的判定和性质（讲义）（教师版）.docx,2026年新高考资料,.docx,2758796,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点01一元一次不等式和集合（学生版）.docx,2026年新高考资料,.docx,909945,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点01一元一次不等式和集合（教师版）.docx,2026年新高考资料,.docx,1010758,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点02一元二次不等式与集合（学生版）.docx,2026年新高考资料,.docx,911117,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点02一元二次不等式与集合（教师版）.docx,2026年新高考资料,.docx,987579,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点03绝对值不等式与集合（学生版）.docx,2026年新高考资料,.docx,1011558,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点03绝对值不等式与集合（教师版）.docx,2026年新高考资料,.docx,1025261,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点04分式不等式与集合（学生版）.docx,2026年新高考资料,.docx,922055,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点04分式不等式与集合（教师版）.docx,2026年新高考资料,.docx,936569,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点05根式不等式与集合（学生版）.docx,2026年新高考资料,.docx,922588,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点05根式不等式与集合（教师版）.docx,2026年新高考资料,.docx,939169,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点06指数不等式与集合（学生版）.docx,2026年新高考资料,.docx,921809,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点06指数不等式与集合（教师版）.docx,2026年新高考资料,.docx,939033,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点07对数不等式与集合（学生版）.docx,2026年新高考资料,.docx,975449,yes,,,
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/重点07对数不等式与集合（教师版）.docx,2026年新高考资料,.docx,991176,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第1节 集合.DOCX,2026年新高考资料,.docx,1523149,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第2节 常用逻辑用语.DOCX,2026年新高考资料,.docx,1029007,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第3节 不等式及其性质.DOCX,2026年新高考资料,.docx,1026571,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第4节 基本不等式.DOCX,2026年新高考资料,.docx,1055945,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第5节 一元二次方程、不等式.DOCX,2026年新高考资料,.docx,1080814,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/多选题加练(七)　立体几何与空间向量.DOCX,2026年新高考资料,.docx,1168977,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第1节　基本立体图形及几何体的表面积与体积.docx,2026年新高考资料,.docx,2224781,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第2节　与球有关的切、接问题.docx,2026年新高考资料,.docx,1210927,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第3节　空间点、直线、平面之间的位置关系.docx,2026年新高考资料,.docx,1509045,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第4节　空间直线、平面的平行.docx,2026年新高考资料,.docx,1730914,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第5节　空间直线、平面的垂直.DOCX,2026年新高考资料,.docx,1530965,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第6节　空间向量与线面位置关系.docx,2026年新高考资料,.docx,1312610,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第7节　向量法求空间角.docx,2026年新高考资料,.docx,1383651,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第8节　空间距离.docx,2026年新高考资料,.docx,1398450,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第9节　探索性及折叠问题.docx,2026年新高考资料,.docx,1257967,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/多选题加练（三）导数及其应用.DOCX,2026年新高考资料,.docx,952698,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第1节 导数的概念及运算.DOCX,2026年新高考资料,.docx,1460974,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第2节 导数与函数的单调性（一）.DOCX,2026年新高考资料,.docx,1215229,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第3节 导数与函数的单调性（二）.DOCX,2026年新高考资料,.docx,1015558,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第4节 导数与函数的极值.DOCX,2026年新高考资料,.docx,1098708,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第5节 导数与函数的最值.DOCX,2026年新高考资料,.docx,1140538,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第一课时 不等式恒（能）成立问题.DOCX,2026年新高考资料,.docx,974641,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第三课时 利用导数研究函数的零点.DOCX,2026年新高考资料,.docx,987012,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第二课时 构造函数证明不等式.DOCX,2026年新高考资料,.docx,1002931,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/多选题加练(九)　统计与成对数据的统计分析.DOCX,2026年新高考资料,.docx,1029930,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第1节　随机抽样、统计图表.docx,2026年新高考资料,.docx,1948960,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第2节　用样本估计总体.docx,2026年新高考资料,.docx,1274903,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第3节　成对数据的统计分析.docx,2026年新高考资料,.docx,1300424,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/多选题加练（一） 函数性质的综合应用.DOCX,2026年新高考资料,.docx,916568,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/多选题加练（二）基本初等函数及函数的应用.DOCX,2026年新高考资料,.docx,963025,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第10节 函数的图象.DOCX,2026年新高考资料,.docx,1444185,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第11节 函数与方程.DOCX,2026年新高考资料,.docx,1245218,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第12节 函数模型及其应用.DOCX,2026年新高考资料,.docx,1124454,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第1节 函数的概念及其表示.DOCX,2026年新高考资料,.docx,1493322,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第2节 单调性与最大（小）值（一）.DOCX,2026年新高考资料,.docx,1091154,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第3节 单调性与最大（小）值（二）.DOCX,2026年新高考资料,.docx,1055367,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第4节 函数的奇偶性、周期性.DOCX,2026年新高考资料,.docx,1065838,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第5节 函数的对称性及应用.DOCX,2026年新高考资料,.docx,1078568,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第6节 幂函数与二次函数.DOCX,2026年新高考资料,.docx,1197763,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第7节 指数与对数的运算.DOCX,2026年新高考资料,.docx,1035054,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第8节 指数函数.DOCX,2026年新高考资料,.docx,1163449,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第9节 对数函数.DOCX,2026年新高考资料,.docx,1164649,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/多选题加练(五)　平面向量.docx,2026年新高考资料,.docx,968222,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第1节　平面向量的概念及线性运算.docx,2026年新高考资料,.docx,1536531,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第2节　平面向量基本定理及坐标表示.docx,2026年新高考资料,.docx,1218401,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第3节　平面向量的数量积及其应用.docx,2026年新高考资料,.docx,1164173,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第4节　复数.DOCX,2026年新高考资料,.docx,1074446,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/课堂笔记.pdf,2026年新高考资料,.pdf,3058708,yes,1,0,SCANNED_IMAGE
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/多选题加练(八)　平面解析几何.DOCX,2026年新高考资料,.docx,970401,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第1节　直线的方程.docx,2026年新高考资料,.docx,1556421,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第2节　两直线的位置关系.docx,2026年新高考资料,.docx,1089602,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第3节　圆的方程.docx,2026年新高考资料,.docx,1048183,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第4节　直线与圆、圆与圆的位置关系.docx,2026年新高考资料,.docx,1141546,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第5节　椭圆.DOCX,2026年新高考资料,.docx,1188083,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第6节　双曲线.docx,2026年新高考资料,.docx,1145271,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第7节　抛物线.docx,2026年新高考资料,.docx,1125441,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/第8节　直线与圆锥曲线.docx,2026年新高考资料,.docx,1140592,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/高考难点突破系列(二)　圆锥曲线中的综合问题/第一课时　求值与证明.DOCX,2026年新高考资料,.docx,1013486,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/高考难点突破系列(二)　圆锥曲线中的综合问题/第三课时　最值与范围.docx,2026年新高考资料,.docx,994957,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/高考难点突破系列(二)　圆锥曲线中的综合问题/第二课时　定点、定线与定值.docx,2026年新高考资料,.docx,1003564,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/多选题加练(六)　数列.DOCX,2026年新高考资料,.docx,946772,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第1节　数列的概念与简单表示法.docx,2026年新高考资料,.docx,1455025,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第2节　等差数列及其前n项和.docx,2026年新高考资料,.docx,1146836,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第3节　等比数列及其前n项和.docx,2026年新高考资料,.docx,1038146,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第4节　数列中的构造问题.docx,2026年新高考资料,.docx,1014593,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第5节　数列求和.docx,2026年新高考资料,.docx,1038701,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第六章　数列/第6节　数列中的奇偶项、子数列问题.docx,2026年新高考资料,.docx,985567,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第十章　计数原理、概率、随机变量及其分布/多选题加练(十)　计数原理、概率、随机变量及其分布.DOCX,2026年新高考资料,.docx,918205,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第十章　计数原理、概率、随机变量及其分布/第1节　分类加法计数原理与分步乘法计数原理.docx,2026年新高考资料,.docx,1478889,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第十章　计数原理、概率、随机变量及其分布/第2节　排列与组合.docx,2026年新高考资料,.docx,1026722,yes,,,
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第十章　计数原理、概率、随机变量及其分布/第3节　二项式定理.docx,2026年新高考资料,.docx,1045922,yes,,,
