subject,pdf_rel,page,page_kind,ink,rows,rule,fig,formulas,figs,note
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,48,公式密排,0.0335,46,0,0.0016,48.1,2,公式 48.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,49,叙述,0.0268,58,0,0.0047,17.8,0,行 58
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,50,叙述,0.0275,64,0,0.0,20.1,0,行 64
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,51,公式密排,0.0297,42,0,0.0062,27.7,0,公式 27.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,52,叙述,0.0359,62,0,0.0021,15.4,0,行 62
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,53,公式密排,0.0357,51,0,0.0068,28.0,0,公式 28.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,54,叙述,0.0482,49,2,0.0052,13.0,1,行 49
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,55,公式密排,0.0333,56,0,0.0052,38.3,5,公式 38.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,56,公式密排,0.0408,48,0,0.0,32.0,1,公式 32.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,57,公式密排,0.0273,65,0,0.0025,32.2,0,公式 32.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,58,公式密排,0.0498,42,0,0.0005,30.3,1,公式 30.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,59,公式密排,0.0369,46,0,0.0062,26.3,0,公式 26.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,60,公式密排,0.0328,53,0,0.0005,38.7,3,公式 38.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,61,公式密排,0.0356,57,0,0.0057,35.6,0,公式 35.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,62,公式密排,0.0453,41,0,0.0026,27.1,2,公式 27.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,63,公式密排,0.0242,30,0,0.0092,37.5,6,公式 37.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,64,公式密排,0.0529,50,0,0.0068,58.7,0,公式 58.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,65,公式密排,0.0426,49,0,0.0057,57.3,6,公式 57.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,66,公式密排,0.0396,75,0,0.001,34.0,2,公式 34.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,67,叙述,0.0382,52,0,0.0088,13.3,1,行 52
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,68,公式密排,0.0429,57,0,0.0,51.4,0,公式 51.4/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,69,公式密排,0.0267,54,0,0.0016,33.8,0,公式 33.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,70,公式密排,0.0413,57,0,0.0,39.1,0,公式 39.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,71,公式密排,0.0285,47,0,0.0052,35.6,0,公式 35.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,72,公式密排,0.0407,44,0,0.0036,39.2,0,公式 39.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,73,公式密排,0.0228,58,1,0.0052,46.3,9,公式 46.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,74,公式密排,0.0428,54,2,0.0062,36.1,2,公式 36.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,75,公式密排,0.0412,54,1,0.0042,36.9,0,公式 36.9/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,76,公式密排,0.045,67,0,0.001,43.7,4,公式 43.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,77,公式密排,0.035,47,0,0.0068,33.0,1,公式 33.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,78,公式密排,0.0461,45,0,0.0005,30.7,0,公式 30.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,79,公式密排,0.0219,67,0,0.0025,32.2,0,公式 32.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,80,公式密排,0.0341,49,0,0.0,33.5,1,公式 33.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,81,公式密排,0.0238,44,0,0.0,33.7,1,公式 33.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,82,公式密排,0.0341,52,0,0.0021,35.6,2,公式 35.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,83,公式密排,0.0306,58,0,0.0057,40.5,0,公式 40.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,84,公式密排,0.0425,48,0,0.0021,43.2,1,公式 43.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,85,公式密排,0.0255,66,0,0.001,42.9,2,公式 42.9/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,86,公式密排,0.05,44,0,0.0026,42.0,0,公式 42.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,87,公式密排,0.0327,67,0,0.0087,42.1,2,公式 42.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,88,公式密排,0.042,81,0,0.0036,48.3,9,公式 48.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,89,公式密排,0.021,60,0,0.0042,44.0,6,公式 44.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,90,公式密排,0.0422,48,0,0.0005,35.7,1,公式 35.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,91,图密集,0.0322,45,1,0.0109,21.3,5,【图】5
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,92,叙述,0.0548,40,0,0.0083,18.7,0,行 40
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,93,图密集,0.0277,48,2,0.0025,24.8,3,【图】3
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,94,叙述,0.0443,43,0,0.0026,14.3,0,行 43
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,95,公式密排,0.0177,34,0,0.001,25.1,1,公式 25.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,96,公式密排,0.0394,40,2,0.0114,37.3,4,公式 37.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,97,公式密排,0.0356,53,4,0.0062,44.1,0,公式 44.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,98,表格式,0.0435,48,0,0.0102,21.3,0,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,99,表格式,0.0185,64,0,0.002,15.0,0,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,100,叙述,0.0362,58,0,0.0036,20.9,0,行 58
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,101,公式密排,0.0252,55,0,0.0031,34.0,1,公式 34.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,102,公式密排,0.0439,57,0,0.0088,54.7,3,公式 54.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,103,公式密排,0.0351,50,0,0.0061,45.8,0,公式 45.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,104,公式密排,0.0348,52,0,0.0,55.7,4,公式 55.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,105,公式密排,0.0302,60,0,0.0042,33.3,2,公式 33.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,106,公式密排,0.0358,46,0,0.001,45.8,0,公式 45.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,107,公式密排,0.0227,48,0,0.0016,32.6,0,公式 32.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,108,公式密排,0.034,53,0,0.0047,31.4,1,公式 31.4/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,109,公式密排,0.0388,57,0,0.0109,52.7,2,公式 52.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,110,叙述,0.0383,46,0,0.0057,23.5,0,行 46
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,111,公式密排,0.0279,57,0,0.0031,29.4,0,公式 29.4/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,112,公式密排,0.0282,68,0,0.0,31.1,0,公式 31.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,113,公式密排,0.0335,54,0,0.0078,27.5,1,公式 27.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,114,公式密排,0.0492,60,0,0.0094,47.9,2,公式 47.9/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,115,公式密排,0.0296,58,0,0.0051,35.8,0,公式 35.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,116,公式密排,0.0439,49,0,0.0,35.3,6,公式 35.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,117,公式密排,0.0303,54,0,0.0021,26.2,0,公式 26.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,118,公式密排,0.041,49,0,0.0,29.3,1,公式 29.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,119,叙述,0.023,61,1,0.0015,23.0,0,行 61
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,120,公式密排,0.0553,42,0,0.0088,28.3,1,公式 28.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,121,公式密排,0.0397,50,6,0.0085,28.6,3,公式 28.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,122,公式密排,0.0439,49,0,0.0005,25.1,2,公式 25.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,123,叙述,0.0363,35,0,0.0073,18.6,2,行 35
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,124,公式密排,0.0416,44,0,0.0047,30.0,1,公式 30.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,125,叙述,0.0386,47,0,0.0057,23.5,1,行 47
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,126,公式密排,0.0323,53,0,0.0005,29.5,7,公式 29.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,127,公式密排,0.028,47,0,0.0025,33.6,2,公式 33.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,128,表格式,0.0414,49,0,0.0,20.7,5,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,129,公式密排,0.0218,51,0,0.0036,33.8,4,公式 33.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,130,公式密排,0.0443,47,1,0.0057,30.3,4,公式 30.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,131,叙述,0.0256,62,0,0.0005,24.2,2,行 62
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,132,公式密排,0.0468,55,0,0.0042,27.7,2,公式 27.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,133,叙述,0.0388,51,0,0.0062,23.7,0,行 51
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,134,图密集,0.049,45,0,0.0005,23.8,3,【图】3
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,135,公式密排,0.0271,47,0,0.0025,32.3,0,公式 32.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,136,公式密排,0.0394,38,0,0.0021,31.1,2,公式 31.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,137,公式密排,0.0312,54,1,0.0094,35.5,3,公式 35.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,138,公式密排,0.0421,62,0,0.0052,47.0,2,公式 47.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,139,公式密排,0.0261,48,0,0.0055,29.3,2,公式 29.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,140,公式密排,0.044,54,0,0.0041,36.8,1,公式 36.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,141,叙述,0.0302,68,2,0.0055,24.4,0,行 68
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,142,叙述,0.0374,53,0,0.0005,23.1,0,行 53
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,143,表格式,0.0246,56,0,0.0026,17.7,1,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,144,叙述,0.0353,53,0,0.0036,16.1,1,行 53
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,145,表格式,0.0276,49,1,0.0071,21.0,2,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,146,叙述,0.0319,58,0,0.0,18.2,0,行 58
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,147,叙述,0.0263,57,0,0.0066,15.1,0,行 57
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,148,叙述,0.0359,61,0,0.0016,15.5,0,行 61
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,149,公式密排,0.034,45,2,0.0042,36.6,3,公式 36.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,150,公式密排,0.0462,47,0,0.0036,35.4,1,公式 35.4/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,151,公式密排,0.0249,78,0,0.0036,33.8,2,公式 33.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,152,公式密排,0.0473,52,0,0.0042,28.9,1,公式 28.9/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,153,公式密排,0.03,49,0,0.0021,27.5,1,公式 27.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,154,公式密排,0.0433,53,0,0.0005,27.8,0,公式 27.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,155,公式密排,0.0246,52,0,0.0031,25.5,1,公式 25.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,156,公式密排,0.0397,48,0,0.0,28.1,1,公式 28.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,157,公式密排,0.0366,60,0,0.0057,28.2,0,公式 28.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,158,表格式,0.0361,57,0,0.0005,24.2,1,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,159,公式密排,0.0277,59,0,0.002,31.3,1,公式 31.3/千字
