subject,material_slug,node_slug,node_name,confidence,evidence,slice
BIOLOGY,bio-fj-05-enucleated-amoeba,细胞核的结构和功能,细胞核的结构和功能,high,变形虫去核与植核实验是证明细胞核控制代谢和遗传的经典实验,slice_05
BIOLOGY,bio-fj-05-model-types,生物模型的类型,生物模型的类型,high,材料讲物理模型、概念模型、数学模型三类划分与实例；与节点「生物模型的类型」完全对应,slice_06
BIOLOGY,bio-fj-05-monolayer-area-2x,细胞膜成分和结构的探究历程,细胞膜成分和结构的探究历程,high,材料是磷脂单分子层铺展面积为红细胞表面积2倍的科学史实验；用于推知磷脂在细胞膜中排列为连续两层,slice_07
BIOLOGY,bio-fj-05-nuclear-pore-complex,细胞核的结构和功能,细胞核的结构和功能,high,材料讲核孔复合体的双功能与双向性；该节点已含核孔复合体与核膜要点类材料,slice_08
BIOLOGY,bio-fj-05-robertson-model,细胞膜成分和结构的探究历程,细胞膜成分和结构的探究历程,high,材料讲1959年罗伯特森电镜暗-亮-暗三层与蛋白质-脂质-蛋白质静态统一模型；是细胞膜结构探究历程中的一环,slice_09
BIOLOGY,bio-fj-07-carrier-number-effect,影响物质跨膜运输速率的因素,影响物质跨膜运输速率的因素,high,材料讲载体数量越多协助扩散与主动运输速率越大、载体饱和后速率达上限；即影响跨膜运输速率的因素,slice_10
BIOLOGY,bio-fj-07-osmosis-concentration-meaning,渗透作用,渗透作用,high,材料判定渗透装置中的浓度必须看成物质的量浓度并据此判断水分子净移动方向；与同节点已绑的『渗透平衡时两侧溶液浓度并不相等』同一考法,slice_11
BIOLOGY,bio-fj-07-solute-can-pass,渗透作用,渗透作用,high,材料讲溶质可通过半透膜时渗透装置液面先升后持平；该节点范围含渗透装置液面变化的变式分析,slice_12
BIOLOGY,bio-fj-07-solute-cannot-pass,渗透作用,渗透作用,high,材料讲溶质不能通过半透膜时水净流向高浓度一侧与液面变化；属渗透作用,slice_13
BIOLOGY,bio-fj-07-sucrase-in-osmometer,渗透作用,渗透作用,high,材料讲U形管渗透装置中加蔗糖酶使蔗糖水解为两分子单糖后微粒数增多水净流向蔗糖侧；考的是渗透作用的水分子移动方向与液面变化,slice_14
BIOLOGY,bio-fj-08-activation-energy-curve,与酶有关的曲线分析,与酶有关的曲线分析,high,材料逐段解释酶催化活化能曲线AC与BC与AB段的含义；服务酶相关曲线识图,slice_15
BIOLOGY,bio-fj-08-atp-production-consumption-sites,atp的合成和利用,ATP的合成和利用,high,材料汇总ATP的产生场所（细胞质基质、线粒体、叶绿体）与消耗场所；即ATP的合成和利用,slice_16
BIOLOGY,bio-fj-08-atp-vs-glucose-energy,atp的结构与作用,ATP的结构与作用,medium,材料比较ATP与葡萄糖的能源特点（ATP为直接能源而葡萄糖须先转化为ATP）；该节点已收录ATP与能源物质的比较条目,slice_17
BIOLOGY,bio-fj-08-enzyme-concentration-curves,影响酶促反应的因素分析,影响酶促反应的因素分析,high,材料讲酶浓度与底物浓度对反应速率曲线的影响及平台期限制因素；知识库同题材料「底物浓度和酶浓度对酶促反应速率的影响」即绑此节点,slice_18
BIOLOGY,bio-fj-08-enzyme-reusability,酶的作用和本质,酶的作用和本质,medium,材料讲酶可重复利用（催化作用）又可作底物被水解验证化学本质；对应酶的作用和本质,slice_19
BIOLOGY,bio-fj-08-enzyme-storage,酶的特性,酶的特性,medium,材料讲过酸过碱与高温使酶永久失活而0℃时结构稳定故酶制剂宜低温保存；属酶的作用条件温和（失活与保存条件）,slice_20
BIOLOGY,bio-fj-08-four-control-types,对照实验的分析方法,对照实验的分析方法,high,材料讲空白对照、自身对照、条件对照与相互对照四类区分；节点别名含「四类对照实验的区分」且同主题材料已绑此节点,slice_21
BIOLOGY,bio-fj-08-gastric-pepsin-small-intestine,酶的作用,酶的作用,medium,材料讲胃蛋白酶最适pH为1.5而小肠pH约7.6使其失活；该节点边界明确含pH等条件对酶活性的影响且别名即「pH对酶活性的影响」,slice_22
BIOLOGY,bio-fj-08-pasteur-liebig-debate,酶的本质,酶的本质,high,材料讲巴斯德与李比希关于发酵是否需活细胞的争论及其推动酶本质的探索；服务酶的本质这一考点,slice_23
BIOLOGY,bio-fj-09-electron-transport-chain,有氧呼吸的过程分析,有氧呼吸的过程分析,medium,材料讲有氧呼吸第三阶段内膜电子传递链与化学渗透假说驱动ATP合成；服务于有氧呼吸过程分析,slice_24
BIOLOGY,bio-fj-09-sealed-container-co2,细胞呼吸的影响因素及应用,细胞呼吸的影响因素及应用,high,材料讲密闭容器中O2减少与CO2积累逐渐抑制呼吸使CO2生成速率降低；属O2与CO2浓度对细胞呼吸的影响,slice_25
BIOLOGY,bio-fj-09-storage-conditions,细胞呼吸原理的应用,细胞呼吸原理的应用,high,材料讲果蔬低温低氧保湿、种子干燥低温储存及无氧时呼吸不为零；是细胞呼吸原理在储藏中的应用,slice_26
BIOLOGY,bio-fj-09-yeast-seal-before-test,实验-探究酵母菌细胞呼吸的方式,实验：探究酵母菌细胞呼吸的方式,high,材料讲酵母菌无氧呼吸实验中B瓶先封口耗尽瓶内氧气再连通石灰水；属该实验的变量分析与装置细节,slice_27
BIOLOGY,bio-fj-10-algae-distribution-light,色素,色素,high,材料讲绿藻褐藻红藻的色素种类与海水深度分布；该节点边界即「讨论藻类对不同光质的适应」并已收录「光合色素的分布、吸收光谱与藻类适应」,slice_28
BIOLOGY,bio-fj-10-chlorophyll-a-b-absorption-bands,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲叶绿素a与b在红光与蓝紫光区吸收带的波长位置与宽窄差异；属捕获光能的色素及其吸收光谱,slice_29
BIOLOGY,bio-fj-10-circular-chromatography-colors,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲圆形滤纸层析出现四种色素同心圆及由内向外的顺序与扩散快慢；属色素提取与分离实验的变式,slice_30
BIOLOGY,bio-fj-10-light-saturation-point,影响光合作用强度的环境因素,影响光合作用强度的环境因素,high,材料讲光饱和点的含义与限制因素；该节点别名即「光补偿点与光饱和点的分析」,slice_01
BIOLOGY,bio-fj-10-magnesium-chlorosis,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲缺镁使叶绿素合成受阻而显类胡萝卜素颜色并在黑暗中无法合成；属影响叶绿素合成与色素的内容,slice_02
BIOLOGY,bio-fj-10-pigment-absorption-spectrum,捕获光能的色素和结构,捕获光能的色素和结构,high,材料讲色素分布在类囊体薄膜及叶绿素与类胡萝卜素的吸收光谱,slice_03
BIOLOGY,bio-fj-10-pigment-bands-order,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲滤纸条上四种色素带的顺序、含量与扩散速度；属捕获光能的色素一节中色素提取与分离的结果,slice_04
BIOLOGY,bio-fj-10-pigment-extraction-principle,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲绿叶色素的提取原理与操作（无水乙醇提取、SiO2助研磨、CaCO3护色素）；属捕获光能的色素这一节,slice_05
BIOLOGY,bio-fj-10-pigment-separation-principle,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲纸层析分离绿叶色素的原理与步骤；属「捕获光能的色素和结构」一节中的色素提取与分离内容,slice_06
BIOLOGY,bio-fj-10-scattered-light-adaptation,色素,色素,high,材料讲遮光下散光中蓝紫光占比增加使叶绿素a/b降低以增强弱光吸光能力；属叶绿素a与b吸收光谱差异及弱光适应,slice_07
BIOLOGY,bio-fj-10-water-midday-depression,影响光合作用强度的环境因素,影响光合作用强度的环境因素,high,材料讲水分与气孔关闭导致光合午休；该节点已绑「气孔关闭导致光合午休的原因分析」,slice_08
BIOLOGY,bio-fj-11-compensation-saturation-shift,光合作用与细胞呼吸“关键点”的移动,光合作用与细胞呼吸“关键点”的移动,high,材料讲提温或减光使光补偿点右移饱和点左移、增光则相反以及缺Mg的影响；正是关键点的移动,slice_09
BIOLOGY,bio-fj-11-nadh-nadph-difference,H和ATP的来源与去向,H和ATP的来源与去向,high,材料区分NADH来自呼吸一二阶段去路为还原O2、NADPH来自光反应去路为还原C3；即还原氢的来源与去向,slice_10
BIOLOGY,bio-fj-11-summer-co2-curve,一昼夜CO2浓度变化曲线,一昼夜CO2浓度变化曲线,high,材料逐点解读夏季一天CO2浓度曲线的光补偿点与午休与有机物积累最多点；该节点别名正是『自然环境中夏季CO2浓度变化曲线』,slice_11
BIOLOGY,bio-fj-14-callus-dedifferentiation,植物组织培养,植物组织培养,high,材料讲离体组织经脱分化形成愈伤组织并可再分化出根芽；该节点别名含「愈伤组织的特点」与植物组织培养过程中的脱分化再分化,slice_12
BIOLOGY,bio-fj-15-artificial-cross-pollination,人工异花传粉的操作流程,人工异花传粉的操作流程,high,材料讲去雄套袋人工授粉再套袋的流程与花蕾期去雄要点；与节点同名同义,slice_13
BIOLOGY,bio-fj-15-gene-concepts,基因,基因,medium,材料辨析显性隐性基因相同基因等位基因与非等位基因的概念及位置关系；节点已收录复等位基因等基因概念类条目,slice_14
BIOLOGY,bio-fj-15-heterosis,育种,育种,low,材料讲杂合子产量往往高于纯合子与杂交制种需年年制种；属杂交育种利用杂种优势的范畴（节点表无杂种优势点）,slice_15
BIOLOGY,bio-fj-16-additive-gene-effect,自由组合定律中的特殊分离比问题分析,自由组合定律中的特殊分离比问题分析,high,材料讲显性基因数量累加效应致AaBb自交呈1:4:6:4:1；即9:3:3:1变式类的特殊分离比,slice_16
BIOLOGY,bio-fj-16-linkage-crossing-over,连锁互换问题的配子分析,连锁互换问题的配子分析,high,材料讲互换后的重组配子比例与用测交验证连锁；即连锁互换的配子分析,slice_17
BIOLOGY,bio-fj-16-recombination-type-ratio,两对相对性状杂交实验过程,两对相对性状杂交实验过程,medium,材料讲F2亲本类型与重组类型比例随亲本组合变化；知识库两篇「重组类型比例与测交的辨析」材料即绑此节点,slice_18
BIOLOGY,bio-fj-19-blender-centrifuge-purpose,噬菌体侵染细菌实验,噬菌体侵染细菌实验,high,材料讲该实验中搅拌与离心的目的及上清液与沉淀物的放射性分布,slice_19
BIOLOGY,bio-fj-19-dna-renaturation-heating,dna的双螺旋结构,DNA的双螺旋结构,medium,材料讲加热使DNA氢键断裂、双螺旋解开而缓慢冷却可复性且不破坏磷酸二酯键；说明氢键对双螺旋结构稳定性的意义,slice_20
BIOLOGY,bio-fj-19-griffith-converts-partial,肺炎链球菌转化实验,肺炎链球菌转化实验,medium,材料讲格里菲思体内转化实验中只有少部分R型菌被转化的细节与「全部转化」的错误说法；属该实验的过程与转化机制,slice_21
BIOLOGY,bio-fj-20-base-pair-rule-1-purine-pyrimidine,DNA分子中碱基数量关系,DNA分子中碱基数量关系,high,材料讲双链DNA碱基互补配对故A=T、C=G、嘌呤总数等于嘧啶总数；节点即DNA分子中碱基数量关系,slice_22
BIOLOGY,bio-fj-20-base-pair-rule-2-complementary-ratio,DNA分子中碱基数量关系,DNA分子中碱基数量关系,high,材料讲互补碱基之和（A+T或C+G）的占比在双链与任一条单链及转录出的mRNA中都相等；即DNA分子中碱基数量关系,slice_23
BIOLOGY,bio-fj-20-chargaff-rule-base-equality,DNA分子中碱基数量关系,DNA分子中碱基数量关系,high,材料讲查哥夫发现同一DNA中A与T含量相等C与G含量相等；正是DNA分子中碱基数量关系,slice_24
BIOLOGY,bio-fj-20-dna-strand-ends,dna的双螺旋结构,DNA的双螺旋结构,medium,材料讲单链5′端为游离磷酸与3′端为羟基且两链走向相反；该节点边界即「两条反向平行的脱氧核苷酸链」（与「dna的结构及特点」有重叠）,slice_25
BIOLOGY,bio-fj-20-semidiscontinuous-replication,DNA复制的拓展,DNA复制的拓展,medium,材料讲前导链连续与后随链不连续的复制延伸细节并延伸出端粒缩短；属DNA复制的拓展,slice_26
BIOLOGY,bio-fj-21-rna-types-functions,RNA的结构、种类与功能,RNA的结构、种类与功能,high,材料讲mRNA、tRNA、rRNA三类RNA的结构与功能及tRNA含局部氢键；与该节点同名同主题,slice_27
BIOLOGY,bio-fj-22-gene-location-by-aneuploid,基因位置的判断方法,基因位置的判断方法,high,材料讲用三体单体或染色体片段缺失品系杂交定位基因所在染色体；该节点别名即「三体定位法判断基因所在染色体」,slice_28
BIOLOGY,bio-fj-23-darwin-limitation,自然选择,自然选择,medium,材料讲达尔文学说不能解释遗传变异本质且局限于个体水平与渐变式物种形成；达尔文学说即自然选择学说,slice_29
BIOLOGY,bio-fj-23-isolation-types,隔离在物种形成中的作用,隔离在物种形成中的作用,high,材料讲隔离的概念及地理隔离与生殖隔离两种类型；该节点即隔离在物种形成中的作用,slice_30
BIOLOGY,bio-fj-24-artificial-uterus-conditions,内环境的稳态,内环境的稳态,high,材料以人造子宫的羊水成分与温度酸碱度机器胎盘考查内环境成分与理化性质保持相对稳定,slice_01
BIOLOGY,bio-fj-24-blood-through-organs,内环境的稳态,内环境的稳态,high,材料即血液流经骨骼肌肺肾胰腺肝脏后流出端物质含量变化模型；该节点别名正为血液流经某器官后物质含量的变化,slice_02
BIOLOGY,bio-fj-24-lactic-acid-buffer,酸碱平衡,酸碱平衡,high,材料讲乳酸与NaHCO3反应生成碳酸经呼吸排出以维持血浆pH,slice_03
