subject,pages,verdict,items_min,items_numbered,evidence
CHEMISTRY,14,RETRANSCRIBE,48,30,与页不符1处（正文式）：页图「2)有离子参加的置换反应：铁与稀硫酸发生的离子反应为 Zn + 2H+ == Zn2+ + H2↑」（页面印Zn，书本身疑似笔误），稿写「Fe + 2H+ = Fe2+ + H2↑」且未加注，属照化学常识改稿、与页图不符；同句页图「铁与硫酸铜溶液」稿漏「溶液」二字。页余均与页图一致：NaCl电离5式（H2SO4=2H++SO42-、NaOH=Na++OH-、Na2SO4=2Na++SO42-、NaHSO4水溶液=Na++H++SO42-与熔融=Na++HSO4-、NaHCO3=Na++HCO3-与HCO3-=H++CO32-）及「NaHSO4溶于水能完全电离出H+但属于酸式盐」边注、酸碱盐本质流程图、导电性/强弱电解质知识拓展（强酸H2SO4、HNO3、HCl等例）、书写注意2条、离子反应含义与3条件例式（Ag++Cl-=AgCl↓、CaCO3+2H+=Ca2++H2O+CO2↑、H++OH-=H2O）、Fe+Cu2+=Cu+Fe2+、BaCl2+Na2SO4写拆删查流程（旁注「如果是氧化还原反应…守恒的」）、CH3COOH⇌CH3COO-+H+等弱电解质⇌标注、Na2SO4+KNO3不反应、可拆/不可拆分类树（强酸/强碱/可溶性盐；弱酸H2CO3、CH3COOH、HClO、HF、H2S等/酸式酸根HCO3-、HSO3-等/弱碱NH3·H2O、Fe(OH)3、Cu(OH)2等/难溶物AgCl、CaCO3、BaCO3等/水/非电解质CH3CH2OH等），页脚9/10一致。
CHEMISTRY,"15,16,17",ACCEPT,156,70,逐页核对：p15「七看」①-⑦共10个×/√式（2Fe+6H+=2Fe3++3H2↑(×)、Fe+2H+=Fe2++H2↑(√)、CaCO3+2H+=Ca2++CO2↑+H2O(√)、CO32-+2H+=2CO2↑+H2O(×)、2Al+6H+=2Al3++3H2↑(√)、Ba2++SO42-+Cu2++2OH-=BaSO4↓+Cu(OH)2↓(√)、Ba2++2OH-+2H++SO42-=BaSO4↓+2H2O(√)、OH-+CO2=HCO3-(√)等）、意义表4化学方程式+红批「NaHSO4与NaOH反应的离子方程式也是此式」、温馨提示4条、四烧杯颜色、酸碱性3+3描述、9项结构图、两方法指引均全；p16电导率实验表（0.01 mol/L Ba(OH)2滴入0.2 mol/L H2SO4、V形曲线至~80s最低）、电导率曲线例abcd选项与解析、CO2少量/过量2式、酸不足/过量2式、NaHCO3·Ca(OH)2①②2式与页一致（表内说明「滴入…0.01 mol/L…」句首处文字结巴，稿以括号自正，不属实质错）；p17 Ca(HCO3)2·NaOH①②2式、少定多变模型、应用5例（2H++CO32-=CO2↑+H2O、Cl-+Ag+=AgCl↓、Ag++Cl-=AgCl↓）、四项原则表、氧化还原知识图谱/概念/Venn图/3O2→2O3齐全，未见漏块与编造。
CHEMISTRY,18,RETRANSCRIBE,53,26,书页第17页右半连续漏5个侧盒（p18_boxes.png、p18_midcol.png、p18_rightcol.png裁剪确认）：①「温馨提示」（决定物质氧化性、还原性强弱的因素是反应过程中电子转移的难易，而非电子转移数目的多少，如Na、Mg、Al作还原剂，1个原子反应时失电子依次增多但还原性依次减弱）②「易错易混」3条（CuO+H2△Cu+H2O中氧元素化合价不变；Cl2+H2O⇌HCl+HClO中被氧化和被还原的元素都是氯；2KMnO4△K2MnO4+MnO2+O2↑中KMnO4既表现还原性又表现氧化性）③「温馨提示」（元素处于最高价态时物质只有氧化性但不一定很强；最低价态时只有还原性但不一定很强）④「知识拓展」（所含元素处于较高价态→有降低趋势→可能具有氧化性；较低价态→可能具有还原性）⑤「温馨提示」（某元素由化合态变为游离态时可能被还原也可能被氧化；非金属单质不一定只做氧化剂）。页余（2.氧化性还原性、3.氧化产物还原产物、4.概念关系图、常见氧化剂8对/还原剂7对表、中间价态3物质、双线桥4注意、单线桥3注意、活动性顺序4行）均与页一致。
CHEMISTRY,19,RETRANSCRIBE,64,26,价态转化图编号箭头张冠李戴（p19_sulfur_zoom.png 8×裁剪确认）：页面实为①=H2S–S（箭头下指S）、②=S–H2SO4（箭头上指SO2）、③=H2S–SO2（箭头下指SO2）、④=H2S–H2SO4（箭头上指S）；稿写「②H2SO4(浓)与SO2之间、③SO2与S之间、④H2SO4(浓)与S之间」4组中3组错。两个H2S+H2SO4(浓)式（×/√）及-2/+6→0/+4价态标注正确；页余（三格图、4种影响因素判断、MnO2+4HCl(浓)△与2KMnO4+16HCl(浓)2式、Ce/Mn/Fe例答案C、性质强弱/先强后弱/价态转化/得失电子守恒4规律含6HCl(浓)+NaClO3=NaCl+3Cl2↑+3H2O、4Cu+10HNO3=4Cu(NO3)2+N2O↑+5H2O例答案C、三大原则+五步）均与页一致。
CHEMISTRY,"20,21",ACCEPT,86,23,"逐页核对：p20 K2Cr2O7+3H2C2O4+4H2SO4五步配平流程（标+6/+3→+3/+4、失2×1e-/得2×3e-、1K2Cr2O7+3H2C2O4+4H2SO4=1Cr2(SO4)3+6CO2↑+1K2SO4+7H2O）、H2O2实验表2式（5H2O2+2MnO4-+6H+=2Mn2++8H2O+5O2↑、H2O2+2I-+2H+=I2+2H2O）、制钛2式（TiO2+2C+2Cl2高温TiCl4+2CO、TiCl4+2Mg△Ti+2MgCl2）、汽车/生活5式（2CO+2NO催化剂2CO2+N2、10NaN3+2KNO3=5Na2O+K2O+16N2↑、KIO3+5KI+3H2SO4=3K2SO4+3I2+3H2O、NaClO+2HCl=NaCl+Cl2↑+H2O、2K2Cr2O7+3CH3CH2OH+8H2SO4=2K2SO4+2Cr2(SO4)3+3CH3COOH+11H2O）及红批(2023全国甲,1D)齐全；p21 2MnO4-+5H2O2+6H+=2Mn2++5O2↑+8H2O四步解析与5BiO3-+2Mn2++14H+=5Bi3++2MnO42-+7H2O、含锰6物质性质、钠转化关系图9箭、n=N/NA、M=m/n、c_B=n_B/V、V_m=V/n、氯气化学性质5式（3Cl2+2Fe△2FeCl3、Cl2+Cu△CuCl2、Cl2+H2点燃2HCl、Cl2+H2O—HCl+HClO、Cl2+2NaOH—NaCl+NaClO+H2O）、Cl→Cl-结构图、实验室制法装置齐全，未见漏块。"
CHEMISTRY,22,RETRANSCRIBE,51,23,书页第26页右上角边注漏：「①钠与酸溶液反应时优先与酸反应，如果钠过量，酸完全反应后，剩余的钠继续与水反应。」（p22_marginal.png裁剪确认，稿中无此句）；知识图谱描述另加原文图上没有的「氧元素-2价/-1价」字样（p22_map.png确认图谱仅写氧化钠(Na2O)、过氧化钠(Na2O2)，属小误加）。其余（物理性质表4项97.8℃、4Na+O2=2Na2O、2Na+O2△Na2O2、钠与水5行现象表、2Na+2H2O=2NaOH+H2↑、2Na+2H+=2Na++H2↑、Al(OH)3+OH-=[Al(OH)4]-、2Na+2H2O+CuSO4=Cu(OH)2↓+Na2SO4+H2↑、4Na+TiCl4高温4NaCl+Ti、2NaCl(熔融)电解2Na+Cl2↑、Na2O/Na2O2比较表10式含2Na2O2+2H2O=4NaOH+O2↑、2Na2O2+4HCl=4NaCl+2H2O+O2↑、2Na2O2+2CO2=2Na2CO3+O2、2Na2O+O2△Na2O2、温馨提示2条O22-个数比1:2）均与页一致。
CHEMISTRY,23,RETRANSCRIBE,40,18,"书页第27页中栏漏2盒（p23_midboxes.png裁剪确认）：①「易错易混」：Na2O2若遇到具有还原性的物质通常只体现氧化性（Na2O2+2NO=2NaNO2；3Na2O2+Fe2O3高温2Na2FeO4+Na2O，共熔可制备Na2FeO4）+若遇到CO2、H2O等往往发生自身氧化还原反应既做氧化剂又做还原剂（2Na2O2+2H2O=4NaOH+O2↑，得到2e-被还原/失去2e-被氧化）；②「温馨提示」：无论CO2或H2O单一物质还是混合物通过足量Na2O2，参加反应的CO2或H2O与产生的O2的数目之比均为2:1。其余（四大关系4条、比较表6行含2NaHCO3△Na2CO3+H2O+CO2↑、Na2CO3+Ca(OH)2=CaCO3↓+2NaOH、2NaHCO3+Ca(OH)2(少量)=CaCO3↓+Na2CO3+2H2O、NaHCO3+NaOH=Na2CO3+H2O、结晶水x=1/7/10、续表Na2CO3+CaCl2=CaCO3↓+2NaCl与+BaCl2、红批(2025浙江1月选考,7D)、鉴别3法、除杂2行、套管装置、V(Oa)图像、HCO3-+OH-+Ca2+=CaCO3↓+H2O、Ca2++2OH-+2HCO3-=CaCO3↓+CO32-+2H2O）均与页一致。"
CHEMISTRY,24,RETRANSCRIBE,40,33,书页第29页中栏顶部漏「温馨提示：Na2CO3与盐酸的反应」续块（p24_midtop.png裁剪确认）：「2)反应的离子方程式依次为CO32-+H+=HCO3-、HCO3-+H+=CO2↑+H2O；2.向盐酸中逐滴滴入Na2CO3溶液1)现象：有无色气体放出2)CO32-+2H+=CO2↑+H2O；3.不用外加试剂，利用相互滴加顺序不同导致现象不同，可以鉴别盐酸和Na2CO3溶液」——3个离子方程式+鉴别结论整块缺失；另漏红笔手写「它们虽然在一定条件下可以提供氧气，但不能用于防毒面具中」（箭头指KClO3/KMnO4/H2O2/CaO2/KO2，p24_rednote.png确认）。其余（V(Oa)四情形、焰色试验含义/操作/7元素色表（紫红/黄/紫透过蓝色钴玻璃/砖红/洋红/黄绿/绿）/3提示、钠露置5步流程与4式（4Na+O2=2Na2O、Na2O+H2O=2NaOH、2NaOH+CO2=Na2CO3+H2O+Na2CO3·10H2O、Na2CO3·10H2O=Na2CO3+10H2O）、Na2O2+H2O两过程2式（Na2O2+2H2O=2NaOH+H2O2、2H2O2=2H2O+O2↑）、2CaO2+2H2O=2Ca(OH)2+O2↑、4KO2+2H2O=3O2↑+4KOH、4KO2+2CO2=2K2CO3+3O2、路布兰制碱法）均与页一致。
CHEMISTRY,25,ACCEPT,45,23,路布兰法3式（2NaCl+H2SO4△Na2SO4+2HCl↑、Na2SO4+4C高温Na2S+4CO↑、Na2S+CaCO3高温Na2CO3+CaS）、索尔维法①-④（NaCl+NH3+CO2+H2O=NaHCO3↓+NH4Cl、CaCO3高温CaO+CO2↑、CaO+H2O=Ca(OH)2、2NH4Cl+Ca(OH)2△CaCl2+2NH3↑+2H2O、2NaHCO3△Na2CO3+CO2↑+H2O）、侯氏法（C+H2O(g)高温CO+H2、CO+H2O(g)高温CO2+H2、N2+3H2高温高压催化剂⇌2NH3可逆符号正确、NH3+NaCl+CO2+H2O=NaHCO3↓+NH4Cl）、质量差法例（6.6 g→3.8 g、2Na2O2+2CO2=2Na2CO3+O2 Δm=56 g、a=4.4 g b=1.6 g、答案B）与CuO+H2△Cu+H2O模型（Δm=16）、镁转化图约15箭、镁化学性质表8式（2Mg+O2点燃2MgO、3Mg+N2点燃Mg3N2、2Mg+CO2点燃2MgO+C、Mg+2HCl=MgCl2+H2↑、Mg+2H2O△Mg(OH)2+H2↑、MgO+2HCl、Mg3N2+6H2O=3Mg(OH)2+2NH3↑、Mg3N2+8HCl、Mg(OH)2+2HCl）、用途表2项均与页一致，未见漏块与编造。
CHEMISTRY,26,RETRANSCRIBE,41,24,3处缺陷：①年份误读——页面时间轴为「1810年」（英国化学家戴维），稿写「1787年」（p26_timeline.png裁剪确认，清晰可读1810年）；②书页第34页漏2个「温馨提示」（p26_warmtips.png裁剪确认）：「氯气有毒，人吸入少量氯气会使鼻腔和喉头的黏膜受到刺激引起胸痛和咳嗽，吸入大量氯气会中毒致死」与「可燃物与氧化剂(如氧气、氯气)在一定条件(如点燃、加热等)下发生发光、发热的剧烈反应都可以称为燃烧，燃烧不一定要有氧气参与，如Na、Cu、Fe均可在氯气中燃烧」；③红批误写——页面红笔实为「氯气氧化性很强，与变价金属反应时生成高价金属氯化物」（带箭头指三反应式），稿写成「氯气与大多数金属、非金属单质反应生成金属氯化物」（系照标题臆补）。其余（2Na+Cl2△2NaCl、2Fe+3Cl2△2FeCl3、Cu+Cl2△CuCl2、H2+Cl2点燃2HCl、Cl2+H2O⇌HCl+HClO与Cl2+H2O⇌H+Cl-+HClO可逆符号正确、2HClO光照2HCl+O2↑、Cl2+2NaOH=NaCl+NaClO+H2O、3Cl2+6NaOH△5NaCl+NaClO3+3H2O、MnO2+4HCl(浓)△MnCl2+Cl2↑+2H2O、熔点-101℃/沸点-34.6℃/3.214 g/L/1体积水溶2体积）均与页一致。
CHEMISTRY,"29,30,31,32",ACCEPT,164,111,逐页对照页图：p0029(书39-40)摩尔质量计算6式、▲数值相等、易错易混、气体摩尔体积定义/符号/单位/定义式+变形式2、22.4L流程图、特别提醒、①②③、6)四式、两看提示、阿伏加德罗定律内容+三同定一同、推论表4行、温馨提示3条、物质的量浓度w式/c_B式均在稿；p0030(41-42)计算流程图①②③、c=1000ρw/M、温馨提示3情况、稀释/混合2规律、容量瓶构造4项+查漏+四操作四不能表、仪器①②、8步配制流程、选用原则、引流提示、俯视仰视2条、误差分析方法1)均在稿；p0031(43-44)误差表10行、量筒俯视仰视2条+放平读数、阿伏加德罗应用4节(含P4 6mol P-P键、三步流程、abcd 4情况、隐含反应①②)、电荷守恒2条、关系式法3反应式+解析+答案63.39%+四步模型框均在稿；p0032(45-46)左导图(失2e/3e、4Fe(OH)2式、铁三角、六步法+左右相当)、右图谱(三氧化物性质、Fe3+/Fe2+氧化还原性)、铁单质物理性质、①-⑥六反应式(2Fe+3Cl2/Fe+S/3Fe+2O2/Fe+2H+/Fe+4HNO3稀/Fe+Cu2+)、存在形态3条、结构性质表、铁价规律3条均与页图一致，编号齐全，未见漏块或编造。
CHEMISTRY,33,RETRANSCRIBE,43,24,"p0033(书47-48)2)实验探究②实验操作a句：页图实为'把生成的气体通入蒸发皿中的肥皂液中。一段时间后,用坩埚钳夹取燃着的火柴点燃蒸发皿中的肥皂泡,观察现象。'(5倍裁切核实,句在稿中缺失),稿仅写到'观察现象。'即接b步,漏掉点燃肥皂泡这半句操作。余核对一致：①装置标注(还原铁粉/湿棉花/铁丝网罩/肥皂液/燃着的火柴+红批'在受热时提供试管中所需的水蒸气')、④结论式3Fe+4H2O(g)高温Fe3O4+4H2、改进装置、方法指引2条、铁氧化物表(3离子式+Fe3O4+4CO高温式+俗名/颜色/价态/用途)、铁氢氧化物表(2Fe(OH)3分解式+2盐酸式+2制备式+4Fe(OH)2转化式)、矿石/铁锈/灰绿色3提示、Fe(OH)2制备3步图+注意事项6条、铁盐亚铁盐探究表(2Fe3++Fe/Cl2+2Fe2+式+结论)、保存2条、除废水Fe2+、检验3法流程图、检验注意事项3条均在稿。"
CHEMISTRY,34,RETRANSCRIBE,36,33,"两处实误(均裁切放大核实)：①p0034(书49-50)2.制作印刷电路板工业流程图：页图废液后第一箭头标注为'加过量金属铁'，稿图注作'废液(含过量金属铜)'，属读图错且与稿自身正文'加入的铁过量,滤渣C是铁和铜的混合物'矛盾(滤渣含铜+过量铁,废液本身不含过量铜)；②5.价类二维图'2.不同价态的铁及其化合物之间的转化'表：页图'+2→0'合并组下有两行(FeO→Fe/FeO+CO高温Fe+CO2 及 Fe2+→Fe/Zn+Fe2+=Zn2++Fe)，稿表漏'Fe2+→Fe｜Zn+Fe2+=Zn2++Fe'一行(其余7行均在)。余核对一致：4)Fe2+特征检验K3[Fe(CN)6]式+特征蓝色拓展、高铁酸钾4节(方法一2式/方法一式)、FeCl3原理式+氧化性排序+流程Fe+2H+式、补铁剂2节+甲乙试管图、转化关系3图、同价态转化6式、例题选项A-D均在稿。"
CHEMISTRY,35,ACCEPT,40,24,p0035(书51-52)逐项对照：例题解析A-D四论断+答案C、铜性质表9式(2Cu+O2/碱式碳酸铜/Cu+Cl2/2Cu+S/Cu浓硫酸/Cu浓硝酸/3Cu+8HNO3稀/Cu+2AgNO3/Cu+2FeCl3)+稀硫酸通O2注、CuO表5式(H+/2Al/2NH3/乙醇/高温分解)、Cu2O 4式(酸/H2/稀硝酸/歧化)、Cu(OH)2 3式(酸/Δ分解/醛基检验)、铜盐波尔多液+CuSO4 3式+碱式碳酸铜3式、胆矾流程例题(1)-(4)答案4组式均在稿，编号齐全，上下标与条件符号(Δ/点燃/高温)未见误。
CHEMISTRY,36,RETRANSCRIBE,39,21,"p0036(书53-54)知识图谱【图】注三处与页图不符(裁切放大核实)：①图谱铁合金实际分'生铁'与'钢'(碳素钢/合金钢)两支,稿注作'铁合金(生铁/铸铁;钢……)'多出一个'铸铁'(铸铁仅见于下方知识拓展正文,不在图谱)；②铝和铝合金支下注实际为'铝、氧化铝既能与酸反应,又能与碱反应',稿注作'(既能与酸反应,又能与碱反应)'漏'氧化铝'；③新型合金旁实际为红笔手写'种类多,应用前景广阔'+潜水器插图,稿注'钛合金(待重工业、远洋运输等广泛)(航空等领域)'在页面无对应文字,疑为编造。正文核对一致：合金定义+红批、结构比较2段+性质①-④、温馨提示2条、形成条件2条、生铁钢碳含量(2%~4.3%/0.03%~2%/≤0.25%/0.25%~0.6%/>0.6%)、合金钢表4行、合金元素作用表7行(含'提高高温时的硬度和硬度'原句)、生铁三类拓展、铝合金应用2条均在稿。"
CHEMISTRY,"37,38,39",ACCEPT,140,91,逐页对照：p0037(书55-56)铝与酸碱表(操作/现象/2化学式/2离子式/结论)、Al2O3两性定义+①②2式+2025浙江选考注、硬铝表、新型合金结构图(储氢定义+要求/钛合金等应用)、稀土拓展、铝餐具提示、Al(OH)3拓展(2反应式+3制备式)、轻质合金2条+C919、计量数2例(2:2:2:1/1:1:2+22.4L体积比)+标准①②、设写标列解答6步、易错易混5条、铝产氢3比均在稿；p0038(57-58)承接句、V 3式(V2O5+浓HCl/VO2++Fe2+/2VO2++H2C2O4)、Cr 4式(可逆平衡⇌/Cr2O7+HCl/2Cr3++3PbO2/2CrO2-+3H2O2)、Mn 6式(2Mn2++5PbO2/5ClO-+2Mn2+/2歧化式/2KMnO4分解/MnO4-+5Fe2+/2MnO4-+I-)、Be/Zn 16式(单质/氧化物/氢氧化物/盐各4组)、工艺流程例题(流程8框+MnO2/30%H2SO4/pH 3.0-3.1/13/8.5/NH4Cl标签、pH表4离子×开始/完全)、(1)-(4)设问均在稿，可逆箭头与电荷符号未见误；p0039(59-60)(5)(6)设问、解析(2)-(6)(含VO2++MnO2+2H+式与Na[Al(OH)4]+HCl式)、答案(1)-(6)、模型构建3节(流程图模型/6考查角度/审题干审流程审题问3框)、第四章章导图(A=Z+N/Z决定元素种类/共价键离子键定义/同位素同素异形体/118种/周期数=电子层数/主族序数=最外层电子数/18列16族)、周期律同周期同主族2段、判断方法红框(金属性3/非金属性4)均与页图一致。
CHEMISTRY,40,RETRANSCRIBE,29,18,"三处实误(均裁切放大核实)：①p0040(书61-62)红色考题注实为'(2025山东,6A) 174/70Yb的中子数与质子数之差为104(×)',稿作'(2025山东6A)174Yb的中子数为104(×)'——漏'与质子数之差',判断题含义被改写(实际174-70-70=34≠104才判×)；②微粒关系图阴离子实为'A/Z X m-的电子数：N(e-)=Z+m'(与阳离子m+对称,均用m),稿作'阴离子n-的电子数：N(e-)=Z＋m',下标n系误读(图中无n)；③不同电子层表实为'离核远近：由近到远→/能量高低：由低到高→'两行带箭头通栏,稿注作'近(1~3层)｜远(4~7层)/低(1~3层)｜高(4~7层)',分层标注页面无。余核对一致：知识图谱(同位素/A-Z-±n-m标注)、质量数概念+关系式、构成微粒图、知识拓展2条、易错易混3条、电子层概念+模型图+表、排布规律4条(2n2/最外层8/次外层18)+温馨提示、表示方法2条+Na/Na+/Cl/Cl-四图、与性质关系3条、温馨提示、趣图助学均在稿。"
CHEMISTRY,41,ACCEPT,45,19,"p0041(书63-64)逐项对照：发展历程5行(1869门捷列夫/相对原子质量编排/意义/演变/现行核电荷数)、原子序数=核电荷数=质子数=核外电子数、编排原则示意图(同周期电子层数相同/同族最外层相同/上下左右)、周期表7行(2/8/8/18/18/32/32)、族表4行(主族A/副族B/Ⅷ族8-10列/0族)、知识拓展+主族最外层=主族序数=最高正价(O、F除外)、速记口诀3行、族别称3条、链接高考(890.3 kJ·mol-1/H2SiF6/2022江苏卷+2025湖北28注,稿已标'个别字迹不清晰')、18列对应表(ⅠA-0族+Pd除外+He为2)、一格信息(92/U/铀/5f6 6d1 7s2/238.0+放射性人造元素注)、核素3节(元素定义/核素定义/同位素定义+氢三同位素表+结构示意图+特点①②+2025江苏28注+用途①②)、ⅡA-ⅢA原子序数表3行(n/n+1/n+11/n+25)、位置结构提示、六同三不同图均与页图一致，编号齐全。"
CHEMISTRY,42,RETRANSCRIBE,49,13,"四处实误(均裁切放大核实)：①知识拓展①页图实为'碱金属是指在元素周期表中第ⅠA族的六种金属元素,钫是放射性元素,在中学阶段不讨论其性质',稿作'锕是放射性元素',元素名误读(钫→锕)；②温馨提示1页图实为'不同的核素可能具有相同的质子数,如1/1H与3/1H;也可能具有相同的中子数,如14/6C与16/8O;也可能具有相同的质量数,如14/6C与14/7N',稿将'1H与3H'误作'1H与2H'、将相同中子数例'14C与16O'误作'14C与14N'(14C中子7+7=14,14N中子7,两者中子数并不相同,化学上不成立)；③微粒符号图页图标注为'±b→化合价、n±→所带正负电荷数、m→原子数'(质量数A/质子数Z另注),稿注作'左上A(质量数)、左下Z(质子数,核电荷数)、右上+n(所带正电荷)、右下m(所带负电荷);旁注元素符号/原子数/化合价/元素符号',上下位与含义错乱；④'我是铯'试剂瓶卡通仅出现一次(结论/变化规律旁),稿拆成两幅图注(第二处把页边绿色'必拿第二册'色标并入图注)。余核对一致：③射线育种、联系示意图、比较表4行(含2025江苏5A注)、碱金属原子结构表5行(3/11/19/37/55+半径0.152-0.265)、锂石蜡保存、结论+变化规律、钠钾O2表(2Na+O2ΔNa2O2/KO2/K>Na)、铯最活泼、坩埚烧杯禁用提示、最外层1电子卡通、钠钾H2O表(共同点a-e/不同点/2方程式/K>Na)、保存拓展3条、O2递变(1)、相似性4通式、递变性4条均在稿。"
CHEMISTRY,43,RETRANSCRIBE,48,23,碱金属物理性质表下方三个递变性框，第一个框页面实为「从上到下，密度依次增大(K反常)」（2.4x裁剪p0043_grad.jpg确认），稿子写成「K反应（活泼性）」，密度结论丢失且属编造；其余（相似性句、Li-Cs五行数据、卤素物理表F2 1.69 g·L⁻¹等、H2+F2=2HF至Br2+2KI=2KBr+I2共14式、置换实验三图、链接高考I3⁻平衡解读、3处温馨提示、易错Fe+I2△FeI2）与页一致。
