subject,pdf_rel,pages,reason
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,40,"三处实误(均裁切放大核实)：①p0040(书61-62)红色考题注实为'(2025山东,6A) 174/70Yb的中子数与质子数之差为104(×)',稿作'(2025山东6A)174Yb的中子数为104(×)'——漏'与质子数之差',判断题"
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,42,"四处实误(均裁切放大核实)：①知识拓展①页图实为'碱金属是指在元素周期表中第ⅠA族的六种金属元素,钫是放射性元素,在中学阶段不讨论其性质',稿作'锕是放射性元素',元素名误读(钫→锕)；②温馨提示1页图实为'不同的核素可能具有相同的质子数,"
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,43,碱金属物理性质表下方三个递变性框，第一个框页面实为「从上到下，密度依次增大(K反常)」（2.4x裁剪p0043_grad.jpg确认），稿子写成「K反应（活泼性）」，密度结论丢失且属编造；其余（相似性句、Li-Cs五行数据、卤素物理表F2 
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,44,「4 根据核反应式推断元素」例题为整块编造：页面实为¹³O、¹⁵O半衰期题，反应式¹⁶₈O+³₂He→¹³₈O+ᵃᵦX与¹⁶₈O+³₂He→¹⁵₈O+ᵐₙY，解析X=⁶₂He（中子数4）、Y=⁴₂He，C/D选项均涉¹³O/¹⁵O（p44_
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,48,「电子式的书写」表简单阴离子一行，页面示例实为[:Br:]⁻、[:O:]²⁻（p48_edf.jpg裁剪确认），稿子写「[:Be:]⁻（按图）、[:O:]²⁻」，Br⁻误读为Be⁻（Be⁻不存在，属错误化学物种）；另4)离子键强弱句尾「…相
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,5,漏块（重读整页图确认，未切块）：页图第2栏末～第3栏含「第三节无机非金属材料」续条（知识2硅酸盐材料/107、知识3新型无机非金属材料/108、拓展1二氧化碳和二氧化硅的性质比较/110、拓展2硅酸和硅酸钠的比较/110、拓展3硅及其化合物
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,50,「续表」实例行误读+编造：页面共价键列实为「含氧酸、非金属氢化物、非金属氧化物、大多数有机化合物及部分盐中等」（黄底），离子键列「强碱、大多数盐、活泼金属氧化物等」（p50_xu4.jpg裁剪确认）；稿子写「大多数共价化合物，共价化合物及部
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,52,「拓展①」流程图失真：页面为BaCl2溶液—SO2→无明显现象(不反应)后分两支「足量碱(如NaOH)→产生白色沉淀(BaSO3)」与「氧化剂(如Cl2、H2O2)→产生白色沉淀(BaSO4)」，橙笔手写「SO2与H2O反应生成H2SO3，
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,54,整块漏「2.检验SO42-的操作」：页面有「待测液—稀盐酸→无明显现象（目的是排除CO32-、SO32-、Ag+等干扰）—BaCl2溶液→出现白色沉淀，说明有SO42-」（p54_jian2.jpg裁剪确认），稿子由「1.实验探究」表直接跳
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,55,温馨提示第2条「如浓硫酸具有强氧化性」被稿子写成「如硫酸铵具有强氧化性」（p55_tip.jpg裁剪确认原文为浓硫酸），物质名错致该句化学含义反错；其余（试剂三顺序①②③、洗涤三步、答题模板、火山S+O2点燃SO2→SO2+H2O⇌H2SO
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,56,「例」虚线框装置编号标错：页面①=无水CuSO4横管（棉花团）、②=品红溶液+酸性KMnO4溶液两瓶、③=品红溶液+澄清石灰水两瓶，反应瓶（木炭粉+浓H2SO4圆底烧瓶）未编号（p56_fig.jpg/p56_ex3.jpg裁剪确认，且页内
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,57,p0057左页3.焦亚硫酸钠2)具有还原性式：页图印为S2O5(2-)+2I2+3H2O=2SO4(2-)+4I-+6H+（5倍放大核实.p0057左栏，下标确为5与I2），稿作'$S_2O_4^{2-}+2I_4+3H_2O=2SO_4^
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,58,p0058左页②分类树状图：高能固氮N2+O2--放电-->2NO为单向箭头（4倍放大核实，与下方人工固氮N2+3H2可逆箭头明显不同），稿作'\\xrightleftharpoons{放电}2NO'把单向箭误作可逆箭。余核对一致：氮循环表
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,63,p0063右页1.硅3)化学性质①：页图印为Si+4HF=SiF4↑+2H2↑（放大核实，箭头为气体↑、产物为氢气），稿作'$Si+4HF=SiF_4\\uparrow+2H_2O$'，产物化学式抄错(2H2↑→2H2O)；同式在p0064
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,65,p0065右页112'1.实验探究'表实验操作格：页图为'2mL 2mol·L-1盐酸'加入盛镁条的试管(2倍放大核实，镁条无体积/浓度标注)，稿作'试管中2 mL 2 mol·L⁻¹盐酸+2 mL 2 mol·L⁻¹镁条'，把盐酸的'2 
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,73,左页知识图谱两处模型图类型写反（放大裁切核实）：页上乙醇为空间填充模型（球体相切无棍）、乙酸为球棍模型（可见连接棍）；稿中写【图：乙醇分子球棍模型】【图：乙酸分子比例模型】。其余（同系物/同分异构体/碳骨架/官能团五类/烷烃烯烃芳香烃乙醇乙
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,74,右页取代反应与置换反应比较表「通式」行错（放大裁切核实）：页上为 A—B+C—D→A—D+C—B（分别断键、重新组合，C、D可以相同也可以不同），稿中写成「A—C + D」。其余：甲烷结构表（0.717 g/L、109°28′）、燃烧两式、
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,75,右页【易错易混 同系物判断的'一定'和'不一定'】第1、2条错（放大裁切核实）：页上第1条为CH₂Cl₂两种画法结构式「为同一种物质」，稿中换成页面上不存在的句子「同系物在分子组成上一定相差一个或若干个CH₂……如CH₂=CH₂和……不互为
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,77,"左页两处C₈结构图描述错（放大裁切核实）：①等效氢法3)镜面等效示例，页上为CH₃CH₃在上/CH₃—C—C—CH₃在中/CH₃CH₃在下（2,2,3,3-四甲基丁烷，18个H），稿中写成「CH₂CH₃在上、CH₃—C—CH₃在中、CH₂C"
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,78,左页中栏漏掉整块（放大裁切核实）：页上「【温馨提示】乙烯和四氯化碳使溴水褪色的原理」——乙烯因发生加成反应、四氯化碳因萃取溴单质，故褪色原理不相同——及下方SO₂「我也能使溴水褪色」/乙烯「我能使溴水褪色」卡通，稿中完全缺失，直接从「发生加
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,84,左页中栏「例」：页上选项A为「该有机物的分子式为C₁₀H₇O₃」（放大裁切核实下标为7），解析「其分子式为C₁₀H₁₀O₃，A错误」、答案A；稿中把选项A写成C₁₀H₁₀O₃，与解析及答案自相矛盾；解析中页上「苯环所在平面为M₂」一句稿中漏
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,85,右栏顶部【温馨提示】整块遗漏：页面印'食草动物的体内有纤维素水解酶，可将纤维素水解生成葡萄糖…人体内没有纤维素水解酶…食物中的纤维素能刺激肠道蠕动，促进消化'（放大裁剪p0085右栏确认存在），稿内grep'纤维素水解酶/食草动物'均为ab
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,86,单不饱和脂肪酸举例两处名称错：页面为'1)肉豆蔻油酸''5)蓖麻油酸'（放大裁剪p0086确认），稿写作'肉豆蔻酸''豆蔻酸'，且grep'肉豆蔻油酸/蓖麻油酸'均absent；酯与油脂Venn图页面无'酶'字（裁剪确认仅'油脂''酯'二字
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,88,电解法框左侧红色手写块'电解法冶炼活泼金属使用的是熔融的盐或金属氧化物，不是盐溶液'整段漏转（grep'不是盐溶液'absent，裁剪确认页面存在）；海水综合利用辐射图分支归属错：页面为镁盐→镁、钾盐→钾、溴化物→溴各自独立分支，稿写'镁'
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,89,'三馏'比较表页面3行（蒸馏/分馏/干馏），稿仅2行且漏'蒸馏'行（grep'蒸馏'absent），其'分馏'行定义抄的是页面'蒸馏'行定义'液态物质加热到沸腾并使其蒸气冷凝分离的操作过程'（行混淆）；裂化示例框稿写'C₄H₁₀→(催化剂、
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,90,反萃取流程图两处浓度错+漏中间步：页面为'浓NaOH溶液''45% H₂SO₄溶液'且水层→含I₂的悬浊液→过滤→固态碘（裁剪p0090确认），稿写'稀NaOH溶液''稀H₂SO₄溶液'且直接'水层→固态碘'；稿自相矛盾：其反应行写'碘单质
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,92,柠檬黄结构式图说写错：页面为两个苯环各带—SO₃Na、经—N=N—偶氮基连吡唑酮环（环含C=O与NaOOC，裁剪p0092确认），稿写'两个苯环经含硫基团(—SO₂—)相连，两端各连一个—COONa基团'（连接基与端基均错）；抗坏血酸页面C
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,93,环己胺页面为(C₆H₁₁NH₂)（放大裁剪确认），稿误作(C₆H₅NH₂)——即苯胺式，grep' C₆H₁₁NH₂'absent、'C₆H₅NH₂' FOUND；环己基氨基磺酸钠分子式(C₆H₁₁NHSO₃Na)漏；豆腐原料页面为'盐卤(
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,99,p99左页「温馨提示」框：图中「Cl₂(g)、Br₂(g)与H₂(g)反应」被写成「C₂H₆(g)、Br₂(g)」（化学式错，2x放大核实）；盖斯定律比较法1)中「ΔH₃=ΔH₂−ΔH₁，且ΔH₃<0」被写成「ΔH₁=ΔH₂−ΔH₁，且ΔH
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,104,"p104 公式部分（例4 定义域/奇偶排除、例5 f(0)=a^b∈(0,1)→b<0 选 AD、例6 分类 0<2a<1 与 a>1 矛盾、答案 (0,1/2)）与页一致；但图(1)图(2) 说明写成『在 (1,0) 处触及 x 轴』，放"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,105,p105 例8(2) 页面 (1/3)^(1/4)、(1/4)^(1/5)，解析 (1/3)^(5×1/20)=(1/243)^(1/20)、(1/4)^(4×1/20)=(1/256)^(1/20)、直线 x=1/20、从而 (1/243
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,110,p110 换底公式及推论 1)2)3)、两条推论证明、深度剖析两点、化简技巧 1.-5.、例1(1) 原式=lg2^4+lg5^3-lg(1/5)=4、例1(2) (5/6)log_2 3×3/(2log_2 3)=5/4、例1(3) 开头
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,113,正文公式全对（(4/3)^m=(1+√5)/2、x/y=(1+√5)/2、log₂(2x)+log₂(2y)=1⇒xy=1/2、(x²+y²)/(x−y)≥2 最小值2、例6 T=klog₂N、T₂−T₁=10k=20⇒k=2、T₃−T₂=
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,116,例3 选项 A 稿作「0<b<1」，原页放大核实为「A.0<a<b<1」（B.0<a<1<b、C.0<b<1<a、D.a<0<1<b 稿均正确）；其余无误：例2解析（b=1/a、同增同减故选D）、例4 三个图象变换子题（log₂|x|、lo
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,187,重心公式证明的图注写'AD、BE、CF为中线交于G'：放大页图核实，图中只有A、B、C、D、E、G六个点，不存在点F和线段CF；BE、CE是平行四边形GBEC的虚线边，不是中线。图注编造了图中没有的元素。正文（GB+GC=GE=2GD、AG
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,188,正文逻辑符号错误：'深度剖析·对向量数量积运算律的理解'第1条，页图放大核实原文为'即a·b=b·c⇏a=c'（箭头带斜杠），稿子写成了'a·b=b·c⇔a=c'，把'不能推出'写成了'等价'，语义与全书此处论点相反。其余（投影向量公式、例
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,189,三角不等式图c的图注错误：放大核实图c点序为O、B、A，较长段OA（上方标a）是向量a，较短段OB（下方标a+b）是和向量；稿子写'O、A、B在同一直线上'（点序错）且'a为较长段OB方向、a+b为差段'（a与a+b的归属写反）。图a、图b
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,193,例8图注编造线段：放大核实图中直线只有BA延长线（B–A–P）、CD延长线（C–D–Q）、MN延长线（N–M–P–Q）；稿子写'图中连有PA、PC方向线及QD、QB方向线'，其中PC、QB两条线图中不存在。正文（MN=1/2(a+b)、co
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,195,正交分解实例图注F₁/F₂颠倒：放大核实页图，F₁为垂直斜面向外的分力（箭头指向斜面上方左侧），F₂为沿斜面向下的分力；稿子写'沿斜面方向的分力F₁和垂直斜面方向的分力F₂'，与图相反。正文（基本定理存在性/唯一性证明、x+y=1充分必要性
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,22,p22（索引，书页第3页）：143条条目（解题方法续24+知识应用91+二级结论28）稿中全部在场且标题、页码均对，但67条被误归到'【解题方法（续）】'标题下——中栏44条（自'利用诱导公式解决与三角形有关的问题/126'至'等差数列前n
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,229,三处错误均在 7.2 知识图谱框（放大2x/5x复核）：①除法式 z₁÷z₂=(ac+bd)/(c²+d²)+(bc−ad)/(c²+d²) 漏末尾 i，页图（p0229 左下公式块）清楚为 +(bc−ad)/(c²+d²)·i(c+di≠
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,255,p255（页233）错误：例1（1）解析中稿写「r₂=r₁+lcos45°=r₁+3√2」②，页图放大裁剪复核（.agent_audit_crops_m253_266/p0255_ex1b.png）清楚显示为「r₂=r₁+lcos45°=r
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,265,p265（页243）错误：知识拓展「推论2的证明」稿写「在直线a，b上分别取不同于点P的两点A，B，C，D」，页图放大裁剪复核（.agent_audit_crops_m253_266/p0265_tui2b.png）清楚显示为「在直线a，b
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,301,三处手写批注转写错误：①例2解析红笔注原文为“2.4不是整数则20%分位数是从小到大排列后的第3项数据”，稿子写成“从大到小”（放大裁图.agent_audit_crops_p0301_ex2.png、p0301_note2.png确认“从
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,31,"p31两处符号错+一处文字改动：①交集Venn标签①②页面为A⊊B,A∩B=A与B⊊A,A∩B=B(3x放大确认真子集斜杠符号)，稿写成A⊆B与B⊆A；②补集性质表第6行含义格页面为'任何集合的补集是其子集的补集的子集'，稿改作'超集'并自"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,319,p319 右上角为 p318「温馨提示 随机模拟的注意点」的第2、3条续文（2.研究非等可能事件的概率时用按比例分配确定数字个数及总个数；3.每次试验结果需n个随机数表示时作为一组、注意组内数字能否相同），放大页图核实存在；但稿中 p318
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,322,p322 折线图各月数据点写错：稿中写「9月=56，10月=51，11月=60，12月=57」，经裁剪放大页图核实实际为 9月=51，10月=56，11月=57，12月=60（折线自8月54回落至9月51，再单调升至12月60的峰）；同页印
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,34,p34一处符号错：1.4知识图谱第4情形标签页面为'A⊈B且B⊈A'(3x放大确认非子集符号)，稿写成'A≠B且B≠A'，含义被改(⊊情形也满足≠，但那是充分不必要而非既不充分也不必要)。其余核对无误：块5步骤3条、例5三方程判别式组(-2
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,343,"p343（页码 321）右栏末行『若 n1,n2 分别为平面 α,β 的法向量，则∠AEB=⟨n1,n2⟩或…』处页面右侧裁切，放大该区域（.agent_audit_crops_p0343_bottomright.png）可见原文为『或 π"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,350,单元知识框架页（无印刷页码，稿中已注明）。『圆与圆的位置关系』版面印 5 行 5 式：外离 d>r1+r2、外切 d=r1+r2、相交 |r1-r2|<d<r1+r2、内切 d=|r1-r2|、内含 d<|r1-r2|，且五幅图分别标注外离
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,351,"p351『2.斜率与倾斜角的关系』四联图第④格：放大裁图(.agent_audit_crops_m351_panel4.png)核实，原图为『90°<α<180°，k<0，α↑时k↑』(两箭头均向上，与第②格同体，数学上tan在(90°,1"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,36,"p36一处符号错：例1解析末句页面为'r⇔s，所以r是s的充要条件，故D不正确'(3x放大确认双箭头)，稿写成'r⇒s，所以r是s的充要条件'——单箭头与结论文字自相矛盾，且链式部分p⇒r,r⇏p,q⇒r,r⇒s,s⇒q稿转写正确、唯此处出"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,371,p371（书页349）转写稿 page=371 行存在跨页溢出（实质缺陷）：该行在「2)向量法 …即 (x-x₁)(x-x₂)+(y-y₁)(y-y₂)=0，这就是以线段AB为直径的圆的方程。」之后，继续收录了整页书页350（=页图p372
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,408,p408(页码386)：例2解法二的等式页面印刷为 √(x²+(y-3)²)=|y+2+1|（放大裁图确认等号后为绝对值竖线，次行起首'2+1|'），稿子写成'\sqrt{x^2+(y-3)^2}=1+y+2+1'——漏绝对值竖线且凭空多出
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,41,p41正文无误：等式性质5条、不等式性质9条、类比标注、最值定理(¼S²、2√P、和定积最大积定和最小)、基本不等式(a²+b²≥2ab、√ab≤(a+b)/2、一正二定三相等)、对应关系表4行×3列(含{x|x≠-b/2a}、{x|x₁<
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,416,p416(页码394)：例7(2)证明链页面印刷为 x=…=\dfrac{2ty_1y_2-4y_2}{3y_1-y_2}-2=\dfrac{3y_1-y_2}{3y_1-y_2}-2=-1（放大裁图确认分子含't'），稿子写成'\dfra
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,42,"p42两处箭头错：知识图谱'传递性：a>b,b>c⇒a>c'与'可乘性：a>b,c>0⇒ac>bc；a>b,c<0⇒ac<bc'页面均为单箭头⇒(3x放大确认)，稿均写成⇔；对称性(a>b⇔b<a)与可加性(a>b⇔a+c>b+c)页面对应"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,435,页首'于是有'公式转写错误：原图为差式 (S110/110-S100/100)/(110-100)=(S100/100-S10/10)/(100-10)（裁剪放大核实，分子有减号、分母为110-100与100-10），稿中误作纯比值 (S1
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,449,第449页“4 用数学归纳法证明整除问题”导语句：页面印字为“关键是‘把’n=k+1时的被除数分解成…”（已用3倍放大裁片.agent_audit_crops_m449_462_p0449_ba.png核实为提手旁的“把”），稿子第449行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,472,p472 例8解法一符号级错写：图片中 g(−1/2) 推导链第二行为 '=−g(−(3/2+2))=−g(1/2)=−g(3/2−2×1/2)'，转写稿写成 '=−g(3/2+2)=−g(1/2)=…'，即把取负中间步 −g(−(3/2+
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,483,"漏块：p483右栏下半截整段缺失。页图右栏自上而下为：令g′(x)=0得x=1/e…所以g(x)在(0,1/e)上单调递减，在(1/e,+∞)上单调递增，所以g(x)min=g(1/e)=−1/e，所以m=1。(2)由(1)知f(x)=xl"
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,"54,55",p54（书内32）右栏『深度剖析 对一元二次不等式的理解』第1条——『一元』是指未知数唯一、但并不意味着不等式中不能含其他字母、若含其他字母则把该字母看成常数——在稿中整条缺失（全文 grep『唯一』0 命中，crop c54_right.
