rel_path,subject,decision,rule,reason
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题八化学反应速率与化学平衡/专题PDF/专题八  化学反应速率与化学平衡.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题六化学反应的热效应/专题PDF/专题六  化学反应的热效应.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十一生命活动的物质基础有机合成/专题PDF/专题十一  生命活动的物质基础  有机合成.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四 原子结构元素周期律/专题PDF/专题四  原子结构  元素周期律.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题一 集合、常用逻辑用语与不等式/1.1集合/训练册PDF/1.1　集合.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题一 集合、常用逻辑用语与不等式/1.2常用逻辑用语/训练册PDF/1.2　常用逻辑用语.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题一 集合、常用逻辑用语与不等式/1.3不等式/训练册PDF/1.3　不等式.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题一 集合、常用逻辑用语与不等式/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/7.1 空间几何体的结构特征、表面积和体积/训练册PDF/7.1　空间几何体的结构特征、表面积和体积.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/7.2 直线、平面平行的判定与性质/训练册PDF/7.2　直线、平面平行的判定与性质.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/7.3 直线、平面垂直的判定与性质/训练册PDF/7.3　直线、平面垂直的判定与性质.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/7.4空间角与距离、空间向量及其应用/训练册PDF/7.4　空间角与距离、空间向量及其应用.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/培优10  球的切、接问题/训练册PDF/培优10　球的切、接问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/培优11 空间几何体的截面与交线问题/训练册PDF/培优11　空间几何体的截面与交线问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题七  立体几何与空间向量/培优12 空间几何体的动态和探索问题/训练册PDF/培优12　空间几何体的动态和探索问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/3.1 导数的概念及运算/训练册PDF/3.1　导数的概念及运算.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/3.2利用导数研究函数的单调性、极值和最值/训练册PDF/3.2　利用导数研究函数的单调性、极值和最值.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/3.3导数的综合应用/训练册PDF/3.3　导数的综合应用.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/培优1  三次函数性质综合/训练册PDF/培优1　三次函数性质综合.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/培优2 隐零点问题/训练册PDF/培优2　隐零点问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/培优3恒成立和能成立求参问题/训练册PDF/培优3　恒成立和能成立求参问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/培优4导数中的双变量问题/训练册PDF/培优4　导数中的双变量问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题三 导数及其应用/培优5 极值点偏移问题/训练册PDF/培优5　极值点偏移问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/9.1计数原理/训练册PDF/9.1　计数原理.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/9.2 随机事件、古典概型与 条件概率/训练册PDF/9.2　随机事件、古典概型与条件概率.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/9.3离散型随机变量及其分布列、均值与方差/训练册PDF/9.3　离散型随机变量及其分布列、均值与方差.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/9.4 二项分布、超几何分布与正态分布/训练册PDF/9.4　二项分布、超几何分布与正态分布.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/9.5 统计与成对数据的统计分析/训练册PDF/9.5　统计与成对数据的统计分析.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/培优18 概率与函数综合/训练册PDF/培优18　概率与函数综合.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题九 计数原理、概率与统计/培优19 概率与数列综合/训练册PDF/培优19　概率与数列综合.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/2.1函数的概念及性质/训练册PDF/2.1　函数的概念和基本性质.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/2.2基本初等函数/训练册PDF/2.2　基本初等函数.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/2.3函数的图象/训练册PDF/2.3　函数的图象.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/2.4函数的零点与方程的根/训练册PDF/2.4　函数的零点与方程的根.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/2.5函数模型及应用/训练册PDF/2.5　函数模型及应用.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题二 函数及其性质/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题五 平面向量与复数/5.1平面向量/训练册PDF/5.1　平面向量.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题五 平面向量与复数/5.2复数/训练册PDF/5.2　复数.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题五 平面向量与复数/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/8.1直线与圆/训练册PDF/8.1　直线和圆.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/8.2椭圆/训练册PDF/8.2　椭圆.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/8.3双曲线/训练册PDF/8.3　双曲线.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/8.4抛物线/训练册PDF/8.4　抛物线.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/8.5 圆锥曲线的综合问题/训练册PDF/8.5　圆锥曲线的综合问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/一年创新•风向练/训练册PDF/一年创新风向练.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/培优13 圆锥曲线中的弦长与面积问题/训练册PDF/培优13　圆锥曲线中的弦长与面积问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/培优14 圆锥曲线中的最值和范围问题/训练册PDF/培优14　圆锥曲线中的最值或范围问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/训练册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/培优16 圆锥曲线中的角度问题/训练册PDF/培优16　圆锥曲线中的角度问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题八 平面解析几何/培优17 圆锥曲线中的非对称问题/训练册PDF/培优17　圆锥曲线中的非对称问题.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题六 数列/6.1数列的概念及表示/训练册PDF/6.1　数列的概念及表示.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题六 数列/6.2等差数列/训练册PDF/6.2　等差数列.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/分层训练/专题六 数列/6.3等比数列/训练册PDF/6.3　等比数列.pdf,MATH,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
