subject,pdf_rel,page,span,status,page_kind,plan,chars,formulas,figs,numbered,uncertainties,truncated,items_min,verdict,gate,note
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,37,0029_0042,done,公式密排,审计-全,2051,67,1,5,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,38,0029_0042,done,表格式,审计-全,1433,35,0,16,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,39,0029_0042,done,表格式,审计-全,1617,39,0,17,0,,26,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,40,0029_0042,done,公式密排,审计-全,2215,67,0,16,0,,12,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,41,0029_0042,done,公式密排,重转-全协议,1589,85,4,12,0,,31,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,42,0029_0042,done,公式密排,重转-全协议,1697,56,1,14,0,,28,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,43,0043_0056,done,公式密排,审计-全,1836,72,1,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,44,0043_0056,done,表格式,审计-全,2614,57,0,26,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,45,0043_0056,done,叙述,审计-轻,2365,46,0,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,46,0043_0056,done,公式密排,审计-全,2135,56,0,17,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,47,0043_0056,done,公式密排,审计-全,2542,84,1,28,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,48,0043_0056,done,公式密排,审计-全,2412,116,2,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,49,0043_0056,done,叙述,审计-轻,1913,34,0,9,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,50,0043_0056,done,叙述,审计-轻,2486,50,0,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,51,0043_0056,done,公式密排,审计-全,2130,59,0,5,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,52,0043_0056,done,叙述,审计-轻,2605,40,0,10,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,53,0043_0056,done,公式密排,审计-全,2247,63,0,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,54,0043_0056,done,叙述,重转-全协议,1537,20,1,9,0,,,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,55,0043_0056,done,公式密排,重转-全协议,1933,74,5,16,0,,,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,56,0043_0056,done,公式密排,审计-全,2439,78,1,32,0,,33,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,57,0057_0070,done,公式密排,审计-全,2327,75,0,18,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,58,0057_0070,done,公式密排,审计-全,1880,57,1,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,59,0057_0070,done,公式密排,审计-全,1635,43,0,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,60,0057_0070,done,公式密排,审计-全,2094,81,3,12,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,61,0057_0070,done,公式密排,审计-全,1799,64,0,12,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,62,0057_0070,done,公式密排,审计-全,1512,41,2,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,63,0057_0070,done,公式密排,审计-全,1388,52,6,24,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,64,0057_0070,done,公式密排,审计-全,1532,90,0,1,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,65,0057_0070,done,公式密排,审计-全,1866,107,6,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,66,0057_0070,done,公式密排,审计-全,1470,50,2,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,67,0057_0070,done,叙述,审计-轻,1433,19,1,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,68,0057_0070,done,公式密排,审计-全,1964,101,0,12,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,69,0057_0070,done,公式密排,审计-全,1688,57,0,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,70,0057_0070,done,公式密排,审计-全,2074,81,0,4,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,71,0071_0084,done,公式密排,审计-全,2136,76,0,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,72,0071_0084,done,公式密排,审计-全,2246,88,0,7,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,73,0071_0084,done,公式密排,审计-全,2679,124,9,22,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,74,0071_0084,done,公式密排,审计-全,2214,80,2,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,75,0071_0084,done,公式密排,审计-全,2089,77,0,36,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,76,0071_0084,done,公式密排,审计-全,2036,89,4,24,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,77,0071_0084,done,公式密排,审计-全,1728,57,1,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,78,0071_0084,done,公式密排,审计-全,2152,66,0,21,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,79,0071_0084,done,公式密排,审计-全,1924,62,0,2,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,80,0071_0084,done,公式密排,审计-全,2387,80,1,4,0,,10,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,81,0071_0084,done,公式密排,重转-全协议,2109,71,1,10,0,,14,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,82,0071_0084,done,公式密排,审计-全,2278,81,2,14,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,83,0071_0084,done,公式密排,审计-全,2076,84,0,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,84,0071_0084,done,公式密排,审计-全,2293,99,1,23,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,85,0085_0098,done,公式密排,审计-全,2567,110,2,7,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,86,0085_0098,done,公式密排,审计-全,2284,96,0,14,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,87,0085_0098,done,公式密排,审计-全,1828,77,2,7,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,88,0085_0098,done,公式密排,审计-全,2880,139,9,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,89,0085_0098,done,公式密排,审计-全,2252,99,6,21,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,90,0085_0098,done,公式密排,审计-全,2380,85,1,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,91,0085_0098,done,图密集,审计-全,1548,33,5,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,92,0085_0098,done,叙述,审计-轻,1605,30,0,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,93,0085_0098,done,图密集,审计-全,1653,41,3,3,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,94,0085_0098,done,叙述,审计-轻,1605,23,0,3,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,95,0085_0098,done,公式密排,审计-全,1513,38,1,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,96,0085_0098,done,公式密排,审计-全,2278,85,4,4,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,97,0085_0098,done,公式密排,审计-全,2154,95,0,27,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,98,0085_0098,done,表格式,审计-全,2162,46,0,30,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,99,0099_0112,done,表格式,重转-全协议,3003,45,0,18,0,,,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,100,0099_0112,done,叙述,重转-全协议,2721,57,0,12,0,,,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,101,0099_0112,done,公式密排,重转-全协议,2439,83,1,8,0,,,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,102,0099_0112,done,公式密排,审计-全,1811,99,3,12,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,103,0099_0112,done,公式密排,审计-全,1942,89,0,53,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,104,0099_0112,done,公式密排,重转-全协议,2279,127,4,29,0,,15,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,105,0099_0112,done,公式密排,重转-全协议,3007,100,2,16,0,,24,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,106,0099_0112,done,公式密排,审计-全,2076,95,0,7,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,107,0099_0112,done,公式密排,审计-全,2208,72,0,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,108,0099_0112,done,公式密排,审计-全,2105,66,1,18,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,109,0099_0112,done,公式密排,审计-全,2012,106,2,23,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,110,0099_0112,done,叙述,重转-全协议,2085,49,0,21,0,,23,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,111,0099_0112,done,公式密排,审计-全,2481,73,0,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,112,0099_0112,done,公式密排,审计-全,2542,79,0,12,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,113,0113_0126,done,公式密排,重转-全协议,1965,54,1,4,0,,25,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,114,0113_0126,done,公式密排,审计-全,1962,94,2,33,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,115,0113_0126,done,公式密排,审计-全,1928,69,0,15,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,116,0113_0126,done,公式密排,重转-全协议,2491,88,6,20,0,,40,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,117,0113_0126,done,公式密排,审计-全,2172,57,0,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,118,0113_0126,done,公式密排,审计-全,2558,75,1,14,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,119,0113_0126,done,叙述,审计-轻,2305,53,0,3,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,120,0113_0126,done,公式密排,审计-全,1943,55,1,18,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,121,0113_0126,done,公式密排,审计-全,1749,50,3,16,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,122,0113_0126,done,公式密排,审计-全,1991,50,2,41,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,123,0113_0126,done,叙述,审计-轻,1720,32,2,42,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,124,0113_0126,done,公式密排,审计-全,1735,52,1,9,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,125,0113_0126,done,叙述,审计-轻,1826,43,1,9,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,126,0113_0126,done,公式密排,审计-全,2207,65,7,1,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,127,0127_0140,done,公式密排,审计-全,2021,68,2,14,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,128,0127_0140,done,表格式,审计-全,1884,39,5,24,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,129,0127_0140,done,公式密排,审计-全,3339,113,4,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,130,0127_0140,done,公式密排,审计-全,1818,55,4,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,131,0127_0140,done,叙述,审计-轻,2766,67,2,17,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,132,0127_0140,done,公式密排,审计-全,2530,70,2,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,133,0127_0140,done,叙述,审计-轻,2410,57,0,17,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,134,0127_0140,done,图密集,审计-全,3113,74,3,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,135,0127_0140,done,公式密排,审计-全,2443,79,0,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,136,0127_0140,done,公式密排,审计-全,2121,66,2,24,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,137,0127_0140,done,公式密排,审计-全,2392,85,3,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,138,0127_0140,done,公式密排,审计-全,2849,134,2,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,139,0127_0140,done,公式密排,审计-全,2458,72,2,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,140,0127_0140,done,公式密排,审计-全,2802,103,1,5,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,141,0141_0154,done,叙述,审计-轻,2378,58,0,9,0,,,ACCEPT,pass,
