subject,candidate_slug,status,target_node_slug,evidence_phrase,note
MATH,required-functions-candidate-002,PARTIAL,函数的三要素,会根据不同的需要选择恰当的方法(如图象法、列表法、解析法等)表示函数,表示方法未单设节点
MATH,required-functions-candidate-003,COVERED,相等函数与分段函数,"通过具体实例,了解简单的分段函数,并能简单应用",
MATH,required-functions-candidate-004,COVERED,函数的单调性,会用符号语言表达函数的单调性、最大(小)值,求最值另见 二次函数在闭区间上的最值问题
MATH,required-functions-candidate-005,COVERED,函数的奇偶性,"结合具体函数,了解奇偶性的概念和几何意义",
MATH,required-functions-candidate-006,COVERED,函数的周期性,"结合三角函数,了解周期性的概念和几何意义",定义见 周期函数的定义
MATH,required-functions-candidate-007,NOT_COVERED,,"函数的形成与发展 收集、阅读函数的形成与发展的历史资料,撰写小论文",论文型学术活动，非知识点对象
MATH,required-functions-candidate-008,COVERED,幂函数,"通过具体实例,结合图象,理解它们的变化规律,了解幂函数",定义/性质/图象见 幂函数的定义-一般地-函数y-xα叫做幂函数-其中x是自变量-α是常数 等
MATH,required-functions-candidate-009,COVERED,指数幂的运算性质,掌握指数幂的运算性质,根式与分数指数幂见 根式与分数指数幂
MATH,required-functions-candidate-010,COVERED,指数函数及其性质,"通过具体实例,了解指数函数的实际意义,理解指数函数的概念",
MATH,required-functions-candidate-011,COVERED,指数函数的图象与性质应用,探索并理解指数函数的单调性与特殊点,
MATH,required-functions-candidate-012,COVERED,对数与对数运算,"理解对数的概念和运算性质,知道用换底公式能将一般对数转化成自然对数或常用对数",换底公式另见 换底公式
MATH,required-functions-candidate-013,COVERED,对数函数的概念,"通过具体实例,了解对数函数的概念",图象性质见 对数函数的图象与性质应用
MATH,required-functions-candidate-014,PARTIAL,对数函数,"知道对数函数与指数函数互为反函数(a>0,且a≠1)",反函数关系未单设节点
MATH,required-functions-candidate-015,NOT_COVERED,,"收集、阅读对数概念的形成与发展的历史资料,撰写小论文",论文型学术活动，非知识点对象
MATH,required-functions-candidate-016,COVERED,任意角与弧度制,"了解任意角的概念和弧度制,能进行弧度与角度的互化",
MATH,required-functions-candidate-017,COVERED,三角函数的定义,借助单位圆理解三角函数(正弦函数、余弦函数、正切函数)的定义,图象性质见 三角函数的图象与性质
MATH,required-functions-candidate-018,COVERED,三角函数的图象与性质,"借助图象理解正弦函数、余弦函数在[0,2π]上,正切函数在(-π/2,π/2)上的性质",
MATH,required-functions-candidate-019,COVERED,函数y-asin-ωx-φ-的图象,"能借助图象理解参数ω,φ,A的意义,了解参数的变化对函数图象的影响",
MATH,required-functions-candidate-020,COVERED,同角三角函数的基本关系,理解同角三角函数的基本关系式,
MATH,required-functions-candidate-021,COVERED,两角和与差的公式,"经历推导两角差余弦公式的过程,知道两角差余弦公式的意义",
MATH,required-functions-candidate-022,COVERED,两角和与差的公式,"能从两角差的余弦公式推导出两角和与差的正弦、余弦、正切公式,二倍角公式",二倍角另见 二倍角公式
MATH,required-functions-candidate-023,COVERED,三角恒等变换,能运用上述公式进行简单的恒等变换,
MATH,required-functions-candidate-024,PARTIAL,三角函数的图象与性质,"会用三角函数解决简单的实际问题,体会可以利用三角函数构建刻画事物周期变化的数学模型",应用建模面未单设节点
MATH,required-functions-candidate-025,COVERED,函数零点的定义,"结合学过的函数图象,了解函数零点与方程解的关系",
MATH,required-functions-candidate-026,COVERED,函数零点存在定理,"了解函数零点存在定理,探索用二分法求方程近似解的思路",二分法另见 二分法
MATH,required-functions-candidate-027,COVERED,函数模型与增长速度的比较,会选择合适的函数类型刻画现实问题的变化规律,2026-09-18 第四批直抽材料闭合
MATH,required-functions-candidate-028,COVERED,函数模型与增长速度的比较,"比较对数函数、一元一次函数、指数函数增长速度的差异,理解指数爆炸、对数增长、直线上升等术语的现实含义",2026-09-18 第四批直抽材料闭合
MATH,required-functions-candidate-029,NOT_COVERED,,收集、阅读一些现实生活、生产实际或者经济领域中的数学模型,论文型学术活动，非知识点对象
MATH,required-geometry-algebra-candidate-001,COVERED,平面向量的概念,"通过对力、速度、位移等的分析,了解平面向量的实际背景,理解平面向量的意义和两个向量相等的含义",
MATH,required-geometry-algebra-candidate-002,PARTIAL,平面向量的概念,理解平面向量的几何表示和基本要素,几何表示(模/方向/零向量)未单设节点，另见 向量的模与夹角
MATH,required-geometry-algebra-candidate-003,COVERED,平面向量的线性运算,"掌握平面向量加、减运算及运算规则,理解其几何意义",
MATH,required-geometry-algebra-candidate-004,COVERED,平面向量的线性运算,"掌握平面向量数乘运算及运算规则,理解其几何意义",共线见 向量共线定理
MATH,required-geometry-algebra-candidate-005,COVERED,平面向量的线性运算,了解平面向量的线性运算性质及其几何意义,
MATH,required-geometry-algebra-candidate-006,COVERED,平面向量的数量积,"理解平面向量数量积的概念及其物理意义,会计算平面向量的数量积",
MATH,required-geometry-algebra-candidate-007,COVERED,投影向量,了解平面向量投影的概念以及投影向量的意义,
MATH,required-geometry-algebra-candidate-008,COVERED,平面向量的数量积,会用数量积判断两个平面向量的垂直关系,
MATH,required-geometry-algebra-candidate-009,COVERED,平面向量基本定理,掌握平面向量基本定理,
MATH,required-geometry-algebra-candidate-010,COVERED,平面向量的坐标运算,"借助平面直角坐标系,掌握平面向量的正交分解及坐标表示",
MATH,required-geometry-algebra-candidate-011,COVERED,平面向量的坐标运算,会用坐标表示平面向量的加、减运算与数乘运算,
MATH,required-geometry-algebra-candidate-012,COVERED,平面向量的坐标运算,"能用坐标表示平面向量的数量积,会表示两个平面向量的夹角",夹角另见 向量的模与夹角
MATH,required-geometry-algebra-candidate-013,COVERED,平面向量的坐标运算,能用坐标表示平面向量共线、垂直,
MATH,required-geometry-algebra-candidate-014,PARTIAL,平面向量的坐标运算,会用向量方法解决简单的平面几何问题、力学问题以及其他实际问题,力学面见 平面向量的数量积，几何共线见 向量共线定理
MATH,required-geometry-algebra-candidate-015,COVERED,正弦定理,"借助向量的运算,掌握余弦定理、正弦定理",余弦定理另见 余弦定理
MATH,required-geometry-algebra-candidate-016,COVERED,解三角形的实际应用,能用余弦定理、正弦定理解决简单的实际问题,
MATH,required-geometry-algebra-candidate-017,COVERED,复数的概念,"通过方程的解,认识复数",
MATH,required-geometry-algebra-candidate-018,COVERED,复数的概念,"理解复数的代数表示及其几何意义,理解两个复数相等的含义",几何意义另见 复数的几何意义
MATH,required-geometry-algebra-candidate-019,COVERED,复数的四则运算,"掌握复数代数表示式的四则运算,了解复数加、减运算的几何意义",
MATH,required-geometry-algebra-candidate-020,NOT_COVERED,,",复数三角表示未设节点",
MATH,required-geometry-algebra-candidate-021,COVERED,多面体与旋转体,掌握柱、锥、台、球及简单组合体的结构特征,空间几何体另见 空间几何体
MATH,required-geometry-algebra-candidate-022,COVERED,空间几何体的表面积和体积公式,知道棱柱、棱锥、棱台、球的表面积和体积的计算公式,另见 表面积与体积
MATH,required-geometry-algebra-candidate-023,COVERED,空间几何体的直观图,能用斜二测法画出简单空间图形的直观图,规则掌握另见 对斜二测画法的规则掌握不牢
MATH,required-geometry-algebra-candidate-024,COVERED,四个公理,基本事实1~4也称为公理,
MATH,required-geometry-algebra-candidate-025,COVERED,平行关系之间的转化,"归纳出以下性质定理,并加以证明",垂直性质见 垂直关系之间的转化
MATH,required-geometry-algebra-candidate-026,COVERED,空间点线面的位置关系,归纳出以下判定定理,判定定理分见 直线与平面平行/平面与平面平行/直线与平面垂直/平面与平面垂直
MATH,required-geometry-algebra-candidate-027,COVERED,空间点线面的位置关系,能用已获得的结论证明空间基本图形位置关系的简单命题,证明方法另见 证明线线垂直的方法 等
MATH,required-geometry-algebra-candidate-028,NOT_COVERED,,",论文型学术活动，非知识点对象",
MATH,required-probability-statistics-candidate-001,COVERED,随机事件,"理解样本点和有限样本空间的含义,理解随机事件与样本点的关系",并/交运算面未单设
MATH,required-probability-statistics-candidate-002,COVERED,古典概型,"理解古典概型,能计算古典概型中简单随机事件的概率",
MATH,required-probability-statistics-candidate-003,COVERED,概率的基本性质,"理解概率的性质,掌握随机事件概率的运算法则",2026-09-18 第四批直抽材料闭合
MATH,required-probability-statistics-candidate-004,PARTIAL,随机事件,"结合实例,会用频率估计概率",频率估计概率未单设节点
MATH,required-probability-statistics-candidate-005,COVERED,随机事件的相互独立性,"了解两个随机事件独立性的含义,能利用独立性计算概率",
MATH,required-probability-statistics-candidate-006,NOT_COVERED,,",统计基础概念未设节点",
MATH,required-probability-statistics-candidate-007,NOT_COVERED,,",统计基础概念未设节点",
MATH,required-probability-statistics-candidate-008,COVERED,简单随机抽样,"了解简单随机抽样的含义及其解决问题的过程,掌握抽签法和随机数法",样本均值/方差另见 平均数与中位数
MATH,required-probability-statistics-candidate-009,COVERED,分层随机抽样,"了解分层随机抽样的特点和适用范围,掌握各层样本量比例分配的方法",
MATH,required-probability-statistics-candidate-010,PARTIAL,分层随机抽样,"能根据实际问题的特点,设计恰当的抽样方法解决问题",抽样方法比选未单设
MATH,required-probability-statistics-candidate-011,COVERED,统计图表的读取,选择恰当的统计图表对数据进行可视化描述,
MATH,required-probability-statistics-candidate-012,COVERED,众数、中位数与平均数,众数是出现次数最多的数据；中位数居中间；平均数为算术平均,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-probability-statistics-candidate-013,COVERED,方差与标准差,方差 s²=（1/n）Σ(xi−x̄)² 刻画离散程度，标准差与数据同单位,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-probability-statistics-candidate-014,NOT_COVERED,,",分布估计未设节点",
MATH,required-probability-statistics-candidate-015,COVERED,百分位数,至少有 p% 数据小于等于它且至少有 100-p% 大于等于它的值,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-modeling-inquiry-candidate-001,NOT_COVERED,,",建模方法论未设节点（活动性要求）",
MATH,selective-functions-candidate-001,COVERED,数列的概念,了解数列的概念和表示方法,另见 数列的有关概念
MATH,selective-functions-candidate-002,COVERED,等差数列,理解等差数列的概念和通项公式的意义,通项另见 等差数列的通项
MATH,selective-functions-candidate-003,COVERED,等差数列的前n项和,探索并掌握等差数列的前n项和公式,另见 等差数列的有关公式
MATH,selective-functions-candidate-004,COVERED,求解等差数列基本量的策略,"能在具体的问题情境中,发现数列的等差关系,并解决相应的问题",
MATH,selective-functions-candidate-005,COVERED,数列与函数的关系,体会等差数列与一元一次函数的关系,
MATH,selective-functions-candidate-006,COVERED,等比数列,理解等比数列的概念和通项公式的意义,通项另见 等比数列的通项
MATH,selective-functions-candidate-007,COVERED,等比数列的前n项和,探索并掌握等比数列的前n项和公式,另见 等比数列的有关公式
MATH,selective-functions-candidate-008,COVERED,求解等比数列基本量的策略,"能在具体的问题情境中,发现数列的等比关系,并解决相应的问题",
MATH,selective-functions-candidate-009,COVERED,数列与函数的关系,体会等比数列与指数函数的关系,
MATH,selective-functions-candidate-010,COVERED,数学归纳法,"了解数学归纳法的原理,能用数学归纳法证明数列中的一些简单命题",
MATH,selective-functions-candidate-011,COVERED,导数的概念,"经历由平均变化率过渡到瞬时变化率的过程,了解导数概念的实际背景",
MATH,selective-functions-candidate-012,PARTIAL,导数定义在极限中的计算,"体会极限思想,极限独立节点未设",
MATH,selective-functions-candidate-013,COVERED,导数的几何意义,通过函数图象直观理解导数的几何意义,切线问题另见 曲线-在-某点处的切线问题
MATH,selective-functions-candidate-014,COVERED,函数y-f-x-在x-x0处的导数定义,能根据导数定义求函数的导数,
MATH,selective-functions-candidate-015,COVERED,导数的运算法则,"能利用导数公式和导数的四则运算法则求简单函数的导数,能求简单的复合函数的导数",复合函数另见 复合函数的导数
MATH,selective-functions-candidate-016,PARTIAL,基本初等函数的导数,"会使用导数公式表,公式表用法未单设",
MATH,selective-functions-candidate-017,COVERED,函数的单调性与导数,"借助几何直观了解函数的单调性与导数的关系,能利用导数研究函数的单调性",另见 导数与函数的单调性的关系/导数法求函数单调区间的步骤
MATH,selective-functions-candidate-018,COVERED,函数的极值,能利用导数求某些函数的极大(小)值、最大(小)值,最值另见 函数的最值/函数极值与最值的关系
MATH,selective-functions-candidate-019,NOT_COVERED,,",论文型学术活动，非知识点对象",
MATH,selective-geometry-algebra-candidate-001,PARTIAL,空间向量的有关概念,"了解空间直角坐标系,会用空间直角坐标系刻画点的位置",空间直角坐标系未单设
MATH,selective-geometry-algebra-candidate-002,NOT_COVERED,,",空间两点距离公式未设节点",
MATH,selective-geometry-algebra-candidate-003,COVERED,空间向量的有关概念,"经历由平面向量推广到空间向量的过程,理解空间向量的概念",
MATH,selective-geometry-algebra-candidate-004,COVERED,空间向量的线性运算,经历由平面向量的运算及其法则推广到空间向量的过程,
MATH,selective-geometry-algebra-candidate-005,COVERED,空间向量的有关定理,"掌握空间向量基本定理及其意义,掌握空间向量的正交分解及其坐标表示",
MATH,selective-geometry-algebra-candidate-006,COVERED,空间向量的线性运算,掌握空间向量的线性运算及其坐标表示,
MATH,selective-geometry-algebra-candidate-007,COVERED,空间向量数量积的坐标表示及其应用,掌握空间向量的数量积及其坐标表示,另见 空间向量的数量积及运算律
MATH,selective-geometry-algebra-candidate-008,PARTIAL,投影向量,"了解空间向量投影的概念以及投影向量的意义,空间投影面未单设（现节点为平面投影向量）",
MATH,selective-geometry-algebra-candidate-009,COVERED,直线的方向向量和平面的法向量,"能用向量语言描述直线和平面,理解直线的方向向量与平面的法向量",
MATH,selective-geometry-algebra-candidate-010,COVERED,空间位置关系的向量表示,能用向量语言表述夹角以及垂直与平行关系,
MATH,selective-geometry-algebra-candidate-011,COVERED,空间位置关系的向量表示,能用向量方法证明直线、平面位置关系的判定定理,
MATH,selective-geometry-algebra-candidate-012,COVERED,利用空间向量求空间距离,能用向量方法解决点到直线、点到平面、平行线面间的距离问题和简单夹角问题,夹角另见 用向量法求异面直线所成角的一般步骤 等
MATH,selective-geometry-algebra-candidate-013,COVERED,直线的方程,"结合具体图形,探索确定直线位置的几何要素",
MATH,selective-geometry-algebra-candidate-014,PARTIAL,直线的方程,"理解直线的倾斜角和斜率的概念,掌握过两点的直线斜率的计算公式",倾斜角/斜率未单设
MATH,selective-geometry-algebra-candidate-015,COVERED,两条直线的位置关系,能根据斜率判定两条直线平行或垂直,
MATH,selective-geometry-algebra-candidate-016,COVERED,直线的方程,探索并掌握直线方程的几种形式(点斜式、两点式及一般式),
MATH,selective-geometry-algebra-candidate-017,COVERED,两条直线的位置关系,能用解方程组的方法求两条直线的交点坐标,
MATH,selective-geometry-algebra-candidate-018,PARTIAL,两条直线的位置关系,"探索并掌握平面上两点间的距离公式、点到直线的距离公式,会求两条平行直线间的距离",平面距离公式未单设
MATH,selective-geometry-algebra-candidate-019,COVERED,圆的方程,探索并掌握圆的标准方程与一般方程,
MATH,selective-geometry-algebra-candidate-020,PARTIAL,直线与圆的位置关系,能判断直线与圆、圆与圆的位置关系,圆与圆位置关系未单设
MATH,selective-geometry-algebra-candidate-021,PARTIAL,直线与圆的位置关系,"能用直线和圆的方程解决一些简单的数学问题与实际问题,应用面未单设",
MATH,selective-geometry-algebra-candidate-022,PARTIAL,圆锥曲线的综合问题,"了解圆锥曲线的实际背景,感受圆锥曲线在刻画现实世界和解决实际问题中的作用",三曲线分见 椭圆/双曲线/抛物线
MATH,selective-geometry-algebra-candidate-023,COVERED,椭圆,掌握椭圆的定义、标准方程及简单几何性质,另见 椭圆的方程/椭圆的离心率/椭圆的焦点
MATH,selective-geometry-algebra-candidate-024,COVERED,双曲线,"了解抛物线与双曲线的定义、几何图形和标准方程,以及简单几何性质",抛物线另见 抛物线
MATH,selective-geometry-algebra-candidate-025,NOT_COVERED,,",思想方法类要求，非知识点对象",
MATH,selective-geometry-algebra-candidate-026,PARTIAL,圆锥曲线的综合问题,了解椭圆、抛物线的简单应用,焦半径应用另见 抛物线焦半径
MATH,selective-geometry-algebra-candidate-027,NOT_COVERED,,",论文型学术活动，非知识点对象",
MATH,selective-probability-statistics-candidate-001,COVERED,分类加法计数原理,理解分类加法计数原理、分步乘法计数原理及其意义,另见 分步乘法计数原理
MATH,selective-probability-statistics-candidate-002,COVERED,排列,"理解排列、组合的概念,能利用计数原理推导排列数公式、组合数公式",另见 组合
MATH,selective-probability-statistics-candidate-003,COVERED,二项式定理,能用多项式运算法则和计数原理证明二项式定理,
MATH,selective-probability-statistics-candidate-004,COVERED,条件概率,"了解条件概率,能计算简单随机事件的条件概率",
MATH,selective-probability-statistics-candidate-005,COVERED,条件概率,理解条件概率与独立性的关系,独立性另见 随机事件的相互独立性
MATH,selective-probability-statistics-candidate-006,COVERED,条件概率,会利用乘法公式计算概率,
MATH,selective-probability-statistics-candidate-007,PARTIAL,全概率,"会利用全概率公式计算概率,了解贝叶斯公式",贝叶斯公式未单设
MATH,selective-probability-statistics-candidate-008,COVERED,离散型随机变量,"了解离散型随机变量的概念,理解分布列及其数字特征",另见 离散型随机变量的期望/方差
MATH,selective-probability-statistics-candidate-009,COVERED,二项分布,"理解伯努利试验,掌握二项分布及其数字特征",
MATH,selective-probability-statistics-candidate-010,COVERED,超几何分布,了解超几何分布及其均值,
MATH,selective-probability-statistics-candidate-011,COVERED,正态分布,"了解服从正态分布的随机变量,了解正态分布的特征",
MATH,selective-probability-statistics-candidate-012,PARTIAL,正态分布,了解正态分布的均值、方差及其含义,数字特征未单设
MATH,selective-probability-statistics-candidate-013,PARTIAL,回归分析,"了解样本相关系数的统计含义,了解样本相关系数与标准化数据向量夹角的关系",相关系数未单设
MATH,selective-probability-statistics-candidate-014,PARTIAL,回归分析,会通过相关系数比较多组成对数据的相关性,相关系数未单设
MATH,selective-probability-statistics-candidate-015,COVERED,回归分析,"了解一元线性回归模型的含义,掌握一元线性回归模型参数的最小二乘估计方法",
MATH,selective-probability-statistics-candidate-016,PARTIAL,回归分析,会用一元线性回归模型进行预测,预测应用面未单设
MATH,selective-probability-statistics-candidate-017,PARTIAL,独立性检验,理解2×2列联表的统计意义,列联表本身未单设
MATH,selective-probability-statistics-candidate-018,COVERED,独立性检验,了解2×2列联表独立性检验及其应用,
MATH,selective-modeling-inquiry-candidate-001,NOT_COVERED,,",活动性要求（课题研究）非知识点对象",
MATH,elective-a-calculus-candidate-001,NOT_COVERED,,",数列极限未设节点（选修A大学先修）",
MATH,elective-a-calculus-candidate-002,NOT_COVERED,,",数列极限性质未设节点",
MATH,elective-a-calculus-candidate-003,NOT_COVERED,,",单调有界收敛准则未设节点",
MATH,elective-a-calculus-candidate-004,NOT_COVERED,,",极限四则运算未设节点",
MATH,elective-a-calculus-candidate-005,NOT_COVERED,,",e的极限定义未设节点",
MATH,elective-a-calculus-candidate-006,NOT_COVERED,,",函数极限未设节点",
MATH,elective-a-calculus-candidate-007,NOT_COVERED,,",函数极限运算未设节点",
MATH,elective-a-calculus-candidate-008,NOT_COVERED,,",两个重要极限未设节点",
MATH,elective-a-calculus-candidate-009,NOT_COVERED,,",连续函数定义未设节点",
MATH,elective-a-calculus-candidate-010,PARTIAL,二分法,了解闭区间上连续函数的有界性、介值性及其简单应用,介值定理/有界性未单设
MATH,elective-a-calculus-candidate-011,COVERED,函数y-f-x-在x-x0处的导数定义,"借助物理背景与几何背景理解导数的意义,并能给出导数的严格数学定义",
MATH,elective-a-calculus-candidate-012,NOT_COVERED,,",二阶导数未设节点",
MATH,elective-a-calculus-candidate-013,COVERED,复合函数的导数,了解复合函数的求导公式,
MATH,elective-a-calculus-candidate-014,NOT_COVERED,,",拉格朗日中值定理未设节点",
MATH,elective-a-calculus-candidate-015,PARTIAL,导数与不等式,会利用拉格朗日中值定理证明一些不等式,中值定理路径未覆盖，导数构造法部分覆盖
MATH,elective-a-calculus-candidate-016,COVERED,函数极值与最值的关系,"会利用导数讨论函数的极值问题,利用几何图形说明一个点是极值点的必要条件与充分条件",
MATH,elective-a-calculus-candidate-017,NOT_COVERED,,",微分未设节点",
MATH,elective-a-calculus-candidate-018,NOT_COVERED,,",定积分未设节点",
MATH,elective-a-calculus-candidate-019,NOT_COVERED,,",微积分基本定理未设节点",
MATH,elective-a-calculus-candidate-020,NOT_COVERED,,",定积分计算未设节点",
MATH,elective-a-calculus-candidate-021,NOT_COVERED,,",定积分应用（面积/体积/做功）未设节点",
MATH,elective-a-space-vector-algebra-candidate-001,COVERED,空间向量的线性运算,"通过几何直观,理解向量运算的几何意义",
MATH,elective-a-space-vector-algebra-candidate-002,PARTIAL,空间向量的数量积及运算律,探索并解释空间向量的内积(即数量积)与外积及其几何意义,外积未设节点（选修A拓展内容）
MATH,elective-a-space-vector-algebra-candidate-003,PARTIAL,空间向量的有关定理,"理解向量的投影与分解及其几何意义,并会应用",空间向量投影未单设
MATH,elective-a-space-vector-algebra-candidate-004,NOT_COVERED,,",线性相关性未设节点",
MATH,elective-a-space-vector-algebra-candidate-005,NOT_COVERED,,",向量空间/子空间未设节点",
MATH,elective-a-space-vector-algebra-candidate-006,NOT_COVERED,,",矩阵未设节点",
MATH,elective-a-space-vector-algebra-candidate-007,NOT_COVERED,,",正交矩阵未设节点",
MATH,elective-a-space-vector-algebra-candidate-008,NOT_COVERED,,",行列式未设节点",
MATH,elective-a-space-vector-algebra-candidate-009,NOT_COVERED,,",线性方程组/高斯消元未设节点",
MATH,elective-a-space-vector-algebra-candidate-010,NOT_COVERED,,",齐次线性方程组未设节点",
MATH,elective-a-space-vector-algebra-candidate-011,NOT_COVERED,,",非齐次方程组判定未设节点",
MATH,elective-a-space-vector-algebra-candidate-012,NOT_COVERED,,",方程组解的结构未设节点",
MATH,elective-a-space-vector-algebra-candidate-013,NOT_COVERED,,",克拉默法则未设节点",
MATH,elective-a-space-vector-algebra-candidate-014,NOT_COVERED,,",空间平面方程未设节点",
MATH,elective-a-space-vector-algebra-candidate-015,NOT_COVERED,,",空间直线方程未设节点",
MATH,elective-a-space-vector-algebra-candidate-016,PARTIAL,空间位置关系的向量表示,"理解空间点、直线、平面的位置关系,会用代数方法判断并求距离",方程代数判断路径未覆盖
MATH,elective-a-space-vector-algebra-candidate-017,NOT_COVERED,,",平面等距变换未设节点",
MATH,elective-a-space-vector-algebra-candidate-018,NOT_COVERED,,",变换群未设节点",
MATH,elective-a-space-vector-algebra-candidate-019,NOT_COVERED,,",等距变换矩阵表示未设节点",
MATH,elective-a-space-vector-algebra-candidate-020,NOT_COVERED,,",空间等距变换未设节点",
MATH,elective-a-space-vector-algebra-candidate-021,NOT_COVERED,,",空间变换群未设节点",
MATH,elective-a-space-vector-algebra-candidate-022,NOT_COVERED,,",空间等距变换矩阵表示未设节点",
MATH,elective-a-probability-statistics-candidate-001,NOT_COVERED,,",连续型随机变量未设节点",
MATH,elective-a-probability-statistics-candidate-002,NOT_COVERED,,",连续型分布（均匀/卡方/t）未设节点",
MATH,elective-a-probability-statistics-candidate-003,NOT_COVERED,,",连续型数字特征未设节点",
MATH,elective-a-probability-statistics-candidate-004,NOT_COVERED,,",二维随机变量/协方差未设节点",
MATH,elective-a-probability-statistics-candidate-005,NOT_COVERED,,",二维正态未设节点",
MATH,elective-a-probability-statistics-candidate-006,NOT_COVERED,,",参数估计未设节点",
MATH,elective-a-probability-statistics-candidate-007,NOT_COVERED,,",假设检验未设节点",
MATH,elective-a-probability-statistics-candidate-008,NOT_COVERED,,",均值方差检验未设节点",
MATH,elective-a-probability-statistics-candidate-009,NOT_COVERED,,",拟合优度检验未设节点",
MATH,elective-a-probability-statistics-candidate-010,NOT_COVERED,,",二维正态统计含义未设节点",
MATH,elective-a-probability-statistics-candidate-011,NOT_COVERED,,",二元线性回归未设节点",
MATH,elective-a-probability-statistics-candidate-012,NOT_COVERED,,",二元回归应用未设节点",
MATH,elective-b-calculus-candidate-001,NOT_COVERED,,",数列极限（B类）未设节点",
MATH,elective-b-calculus-candidate-002,NOT_COVERED,,",函数极限/连续（B类）未设节点",
MATH,elective-b-calculus-candidate-003,NOT_COVERED,,",二阶导数（B类）未设节点",
MATH,elective-b-calculus-candidate-004,NOT_COVERED,,",拉格朗日中值定理（B类）未设节点",
MATH,elective-b-calculus-candidate-005,COVERED,导数与不等式,"能利用导数讨论函数的单调性,并证明某些不等式",单调性面另见 函数的单调性与导数
MATH,elective-b-calculus-candidate-006,COVERED,函数极值与最值的关系,"会利用导数讨论函数的极值问题,利用几何图形说明极值点必要条件与充分条件",
MATH,elective-b-calculus-candidate-007,COVERED,利用导数研究函数的最值,"借助导数,会求闭区间上一元一次函数、一元二次函数、一元三次函数的最大值与最小值",
MATH,elective-b-calculus-candidate-008,NOT_COVERED,,",微分（B类）未设节点",
MATH,elective-b-calculus-candidate-009,NOT_COVERED,,",定积分（B类）未设节点",
MATH,elective-b-calculus-candidate-010,NOT_COVERED,,",黎曼和未设节点",
MATH,elective-b-calculus-candidate-011,NOT_COVERED,,",牛顿-莱布尼茨公式（B类）未设节点",
MATH,elective-b-calculus-candidate-012,NOT_COVERED,,",定积分应用/祖暅原理未设节点",
