# PHYSICS 节点表（slug | 名字）：1099 个
玻尔原子模型的三条假设 | .玻尔原子模型的三条假设
条件-①光从光密介质射入光疏介质-②入射角大于或等于临界角 | 全反射的条件与临界角
全程法与分段法 | 全程法与分段法
公式p-和p-fv的比较 | 公式P＝ 和P＝Fv的比较
公式法解天体追及相遇问题 | 公式法解天体追及相遇问题
共振 | 共振
共点力平衡 | 共点力平衡
共点力平衡的常用推论 | 共点力平衡的常用推论
共点力平衡的常用方法 | 共点力平衡的常用方法
共点力的动态平衡 | 共点力的动态平衡
共点力的平衡临界极值问题-临界条件 | 共点力的平衡临界极值问题——临界条件
共速连接体对合力的分配原理 | 共速连接体对合力的分配原理
关于i-δp-p2-p1的几点说明 | 关于I=Δp=p2-p1的几点说明
关联气体问题 | 关联气体问题
关联速度的分析-运动分解的核心思想 | 关联速度的分析——运动分解的核心思想
内能 | 内能
冲量 | 冲量
冲量的计算方法 | 冲量的计算方法
几个基本概念的理解 | 几个基本概念的理解
几何光学中的范围和临界问题 | 几何光学中的范围和临界问题
几种等时圆模型分析 | 几种等时圆模型分析
分子动理论 | 分子动理论
分子势能 | 分子势能
分子模型 | 分子模型
分子热运动 | 分子热运动
分子的平均动能 | 分子的平均动能
分子运动速率分布图像-气体分子速率呈-中间多-两头少-的规律分布-如下图所示 | 分子运动速率分布图像
分子间作用力 | 分子间作用力
分子间的作用力与分子间距离的关系 | 分子间的作用力与分子间距离的关系：
分析变压器电路的两点提醒 | 分析变压器电路的两点提醒
分析板块模型的思路 | 分析板块模型的思路
以上各式均为矢量式-应用时应规定正方向 | 列方程时规定正方向
创新实验方法测玻璃砖的折射率 | 创新实验方法测玻璃砖的折射率
创新实验解决相关误差-质量关系 | 创新实验解决相关误差——质量关系
创新实验验证动量守恒 | 创新实验验证动量守恒
初速度为零的几个重点推论 | 初速度为零的几个重点推论：
在1t末-2t末-3t末-4t末-n-t末的速度比为-1-2-3-n | 初速度为零的匀变速直线运动比例式
判断滑块和模板运动状态的技巧 | 判断滑块和模板运动状态的技巧：
判断电磁感应现象能否产生的方法 | 判断电磁感应现象能否产生的方法：
利用电场线和等势面解决带电粒子运动问题的方法 | 利用电场线和等势面解决带电粒子运动问题的方法
刹车模型（含反应时间） | 刹车模型（含反应时间）
刹车类与双向可逆类问题对比 | 刹车类与双向可逆类问题对比
刹车类问题 | 刹车类问题
割补法 | 割补法
力、加速度与速度的关系 | 力、加速度与速度的关系
力与运动知识体系 | 力与运动知识体系
力做功与路径的关系及成对力的做功特点 | 力做功与路径的关系及成对力的做功特点
力学对象和电学对象的相互联系-x1 | 力学对象和电学对象的相互联系
如果要列出各物理量在某一时刻的关系式-可用牛顿第二定律 | 力学规律的选用策略
力热综合问题的解题思路 | 力热综合问题的解题思路
力电综合问题的三种观点 | 力电综合问题的三种观点
力的作用效果与力的三要素 | 力的作用效果与力的三要素
力的分解 | 力的分解
力的分解的多解问题 | 力的分解的多解问题
本质-是力的合成的逆运算-同样遵循矢量运算法则 | 力的分解的本质
力的合成 | 力的合成
力的合成与分解的解题步骤 | 力的合成与分解的解题步骤
力的合成实验的创新改进 | 力的合成实验的创新改进
模型示意图 | 力的图示与力的示意图
力的图示与示意图 | 力的图示与示意图
力的基础概念-重力-弹力-摩擦力 | 力的基础概念（重力、弹力、摩擦力）
力的概念 | 力的概念
力的正交分解法 | 力的正交分解法
功 | 功
功-热和内能的改变 | 功、热和内能的改变
功和能 | 功和能
功率 | 功率
功能关系 | 功能关系
功能关系分析 | 功能关系分析
功能关系和能量守恒定律 | 功能关系和能量守恒定律
加速度 | 加速度
加速度方向突变 | 加速度方向突变
动力学三大观点在多体问题和多过程运动中的应用 | 动力学三大观点在多体问题和多过程运动中的应用
动力学三大观点在电磁学中的应用 | 动力学三大观点在电磁学中的应用
动力学三大观点的基本理解和应用 | 动力学三大观点的基本理解和应用
动力学中的经典模型 | 动力学中的经典模型
动力学图像法在动力学问题中的应用-数形结合思想 | 动力学图像法在动力学问题中的应用——数形结合思想
动力学的两类基本问题的解题步骤 | 动力学的两类基本问题的解题步骤
动态平衡问题 | 动态平衡问题
动能 | 动能
动能定理 | 动能定理
动能定理及其应用-功能关系 | 动能定理及其应用——功能关系
动能定理在多过程问题中的应用 | 动能定理在多过程问题中的应用
动能定理表达式的推导 | 动能定理表达式的推导
动量 | 动量
动量变化量的理解和计算 | 动量变化量的理解和计算
动量和动量定理 | 动量和动量定理
动量守恒中的速度 | 动量守恒中的速度
动量守恒定律 | 动量守恒定律
动量守恒定律的推导 | 动量守恒定律的推导
动量定理 | 动量定理
动量定理在电磁感应中的应用 | 动量定理在电磁感应中的应用
动量定理在磁场中的应用 | 动量定理在磁场中的应用
动量定理的应用-流体类模型 | 动量定理的应用——流体类模型
模型特点 | 动量模型的特点
匀变速直线运动 | 匀变速直线运动
公式选用原则 | 匀变速直线运动公式的选用原则
匀变速直线运动的规律 | 匀变速直线运动的规律
匀变速直线运动的规律-多过程问题 | 匀变速直线运动的规律——多过程问题
匀变速直线运动问题常用的解题方法 | 匀变速直线运动问题常用的解题方法
匀强磁场中原子核衰变轨迹模型 | 匀强磁场中原子核衰变轨迹模型
匀强磁场中磁通量的计算 | 匀强磁场中磁通量的计算：
匀质绳索与多段物体的平衡 | 匀质绳索与多段物体的平衡
匀质绳索平衡的选段分析法 | 匀质绳索平衡的选段分析法
半偏法测电表内阻 | 半偏法测电表内阻
半偏法测电阻 | 半偏法测电阻
半衰期 | 半衰期
半衰期的理解-计算和应用 | 半衰期的理解、计算和应用
单一气体多过程问题 | 单一气体多过程问题
单位制 | 单位制
单体机械能守恒定律的应用 | 单体机械能守恒定律的应用
单摆 | 单摆
单摆周期 | 单摆周期
单摆的受力特征 | 单摆的受力特征
单方向的简谐运动 | 单方向的简谐运动
卫星中的超重与失重现象 | 卫星中的超重与失重现象
卫星发射速度和宇宙速度与运动轨迹的关系 | 卫星发射速度和宇宙速度与运动轨迹的关系
卫星变轨-1-2-3 | 卫星变轨：1→2→3
卫星的对接问题 | 卫星的对接问题
卫星的种类 | 卫星的种类
卫星的轨道 | 卫星的轨道
卫星的追及与相遇问题 | 卫星的追及与相遇问题
压力与重力的区别 | 压力与重力的区别
原子核式结构 | 原子核式结构
原子核的组成-原子核是由质子和中子组成的-原子核的电荷数等于核内的质子数 | 原子核的组成
原子核衰变 | 原子核衰变
原子核衰变的类型判断和次数计算 | 原子核衰变的类型判断和次数计算
原子结构与波粒二象性 | 原子结构与波粒二象性
去返模型 | 去返模型
参考系 | 参考系
双星与多星问题的分析关键 | 双星与多星问题的分析关键
双星模型 | 双星模型
双缝干涉实验的创新方案 | 双缝干涉实验的创新方案
注意事项-1-调节各器件的高度-使光源灯丝发出的光能沿遮光筒轴线到达光屏 | 双缝干涉实验的操作要点
反冲运动 | 反冲运动
反射-波在传播过程中遇到介质界面会返回来继续传播的现象叫作波的反射 | 反射
受力分析多力漏力-受力分析方法 | 受力分析多力漏力——受力分析方法
受力分析的三个技巧 | 受力分析的三个技巧
受力分析-图示如下 | 受力分析（图示如下）
受激跃迁与电离 | 受激跃迁与电离
受迫振动 | 受迫振动
变力做功的求解方法 | 变力做功的求解方法
变压器 | 变压器
变质量问题的处理思想-等效 | 变质量问题的处理思想——等效
变轨原理 | 变轨原理
变轨过程分析 | 变轨过程分析
口诀法比较平抛轨迹 | 口诀法比较平抛轨迹
另类加速度 | 另类加速度
各点物理量参数的关系 | 各点物理量参数的关系
合力与加速度速度的决定关系 | 合力与加速度速度的决定关系
合力做功的计算方法 | 合力做功的计算方法
合力范围 | 合力范围
合外力做功与动能的关系 | 合外力做功与动能的关系
合成与分解法则-平行四边形法则 | 合成与分解法则：平行四边形法则
合运动与分运动的关系 | 合运动与分运动的关系
合运动的性质与轨迹的判定 | 合运动的性质与轨迹的判定
同位素 | 同位素
同条件同加速度轻绳连接体动力学的计算问题 | 同条件同加速度轻绳连接体动力学的计算问题
同步卫星 | 同步卫星
同速率轻绳连接体动力学的计算问题 | 同速率轻绳连接体动力学的计算问题
向心力 | 向心力
向心力实验的数据处理与结论 | 向心力实验的数据处理与结论
向心力演示器实验原理与操作 | 向心力演示器实验原理与操作
向心力演示器的使用注意事项 | 向心力演示器的使用注意事项
向心力演示器的实验原理与器材 | 向心力演示器的实验原理与器材
向心加速度 | 向心加速度
含容电路的分析方法 | 含容电路的分析方法
含容电路的分析策略 | 含容电路的分析策略
含容电路的动态分析 | 含容电路的动态分析
含容电路的稳态分析 | 含容电路的稳态分析
含弹簧变力做功问题的解题思路 | 含弹簧变力做功问题的解题思路
含电容器电路的分析 | 含电容器电路的分析
含电容器的电路问题 | 含电容器的电路问题
周期和频率 | 周期和频率
四星模型 | 四星模型
四种基本相互作用-引力相互作用-电磁相互作用-强相互作用和弱相互作用 | 四种基本相互作用
回复力 | 回复力
回旋加速器 | 回旋加速器
回旋加速器与同步加速器的工作原理 | 回旋加速器与同步加速器的工作原理
回旋加速器模型 | 回旋加速器模型
回旋加速器的工作原理 | 回旋加速器的工作原理
固有振动和固有频率 | 固有振动和固有频率
单位制-由基本单位和导出单位共同构成-常考-国际单位制-si-国际制基本单位 | 国际单位制的基本单位与导出单位
图像法与数学归纳法解决多次碰撞问题 | 图像法与数学归纳法解决多次碰撞问题
图像法在处理实验数据方面的应用 | 图像法在处理实验数据方面的应用
图像法解题 | 图像法解题
图像问题的读图思路与图像转换 | 图像问题的读图思路与图像转换
图象的应用 | 图象的应用
圆周运动 | 圆周运动
圆周运动与平抛运动的综合问题 | 圆周运动与平抛运动的综合问题
圆周运动中与弹力有关的临界条件 | 圆周运动中与弹力有关的临界条件
圆周运动中的脱轨问题 | 圆周运动中的脱轨问题
三类情况分析 | 圆周运动临界问题的三类情况
圆周运动临界问题的解题思路 | 圆周运动临界问题的解题思路
圆周运动临界问题的解题技巧 | 圆周运动临界问题的解题技巧
圆周运动动力学问题的解题思路 | 圆周运动动力学问题的解题思路
圆周运动各物理量间的关系 | 圆周运动各物理量间的关系
圆周运动常见的临界状态 | 圆周运动常见的临界状态
圆周运动的周期性与多解问题 | 圆周运动的周期性与多解问题
圆周运动的基础概念和规律 | 圆周运动的基础概念和规律
圆周运动的经典模型和应用 | 圆周运动的经典模型和应用
圆形边界磁场运动的径向进出与等角进出 | 圆形边界磁场运动的径向进出与等角进出
圆锥摆模型规律总结 | 圆锥摆模型规律总结
圆锥摆的两种变形 | 圆锥摆的两种变形
地球同步卫星 | 地球同步卫星
地球自转与赤道上的完全失重 | 地球自转与赤道上的完全失重
地球重力场监测 | 地球重力场监测
坐标系 | 坐标系
基本不等式法 | 基本不等式法
填补法 | 填补法
复合场中的上抛模型 | 复合场中的上抛模型
外部作用导致-n-突变 | 外部作用导致 N 突变：
多体平抛与相遇临界问题 | 多体平抛与相遇临界问题
多体平抛运动的间距规律 | 多体平抛运动的间距规律
多星模型 | 多星模型
多星问题 | 多星问题
多普勒效应 | 多普勒效应
多普勒效应在生活中的应用 | 多普勒效应在生活中的应用
多普勒效应的成因分析 | 多普勒效应的成因分析
多次碰撞问题的处理方法 | 多次碰撞问题的处理方法
多物体-多过程问题中动量守恒定律的应用 | 多物体、多过程问题中动量守恒定律的应用
多物体系统机械能守恒的情景 | 多物体系统机械能守恒的情景
多物体系统的机械能守恒 | 多物体系统的机械能守恒
多用电表检测黑箱与二极管 | 多用电表检测黑箱与二极管
多用电表欧姆挡的使用与二极管检测 | 多用电表欧姆挡的使用与二极管检测
多用电表欧姆挡的原理与使用 | 多用电表欧姆挡的原理与使用
多用电表测电阻 | 多用电表测电阻
多用电表的使用与欧姆表原理 | 多用电表的使用与欧姆表原理
多用电表的使用与读数 | 多用电表的使用与读数
多用电表的使用方法 | 多用电表的使用方法
多用电表的使用方法与注意事项 | 多用电表的使用方法与注意事项
多用电表的结构与刻度盘 | 多用电表的结构与刻度盘
多用电表的读数规则与使用注意事项 | 多用电表的读数规则与使用注意事项
多过程问题的分析方法 | 多过程问题的分析方法
天上-星球上空距离星体中心r-r-h处的重力加速度为g | 天上
天体不瓦解的最小密度 | 天体不瓦解的最小密度
天体密度的估算 | 天体密度的估算
天体质量计算 | 天体质量计算
天然放射现象 | 天然放射现象
失重 | 失重
子弹打木块模型 | 子弹打木块模型
宇宙速度 | 宇宙速度
安培力 | 安培力
安培力作用下导体的平衡与加速问题 | 安培力作用下导体的平衡与加速问题
安培力作用下导体运动情况的判定方法 | 安培力作用下导体运动情况的判定方法
安培定则 | 安培定则
安培定则与磁场的叠加 | 安培定则与磁场的叠加
安安法测电阻 | 安安法测电阻
安安法测电阻（电流表差值法） | 安安法测电阻（电流表差值法）
安安法（电流表差值法） | 安安法（电流表差值法）
安欧法测电源电动势和内阻 | 安欧法测电源电动势和内阻
安阻法测电动势与内阻 | 安阻法测电动势与内阻
安阻法测电源电动势和内阻 | 安阻法测电源电动势和内阻
定值电阻在电学实验中的四种妙用 | 定值电阻在电学实验中的四种妙用
定值电阻在电路中的作用 | 定值电阻在电路中的作用
定值电阻的妙用 | 定值电阻的妙用
定量计算某过程中合外力的冲量或动量变化量 | 定量计算某过程中合外力的冲量或动量变化量：
实物图的连接 | 实物图的连接
实物图连接的注意事项 | 实物图连接的注意事项
实物连线的注意事项 | 实物连线的注意事项
实重与视重 | 实重与视重
实验仪器的估读问题分析 | 实验仪器的估读问题分析
实验原理-条纹间距δx与光波长λ-双缝间距d及双缝与屏的距离l-有关系式为 | 实验原理
实验基础知识 | 实验基础知识
实验实物图连线的原则与滑动变阻器接法 | 实验实物图连线的原则与滑动变阻器接法
实验描迹法-一次抛动记录一个点-重复抛动 | 实验描迹法：一次抛动记录一个点，重复抛动。
实验方案的创新与改进 | 实验方案的创新与改进
实验方法-控制变量法-保持m不变探究a与f关系-保持f不变探究a与m关系 | 实验方法
实验步骤 | 实验步骤
实验知识体系 | 实验知识体系
实验结论 | 实验结论
实验结论-周期的平方与摆长成正比 | 实验结论：周期的平方与摆长成正比。
实验误差 | 实验误差
对公式w-flcosα的理解 | 对公式W＝Flcosα的理解
对动能定理的理解 | 对动能定理的理解
对心碰撞 | 对心碰撞
对晶体和非晶体的理解 | 对晶体和非晶体的理解
对机械能守恒条件的理解 | 对机械能守恒条件的理解
对牛顿第三定律的理解 | 对牛顿第三定律的理解
对磁感应强度定义式-b-的理解 | 对磁感应强度定义式：B＝的理解
对称性分析 | 对称性分析
对能量守恒定律的几点理解 | 对能量守恒定律的几点理解
对超重和失重的理解应当注意的问题 | 对超重和失重的理解应当注意的问题
导体切割磁感线时的感应电动势 | 导体切割磁感线时的感应电动势
导体的伏安特性曲线 | 导体的伏安特性曲线
小球碰撞平抛实验法步骤 | 小球碰撞平抛实验法步骤：
小船渡河模型 | 小船渡河模型
小船渡河问题 | 小船渡河问题
小船过河模型 | 小船过河模型
小行星防御与资源开发 | 小行星防御与资源开发
小量程电流表-表头 | 小量程电流表(表头)
尖端放电的应用与防止 | 尖端放电的应用与防止
尺规作图法 | 尺规作图法
工作原理 | 工作原理
左手定则与右手定则 | 左手定则与右手定则
差值法测电表内阻 | 差值法测电表内阻
差值法测电阻 | 差值法测电阻
布朗运动 | 布朗运动
带电粒子倾斜射入匀强磁场的螺旋线运动 | 带电粒子倾斜射入匀强磁场的螺旋线运动
两个重要结论 | 带电粒子偏转的两个重要结论
带电粒子在交变电场中的运动 | 带电粒子在交变电场中的运动
带电粒子在交变电磁场中的运动 | 带电粒子在交变电磁场中的运动：
带电粒子在分离的电场、磁场中的运动形式 | 带电粒子在分离的电场、磁场中的运动形式
带电粒子在匀强电场中偏转的两个分运动 | 带电粒子在匀强电场中偏转的两个分运动
带电粒子在匀强磁场中运动的动态圆模型 | 带电粒子在匀强磁场中运动的动态圆模型
带电粒子在叠加场-复合场-电场与磁场重叠-中的运动 | 带电粒子在叠加场
带电粒子在有界匀强磁场中的运动-临界条件 | 带电粒子在有界匀强磁场中的运动——临界条件
带电粒子在电场中的平衡问题-受力分析 | 带电粒子在电场中的平衡问题——受力分析
带电粒子在电场中的运动 | 带电粒子在电场中的运动
带电粒子在电场中直线运动的分析方法 | 带电粒子在电场中直线运动的分析方法
带电粒子在磁场中的运动 | 带电粒子在磁场中的运动
带电粒子在磁场中运动与原子核反应综合模型 | 带电粒子在磁场中运动与原子核反应综合模型
带电粒子在磁场中运动的多解问题 | 带电粒子在磁场中运动的多解问题
带电粒子在立体空间中的运动 | 带电粒子在立体空间中的运动
带电粒子在组合场-电场与磁场各位于一定的区域内-并不重叠-中的运动 | 带电粒子在组合场
常用公式-n-n-m-m | 常用公式：n＝N，m＝M。
常见传感器的特点 | 常见传感器的特点
常见基本粒子及其分类 | 常见基本粒子及其分类
常见物理量和状态 | 常见物理量和状态
常见的功能关系 | 常见的功能关系
常见的图象 | 常见的图象
常见的导出单位 | 常见的导出单位
常见的速度分解模型 | 常见的速度分解模型
干涉和衍射中几种光现象的判断 | 干涉和衍射中几种光现象的判断
平动切割与转动切割的几种情形 | 平动切割与转动切割的几种情形：
平均功率与瞬时功率 | 平均功率与瞬时功率
平均速度 | 平均速度
平均速度与瞬时速度的区别 | 平均速度与瞬时速度的区别：
平均速度公式 | 平均速度公式
平抛与竖直面结合问题 | 平抛与竖直面结合问题
平抛实验的创新方案 | 平抛实验的创新方案
平抛实验的数据处理 | 平抛实验的数据处理
平抛运动 | 平抛运动
平抛运动与斜面的结合分析 | 平抛运动与斜面的结合分析
平抛运动与曲面的结合分析 | 平抛运动与曲面的结合分析
平抛运动的两个重要结论 | 平抛运动的两个重要结论
平抛运动的临界问题 | 平抛运动的临界问题
水平射程-即水平射程由初速度v0和下落高度h共同决定-与其他因素无关 | 平抛运动的射程与落地速度
平抛运动轨迹的数据处理与初速度计算 | 平抛运动轨迹的数据处理与初速度计算
平抛运动问题的解题思路 | 平抛运动问题的解题思路
平行板电容器的动态分析问题的两种情况 | 平行板电容器的动态分析问题的两种情况
平衡条件-根本条件-作用在物体上的所有共点力的合力为零-即-f_合-0 | 平衡条件
库仑力作用下的平衡 | 库仑力作用下的平衡
库仑力作用下的平衡问题 | 库仑力作用下的平衡问题
库仑力的力学性质 | 库仑力的力学性质
库仑定律 | 库仑定律
应用光的折射和全反射解决问题的两个技巧 | 应用光的折射和全反射解决问题的两个技巧：
应用光的折射和全反射解决问题的四个注意 | 应用光的折射和全反射解决问题的四个注意：
应用光的折射定律解题的一般思路 | 应用光的折射定律解题的一般思路
应用动能定理求解步骤 | 应用动能定理求解步骤
应用动量守恒定律的解题步骤 | 应用动量守恒定律的解题步骤
应用匀变速直线运动规律解题的基本思路 | 应用匀变速直线运动规律解题的基本思路
应用牛顿第二定律解题的方法 | 应用牛顿第二定律解题的方法
应用-光纤通信-激光测距-激光武器等 | 应用：光纤通信；激光测距；激光武器等。
康普顿效应 | 康普顿效应
开普勒三定律 | 开普勒三定律
引力势能 | 引力势能
引力波探测 | 引力波探测
弹力 | 弹力
弹力做功与弹性势能变化的关系 | 弹力做功与弹性势能变化的关系
弹力有无的判断方法 | 弹力有无的判断方法
弹力的大小 | 弹力的大小
弹力的定义及产生条件 | 弹力的定义及产生条件
弹力的方向 | 弹力的方向
弹性势能 | 弹性势能
弹性碰撞 | 弹性碰撞
弹簧不锁定模型 | 弹簧不锁定模型
弹簧分离问题 | 弹簧分离问题
弹簧弹力与形变量实验的创新改进 | 弹簧弹力与形变量实验的创新改进
弹簧振子 | 弹簧振子
弹簧振子模型 | 弹簧振子模型
弹簧竖直悬挂实验的操作与读数要点 | 弹簧竖直悬挂实验的操作与读数要点
归纳递推法 | 归纳递推法
形变 | 形变
往复运动问题 | 往复运动问题
往返类与刹车类问题 | 往返类与刹车类问题
表达式-f-g | 微元柱体的体积、质量与动量表达式
微元法 | 微元法
微粒类问题分析步骤 | 微粒类问题分析步骤
必备实验仪器的原理及使用 | 必备实验仪器的原理及使用
必须估读的仪器-这类仪器是大多数-其读数需要包含一位可靠的估计值 | 必须估读的仪器
悬绳模型 | 悬绳模型
定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度 | 惯性
惯性的两种表现形式 | 惯性的两种表现形式
意义-表示放射性元素衰变的快慢 | 意义：表示放射性元素衰变的快慢．
感应电荷量的计算 | 感应电荷量的计算
打点计时器 | 打点计时器
打点计时器实验的操作规范 | 打点计时器实验的操作规范
扩散 | 扩散
技巧突破点 | 技巧突破点
折射率 | 折射率
抛体运动模型的分类体系 | 抛体运动模型的分类体系
抛体运动的相遇问题 | 抛体运动的相遇问题
抛体运动的规律及其应用 | 抛体运动的规律及其应用
拓展-气垫导轨光电门测速实验法 | 拓展：气垫导轨光电门测速实验法
按实际作用效果分解-最典型的是将速度分解为 | 按力的作用效果分解
按运动独立性建立坐标系 | 按运动独立性建立坐标系：
振动图像与波的图像 | 振动图像与波的图像
振动图像与波的图像的综合分析 | 振动图像与波的图像的综合分析
振荡电路过程中各物理量的变化 | 振荡电路过程中各物理量的变化
排除法 | 排除法
探究两个互成角度的力的合成规律实验的误差与改进 | 探究两个互成角度的力的合成规律实验的误差与改进
探究互成角度力的合成规律实验 | 探究互成角度力的合成规律实验
探究力的合成规律实验的三个相同与三个适当 | 探究力的合成规律实验的三个相同与三个适当
探究功与速度变化的关系 | 探究功与速度变化的关系
探究加速度与力、质量关系的实验过程 | 探究加速度与力、质量关系的实验过程
探究加速度与力、质量的关系实验 | 探究加速度与力、质量的关系实验
探究加速度与力质量关系实验的图线异常分析 | 探究加速度与力质量关系实验的图线异常分析
探究加速度与力质量关系的实验创新 | 探究加速度与力质量关系的实验创新
探究加速度实验的器材与方案创新 | 探究加速度实验的器材与方案创新
探究变压器原副线圈电压与匝数的关系 | 探究变压器原副线圈电压与匝数的关系
探究变压器电压与匝数关系的实验 | 探究变压器电压与匝数关系的实验
探究向心力与半径、角速度、质量的关系 | 探究向心力与半径、角速度、质量的关系
