# BIOLOGY 节点表（slug | 名字）：407 个
atp与adp的转化 | ATP与ADP的转化
免疫失调 | 免疫失调
免疫学的应用 | 免疫学的应用
免疫系统 | 免疫系统
免疫系统的组成和功能 | 免疫系统的组成和功能
共同进化 | 共同进化
兴奋在神经纤维上的传导 | 兴奋在神经纤维上的传导
兴奋的产生和传导 | 兴奋的产生和传导
其他性别决定方式简介-深度拓展 | 其他性别决定方式简介(深度拓展)
其他植物激素 | 其他植物激素
内分泌系统 | 内分泌系统
内环境 | 内环境
内环境失衡与人体健康 | 内环境失衡与人体健康
内环境的理化性质 | 内环境的理化性质
内环境的稳态 | 内环境的稳态
内质网 | 内质网
减数分裂 | 减数分裂
减数分裂异常的原因分析 | 减数分裂异常的原因分析
减数分裂细胞中染色体-dna数量变化规律 | 减数分裂细胞中染色体、DNA数量变化规律
几丁质 | 几丁质
分子标记与基因定位流程 | 分子标记与基因定位流程
分子标记辅助育种 | 分子标记辅助育种
分泌蛋白的分选（信号肽假说） | 分泌蛋白的分选（信号肽假说）
分泌蛋白的合成和运输 | 分泌蛋白的合成和运输
分离定律 | 分离定律
分离定律的概率计算和常规应用 | 分离定律的概率计算和常规应用
分离定律的概率计算-含自交与自由交配 | 分离定律的概率计算（含自交与自由交配）
分离定律的特殊类型 | 分离定律的特殊类型
动物细胞培养 | 动物细胞培养
动物细胞的吸水和失水 | 动物细胞的吸水和失水
化学键与分子间作用力 | 化学键与分子间作用力
协助扩散 | 协助扩散
协同进化与生物多样性的形成 | 协同进化与生物多样性的形成
单倍体 | 单倍体
单克隆抗体 | 单克隆抗体
原核细胞 | 原核细胞
原核细胞和真核细胞 | 原核细胞和真核细胞
反射 | 反射
反射弧 | 反射弧
反推法（代入法）解选择题 | 反推法（代入法）解选择题
反馈调节 | 反馈调节
发酵工程 | 发酵工程
受精作用 | 受精作用
叶绿体 | 叶绿体
同位素标记法 | 同位素标记法
同源染色体 | 同源染色体
启动子与终止子的辨析 | 启动子与终止子的辨析
噬菌体侵染细菌实验 | 噬菌体侵染细菌实验
囊泡运输与蛋白质分选 | 囊泡运输与蛋白质分选
四分体 | 四分体
四大类生物学物质辨析 | 四大类生物学物质辨析
坐标图类信息题的变量分析 | 坐标图类信息题的变量分析
结束后-应将耐药菌-培养基-纸片等进行高温灭菌处理-防止对环境造成污染 | 培养基的分类与使用
基因 | 基因
基因位于染色体上的实验证据 | 基因位于染色体上的实验证据
基因位置的判断方法 | 基因位置的判断方法
基因在染色体上 | 基因在染色体上
基因型-表型的推断 | 基因型、表型的推断
基因工程 | 基因工程
基因的本质 | 基因的本质
基因的表达 | 基因的表达
基因突变 | 基因突变
基因突变与细胞癌变 | 基因突变与细胞癌变
基因编辑 | 基因编辑
基因表达与性状的关系 | 基因表达与性状的关系
基因重组 | 基因重组
基因频率 | 基因频率
基础类选择题的选项设置陷阱 | 基础类选择题的选项设置陷阱
外源基因整合位置的判断 | 外源基因整合位置的判断
多倍体 | 多倍体
大脑皮层 | 大脑皮层
姐妹染色单体上等位基因来源的判断 | 姐妹染色单体上等位基因来源的判断
孟德尔两对相对性状的杂交实验 | 孟德尔两对相对性状的杂交实验
孟德尔的豌豆杂交实验过程分析 | 孟德尔的豌豆杂交实验过程分析
孟德尔规律的应用 | 孟德尔规律的应用
实验结果与实验结论的辨析 | 实验结果与实验结论的辨析
实验-低温诱导植物细胞染色体数目的变化 | 实验：低温诱导植物细胞染色体数目的变化
实验-使用高倍显微镜观察几种细胞 | 实验：使用高倍显微镜观察几种细胞
实验-培养液中酵母菌种群数量的变化 | 实验：培养液中酵母菌种群数量的变化
实验-探究抗生素对细菌的选择作用 | 实验：探究抗生素对细菌的选择作用
实验-探究酵母菌细胞呼吸的方式 | 实验：探究酵母菌细胞呼吸的方式
实验-检测生物组织中的糖类-脂肪和蛋白质 | 实验：检测生物组织中的糖类、脂肪和蛋白质
实验-模拟生物体维持ph的稳定 | 实验：模拟生物体维持pH的稳定
实验-观察根尖分生区组织细胞的有丝分裂 | 实验：观察根尖分生区组织细胞的有丝分裂
实验-观察蝗虫精母细胞减数分裂装片 | 实验：观察蝗虫精母细胞减数分裂装片
密度制约因素与非密度制约因素 | 密度制约因素与非密度制约因素
密码子 | 密码子
对照实验的分析方法 | 对照实验的分析方法
对照实验设计的四步模板 | 对照实验设计的四步模板
差速离心法 | 差速离心法
常见实验试剂与颜色变化 | 常见实验试剂与颜色变化
常见遗传实验材料及其优点 | 常见遗传实验材料及其优点
干细胞 | 干细胞
归纳法 | 归纳法
影响光合作用强度的环境因素 | 影响光合作用强度的环境因素
影响物质跨膜运输的因素 | 影响物质跨膜运输的因素
影响物质跨膜运输速率的因素 | 影响物质跨膜运输速率的因素
影响酶促反应的因素分析 | 影响酶促反应的因素分析
微生物的培养 | 微生物的培养
性染色体的传递规律 | 性染色体的传递规律
性状分离比 | 性状分离比
性状分离比的模拟实验 | 性状分离比的模拟实验
性状显隐性的判断 | 性状显隐性的判断
成熟植物细胞的吸水和失水 | 成熟植物细胞的吸水和失水
抗体 | 抗体
抗原 | 抗原
捕获光能的色素和结构 | 捕获光能的色素和结构
探究动植物生命活动调节实验的思路与方法 | 探究动植物生命活动调节实验的思路与方法
探究基因位于常染色体上还是x-y染色体同源区段上 | 探究基因位于常染色体上还是X、Y染色体同源区段上
探究物质跨膜运输方式的实验设计 | 探究物质跨膜运输方式的实验设计
探究酶的专一性-高效性相关实验 | 探究酶的专一性、高效性相关实验
探索光合作用原理的部分实验 | 探索光合作用原理的部分实验
教材文字迁移类长句题 | 教材文字迁移类长句题
数列与排列组合在遗传计算中的应用 | 数列与排列组合在遗传计算中的应用
无丝分裂 | 无丝分裂
无机盐 | 无机盐
无氧呼吸 | 无氧呼吸
无菌技术 | 无菌技术
暗反应 | 暗反应
有丝分裂 | 有丝分裂
dna-rna-蛋白质等的水解产物和氧化产物-归纳总结 | 有机物的水解与氧化分解产物
有氧呼吸 | 有氧呼吸
有氧呼吸的过程分析 | 有氧呼吸的过程分析
构图法分析复杂文字信息题 | 构图法分析复杂文字信息题
果蝇作为遗传学实验材料的优点 | 果蝇作为遗传学实验材料的优点
染色体变异-x1 | 染色体变异
标志重捕法 | 标志重捕法
样方法 | 样方法
核糖体 | 核糖体
核苷酸 | 核苷酸
核质互作雄性不育与三系法育种 | 核质互作雄性不育与三系法育种
核酸 | 核酸
核酸与蛋白质的关系 | 核酸与蛋白质的关系
核酸是由核苷酸连接而成的长链 | 核酸是由核苷酸连接而成的长链
核酸是遗传信息的携带者 | 核酸是遗传信息的携带者
植物生长素及其生理作用 | 植物生长素及其生理作用
植物生长调节剂 | 植物生长调节剂
植物生长调节剂的应用 | 植物生长调节剂的应用
植物组织培养 | 植物组织培养
概率与统计在生物学中的应用 | 概率与统计在生物学中的应用
模式图逻辑链的分析方法 | 模式图逻辑链的分析方法
母性效应与表型模拟 | 母性效应与表型模拟
比较细胞中的生物大分子 | 比较细胞中的生物大分子
气孔开闭的调节因素 | 气孔开闭的调节因素
氧化还原反应与细胞代谢 | 氧化还原反应与细胞代谢
氨基酸 | 氨基酸
水 | 水
水和无机盐平衡的调节 | 水和无机盐平衡的调节
测交 | 测交
测定光合速率与呼吸速率的常用方法 | 测定光合速率与呼吸速率的常用方法
液泡 | 液泡
渗透作用 | 渗透作用
渗透压 | 渗透压
溶酶体 | 溶酶体
激素 | 激素
激素调节的特点 | 激素调节的特点
物理模型的构建方法 | 物理模型的构建方法
物种的形成 | 物种的形成
物质出入细胞的方式 | 物质出入细胞的方式
物质循环 | 物质循环
物质跨膜运输方式的判断 | 物质跨膜运输方式的判断
物质跨膜运输方式的比较 | 物质跨膜运输方式的比较
特异性免疫 | 特异性免疫
环境因素参与调节植物的生命活动 | 环境因素参与调节植物的生命活动
环境条件突变时C3与C5的变化 | 环境条件突变时C3与C5的变化
生命活动调节实验的设计要点 | 生命活动调节实验的设计要点
生命活动调节方式的三种模型 | 生命活动调节方式的三种模型
生命系统的结构层次 | 生命系统的结构层次
生态位 | 生态位
生态工程 | 生态工程
生态系统的稳定性 | 生态系统的稳定性
生态系统的结构 | 生态系统的结构
生物分子中的酯与芳香族化合物 | 生物分子中的酯与芳香族化合物
生物变异的类型 | 生物变异的类型
生物多样性 | 生物多样性
生物大分子以碳链为骨架 | 生物大分子以碳链为骨架
生物学实验技术与方法 | 生物学实验技术与方法
生物有共同祖先的证据 | 生物有共同祖先的证据
生物模型的类型 | 生物模型的类型
生物膜系统 | 生物膜系统
生长素 | 生长素
生长素的两重性 | 生长素的两重性
生长素的极性运输 | 生长素的极性运输
用高倍显微镜观察叶绿体和细胞质的流动 | 用高倍显微镜观察叶绿体和细胞质的流动
甲状腺激素 | 甲状腺激素
电子传递过程的三步定位法 | 电子传递过程的三步定位法
疫苗 | 疫苗
病毒 | 病毒
目的基因的检测与鉴定 | 目的基因的检测与鉴定
真核细胞 | 真核细胞
研究土壤中小动物类群的丰富度 | 研究土壤中小动物类群的丰富度
神经系统的分级调节 | 神经系统的分级调节
神经系统的结构 | 神经系统的结构
神经调节的基本方式 | 神经调节的基本方式
神经调节的结构基础 | 神经调节的结构基础
神经递质 | 神经递质
种子萌发过程中有机物的变化 | 种子萌发过程中有机物的变化
种子萌发过程中细胞呼吸的变化分析 | 种子萌发过程中细胞呼吸的变化分析
种群密度 | 种群密度
种群数量的变化 | 种群数量的变化
种群的数量变化 | 种群的数量变化
种群的数量特征 | 种群的数量特征
种群的特征 | 种群的特征
种群研究的应用 | 种群研究的应用
程序法分析遗传系谱图-规律方法 | 程序法分析遗传系谱图（规律方法）
稳态 | 稳态
突触 | 突触
端粒与端粒酶 | 端粒与端粒酶
类囊体 | 类囊体
精子与卵细胞形成过程的比较 | 精子与卵细胞形成过程的比较
精子的形成过程 | 精子的形成过程
糖与脂质的转化 | 糖与脂质的转化
糖类 | 糖类
糖类和脂肪的转化 | 糖类和脂肪的转化
糖类和脂质的相互转化 | 糖类和脂质的相互转化
纯合子与杂合子的判断 | 纯合子与杂合子的判断
线粒体 | 线粒体
线粒体和叶绿体的内共生起源学说 | 线粒体和叶绿体的内共生起源学说
线粒体遗传的阈值效应 | 线粒体遗传的阈值效应
组成细胞的元素 | 组成细胞的元素
组织水肿的成因 | 组织水肿的成因
细胞不能无限长大的原因 | 细胞不能无限长大的原因
细胞中的元素 | 细胞中的元素
细胞中的化合物 | 细胞中的化合物
细胞中的无机盐 | 细胞中的无机盐
细胞中的水 | 细胞中的水
细胞中的糖类 | 细胞中的糖类
细胞中的脂质 | 细胞中的脂质
细胞免疫 | 细胞免疫
细胞凋亡 | 细胞凋亡
细胞分化 | 细胞分化
细胞分裂图像的三看法判别 | 细胞分裂图像的三看法判别
细胞分裂时期的判断方法 | 细胞分裂时期的判断方法
细胞周期 | 细胞周期
细胞周期检验点与同步化 | 细胞周期检验点与同步化
细胞呼吸原理的应用 | 细胞呼吸原理的应用
细胞呼吸概念-实质和意义 | 细胞呼吸概念、实质和意义
细胞呼吸的影响因素及应用 | 细胞呼吸的影响因素及应用
细胞呼吸的易错辨析 | 细胞呼吸的易错辨析
细胞呼吸的类型判断-规律方法 | 细胞呼吸的类型判断（规律方法）
细胞器的结构和功能 | 细胞器的结构和功能
细胞坏死与细胞自噬 | 细胞坏死与细胞自噬
细胞增殖 | 细胞增殖
细胞壁 | 细胞壁
细胞学说 | 细胞学说
细胞是基本的生命系统 | 细胞是基本的生命系统
细胞核的结构和功能 | 细胞核的结构和功能
细胞生活的环境 | 细胞生活的环境
细胞癌变 | 细胞癌变
细胞的全能性 | 细胞的全能性
细胞的分化与全能性 | 细胞的分化与全能性
细胞的多样性和统一性 | 细胞的多样性和统一性
细胞的死亡 | 细胞的死亡
细胞的生物膜系统 | 细胞的生物膜系统
细胞的统一性 | 细胞的统一性
细胞膜成分和结构的探究历程 | 细胞膜成分和结构的探究历程
细胞膜的结构和功能 | 细胞膜的结构和功能
细胞膜-质膜-的功能 | 细胞膜（质膜）的功能
细胞自噬 | 细胞自噬
细胞融合 | 细胞融合
细胞衰老 | 细胞衰老
细胞骨架 | 细胞骨架
群落的主要类型及群落的演替 | 群落的主要类型及群落的演替
群落的演替 | 群落的演替
群落的结构 | 群落的结构
翻译 | 翻译
联会 | 联会
育种 | 育种
肺炎链球菌转化实验 | 肺炎链球菌转化实验
胚胎工程 | 胚胎工程
胞吐 | 胞吐
胞吞 | 胞吞
胰岛素 | 胰岛素
胰高血糖素 | 胰高血糖素
能量流动 | 能量流动
脂质 | 脂质
脱水缩合 | 脱水缩合
膜电位的测量及电表指针偏转的判断 | 膜电位的测量及电表指针偏转的判断
膜的流动镶嵌模型 | 膜的流动镶嵌模型
自交和自由交配的概率计算 | 自交和自由交配的概率计算
自然选择 | 自然选择
自由扩散 | 自由扩散
自由组合定律 | 自由组合定律
自由组合定律中的特殊分离比问题分析 | 自由组合定律中的特殊分离比问题分析
自由组合定律的内容 | 自由组合定律的内容
自由组合定律的解题规律及方法 | 自由组合定律的解题规律及方法
自身免疫病与免疫缺陷病 | 自身免疫病与免疫缺陷病
色素 | 色素
艾滋病（HIV） | 艾滋病（HIV）
荧光标记技术与原位杂交定位技术 | 荧光标记技术与原位杂交定位技术
蛋白质 | 蛋白质
蛋白质工程 | 蛋白质工程
蛋白质的功能 | 蛋白质的功能
蛋白质的基本单位-氨基酸 | 蛋白质的基本单位——氨基酸
蛋白质的盐析变性与水解的辨析 | 蛋白质的盐析变性与水解的辨析
蛋白质的磷酸化与去磷酸化 | 蛋白质的磷酸化与去磷酸化
蛋白质的结构及其多样性 | 蛋白质的结构及其多样性
蛋白质相关计算题 | 蛋白质相关计算题
蛋白质相关计算题的总结 | 蛋白质相关计算题的总结
血红蛋白的结构与功能 | 血红蛋白的结构与功能
血细胞计数板 | 血细胞计数板
表型与基因型的关系 | 表型与基因型的关系
表观遗传 | 表观遗传
被动运输 | 被动运输
调查人群中的遗传病 | 调查人群中的遗传病
豌豆用作遗传实验的材料 | 豌豆用作遗传实验的材料
质壁分离 | 质壁分离
转基因生物的安全性 | 转基因生物的安全性
转录 | 转录
载体 | 载体
辨析真正光合速率-净光合速率和呼吸速率 | 辨析真正光合速率、净光合速率和呼吸速率
过敏反应 | 过敏反应
连锁与互换 | 连锁与互换
连锁互换问题的配子分析 | 连锁互换问题的配子分析
通道蛋白与载体蛋白的辨析 | 通道蛋白与载体蛋白的辨析
遗传信息的翻译 | 遗传信息的翻译
遗传图解的书写规范 | 遗传图解的书写规范
遗传学基本概念与符号 | 遗传学基本概念与符号
遗传学实验设计的思路与方法 | 遗传学实验设计的思路与方法
遗传学核心概念与术语 | 遗传学核心概念与术语
遗传病的检测与预防 | 遗传病的检测与预防
遗传病的检测和预防 | 遗传病的检测和预防
遗传系谱图与遗传图解的书写规范 | 遗传系谱图与遗传图解的书写规范
遗传系谱图和电泳图谱分析 | 遗传系谱图和电泳图谱分析
遗传系谱图的分析及概率的计算 | 遗传系谱图的分析及概率的计算
遗传系谱图的符号与书写规范 | 遗传系谱图的符号与书写规范
酶在代谢中的作用 | 酶在代谢中的作用
酶的两种抑制机理 | 酶的两种抑制机理
酶的作用 | 酶的作用
酶的作用和本质 | 酶的作用和本质
酶的本质 | 酶的本质
酶的特性 | 酶的特性
酶的特性及探究实验 | 酶的特性及探究实验
组-反应物-酶1溶液反应物被分解 | 酶相关实验的易错辨析
酸碱平衡 | 酸碱平衡
铁死亡 | 铁死亡
长句应答题的作答方法 | 长句应答题的作答方法
限制酶 | 限制酶
隔离在物种形成中的作用 | 隔离在物种形成中的作用
雄性不育与自交不亲和 | 雄性不育与自交不亲和
雄性不育的类型 | 雄性不育的类型
非特异性免疫 | 非特异性免疫
食物网 | 食物网
食物链 | 食物链
高尔基体 | 高尔基体
