# CHEMISTRY 节点表（slug | 名字）：1202 个
4-溴甲基-1-环己烯的一种合成路线如下 | 4-溴甲基-1-环己烯的一种合成路线如下：
从铝土矿提纯al2o3-碱溶法-的工艺流程 | 从铝土矿提纯Al2O3(碱溶法)的工艺流程
以烯烃-炔烃为原料的有机合成 | 以烯烃、炔烃为原料的有机合成
物质的量是高中化学常用的物理量-请完成以下有关计算-设na为阿伏加德罗常数的值 | 以物质的量为中心的计算
仪器的安装与连接顺序 | 仪器的安装与连接顺序
仪器的洗涤 | 仪器的洗涤
仪器的洗涤与洗净标准 | 仪器的洗涤与洗净标准
仪器的连接与组装原则 | 仪器的连接与组装原则
价层电子对互斥模型 | 价层电子对互斥模型
某小组同学设计实验实现几种价态硫元素的转化 | 价态硫转化的实验设计
价态规律及其应用 | 价态规律及其应用
传统文化类试题的解题三步曲 | 传统文化类试题的解题三步曲
传统文化类试题的解题方法 | 传统文化类试题的解题方法
依据元素及其化合物性质推断元素 | 依据元素及其化合物性质推断元素
依据化学方程式的计算 | 依据化学方程式的计算
依据反应条件判断有机反应类型 | 依据反应条件判断有机反应类型
依据官能团分类 | 依据官能团分类
依据题目提供的新信息进行推断未知有机物的结构 | 依据题目提供的新信息进行推断未知有机物的结构
信息型氧化还原方程式的书写 | 信息型氧化还原方程式的书写
假设法判断氧化还原反应能否进行的步骤 | 假设法判断氧化还原反应能否进行的步骤
做到-五看-快速判断热化学方程式的正误 | 做到“五看”，快速判断热化学方程式的正误
催化剂 | 催化剂
催化剂与化学反应 | 催化剂与化学反应
催化剂与反应历程 | 催化剂与反应历程
催化剂-催化剂同等程度改变正逆反应速率-不影响平衡移动 | 催化剂对速率与平衡的影响
元素-核素-同位素 | 元素、核素、同位素
元素周期律 | 元素周期律
元素周期律的内容及实质 | 元素周期律的内容及实质
元素周期表 | 元素周期表
元素周期表与原子结构的规律 | 元素周期表与原子结构的规律
元素周期表中元素的原子序数的差值关系 | 元素周期表中元素的原子序数的差值关系
元素周期表及其应用易混易错点 | 元素周期表及其应用易混易错点
元素周期表的-四个关系式 | 元素周期表的“四个关系式”
元素周期表的应用 | 元素周期表的应用
元素周期表的结构 | 元素周期表的结构
元素推断的常用方法 | 元素推断的常用方法
元素的-位-构-性-关系 | 元素的“位—构—性”关系
元素的性质比较和判断易混易错点 | 元素的性质比较和判断易混易错点
元素金属性强弱的判断 | 元素金属性强弱的判断
元素非金属性强弱的判断 | 元素非金属性强弱的判断
先后规律及其应用 | 先后规律及其应用
全程速率-时间图像 | 全程速率—时间图像
六种盐溶液蒸干后产物的判断 | 六种盐溶液蒸干后产物的判断
六种表示物质变化的方程式 | 六种表示物质变化的方程式
共价化合物 | 共价化合物
共价晶体 | 共价晶体
共价键 | 共价键
共价键及键参数易混易错点 | 共价键及键参数易混易错点
共价键的分类 | 共价键的分类
关于化学反应速率易错易混点 | 关于化学反应速率易错易混点
关于化学平衡状态的易错易混点 | 关于化学平衡状态的易错易混点
关系式法 | 关系式法
其他防护方法 | 其他防护方法
典型含氮元素物质之间的相互转化 | 典型含氮元素物质之间的相互转化
几种重要的醛-酮 | 几种重要的醛、酮
分子-或离子-空间结构的判断 | 分子(或离子)空间结构的判断
分子晶体 | 分子晶体
分子的性质 | 分子的性质
分子的手性 | 分子的手性
分子的手性与对映异构体 | 分子的手性与对映异构体
分子的手性与手性碳原子 | 分子的手性与手性碳原子
分子的极性 | 分子的极性
分子空间构型 | 分子空间构型
分子间作用力 | 分子间作用力
分子间作用力对物质性质的影响 | 分子间作用力对物质性质的影响
分子-离子-的空间结构判断易混易错点 | 分子（离子）的空间结构判断易混易错点
分布分数图像 | 分布分数图像
分散系 | 分散系
分散系的分类 | 分散系的分类
分析图像书写热化学方程式 | 分析图像书写热化学方程式。
分析有机合成与推断类题的-四要点 | 分析有机合成与推断类题的“四要点”
分析电解过程的思维程序 | 分析电解过程的思维程序：
分析离子能否大量共存必备知识 | 分析离子能否大量共存必备知识
分析粒子种类-分子-离子-电子 | 分析粒子种类（分子/离子/电子）
分步法书写陌生非氧化还原方程式 | 分步法书写陌生非氧化还原方程式
分液漏斗的使用 | 分液漏斗的使用
分离-提纯有机化合物常用的方法 | 分离、提纯有机化合物常用的方法
分离提纯 | 分离提纯
分阶段电解的计算与溶液复原 | 分阶段电解的计算与溶液复原
分阶段电解的计算技巧 | 分阶段电解的计算技巧
判断化学反应的自发性 | 判断化学反应的自发性
判断原电池正-负极的方法 | 判断原电池正、负极的方法
判断同分异构体数目的常用方法和思路 | 判断同分异构体数目的常用方法和思路
判断弱酸的三种方法 | 判断弱酸的三种方法
利用平衡移动原理解释问题的思维模板 | 利用平衡移动原理解释问题的思维模板
利用平衡移动原理解释问题的答题模板 | 利用平衡移动原理解释问题的答题模板
利用电离常数-k-巧判溶液稀释中有关粒子浓度比值大小 | 利用电离常数
部分弱酸的电离常数如下表 | 利用电离常数比较酸性强弱
利用盖斯定律书写热化学方程式的一般步骤 | 利用盖斯定律书写热化学方程式的一般步骤
制作一个氢氧燃料电池 | 制作一个氢氧燃料电池。
制取cl2装置的创新 | 制取Cl2装置的创新
制备原料 | 制备原料
加成反应 | 加成反应
勒夏特列原理 | 勒夏特列原理
勒夏特列原理及应用 | 勒夏特列原理及应用
化合价 | 化合价
化合态 | 化合态
化合物 | 化合物
化学与传统文化 | 化学与传统文化
化学与医药的常考常识 | 化学与医药的常考常识
化学与技术中的重要应用 | 化学与技术中的重要应用
化学与材料的分类 | 化学与材料的分类
化学与环境问题 | 化学与环境问题
化学与营养及常见的食品添加剂 | 化学与营养及常见的食品添加剂
能源与科学-技术-社会密不可分-下列装置或过程能实现电能转化为化学能的是 | 化学反应中的能量转化形式
化学反应方向判断的传统方法 | 化学反应方向判断的传统方法
化学反应方向的传统判断方法 | 化学反应方向的传统判断方法
化学反应条件的控制 | 化学反应条件的控制
化学反应的方向和调控易混易错点 | 化学反应的方向和调控易混易错点
化学反应的本质 | 化学反应的本质
化学反应的热效应的易混易错点 | 化学反应的热效应的易混易错点
化学反应速率 | 化学反应速率
化学反应速率与化学计量数的关系 | 化学反应速率与化学计量数的关系
化学反应速率及其计算 | 化学反应速率及其计算
化学反应速率及表示方法 | 化学反应速率及表示方法
化学反应速率的比较 | 化学反应速率的比较
化学反应速率的测定 | 化学反应速率的测定
化学反应速率的计算方法 | 化学反应速率的计算方法
化学变化 | 化学变化
化学基本概念题的解题策略 | 化学基本概念题的解题策略
化学实验中的先后顺序规则 | 化学实验中的先后顺序规则
化学实验中的温度控制 | 化学实验中的温度控制
化学实验中的防火防爆与防暴沸 | 化学实验中的防火防爆与防暴沸
化学实验基本操作中的八个不能 | 化学实验基本操作中的八个不能
化学实验基本操作禁忌 | 化学实验基本操作禁忌
化学实验基本操作规范 | 化学实验基本操作规范
化学实验安全与事故处理 | 化学实验安全与事故处理
化学实验安全与试剂保存 | 化学实验安全与试剂保存
化学实验方案的评价 | 化学实验方案的评价
化学实验装置的连接与操作顺序 | 化学实验装置的连接与操作顺序
化学平衡 | 化学平衡
化学平衡常数 | 化学平衡常数
化学平衡常数及影响因素 | 化学平衡常数及影响因素
化学平衡常数的应用 | 化学平衡常数的应用
化学平衡常数的影响因素 | 化学平衡常数的影响因素
化学平衡状态 | 化学平衡状态
化学平衡状态的判断 | 化学平衡状态的判断
化学平衡状态的特征及判断 | 化学平衡状态的特征及判断
化学平衡的移动 | 化学平衡的移动
化学平衡移动方向和转化率的判断 | 化学平衡移动方向和转化率的判断
化学平衡移动的分析方法 | 化学平衡移动的分析方法
化学平衡计算的三段式法 | 化学平衡计算的三段式法
化学方程式中的定量关系 | 化学方程式中的定量关系
化学用语中的六式 | 化学用语中的六式
化学用语书写规范 | 化学用语书写规范
下列化学用语正确的有___________ | 化学用语的正误判断
化学电源的优点与优劣判断 | 化学电源的优点与优劣判断
化学计算中的关系式法 | 化学计算中的关系式法
化学计算中的守恒法 | 化学计算中的守恒法
化学计算的常用方法 | 化学计算的常用方法
化学试剂的保存方法 | 化学试剂的保存方法
化学试剂的存放规则 | 化学试剂的存放规则
化学键 | 化学键
化学键与物质的类别 | 化学键与物质的类别
化学键与物质类别的关系 | 化学键与物质类别的关系
化学键对物质性质的影响 | 化学键对物质性质的影响
化学键的符号表征-电子式 | 化学键的符号表征——电子式
化工流程题的分析模型 | 化工流程题的分析模型
化工生产中的复杂图像分析 | 化工生产中的复杂图像分析
基本概念 | 单体、链节与聚合度
单糖 | 单糖
单质 | 单质
单质与氧化还原反应的关系 | 单质与氧化还原反应的关系
单质铜的化学性质 | 单质铜的化学性质
卤代烃 | 卤代烃
为了测定某卤代烃分子中所含有的卤素原子种类-可按下列步骤进行实验 | 卤代烃中卤素原子的检验
卤代烃在有机合成中的作用 | 卤代烃在有机合成中的作用
卤代烃在生产生活中具有广泛的应用 | 卤代烃在生产生活中具有广泛的应用。
卤代烃的性质及应用 | 卤代烃的性质及应用
卤代烃的概念 | 卤代烃的概念
卤代烃的水解反应和消去反应 | 卤代烃的水解反应和消去反应
卤代烃的物理性质 | 卤代烃的物理性质
卤代烃的用途与危害 | 卤代烃的用途与危害
卤代烃的结构和性质易混易错点 | 卤代烃的结构和性质易混易错点
卤族元素 | 卤族元素
卤族元素的易错点 | 卤族元素的易错点
卤素互化物与拟卤素 | 卤素互化物与拟卤素
卤素互化物与拟卤素解题模板 | 卤素互化物与拟卤素解题模板
卤素单质氧化性强弱的比较实验 | 卤素单质氧化性强弱的比较实验
卤素离子的检验方法 | 卤素离子的检验方法
压强平衡常数 | 压强平衡常数
压强平衡常数的计算 | 压强平衡常数的计算
原子光谱与电子跃迁 | 原子光谱与电子跃迁
原子分数坐标 | 原子分数坐标
原子分数坐标与晶胞投影图 | 原子分数坐标与晶胞投影图
原子核外电子排布 | 原子核外电子排布
原子经济性 | 原子经济性
原子结构 | 原子结构
原子结构与元素周期表的关系 | 原子结构与元素周期表的关系
原子结构中微粒的关系及计算 | 原子结构中微粒的关系及计算
原子结构易混易错知识点 | 原子结构易混易错知识点
原电池 | 原电池
原电池原理的应用 | 原电池原理的应用
原电池工作原理易错知识-10-点 | 原电池工作原理易错知识“10”点
原电池的工作原理-以zn-cu原电池为例 | 原电池的工作原理 （以Zn－Cu原电池为例）
反应原理 | 反应原理
反应机理 | 反应机理
反应热 | 反应热
反应热-焓变 | 反应热、焓变
反应热大小的比较 | 反应热大小的比较
反应热大小的比较规律 | 反应热大小的比较规律
反应热的五种计算方法 | 反应热的五种计算方法
反应热的规范表述 | 反应热的规范表述
主要方法 | 反应热的计算方法
取代反应 | 取代反应
可充电电池常考知识-10-点和易错知识-3-点 | 可充电电池常考知识“10”点和易错知识“3”点
可充电电池题目的解答思路 | 可充电电池题目的解答思路
可逆反应 | 可逆反应
可逆反应的特点及应用 | 可逆反应的特点及应用
各种硅酸的结构 | 各种硅酸的结构
各类物质的化学通性 | 各类物质的化学通性
合成氨反应的特点 | 合成氨反应的特点
合成高分子 | 合成高分子
合成高分子反应的化学方程式的书写 | 合成高分子反应的化学方程式的书写
合成高分子的结构和性质 | 合成高分子的结构和性质
合金 | 合金
合金的概念及性能 | 合金的概念及性能
同位素示踪法研究酯水解断键 | 同位素示踪法研究酯水解断键
同分异构体 | 同分异构体
同分异构现象和同分异构体 | 同分异构现象和同分异构体
同系物 | 同系物
同系物-同分异构体的概念和判断易混易错点 | 同系物、同分异构体的概念和判断易混易错点
同素异形体 | 同素异形体
含官能团的链状有机物命名 | 含官能团的链状有机物命名
含氧酸及其酸性比较 | 含氧酸及其酸性比较
含氯化合物制备原料转化路径 | 含氯化合物制备原料转化路径
含氯化合物的相互转化路径 | 含氯化合物的相互转化路径
含氯消毒剂的计算与比较 | 含氯消毒剂的计算与比较
含氯物质的制备与转化路径 | 含氯物质的制备与转化路径
含苯环同分异构体数目的确定技巧 | 含苯环同分异构体数目的确定技巧
含量-或转化率-时间-温度-压强-图像 | 含量(或转化率)-时间-温度(压强)图像
含量-转化率-投料比图像 | 含量/转化率—投料比图像
含铝物质的制备和转化 | 含铝物质的制备和转化
吸收氨气-或hcl-时要注意防止倒吸 | 吸收氨气(或HCl)时要注意防止倒吸。
吸热反应 | 吸热反应
吸热反应和放热反应 | 吸热反应和放热反应
命名原则 | 命名原则
商余法确定烃的分子式 | 商余法确定烃的分子式
喷泉实验 | 喷泉实验
喷泉实验产物的浓度计算 | 喷泉实验产物的浓度计算
四羟基合铝酸盐的性质 | 四羟基合铝酸盐的性质
固体和气体的溶解度 | 固体和气体的溶解度
写出除去下列固体粉末中混有杂质-括号内为杂质-可采取的方法-写出有关反应的方程式 | 固体混合物的除杂方法
在一定温度下-利用催化剂将nh3分解为n2和h2-相关化学键的键能数据如下 | 在一定温度下
在化学研究中-物质的量浓度是使用最广泛的一种表示溶液浓度的方法 | 在化学研究中
在指定条件下-下列有关铁单质的转化不能实现的是 | 在指定条件下
在浓差电池中-为了限定某些离子的移动-常涉及到-离子交换膜 | 在浓差电池中
步骤③和步骤④的操作顺序能否颠倒-为什么 | 坩埚灼烧固体的操作要点
基于-两性-类比推测be-zn及其化合物的性质 | 基于“两性”类比推测Be、Zn及其化合物的性质
基元反应 | 基元反应
基态、激发态与原子光谱 | 基态、激发态与原子光谱
基态原子核外电子排布的表示方法 | 基态原子核外电子排布的表示方法
基本营养物质 | 基本营养物质
复杂氧化还原反应的计算 | 复杂氧化还原反应的计算
外界条件对化学反应速率的影响规律 | 外界条件对化学反应速率的影响规律
外界条件对化学平衡的影响 | 外界条件对化学平衡的影响
外界条件对水的电离平衡的影响 | 外界条件对水的电离平衡的影响
外界条件对电离平衡影响的四个不一定 | 外界条件对电离平衡影响的四个不一定
多官能团有机物与试剂的定量关系 | 多官能团有机物与试剂的定量关系
多池串联装置 | 多池串联装置
多池串联装置类型的判断 | 多池串联装置类型的判断
多液电池的分析方法 | 多液电池的分析方法
多糖-淀粉与纤维素 | 多糖——淀粉与纤维素
多重反应离子方程式的书写 | 多重反应离子方程式的书写
多重平衡体系类型 | 多重平衡体系类型
多重平衡体系规则 | 多重平衡体系规则
多重平衡体系解题技巧 | 多重平衡体系解题技巧
大π键 | 大π键
天然气的综合利用 | 天然气的综合利用
守恒法 | 守恒法
守恒法在化学计算中的应用 | 守恒法在化学计算中的应用
官能团的保护 | 官能团的保护
官能团的转化 | 官能团的转化
定容时仰视或俯视刻度线产生的误差图解 | 定容时仰视或俯视刻度线产生的误差图解
定性探究实验的依据与验证方案 | 定性探究实验的依据与验证方案
定性探究实验题的解题策略 | 定性探究实验题的解题策略
定性探究的方法与分析推理 | 定性探究的方法与分析推理
定性探究题的形式与基本环节 | 定性探究题的形式与基本环节
定量实验数据的处理策略 | 定量实验数据的处理策略
定量实验数据的采集与处理 | 定量实验数据的采集与处理
定量实验的数据采集与处理 | 定量实验的数据采集与处理
定量测定型综合实验 | 定量测定型综合实验
实验中的排空操作 | 实验中的排空操作
实验原理 | 实验原理
实验室制取氯气的其他方法 | 实验室制取氯气的其他方法
实验室制取氯气装置的改进 | 实验室制取氯气装置的改进
实验室制备高铁酸钾-k2feo4-并探究其性质 | 实验室制备高铁酸钾(K2FeO4)并探究其性质。
实验室实验安全 | 实验室实验安全
实验室用mno2和浓盐酸制取cl2时注意-四点 | 实验室用MnO2和浓盐酸制取Cl2时注意“四点”
实验探究乙酸乙酯的制备 | 实验探究乙酸乙酯的制备
本实验中加入试剂的顺序是什么-按照其他顺序加入试剂能否达到同样的目的 | 实验操作目的与试剂的选择
实验方案设计 | 实验方案设计
实验方案设计中的操作与安全要点 | 实验方案设计中的操作与安全要点
实验条件的控制 | 实验条件的控制
实验用品 | 实验用品
实验类试题的三类错误 | 实验类试题的三类错误
实验类试题的解题策略 | 实验类试题的解题策略
实验结论辨析的常见陷阱 | 实验结论辨析的常见陷阱
实验综合题答题模板 | 实验综合题答题模板
实验装置中的安全与辅助装置 | 实验装置中的安全与辅助装置
实验试剂与仪器的规范描述 | 实验试剂与仪器的规范描述
审题抓关键条件-状态-温度-压强 | 审题抓关键条件（状态、温度、压强）
容量瓶及其使用注意事项 | 容量瓶及其使用注意事项
对数折线图四步法 | 对数折线图四步法
对氧化物认识的几个误区 | 对氧化物认识的几个误区
对物质的元素组成的几个误区 | 对物质的元素组成的几个误区
对角线规则 | 对角线规则
工业上用某种氧化铝矿石-含fe2o3杂质-为原料冶炼铝的工艺流程如下 | 工业上用某种氧化铝矿石
工业制法 | 工业制法
工业制硫酸的流程与原理 | 工业制硫酸的流程与原理
工业制铝的酸溶法流程 | 工业制铝的酸溶法流程
工业合成氨的适宜条件 | 工业合成氨的适宜条件
工业流程中反应条件的控制 | 工业流程中反应条件的控制
工业生产中化学反应条件的选择 | 工业生产中化学反应条件的选择
工业生产中的速率和平衡图像 | 工业生产中的速率和平衡图像
巧抓-四点-突破酸碱中和滴定曲线中的粒子浓度关系 | 巧抓“四点”
差量法 | 差量法
已知总方程式-书写电极反应式 | 已知总方程式，书写电极反应式
常温下-铁-铝遇浓硝酸能发生-钝化-并非不反应-故常温下浓硝酸可以用铁桶盛放 | 常温下铁、铝的钝化
常用计量仪器的使用与检漏 | 常用计量仪器的使用与检漏
常考经典史籍中的化学知识 | 常考经典史籍中的化学知识
常见仪器 | 常见仪器
常见元素及其化合物的特性 | 常见元素及其化合物的特性
常见净水剂、消毒剂与漂白剂 | 常见净水剂、消毒剂与漂白剂
常见净水剂消毒剂漂白剂与干燥剂 | 常见净水剂消毒剂漂白剂与干燥剂
常见危险化学品标志与实验事故处理 | 常见危险化学品标志与实验事故处理
常见喷泉的类型 | 常见喷泉的类型
常见干燥剂及其使用限制 | 常见干燥剂及其使用限制
常见性质比较与检验实验的设计范式 | 常见性质比较与检验实验的设计范式
常见有机反应类型总结 | 常见有机反应类型总结
常见有机合成路线 | 常见有机合成路线
工业上制备的盐酸显黄色是因为溶有fe3-而浓hno3显黄色是因为溶有no2 | 常见物质显色的原因分析
常见物质的溶解性规律 | 常见物质的溶解性规律
常见的与量无关的离子反应 | 常见的与量无关的离子反应
常见的易混淆物质变化 | 常见的易混淆物质变化
常见的氧化剂与还原剂 | 常见的氧化剂与还原剂
常见的混合物 | 常见的混合物
常见的物质分类的几个误区 | 常见的物质分类的几个误区
常见的装置 | 常见的装置
常见的限制条件总结 | 常见的限制条件总结
常见硫酸盐的性质与用途 | 常见硫酸盐的性质与用途
常见试剂的保存方法 | 常见试剂的保存方法
常见酸碱盐的溶解性 | 常见酸碱盐的溶解性
常见金属材料 | 常见金属材料
常见金属硫化物的溶解性 | 常见金属硫化物的溶解性
常见阳离子的检验与推断依据 | 常见阳离子的检验与推断依据
常见阴离子的检验与推断依据 | 常见阴离子的检验与推断依据
常见食品添加剂及其功能 | 常见食品添加剂及其功能
常规图像解题分析 | 常规图像解题分析
干冰萤石与三类玻璃的成分 | 干冰萤石与三类玻璃的成分
干燥管与洗气瓶的作用 | 干燥管与洗气瓶的作用
平均值法 | 平均值法
平衡常数-x1 | 平衡常数
平衡常数与速率常数的有关计算 | 平衡常数与速率常数的有关计算
在一定温度下-已知以下三个反应的平衡常数 | 平衡常数之间的关系
平衡常数和转化率的计算 | 平衡常数和转化率的计算
平衡常数的应用 | 平衡常数的应用
平衡常数的综合计算 | 平衡常数的综合计算
书写下列化学反应的平衡常数表达式 | 平衡常数表达式的书写
平衡类问题需考虑的几个方面 | 平衡类问题需考虑的几个方面
平衡转化率 | 平衡转化率
常温下-下列事实不能说明nh3-h2o为弱电解质的是 | 弱电解质判断的事实依据
弱电解质的电离 | 弱电解质的电离
弱电解质的电离平衡 | 弱电解质的电离平衡
常温下-几种弱酸的电离平衡常数如下表所示 | 弱酸电离常数的应用
强弱规律及其应用 | 强弱规律及其应用
强电解质与弱电解质 | 强电解质与弱电解质
强酸与弱酸-强碱与弱碱稀释时的ph变化图像 | 强酸与弱酸、强碱与弱碱稀释时的pH变化图像
形成喷泉的原理 | 形成喷泉的原理
影响分子溶解性的因素 | 影响分子溶解性的因素
影响化学反应速率的因素 | 影响化学反应速率的因素
影响化学平衡的因素 | 影响化学平衡的因素
影响沉淀溶解平衡的因素 | 影响沉淀溶解平衡的因素
循环物质的确定方法 | 循环物质的确定方法
循环转化关系图中物质变化的分析思路 | 循环转化关系图中物质变化的分析思路
微型工艺流程的过程评价 | 微型工艺流程的过程评价
微粒半径大小比较 | 微粒半径大小比较
微粒浓度的大小比较理论依据 | 微粒浓度的大小比较理论依据
忽视溶液中水的存在 | 忽视溶液中水的存在
忽视物质溶于水时溶液体积的变化 | 忽视物质溶于水时溶液体积的变化
恒温线或恒压线图像 | 恒温线或恒压线图像
惰性气体对化学反应速率的影响 | 惰性气体对化学反应速率的影响
惰性电极电解的四种类型 | 惰性电极电解的四种类型
惰性电极电解规律 | 惰性电极电解规律
手性分子 | 手性分子
手性分子与手性碳原子 | 手性分子与手性碳原子
手性碳原子与手性分子 | 手性碳原子与手性分子
抑制-促进水电离平衡的方法 | 抑制、促进水电离平衡的方法
拟卤素与卤素互化物 | 拟卤素与卤素互化物
掌握周期表的结构及周期表中的一些特殊规律 | 掌握周期表的结构及周期表中的一些特殊规律
探究型实验的类型与程序 | 探究型实验的类型与程序
探究型综合实验 | 探究型综合实验
探究性综合实验题的类型与特点 | 探究性综合实验题的类型与特点
控制反应发生与停止的装置 | 控制反应发生与停止的装置
控制变量法探究影响化学反应速率的因素 | 控制变量法探究影响化学反应速率的因素
提高合成氨反应速率和平衡转化率的条件比较 | 提高合成氨反应速率和平衡转化率的条件比较
工业上常用甲烷-水蒸气重整制备氢气-体系中发生如下反应 | 提高平衡转化率的措施
查阅资料-了解工业生产中提高电镀质量的方法 | 提高电镀质量的方法
摩尔质量的计算方法 | 摩尔质量的计算方法
支气管扩张药物特布他林-h-的一种合成路线如下 | 支气管扩张药物特布他林(H)的一种合成路线如下：
放热反应 | 放热反应
斜向变化体现不同价态-不同类别之间物质的转化-主要体现物质的氧化性或还原性 | 斜向变化体现不同价态、不同类别之间物质的转化
新型化学电源 | 新型化学电源
