material_slug,target_node_name,evidence
chem-fx-yi-wei-zhu-yao-yuan-liao-f63x12,常见有机合成路线,材料要求以CH2=CHCH2OH为主要原料设计CH2=CHCOOH的合成路线流程图，属有机合成路线的设计
chem-selenium-iodometric-equation,陌生化学方程式书写的思路,材料为亚硒酸根碘量法测定的方程式模型（SeO32-+4I-+4H+得Se与I2、再用Na2S2O3滴定），属陌生情境下方程式的书写
chem-hj-f143-hanlv-zhuanhua-bibei-fangchengshi,氯气,材料汇总含氯物质转化的必背方程式组（电解饱和食盐水制氯气、实验室制Cl2、Cl2与H2O及碱、漂白粉），核心是氯气的制取与性质
chem-fx-hua-xue-fang-cheng-shi-fa-f03x13,有机物分子分子式的确定,材料讲化学方程式法即利用有机反应中反应物与生成物之间量的关系求分子式，属有机物分子式的确定
chem-fx-gen-ju-wu-zhi-zhuan-hua-zhong-f40x04,判断原电池正、负极的方法,材料讲根据物质转化中元素化合价变化或离子移动（阳离子移向正极区域）判断电池正负极，与节点名对应
chem-fx-ruo-hua-xue-fang-cheng-shi-zhong-ge-wu-f43x08,化学平衡常数的影响因素,材料讲化学计量数变为n倍时平衡常数变为n次幂、两方程式相加时平衡常数为乘积，属平衡常数随方程式书写形式的变化规律
chem-hj-teshu-wuzhi-huajia-suchan,化合价,材料为特殊物质中元素化合价速查（CH4、C2H2、FeS2、S2O32-、N2H4等），属化合价
chem-hj2-dengxiao-pingheng-silei,等效平衡,材料标题为等效平衡的分类与判断；正文讲恒温恒容、恒温恒压下按比例投料与折算判断等效，与节点名对应
chem-fx-cong-wu-zhi-lei-bie-he-wu-zhi-suo-han-f16x01,横向变化体现了同价态不同的类别(氧化物、碱、盐)物质之间的转化。,材料从物质类别与核心元素化合价两个角度分析转化；正文(1)为横向变化体现同价态不同类别（氧化物、盐、碱）之间的转化，与节点名一致
chem-fx-pan-duan-yuan-su-de-hua-he-jia-f30x03,电离能的三个重要应用,材料由In+1远大于In判断常见化合价为+n、由逐级电离能突变判断电子层，属电离能的应用
chem-fx-yi-zhi-yuan-su-de-dian-fu-xing-he-yuan-f30x10,电负性的三个重要应用,材料给出14种元素的电负性数据并考查其应用（与化合价一样是元素的基本性质），属电负性的应用
chem-hj-youji-zhibei-caozuo-yaodian,实验探究乙酸乙酯的制备,材料以乙酸乙酯制备为例讲加料顺序、冷凝回流、温度计位置、防暴沸与产率等关键操作要点，属该制备实验的探究
chem-hj2-youji-zhibei-tongyong-guilv,溴苯和硝基苯的制取实验,材料为有机物制备的通用规律（冷凝回流、廉价反应物过量、控温、防暴沸、产率计算）；包内无更通用的有机制备节点，归入有机制取实验节点
chem-hj2-shiyan-shunxu-sanlei,气体制备,材料讲操作顺序、加热顺序与连接顺序（发生、除杂、干燥、收集、尾气处理及进出气口），属气体制备实验的装置连接与操作顺序
chem-fx-zhuang-zhi-xing-cheng-feng-bi-ti-xi-ca-f66x08,气体制备,材料讲装置形成封闭体系后用微热法、液差法检查气密性的关键词与现象，属气体制备装置的组装与检查操作
chem-butadiene-bromination-control,烯烃的化学性质,材料讲1，3-丁二烯与Br2的1，2-加成与1，4-加成及低温动力学控制、高温热力学控制的产物差异，属烯烃（二烯烃）的化学性质
chem-fx-yi-zhi-f54x16,沉淀溶解平衡的应用,材料给出Ksp(AgCl)、Ksp(AgBr)、Ksp(Ag2CrO4)要求计算三种阴离子沉淀的先后顺序，属分步沉淀这一沉淀溶解平衡的应用
chem-fx-er-xi-ting-de-jia-cheng-fan-ying-he-ji-f59x02,烯烃的化学性质,材料标题为二烯烃的加成反应和加聚反应；正文给出加成与加聚的方程式模型，属烯烃的化学性质
chem-unit-cell-distance-relations,晶胞,材料讲立方晶胞中顶点与棱心、面心与体心等微粒间距关系（a/2、√2a/2、√3a/2及金刚石C-C键长），属晶胞的参数与结构
chem-hj-jingbao-canshu-jihggs,晶胞,材料讲晶胞参数3组棱长a、b、c与3组夹角及立方晶胞面对角线√2a、体对角线√3a与堆积半径关系
chem-fx-jing-bao-can-shu-f35x03,晶胞,材料定义晶胞参数为晶胞形状大小的6个参数（3组棱长与3组夹角），属晶胞的构成描述
chem-hj-rongzhi-teshu-jiejing-shui,物质的量浓度,材料讲溶质的几种特殊情况（Na、Na2O2溶于水溶质为NaOH、SO3溶于水为H2SO4、结晶水合物溶质为无水物），属物质的量浓度概念中溶质的确定
chem-fx-shao-bei-yong-yu-rong-jie-gu-ti-huo-xi-f05x07,常见仪器,材料标题为烧杯；正文讲烧杯用于溶解固体或稀释浓溶液并要求洗涤液转入容量瓶，属常见仪器的使用
chem-fx-yuan-zi-de-dian-zi-shi-wei-f80x07,电子式的书写与判断,材料由C原子的电子式推出sp2杂化与成单电子参与形成大π键；包内无大π键节点，归入电子式的书写与判断
chem-fx-yuan-zi-de-dian-zi-shi-wei-f80x08,电子式的书写与判断,材料由C、N原子的电子式推出sp2杂化与大π键（n=4×1+2=6）；包内无大π键节点，归入电子式的书写与判断
chem-fx-cha-liang-fa-jie-ti-de-guan-jian-shi-z-f01x02,,材料为差量法这一化学计算通用方法（以2C+O2=2CO的Δm、Δn、ΔV理论差量列比例）；包内化学节点只有浓度、摩尔质量、速率、电化学等专项计算方法节点，无差量法或化学计算常用方法节点
chem-fx-an-shi-qi-ta-han-an-hua-he-wu-de-sheng-f78x01,氨的化学性质,材料讲氨转化为其他含氮含氨物质（氨在氧气中燃烧、液氨溶液、遇水转化、溶于氨水得深蓝色溶液、氨解反应），属氨的化学性质
chem-hj-peiwieshu-gainian,晶胞,材料讲简单立方6、面心立方12、体心立方8及NaCl中均为6的晶体与晶胞配位数含义和求法，属晶胞结构的分析
chem-hj2-sidazhong-jingti-rongbodian,晶体熔、沸点高低的比较方法,材料比较四类晶体的构成微粒与熔沸点（共价晶体高于离子晶体高于金属晶体高于分子晶体），属熔沸点高低的比较方法
chem-activation-energy-rate-priority,活化能,材料讲相同反应时间内活化能（能垒）低的反应速率更快、产物物质的量与选择性更高，属活化能对反应速率与选择性的影响
chem-fx-pei-he-wu-de-sheng-cheng-shi-yan-tan-j-f78x07,配合物,材料讲配合物的生成实验探究与应用（叶绿素、血红素、维生素B12等以Mg2+为中心离子），属配合物
chem-kb-cl2-hydrogen-reaction,氯气,材料讲H2+Cl2=2HCl及点燃时安静燃烧苍白色火焰、光照爆炸的现象，属氯气的化学性质
chem-fx-zhi-han-yi-zhong-yuan-su-de-wu-zhi-bu-f07x02,对物质的元素组成的几个误区,材料为易错点：只含一种元素的物质不一定是纯净物（O2与O3、金刚石与石墨）、不同同位素构成的单质是纯净物，属元素组成认识的误区
chem-hj-youji-fenli-tichun-fangfa,有机物的分离和提纯,材料讲有机物分离提纯的蒸馏、重结晶、萃取与分液方法及甲烷除乙烯、乙醇除水、苯酚除苯等常见组合
chem-fx-chang-jian-jing-ti-de-jie-gou-mo-xing-f34x06,分子晶体,材料为常见晶体的结构模型；正文内容为典型分子晶体干冰和冰（每个CO2周围等距紧邻12个CO2），属分子晶体的结构模型
