subject,slug,action,new_name,reason
PHYSICS,单位制-由基本单位和导出单位共同构成-常考-国际单位制-si-国际制基本单位,RENAME,国际单位制的基本单位与导出单位,名为整句；边界为7个基本单位与导出单位；别名与绑定材料（phys-kb-si-unit-basic-derived）为同名材料
PHYSICS,向心力-x1,KEEP,,与既有节点「向心力」同物（slug 的 -x1 即去重拆分后缀）；改名会重名，宜合并
PHYSICS,相似三角形-动态三角形-拉密定理等方法解决临界极值问题,RENAME,三力平衡的三角形法与拉密定理,名为整句；别名与绑定材料（phys-kb-three-force-balance-methods）为“三力平衡的三角形法与拉密定理”
PHYSICS,回复力,RENAME,回复力,名为小节标题“3 简谐运动的回复力和能量”被冒号截断；库内无「回复力」节点；边界即回复力定义F＝－kx与方向/性质
PHYSICS,定义-物体在一个过程中所受合外力的冲量等于该物体在这个过程中动量的变化量,KEEP,,内容即动量定理定义与“合外力的冲量”说明；与既有节点「动量定理」重合；改名会重名，宜合并
PHYSICS,定义-碰撞指的是两个物体在很短的时间内发生相互作用,RENAME,碰撞的过程特点与遵循原则,名为“定义：碰撞指的是…”整句；边界为碰撞的时间/作用力/动量/位移/能量特点与三条遵循原则
PHYSICS,条件-①光从光密介质射入光疏介质-②入射角大于或等于临界角,RENAME,全反射的条件与临界角,名为“条件：①…②…”整句；别名与绑定材料（phys-fx-total-reflection-critical-angle）为“全反射的条件与临界角”
PHYSICS,特殊值法-对于某些特殊电路问题-可以采取代入特殊值的方法去判定,RENAME,特殊值法,名为整句（对特殊电路可代入特殊值判定）；库内无「特殊值法」节点；绑定材料即“特殊值法”
PHYSICS,特点-f-b-f-v-即f垂直于b与v决定的平面-f与v始终垂直-洛伦兹力不做功,RENAME,洛伦兹力的特点,名为“特点：F⊥B，F⊥v…”整句；边界为洛伦兹力方向特点与不做功；别名与绑定材料同题
PHYSICS,产生条件-穿过回路的磁通量发生改变-与电路是否闭合无关,KEEP,,内容即产生感应电流/感应电动势的条件；与既有节点「产生感应电流的条件」重合；改名会重名，宜合并
PHYSICS,定义-一个线圈中的电流变化时-它所产生的变化的磁场在它本身激发出感应电动势的现象,KEEP,,内容为自感现象与自感电动势的定义；与既有节点「自感」重合；改名会重名，宜合并
PHYSICS,特点-整个导体回路的电阻一般很小-感应电流很大-故金属块的发热功率很大,RENAME,涡流的特点与能量转化,名为“特点：…金属块的发热功率很大。”整句；边界为涡流的回路特点与能量转化；库内「涡流」为教材空壳节点
PHYSICS,磁通量φ-磁通量的变化量δφ及磁通量的变化率的比较,RENAME,磁通量、变化量与变化率的比较,名为三个量比较的整句；同主题绑定材料（phys-hj2-citongliang-bianhualiang-bianhualv-bijiao）即该比较
PHYSICS,理想变压器的关系式,RENAME,理想变压器的基本关系,名为“理想变压器的关系式:”标题残句；别名与多数绑定材料为“理想变压器的基本关系”
PHYSICS,定义-在任何温度-任何压强下都遵从气体实验定律的气体,RENAME,理想气体,名为“定义：在任何温度、任何压强下都遵从气体实验定律的气体。”整句；库内无「理想气体」节点
PHYSICS,内容-一个热力学系统的内能变化量等于外界向它传递的热量与外界对它所做的功的和,KEEP,,内容即热力学第一定律（ΔU＝Q＋W）与做功/热传递等效；与既有节点「热力学第一定律」重合，宜合并
PHYSICS,注意事项-1-调节各器件的高度-使光源灯丝发出的光能沿遮光筒轴线到达光屏,RENAME,双缝干涉实验的操作要点,名为实验注意事项编号整句；边界为双缝干涉安装与测条纹间距（另混入测重力加速度）；唯一绑定材料疑错配
PHYSICS,如果要列出各物理量在某一时刻的关系式-可用牛顿第二定律,RENAME,力学规律的选用策略,名为整句；边界为按问题特征在牛顿定律/动量定理/动能定理/守恒定律之间选用的策略
CHEMISTRY,判断下列转化能否实现-能实现的打-不能实现的打,RENAME,不能一步实现的物质转化,名为“判断下列转化能否实现…打√打×”指令；绑定材料为“推断题中不能一步实现的常见转化”
CHEMISTRY,fecl3溶液-fe-oh-3胶体-fe-oh-3浊液是三种重要的分散系,RENAME,三种分散系的比较,名为整句；边界为溶液/胶体/浊液三种分散系的本质特征、丁达尔效应与混合物判断
CHEMISTRY,对下列物质分类-并完善表格内容,RENAME,交叉分类法与树状分类法,名为“对下列物质分类，并完善表格内容”指令；别名与唯一绑定材料为“交叉分类法与树状分类法”
CHEMISTRY,下列有关物质的组成与分类的叙述正确的有________-填序号,RENAME,物质的组成与分类判断,名为“下列…叙述正确的有____(填序号)”题干；边界为酸碱盐氧化物/混合物/电解质的正误判断
CHEMISTRY,举例说明下列反应在一定条件下可以实现,DELETE,,节点是“举例说明下列反应在一定条件下可以实现”纯指令；7条绑定材料中6条为“在一定条件下”“裂化：在一定条件下，把相对分子质”等截断残片
CHEMISTRY,书写fe-oh-3胶体制备的化学方程式的五个易错点,RENAME,Fe(OH)3胶体制备的注意事项,名为题干式长句；别名与绑定材料（chem-hj2-fe-oh3-jiaoti-zhibei-zhuyi）为“Fe(OH)3胶体制备的注意事项”
CHEMISTRY,判断下列实验过程是否正确,DELETE,,节点是“判断下列实验过程是否正确”纯指令；唯一绑定材料“检验试剂选择及用量是否正确”摘要亦为截断残片（“对检验试剂的要求是。”）
CHEMISTRY,看-气体-是否处于-标准状况-0-101kpa,RENAME,气体摩尔体积的适用条件,名为判断题干式整句；边界为“常温常压/室温”不能用标准状况气体摩尔体积求解，即22.4L·mol-1的适用条件
CHEMISTRY,d2o-h-h-d-h-t-h-三者中的中子数不同,RENAME,核素与同位素,名为“D2O：H（H）、D（H）、T（H）三者中的中子数不同；”残句；边界为16O2/17O2、35Cl/37Cl 的中子数差异
CHEMISTRY,计算下列小题中所含微粒数目,RENAME,物质所含微粒数目的计算,名为“计算下列小题中所含微粒数目：”指令；绑定材料为“混合物微粒数计算技巧”与“物质所含微粒数目的组成陷阱”
CHEMISTRY,02-1022个na-的物质的量为,KEEP,,内容即物质的量与粒子数、阿伏加德罗常数的换算（n＝N/NA）；与既有节点「物质的量、阿伏加德罗常数」重合，宜合并
CHEMISTRY,物质的量是高中化学常用的物理量-请完成以下有关计算-设na为阿伏加德罗常数的值,RENAME,以物质的量为中心的计算,名为题干式整句；边界为含H原子数/共价键物质的量/气体摩尔体积/转移电子数的计算
CHEMISTRY,2024-经典习题改编-按要求正确书写相关离子方程式,DELETE,,节点以“（2024·经典习题改编）”开头且为书写指令；唯一绑定材料标题为“（2024高三·全国·专题练习）通常人们把气”高考题干残片
CHEMISTRY,某溶液中可能含有下列阴离子-so-so-co-cl,DELETE,,节点是“某溶液中可能含有下列阴离子…。”题干；7条绑定材料均为“某溶液中可能含有Cl-、SO…”“向某溶液中加BaCl2溶液”等题干残片
CHEMISTRY,下列溶液中-离子一定能大量共存的有____________,RENAME,离子不能大量共存的常见类型,名为“下列溶液中，离子一定能大量共存的有____”题干；绑定材料为“离子不能大量共存的四大类型”“六类原因”等
CHEMISTRY,书写离子方程式应注意的问题,RENAME,离子方程式书写的注意事项,检测器按“书写”开头误判为题干；名字本身合格，仅改写为库内既有句式（如“竞争型离子方程式的书写”）以同时满足判据
CHEMISTRY,na2o2是一种常见的过氧化物-具有强氧化性和漂白性,KEEP,,内容为过氧化钠的强氧化性与漂白性；库内已有「过氧化钠」「Na2O2的性质及应用」等同物节点；改名会与既有名重复，宜合并
CHEMISTRY,金属钠与二氧化碳反应的实验步骤及现象如下表,RENAME,钠与二氧化碳的反应,名为“实验步骤及现象如下表：”题干；边界为钠与CO2反应的产物检验与化学方程式书写
CHEMISTRY,在fecl3-cucl2混合溶液中-加入铁粉与铜粉的混合物,RENAME,溶液中溶质成分的判断,名为整句；边界为铁粉铜粉加入FeCl3/CuCl2后一定存在与可能存在的阳离子判断；绑定材料含“溶液中溶质判断的三类情况”
CHEMISTRY,横向变化体现了同价态不同的类别-氧化物-碱-盐-物质之间的转化,RENAME,横向变化体现同价态不同类别的转化,名为整句；与既有节点「斜向变化体现不同价态、不同类别之间物质的转化」成对，同为价类二维图变化规律
CHEMISTRY,能源与科学-技术-社会密不可分-下列装置或过程能实现电能转化为化学能的是,RENAME,化学反应中的能量转化形式,名为STSE式题干；边界为判断装置/过程能否实现电能转化为化学能；绑定材料为“化学反应中能量转化的形式对应”
CHEMISTRY,下列事实不能说明元素的金属性或非金属性相对强弱的是,KEEP,,内容即金属性/非金属性强弱的判断依据；与既有节点「元素金属性强弱的判断」「元素非金属性强弱的判断」重合，宜合并
CHEMISTRY,比较下列微粒半径的大小-用-或-填空,KEEP,,内容即微粒半径大小比较；与既有节点「微粒半径大小比较」重合；改名会重名，宜合并
CHEMISTRY,某小组同学设计实验实现几种价态硫元素的转化,RENAME,价态硫转化的实验设计,名为“某小组同学设计实验实现几种价态硫元素的转化。”整句；边界与绑定材料为选用试剂实现价态硫转化的实验设计
CHEMISTRY,熟练掌握溶解-过滤-蒸发等操作-认识化学方法在物质分离和提纯中的重要作用,RENAME,物质分离提纯的常用方法,名为“熟练掌握溶解、过滤、蒸发等操作…”整句；绑定材料为过滤/蒸发结晶/分离提纯方法的要点
CHEMISTRY,本实验中加入试剂的顺序是什么-按照其他顺序加入试剂能否达到同样的目的,RENAME,实验操作目的与试剂的选择,名为两个问句；边界仅空白填空线；绑定材料为试剂保存/水浴目的/洗涤试剂/调pH等操作目的类
CHEMISTRY,在实验操作②中为什么依次加入的试剂都要略微过量-实验操作④中加入盐酸的目的是什么,RENAME,除杂原则与试剂作用分析,名为两个问句；边界仅空白填空线；绑定材料为除杂四原则/提高浸出率/试剂选择与作用
CHEMISTRY,粗盐水中加入氯化钡溶液使s沉淀而除去-如何检验s是否沉淀完全,RENAME,沉淀完全的检验方法,名为问句整句；绑定材料为“判断沉淀完全的方法”“检验沉淀是否洗涤干净的方法”
CHEMISTRY,nh3是中学化学中唯一的碱性气体-能使湿润的-色石蕊试纸变,RENAME,氨气与铵根离子的检验,名为教材整句（含填空空格）；边界含NH4Cl与Na[Al(OH)4]/NaNO2反应；绑定材料为NH4+的检验
CHEMISTRY,n2o-no和no2等氮氧化物是空气污染物-含有氮氧化物的尾气需处理后才能排放,RENAME,氮氧化物的污染与尾气处理,名为教材整句；绑定材料为“氮氧化物的污染与尾气处理”“氮氧化物尾气的常见处理方法”
CHEMISTRY,工业上制备的盐酸显黄色是因为溶有fe3-而浓hno3显黄色是因为溶有no2,RENAME,常见物质显色的原因分析,名为教材整句；边界为工业盐酸显黄（Fe3＋）与浓硝酸显黄（NO2）的原因；两条绑定材料疑错配
CHEMISTRY,浓盐酸和浓氨水反应有白烟生成-常用于hcl和nh3的相互检验,RENAME,浓氨水与浓盐酸的相互检验,名为教材整句；绑定材料为浓氨水加固体NaOH/CaO与氯气与磷白烟反应
CHEMISTRY,验证某无色气体为no的方法是向无色气体中通入o2-或空气-无色气体变为红棕色,RENAME,一氧化氮的检验与收集,名为整句；边界为通入O2变红棕色以验证NO；绑定材料含“气体收集方法与排液集气创新”“若NO、NO2、O2通入水中”
CHEMISTRY,应用氧化还原反应的原理实现不同价态含硫物质的转化,RENAME,不同价态含硫物质的转化,名为教材整句；边界仅“【实验步骤】”空壳；17条绑定材料横跨氧化还原/铁/滴定，宜复核后重绑
CHEMISTRY,写出除去下列气体中混有的杂质-括号内为杂质-可采取的方法,RENAME,除杂的试剂选择与操作方法,名为“写出除去下列气体中混有的杂质…：”题干；绑定材料为洗气/含铝杂质/Mg2+中除Fe2+/Cu2+中除Fe3+等
CHEMISTRY,写出除去下列固体粉末中混有杂质-括号内为杂质-可采取的方法-写出有关反应的方程式,RENAME,固体混合物的除杂方法,名为“写出除去下列固体粉末中混有杂质…”题干；边界为CaCO3(SiO2)等固体除杂；唯一绑定材料“盖斯定律求反应热的方法”疑错配
CHEMISTRY,请写出298-k-101-kpa时-下列反应的热化学方程式,KEEP,,内容即热化学方程式的书写；与既有节点「热化学方程式」重合；改名会重名，宜合并
CHEMISTRY,甲烷与氯气在光照条件下存在如下反应历程-表示电子,RENAME,甲烷的取代反应,名为“反应历程如下：”题干；边界为Cl2光照下自由基链式取代历程；绑定材料为甲烷取代产物特征
CHEMISTRY,催化剂-催化剂同等程度改变正逆反应速率-不影响平衡移动,RENAME,催化剂对速率与平衡的影响,名为整句；边界实为平衡移动易错辨析（增大反应物量/压缩体积/升温/催化剂）；绑定材料为催化剂与活化能
CHEMISTRY,工业上常用甲烷-水蒸气重整制备氢气-体系中发生如下反应,RENAME,提高平衡转化率的措施,名为“体系中发生如下反应。”题干；边界为判断能提高CH4平衡转化率的操作（甲烷水蒸气重整）
CHEMISTRY,甲烷作燃料电池的负极反应物时-其电极反应式在不同的介质中有不同的写法,RENAME,燃料电池电极反应式的书写,名为整句；绑定材料为“燃料电池电极反应式的书写”“燃料电池电极反应随介质变化”
CHEMISTRY,o2作为原电池的正极反应物时-其电极反应在不同的介质中有不同的写法,RENAME,氧气的电极反应式书写,名为整句；边界为O2在不同介质中作正极的电极反应写法；绑定材料含钢铁的析氢与吸氧腐蚀
CHEMISTRY,利用nh3的还原性可以消除氮氧化物的污染-其中除去no的主要反应如下,RENAME,氨气还原氮氧化物,名为“除去NO的主要反应如下：”题干；边界实为速率方程与平衡常数计算（求x、y），名称与边界不符，宜复核
CHEMISTRY,下列各组物质中化学键的类型和化合物的类型都相同的是,KEEP,,内容即化学键类型与化合物类型的判断；与既有节点「化学键与物质的类别」（离子化合物与共价化合物；化学键类型与物质类别的判断）重合，宜合并
CHEMISTRY,判断下列物质中心原子的杂化方式,KEEP,,内容即由价层电子对数判断中心原子杂化类型；与既有节点「中心原子杂化类型的判断」重合，宜合并
CHEMISTRY,1-比较下列分子或离子中的键角大小-填-或,KEEP,,内容即键角大小比较；与既有节点「键角大小的比较」重合；改名会重名，宜合并
CHEMISTRY,下列化学用语正确的有___________,RENAME,化学用语的正误判断,名为“下列化学用语正确的有____”题干；唯一绑定材料为“化学用语题的三步审答流程”
CHEMISTRY,下列物质的性质变化与范德华力有关的是,KEEP,,内容即范德华力对熔沸点的影响；与既有节点「范德华力」重合；改名会重名，宜合并
CHEMISTRY,下列离子的中心原子的杂化方式与其他三种不同的是,KEEP,,内容即中心原子杂化方式判断（与第78条同物）；与既有节点「中心原子杂化类型的判断」重合，宜合并
CHEMISTRY,下列措施可以增大化学反应速率的是________-填序号,KEEP,,内容即影响化学反应速率的因素与措施；与既有节点「影响化学反应速率的因素」重合；改名会重名，宜合并
CHEMISTRY,书写下列化学反应的平衡常数表达式,RENAME,平衡常数表达式的书写,名为“书写下列化学反应的平衡常数表达式。”题干式；绑定材料为“平衡常数表达式中不写入的物种与K的关系式”
CHEMISTRY,聚苯乙烯是一类重要的高分子材料-可通过苯乙烯聚合制得,KEEP,,内容即苯乙烯加聚；与既有节点「聚合反应」重合；且边界实为乙苯脱氢平衡转化率计算（名与边界不符），宜合并后复核材料
CHEMISTRY,按官能团的不同可以对有机物进行分类-请指出下列有机物所属的类别,KEEP,,内容即按官能团对有机物分类与官能团识别；与既有节点「有机物的分类和官能团的识别」「依据官能团分类」重合，宜合并
CHEMISTRY,下列有机物分子中所有原子一定在同一平面内的是,KEEP,,内容即有机物分子中原子共线共面的判断；与既有节点「有机化合物的共面共线的判断」重合，宜合并
CHEMISTRY,有机物g-是一种调香香精-也可用作抗氧化剂-工业合成路线之一如下,KEEP,,内容即有机合成路线推断（检测器另按“()”判公式被剥离）；与既有节点「有机合成路线的推断方法」重合，宜合并
CHEMISTRY,1-按系统命名法对下列有机物进行命名,RENAME,有机物的系统命名法,名为“(1)按系统命名法对下列有机物进行命名：”题干；绑定材料为“有机物的系统命名法”“烷烃的系统命名法”
CHEMISTRY,部分弱酸的电离常数如下表,RENAME,利用电离常数比较酸性强弱,名为“部分弱酸的电离常数如下表：”题干；边界为按Ka比较酸性强弱与结合H＋能力
CHEMISTRY,难溶电解质的ksp数值越小-表明在水中的溶解能力就越弱-这种说法对吗,RENAME,由Ksp比较溶解能力的前提,名为“…这种说法对吗？”问句；绑定材料为“由Ksp比较溶解能力的前提（同类型）”
CHEMISTRY,在饱和溶液中加入少量的溶液产生沉淀-若以ksp表示的溶度积常数-则平衡后溶液中,RENAME,沉淀转化方向的判断,名为截断题面（止于“则平衡后溶液中”）；绑定材料为“沉淀转化方向：Ksp大的沉淀转化为Ksp小的沉淀”等
CHEMISTRY,1-判断下列溶液的酸碱性-用-酸性-碱性-中性-或-不确定-填空,KEEP,,内容即溶液酸碱性的判断依据（pH与温度、c(H＋)与c(OH－)比较）；与既有节点「溶液的酸碱性」重合，宜合并
CHEMISTRY,0-1-mol-l-1的na2co3溶液中各粒子浓度的关系,RENAME,溶液中粒子浓度的大小关系,名为“0.1 mol·L－1的Na2CO3溶液中各粒子浓度的关系：”题干；边界为大小关系与物料/电荷/质子守恒
CHEMISTRY,0-1-mol-l-1的-nh4-2so4溶液中各粒子浓度的关系,RENAME,溶液中粒子浓度的守恒关系,名为“0.1 mol·L－1的(NH4)2SO4溶液中各粒子浓度的关系：”题干；与上一条内容重叠，建议后续合并
CHEMISTRY,书写盐类水解离子方程式的注意事项,KEEP,,内容即盐类水解离子方程式书写的原则与特例；与既有节点「盐类水解离子方程式的书写」重合，宜合并
CHEMISTRY,下列各图为几种晶体或晶胞的构型示意图,RENAME,晶体类型与晶胞构型的判断,名为“下列各图为几种晶体或晶胞的构型示意图。”题干；边界为晶体类型/熔点高低/晶格能判断
CHEMISTRY,为了测定某卤代烃分子中所含有的卤素原子种类-可按下列步骤进行实验,RENAME,卤代烃中卤素原子的检验,名为“为了测定…可按下列步骤进行实验：”题干；绑定材料为“卤代烃中卤素原子的检验流程”
CHEMISTRY,1-写出以乙醇为原料制备的化学方程式-无机试剂任选-并注明反应类型,RENAME,乙醇的性质与转化,名为“(1)写出以乙醇为原料制备的化学方程式…”题干；绑定材料为乙醇与钠反应、官能团鉴定，其中“有机试剂萃取”等疑错配
CHEMISTRY,1-mol某醛和足量的银氨溶液反应-析出432-g-ag-则该醛不可能为,KEEP,,内容即醛与银氨溶液反应的定量计算；与既有节点「有关醛的定量计算」重合，宜合并
CHEMISTRY,中学化学中常见的既能与盐酸反应-又能与naoh溶液反应的物质,RENAME,既能与盐酸又能与NaOH反应的物质,名为教材整句（含冒号）；边界为Al/Al2O3/Al(OH)3/多元弱酸酸式盐/弱酸铵盐/氨基酸清单；库内无同名节点
BIOLOGY,dna-rna-蛋白质等的水解产物和氧化产物-归纳总结,RENAME,有机物的水解与氧化分解产物,名为“…（归纳总结）”长句；边界为DNA/RNA/蛋白质/淀粉/脂 的初步水解、彻底水解与氧化分解产物对比表
BIOLOGY,组-反应物-酶1溶液反应物被分解,RENAME,酶相关实验的易错辨析,名为“组：反应物＋酶1溶液反应物被分解。”表格行残片；边界为酶实验易错辨析（酶保存条件/温度实验顺序/酶与激素本质）
BIOLOGY,技巧-实验数据-与-9-3-3-1及其变式-间的转化方法,RENAME,“9∶3∶3∶1”及其变式的转化方法,名为机械改名造出的残句；fix_bad_names.py 表内既定目标即““9∶3∶3∶1”及其变式的转化方法”，绑定材料为各类变式分离比
