node_slug,type,title,summary,applicability,content,boundary,note
反应热大小的比较,METHOD_MODEL,比较反应热大小的四步分析法,从能量变化、物质状态、反应程度、反应关系四个角度比较ΔH的大小，必要时借助能量图,反应热大小比较类选择题的判断,①一看能量变化：看反应是吸热还是放热。吸热反应ΔH>0，放热反应ΔH<0，故ΔH的大小关系为吸热反应>放热反应。②二看物质状态：若两个反应仅是物质状态不同，可写出不同状态之间的转化式，利用盖斯定律找出相应ΔH的关系。如已知2H₂(g)+O₂(g)===2H₂O(g) ΔH₁和2H₂(g)+O₂(g)===2H₂O(l) ΔH₂，可写出H₂O(l)===H₂O(g) ΔH₃，则ΔH₁=ΔH₂+2ΔH₃，已知汽化吸热ΔH₃>0，故ΔH₁>ΔH₂。③三看反应程度：同一可燃物完全燃烧比不完全燃烧放出的热量更多，ΔH更小。④四看反应关系：找出多个反应之间的关系，用盖斯定律比较。⑤对物质状态不同的反应，也可画出能量图，由图比较ΔH的大小。,ΔH为负值时放热越多ΔH越小，不能按绝对值直接比较,五三化学精讲册 P0065（书内页码 63）
催化剂与反应历程,REPRESENTATION_GUIDE,反应历程曲线图与能垒图分析,由始态终态能量高低判断吸放热，由活化能最大的步骤判断决速步，催化剂降低活化能但不改变ΔH,反应历程图像分析及决速步与活化能判断,①曲线图中通过始态与终态的能量高低可以判断反应是吸热还是放热。②若有多步反应，活化能最大的那一步是决速步，即决定整个反应速率的步骤。③通过能量高低判断物质稳定性时，能量越低物质越稳定。④无催化剂时E₁为正反应的活化能、E₂为逆反应的活化能，E₁-E₂为此反应的焓变ΔH；有催化剂时总反应分成两个反应步骤，反应①的产物为总反应的中间产物，催化剂的作用是降低活化能，但不改变ΔH，反应是放热还是吸热取决于起点（反应物）能量和终点（生成物）能量的相对大小。⑤能垒图中，过渡态左侧相邻物质爬坡至过渡态所需的能量即为能垒，最大能垒对应的步骤即为决速步。⑥过渡态处在能量最高点、不能分离，中间产物可稳定存在而区别于过渡态。,催化剂只降低活化能，不能改变ΔH与平衡转化率,五三化学精讲册 P0066（书内页码 64）
电极反应式,METHOD_MODEL,电极反应式书写的四步法,按确定电极反应物和产物、确定得失电子数、配电荷守恒、配原子守恒四步书写，燃料电池先写总反应再写正极,原电池与燃料电池电极反应式的书写与判断,①第一步确定电极反应物和产物：根据题给信息（装置图或总反应式等）判断正、负极，列出电极上的反应物和产物。②第二步确定得、失电子数：根据元素化合价的变化列出得、失电子的数目。③第三步配电荷守恒：根据环境补离子，酸性溶液选H⁺，碱性溶液选OH⁻，熔融氧化物选O²⁻，熔融碳酸盐选CO₃²⁻，锂电池选Li⁺。④第四步配原子守恒：利用原子守恒配平其他物质，有时需补上H₂O。⑤燃料电池先写出总反应式（与燃烧反应一致，若产物能与电解质反应则以最终生成的物质为准），再写正极反应式。⑥注意：碱性溶液中不可能有CO₂、H⁺生成，酸性溶液中不可能有NH₃、OH⁻生成；两式相加得总反应式时应先调整化学计量数使得失电子数目相等。,配电荷守恒必须结合介质环境，不能随意补H⁺或OH⁻,五三化学精讲册 P0073（书内页码 71）
自发反应,CONCEPT_EXPLANATION,化学反应方向的判据与判断,放热和熵增都有自发进行的倾向，但都不能单独作为判据；用ΔG=ΔH-TΔS判断反应能否自发进行,判断反应自发性的正误及温度对反应方向的影响,①焓判据：放热过程中体系能量降低，ΔH<0，具有自发进行的倾向，但有些吸热反应也可以自发进行，故焓变只是影响反应方向的一种因素。②熵判据：同种物质熵值大小的顺序为气态>液态>固态；体系的混乱度增加即熵增，ΔS>0，反应有自发进行的倾向，但有些熵减过程也能自发进行。③复合判据：ΔG=ΔH-TΔS，ΔG<0时反应能自发进行，ΔG=0时反应达到平衡状态，ΔG>0时反应不能自发进行。④ΔH<0且ΔS>0时ΔG永远为负值，任何温度下均能自发进行；ΔH>0且ΔS<0时ΔG永远为正值，任何温度下均不能自发进行。⑤ΔH>0且ΔS>0时低温下不能自发、高温下能自发；ΔH<0且ΔS<0时低温下能自发、高温下不能自发。,吸热或熵减的反应也可能自发，单一判据不能直接下结论,五三化学精讲册 P0090（书内页码 87）
沉淀溶解平衡的应用,CONCEPT_EXPLANATION,沉淀的生成、溶解、转化与Ksp应用,用Q与Ksp的大小关系判断沉淀的生成、溶解与转化；由Ksp可计算沉淀某离子所需的pH范围,除杂与沉淀转化分析及沉淀完全时pH范围计算,①沉淀的生成：溶液中Q>Ksp时生成沉淀，常用加沉淀剂法（如用Na₂S、H₂S等使Cu²⁺、Hg²⁺等生成极难溶的硫化物CuS、HgS）和调节pH法（如除去CuCl₂溶液中的FeCl₃，可加入CuO或Cu(OH)₂消耗H⁺，使Fe³⁺+3H₂O⇌Fe(OH)₃+3H⁺平衡正向移动）。②注意：用沉淀法不可能将杂质离子全部除去，一般认为残留在溶液中的离子浓度小于1×10⁻⁵ mol·L⁻¹时沉淀完全。③沉淀的溶解：Q<Ksp时沉淀溶解，常用酸碱溶解法、氧化还原法、生成配合物法、盐溶解法。④沉淀的转化：难溶电解质类型相同时，Ksp较大的沉淀易转化为Ksp较小的沉淀。⑤Ksp的应用：根据沉淀的先后次序比较Ksp的大小；由Ksp计算沉淀某离子所需的pH范围，如Al³⁺恰好完全沉淀时c(Al³⁺)=10⁻⁵ mol·L⁻¹，由Ksp[Al(OH)₃]=1×10⁻³³可求出此时pH=4.7。,沉淀转化并非只向溶解度小的方向进行，条件改变时也能反向转化,五三化学精讲册 P0106（书内页码 103）
滴定曲线,METHOD_MODEL,中和滴定图像特殊点的分析,解离子平衡图像先明确坐标轴意义，再看曲线变化趋势，最后抓起点、反应一半点、中性点、恰好中和点与过量点,酸碱中和滴定曲线及离子浓度关系判断,①解题策略：先明确坐标轴的意义，再看曲线的变化趋势，最后抓特殊点。②起点：可定性或定量判断酸、碱的相对强弱，如0.1 mol·L⁻¹ HA溶液的pH>1，说明HA为弱酸。③反应一半点：溶质为NaA和HA且n(NaA)=n(HA)，此时溶液pH<7，离子浓度关系为c(A⁻)>c(Na⁺)>c(H⁺)>c(OH⁻)。④中性点：溶质为NaA和少量HA，此时pH=7，c(Na⁺)=c(A⁻)>c(H⁺)=c(OH⁻)。⑤恰好中和点：溶质为NaA，此时pH>7，c(Na⁺)>c(A⁻)>c(OH⁻)>c(H⁺)。⑥过量一倍点：溶质为NaA和NaOH且n(NaA)=n(NaOH)，c(Na⁺)>c(OH⁻)>c(A⁻)>c(H⁺)。⑦沉淀溶解平衡图像中，曲线上任意一点的Q=Ksp，曲线上方的点Q>Ksp有沉淀析出，曲线下方的点Q<Ksp无沉淀析出。,恰好中和时溶液不一定呈中性，此时离子浓度顺序由盐的性质决定,五三化学精讲册 P0109（书内页码 106）
物质检验,METHOD_MODEL,常见离子检验与干扰排除,离子检验用沉淀法、气体法、显色法；检验混合体系时先检验干扰性气体、除尽后再检验目标微粒,离子检验方案设计及干扰因素排除,①气体检验中干扰因素的排除：一般方法是检验干扰性气体→除去干扰性气体→确认干扰性气体已经除尽→检验其余气体。②沉淀法：Cl⁻、Br⁻、I⁻用AgNO₃溶液和稀硝酸，分别生成白色AgCl、浅黄色AgBr、黄色AgI沉淀；SO₄²⁻用稀盐酸和BaCl₂溶液生成白色沉淀；Fe²⁺用K₃[Fe(CN)₆]溶液生成蓝色沉淀；Al³⁺用NaOH溶液先生成白色沉淀后溶解。③气体法：NH₄⁺用浓NaOH溶液加热，产生能使湿润红色石蕊试纸变蓝的气体；CO₃²⁻、SO₃²⁻用稀硫酸和品红溶液检验。④显色法：Br⁻、I⁻用氯水和CCl₄萃取分层显色；Fe³⁺用KSCN溶液变红或苯酚溶液显紫色；Na⁺、K⁺用焰色试验，K⁺的焰色要透过蓝色钴玻璃观察。⑤干扰排除：Cl⁻的干扰离子SO₄²⁻加过量Ba(NO₃)₂溶液除去，CO₃²⁻、OH⁻加稀硝酸酸化；SO₄²⁻的干扰离子CO₃²⁻、SO₃²⁻加盐酸酸化。,检验前必须除尽干扰离子，否则现象相同会得出错误结论,五三化学精讲册 P0143（书内页码 140）
分离提纯,METHOD_MODEL,分离提纯的原则与物理方法,分离提纯遵循不增、不减、易分离、易复原四原则和四必须；过滤、蒸发结晶、冷却结晶、萃取分液各有操作要点,物质分离提纯方案设计与操作正误判断,①分离是把混合物中各组分分开以获得多种纯净物；提纯是除去杂质得到目标物质，又叫净化或除杂。②四原则：不增（不增加新杂质）、不减（不减少被提纯的物质）、易分离、易复原（被提纯物质若发生转化要易复原）。③四必须：除杂试剂必须过量、过量试剂必须除尽、必须选最佳除杂途径、除去多种杂质时必须考虑加入试剂的顺序。④过滤适用于不溶性固体与液体的分离，要点为“一贴、二低、三靠”，沉淀要洗涤。⑤蒸发结晶适用于溶解度随温度升高变化不大的物质，蒸发时不断搅拌、最后用余热蒸干，液体体积不超过蒸发皿容积的2/3；冷却结晶适用于溶解度随温度升高明显增大的物质，操作包括加热浓缩、冷却结晶、过滤、洗涤、干燥。⑥萃取剂选择：溶质在萃取剂中溶解度大、溶剂与萃取剂互不相溶、溶质不与萃取剂反应；分液时下层液体从下口流出，上层液体从上口倒出。,除杂试剂过量后必须除尽，加入试剂的顺序会影响除杂效果,五三化学精讲册 P0144（书内页码 141）
蒸馏,CONCEPT_EXPLANATION,蒸馏、升华与重结晶操作要点,蒸馏时温度计水银球位于支管口、冷凝水逆流、烧瓶加沸石；重结晶按加热溶解到干燥的步骤操作,物质分离操作中仪器使用与操作规范的判断,①升华：用于分离含易升华组分的混合物。②蒸馏：用于分离互溶且沸点有一定差距的液体，一般相差30 ℃及以上；温度计的水银球位于蒸馏烧瓶的支管口处；蒸馏烧瓶内要加沸石或碎瓷片，防止暴沸；冷凝管水流方向为下口进、上口出。③洗气：利用溶解性不同除去气体中的杂质气体，也可利用化学反应除杂，长管进气、短管出气；如Cl₂中混HCl用饱和食盐水、CO₂中混SO₂用饱和碳酸氢钠溶液、CO中混CO₂用碱石灰。④渗析：用于分离胶体与溶液。⑤重结晶：操作步骤为加热溶解→趁热过滤→冷却结晶→过滤、洗涤、干燥；选择溶剂时要求杂质在此溶剂中的溶解度很大或很小，被提纯物质在此溶剂中的溶解度受温度影响较大，便于冷却结晶。⑥干燥剂的选择：酸性干燥剂不能干燥碱性气体，碱性干燥剂不能干燥酸性气体，强氧化性干燥剂不能干燥还原性气体，浓硫酸可干燥H₂和SO₂，无水CaCl₂不能干燥NH₃。,温度计位置与冷凝水流向是蒸馏装置的高频易错点,五三化学精讲册 P0145（书内页码 142）
实验方案设计,METHOD_MODEL,制备实验的思维模型与方案评价,制备实验按制备、分离提纯、验纯、测纯、精纯五个环节设计；方案从科学性、绿色化学、安全性、规范性评价,制备实验方案设计及方案评价类简答题,①制备实验思维模型：制备环节（反应装置选取、条件控制如控温与调节pH）；分离提纯环节（方法选择、仪器名称用法、操作注意事项、具体做法的目的）；验纯环节（针对杂质取样、溶解、加检验试剂、观察现象、得出结论）；测纯环节（针对产品设计纯度测定方案）；精纯环节（方法选择与实验方案设计）。②注意：反应物或生成物易与空气中成分反应时，反应前应先将装置内空气排尽；制备易吸水或易水解的物质时，应在制备或收集装置后接干燥装置；吸收溶解度大的气体应加防倒吸装置。③方案评价视角：科学性、可行性（原理是否可行、操作是否安全合理、步骤是否简单、速率是否合适、效果是否明显）；绿色化学（原料是否易得安全无毒、利用率与产率是否高、有无污染）；安全性（防倒吸、防爆炸、防氧化、防吸水）；规范性（减少易挥发反应物损失可加冷凝回流装置、仪器拆卸与组装顺序相反、操作与加试剂顺序等）。,易与空气成分反应或易水解的物质，装置连接必须考虑排空气与末端干燥,五三化学精讲册 P0147（书内页码 144）
气体制备,METHOD_MODEL,气体的净化、干燥与收集方法,气体制备装置按发生、净化、干燥、收集、尾气处理的顺序连接；干燥剂与收集方法由气体的性质决定,气体制备与除杂装置的选择及连接顺序判断,①气体制备的装置连接顺序：气体发生装置→气体净化装置→气体干燥装置→气体收集装置→尾气处理装置。②发生装置依据反应物状态和反应条件选择：固体加热型制O₂、NH₃等；固体加液体型制H₂、CO₂、C₂H₂等；固体加液体加热型制Cl₂、C₂H₄等，制C₂H₄需控温170 ℃。③净化：根据除杂试剂的性质和状态可选择洗气瓶、球形干燥管、U形管、硬质玻璃管等。④干燥：干燥剂只能吸水且不能与气体反应，酸性干燥剂不能干燥碱性气体，碱性干燥剂不能干燥酸性气体，强氧化性干燥剂不能干燥还原性气体。⑤收集方法：排水法用于不易溶于水且不与水反应的气体，如O₂、H₂、NO；Cl₂可用排饱和食盐水法收集；密度比空气大的用向上排空气法，如O₂、CO₂、Cl₂、SO₂；密度比空气小的用向下排空气法，如H₂、NH₃；与空气密度接近的不用排空气法，如CO、N₂。⑥尾气处理：根据尾气性质选择合适试剂处理并注意防倒吸。,无水氯化钙不能干燥氨气，浓硫酸不能干燥氨气等碱性气体,五三化学精讲册 P0148（书内页码 145）
现象描述答题模板,METHOD_MODEL,实验操作与现象描述的规范表述,滴定终点判断、沉淀洗涤、分液操作都有固定表述；实验设计按操作、现象、结论的顺序作答,实验简答题的规范表述与采分点书写,①证明沉淀完全：静置，取沉淀后的上层清液，加入××试剂，若没有沉淀生成，说明沉淀完全。②沉淀洗涤：目的是除去沉淀表面附着或包夹的可溶性离子；操作是沿玻璃棒将洗涤剂注入过滤器中至浸没沉淀，静置，让其自然流出，重复2至3次；判断洗净的方法是取少量最后一次洗涤液，滴加××试剂，若不出现对应现象即已洗净。③分液操作：关闭活塞，将混合液倒入分液漏斗，右手心顶住塞子、左手握住活塞，斜向上倒置并充分振荡后放气，再静置分层；先打开上口塞子再打开活塞，下层液体从下口沿烧杯内壁流下，上层液体从上口倒出。④判断滴定终点：当加入最后半滴标准溶液后，溶液由某色刚好变为另一色，且半分钟内不变色。⑤实验设计类表述按操作→现象→结论的顺序，模板为取样、加入××→有××生成→说明××。⑥现象描述要准确全面：溶液颜色由××变成××、液面上升或下降、变浑浊、生成××沉淀、发生倒吸、产生大量气泡、有气体逸出等。,滴定终点必须写“半分钟内不变色”，否则答案不完整,五三化学精讲册 P0152（书内页码 149）
