node_slug,type,title,summary,applicability,content,boundary,note
等效平衡,CONCEPT_EXPLANATION,等效平衡的含义与三类判断思路,恒温恒容气体分子数改变与不变、恒温恒压三种情形下判断平衡是否等效,等效平衡的判断,①含义：在一定条件（恒温恒容或恒温恒压）下，以不同投料方式进行同一可逆反应，达到平衡时同种物质的百分含量（质量分数、物质的量分数等）相同，这样的平衡互称等效平衡。②恒温恒容、反应前后气体分子数改变时：只改变起始投料时，若换算成化学方程式中同一半边的物质后对应物质的物质的量相同，则平衡等效；如2SO₂(g)+O₂(g)⇌2SO₃(g)中，2 mol SO₂与1 mol O₂的投料和2 mol SO₃的投料完全等效，4 mol SO₃的投料不等效。③恒温恒容、反应前后气体分子数不变时：换算成同一半边后对应组分的物质的量之比相同即等效，如H₂(g)+I₂(g)⇌2HI(g)中1 mol H₂、1 mol I₂与2 mol H₂、2 mol I₂的投料等效。④恒温恒压下：换算成同一半边后对应组分的物质的量之比相同则等效，此时各物质的百分含量相同，但浓度、物质的量、密度、压强均成比例而不相同。,恒温恒容时气体分子数不变的反应看物质的量之比，分子数改变的反应看对应物质的物质的量相同；等效不代表各量都相等。,五三化学精讲册 P84
化学平衡常数,CONCEPT_EXPLANATION,化学平衡常数的表达式意义与应用,K的表达式、与化学方程式的关系、影响因素以及用浓度商Q判断反应方向与热效应,平衡常数的书写与应用,①表达式：对于mA(g)+nB(g)⇌pC(g)+qD(g)，K=c^p(C)·c^q(D)/[c^m(A)·c^n(B)]；固体和纯液体的浓度视为常数，不计入平衡常数表达式。②与化学方程式的关系：相同温度下正、逆反应的平衡常数互为倒数，即K正=1/K逆；化学方程式乘以系数n，平衡常数变为原来的n次方，即K₂=K₁ⁿ；反应1与反应2相加得反应3，则K₃=K₁·K₂；反应1减去反应2得反应3，则K₃=K₁/K₂。③意义及影响因素：K越大，反应物的转化率越大，正反应进行的程度越大；K只受温度的影响。④应用：判断可逆反应进行的程度；判断反应进行的方向，任意时刻生成物浓度幂之积与反应物浓度幂之积的比值称为浓度商Q，Q<K时向正反应方向进行（v正>v逆），Q=K时处于平衡状态，Q>K时向逆反应方向进行（v正<v逆）；判断热效应，升温后K值增大则正反应为吸热反应，K值减小则正反应为放热反应。,K只与温度有关；固体、纯液体不写入表达式；方程式系数倍数与加减都要相应换算K。,五三化学精讲册 P86
速率常数和速率方程,CONCEPT_EXPLANATION,速率常数速率方程与平衡常数的关系,基元反应与复杂反应的速率方程、速率常数的影响因素及k正/k逆=K的推导,速率方程的书写与速率常数计算,①基元反应是大多数化学反应分步完成中的每一步；基元反应aA(g)+bB(g)=cC(g)+dD(g)的速率可表示为v=kc^a(A)·c^b(B)，式中的k称为反应速率常数，k与浓度无关，但受温度、催化剂、固体表面性质等因素的影响。②基元反应的速率方程：v正=k正·c^a(A)·c^b(B)，v逆=k逆·c^c(C)·c^d(D)；基元反应的反应速率与反应物浓度以其化学计量数为指数的幂的乘积成正比。③复杂反应的速率方程由最慢的基元反应决定，如第一步A₂→2A·为慢反应、第二步2A·+B→A₂B为快反应，则总反应的速率方程为v=kc(A₂)，而不是v=kc(A₂)·c(B)。④速率常数与平衡常数的关系：基元反应平衡时v正=v逆，即k正·c^a(A)·c^b(B)=k逆·c^c(C)·c^d(D)，则k正/k逆=c^c(C)·c^d(D)/[c^a(A)·c^b(B)]=K。,复杂反应的速率方程由最慢的基元反应（决速步）决定，不能按总反应方程式直接写出；k与浓度无关。,五三化学精讲册 P89
含量-或转化率-时间-温度-压强-图像,METHOD_MODEL,速率与平衡图像的识图方法与规则,三看一判断识图方法、速率时间图像的断点分析与先拐先平、定一议二两条规则,速率与平衡图像的分析,①识图方法三看一判断：一看面，看清横、纵坐标表示的物理量；二看线，看曲线的变化趋势，有时需作等温线、等压线等辅助线；三看点，分析曲线上点的意义，特别是特殊点（起点、终点、交点、极值点）；作判断，结合反应特征（吸放热、气体分子数变化）作出结论。②速率—时间图像要注意断点：以A(g)+B(g)⇌C(g) ΔH>0为例，t₁时增大反应物浓度，正反应速率瞬间增大然后逐渐减小、逆反应速率逐渐增大；t₂时升高温度，正、逆反应速率均增大且正反应速率增大更多；t₃时减小压强，正、逆反应速率均减小且逆反应速率减小更少；t₄时使用催化剂，正、逆反应速率均瞬间增大且程度相同。③含量—时间—温度（压强）图像遵循先拐先平、数值大的原则：先出现拐点的先达到平衡、反应速率较大，表明温度较高或压强较大或使用了催化剂。④含恒温（压）线的图像遵循定一议二原则：先假设一个自变量不变，再讨论另一个自变量对因变量的影响。,先拐先平表示该曲线对应的温度更高或压强更大；作等温线或等压线时不要漏掉辅助线。,五三化学精讲册 P92
弱电解质的电离平衡,CONCEPT_EXPLANATION,弱电解质的电离平衡与外界条件影响,弱电解质的电离特点、外界因素对电离平衡的影响及醋酸溶液的条件变化分析,电离平衡移动方向的判断,①弱电解质（弱酸、弱碱、水、极少数盐）在水中不完全电离，溶液中分子与电离出的阴、阳离子共存。②外界因素对电离平衡的影响：升温（电离吸热）平衡正向移动、电离度增大；加水稀释平衡正向移动、电离度增大；加入同一弱电解质使浓度增大，平衡正向移动但电离度减小；加入含相同离子的强电解质（同离子效应）平衡逆向移动、电离度减小；加入能与电离出的离子反应的物质平衡正向移动、电离度增大。③以CH₃COOH⇌CH₃COO⁻+H⁺为例：升温平衡右移、电离程度增大、c(H⁺)增大、导电性增强；加水稀释平衡右移、电离程度增大、c(H⁺)减小、导电性减弱；加少量冰醋酸平衡右移、电离程度减小、c(H⁺)增大、导电性增强；加少量浓盐酸或CH₃COONa平衡左移、电离程度减小、c(H⁺)减小、导电性增强；加少量NaOH平衡右移、电离程度增大、c(H⁺)减小、导电性增强。,电离平衡正向移动时电离程度不一定增大，如加入少量冰醋酸时电离度减小；导电能力取决于自由移动离子的浓度和离子所带电荷数。,五三化学精讲册 P98
判断弱酸的三种方法,METHOD_MODEL,判断一元酸为弱酸的实验方法与结论,由pH、稀释后pH变化、中和碱的用量及与锌反应的速率等实验事实判断弱酸,强酸与弱酸的实验判断,①测0.1 mol·L⁻¹的HA溶液的pH：若pH>1，则HA为弱酸。②测相同体积、相同pH的HA溶液和盐酸稀释相同倍数前后的pH变化：若HA溶液的pH变化比盐酸的小，则HA为弱酸。③测等体积、等pH的HA溶液和盐酸分别中和NaOH：若HA溶液消耗NaOH更多，则HA为弱酸。④测等体积、等物质的量浓度的HA溶液和盐酸分别与颗粒大小相同的锌粒反应：若HA溶液与锌粒反应更慢，则HA为弱酸。⑤其他事实：室温下NaR溶液的pH大于7；加热HR溶液时溶液的pH变小；0.01 mol·L⁻¹ HR溶液的pH=2.8；HR溶液中加少量NaR固体后pH变大，均可说明HR为弱酸。,等pH、等体积的强酸与弱酸中和碱的能力不同，弱酸消耗的碱更多；稀释相同倍数时弱酸的pH变化更小。,五三化学精讲册 P100
水的电离,CONCEPT_EXPLANATION,水的电离与水的离子积常数,水的电离方程式、Kw的含义与影响因素以及温度酸碱盐对水电离平衡的影响,水的电离平衡与Kw的应用,①水的电离平衡：H₂O⇌H⁺+OH⁻（或2H₂O⇌H₃O⁺+OH⁻）。②水的离子积常数：常温下Kw=c(H⁺)·c(OH⁻)=1×10⁻¹⁴；只与温度有关，升高温度Kw增大；不仅适用于纯水，也适用于稀的电解质水溶液。③影响水的电离平衡的因素：温度升高促进水的电离、平衡右移；加酸或加碱会抑制水的电离、平衡左移；加能水解的盐促进水的电离、平衡右移。④条件变化的具体规律：升高温度时平衡右移，c(H⁺)增大、c(OH⁻)增大，pH减小，呈中性，Kw增大；加酸时平衡左移，c(H⁺)增大、c(OH⁻)减小，pH减小，呈酸性，Kw不变；加碱时平衡左移，c(H⁺)减小、c(OH⁻)增大，pH增大，呈碱性，Kw不变；加入Na₂CO₃或Na时平衡右移，c(H⁺)减小、c(OH⁻)增大，pH增大，呈碱性，Kw不变；加入NH₄Cl时平衡右移，c(H⁺)增大、c(OH⁻)减小，pH减小，呈酸性，Kw不变。,Kw只与温度有关，加酸碱盐改变的是c(H⁺)与c(OH⁻)而不是Kw；注意水电离出的c(H⁺)与溶液中总c(H⁺)的区别。,五三化学精讲册 P100
有关ph计算的一般思维模型,METHOD_MODEL,溶液pH计算的思维模型与pH测定,pH的定义与测定方法以及酸碱稀释混合时先求c(H⁺)或c(OH⁻)的计算思路,溶液pH的计算与测定,①溶液的酸碱性（25 ℃）：pH<7为酸性且c(H⁺)>c(OH⁻)，pH=7为中性且c(H⁺)=c(OH⁻)，pH>7为碱性且c(H⁺)<c(OH⁻)。②溶液的pH：pH=－lg c(H⁺)；适用于稀溶液，pH=0～14；相同温度下pH越小酸性越强。③测量方法：pH试纸法是用镊子取干燥的pH试纸放在洁净干燥的玻璃片上，用玻璃棒蘸取待测液滴在试纸中央，变色后与标准比色卡对照读数；也可用pH计测量。④注意事项：测溶液pH时不能事先用水润湿pH试纸；广泛pH试纸只能读取整数值或范围；不能用pH试纸测定有漂白性的溶液，如氯水和次氯酸钠溶液。⑤pH计算的一般思维模型：酸的稀释、酸与酸混合先求最终溶液中的n(H⁺)，再求c(H⁺)；碱的稀释、碱与碱及酸与碱混合需先判断最终溶液的酸碱性，碱性时先求n(OH⁻)，再根据Kw求出c(H⁺)，最后按pH=－lg c(H⁺)求算。,酸碱混合要先判断过量的是酸还是碱；碱溶液必须先算c(OH⁻)再换算c(H⁺)，不能直接求n(H⁺)。,五三化学精讲册 P101
滴定操作,METHOD_MODEL,酸碱中和滴定的操作与终点判断,滴定管与指示剂的选择、滴定前的准备与滴定操作要点、终点判断与数据处理,中和滴定的操作与终点判断,①仪器：酸式滴定管、碱式滴定管、滴定管夹、铁架台、烧杯、锥形瓶；滴定管0刻度在上，尖嘴部分无刻度，读数精确到0.01 mL，酸式滴定管带玻璃活塞，碱式滴定管带橡胶管、玻璃球。②滴定管的选择：酸性、氧化性溶液一般用酸式滴定管盛装，因为其易腐蚀橡胶；碱性溶液一般用碱式滴定管盛装，因为其易腐蚀玻璃，致使玻璃活塞无法打开。③指示剂的选择：不用石蕊作中和滴定的指示剂，因其颜色变化不明显；滴定终点为碱性时用酚酞、为酸性时用甲基橙、为中性时两者均可。④操作（以盐酸滴定待测NaOH溶液为例）：滴定前检漏→洗涤→润洗→装液→调液面→记录，锥形瓶加碱液→加指示剂；滴定中左手控制滴定管的活塞，右手摇动锥形瓶，眼睛注视锥形瓶内溶液颜色变化。⑤终点判断：滴入最后半滴标准液后溶液变色，且半分钟内不恢复原来的颜色。⑥数据处理：重复2～3次，求平均值后按c(NaOH)=c(HCl)·V(HCl)/V(NaOH)计算。,锥形瓶不能润洗而滴定管必须润洗；读数要精确到0.01 mL；石蕊不能作中和滴定的指示剂。,五三化学精讲册 P101
误差分析,MISCONCEPTION_GUIDE,中和滴定误差分析归结到V(标)的影响,把各项操作误差折算为对消耗标准液体积的影响并给出终点判断的答题模板,中和滴定的误差判断,①分析思路：可将所有误差都归结到对V(HCl)的影响上；由c(待)=c(标)·V(标)/V(待)可知c(标)、V(待)为定值，c(待)取决于V(标)，操作导致消耗标准溶液多或读数大则结果偏高，反之偏低。②仪器润洗：酸式滴定管未用盐酸润洗偏高；碱式滴定管未用NaOH溶液润洗偏低；锥形瓶用NaOH溶液润洗偏高。③气泡处理：滴定前有气泡、滴定后无气泡偏高；滴定前无气泡、滴定后有气泡偏低。④滴定与读数：盐酸滴出瓶外偏高；振荡时瓶内溶液溅出偏低；滴定前仰后平偏低，前平后仰偏高，前平后俯偏低。⑤其他：滴定终点时滴定管尖嘴悬一滴溶液偏高；指示剂变色即停止滴定、半分钟内恢复原色偏低。⑥终点判断答题模板：最后半滴，当滴入最后半滴×××标准溶液后；颜色变化，溶液变成××色；半分钟，且半分钟内不恢复原来的颜色。,关键是把每一步操作折算成V(标)偏大还是偏小；锥形瓶用待测液润洗会使待测物增多，结果偏高。,五三化学精讲册 P102
盐类水解的规律及拓展应用,CONCEPT_EXPLANATION,盐类水解的规律与酸式盐酸碱性,有弱才水解与谁强显谁性、正盐水解程度大于酸式盐及酸式盐溶液酸碱性的判断,盐溶液酸碱性的判断,①实质：盐电离出的弱酸阴离子结合H⁺（或弱碱阳离子结合OH⁻），破坏水的电离平衡，使c(H⁺)≠c(OH⁻)，溶液呈酸性或碱性。②规律之一是有弱才水解、越弱越水解：酸性HCN<CH₃COOH，则相同条件下溶液碱性NaCN>CH₃COONa。③规律之二是谁强显谁性、同强显中性：如NH₄Cl溶液显酸性、CH₃COONa溶液显碱性；当Ka(CH₃COOH)≈Ka(NH₃·H₂O)时CH₃COONH₄溶液接近中性；当Ka(HCOOH)>Ka(NH₃·H₂O)时HCOONH₄溶液显酸性。④正盐水解程度大于对应的酸式盐，如相同条件下pH：Na₂CO₃>NaHCO₃。⑤酸式盐的酸碱性：强酸的酸式盐只电离、不水解，溶液显酸性，如NaHSO₄；弱酸的酸式盐若酸式酸根离子的电离程度大于水解程度，则溶液显酸性，如NaHSO₃；若酸式酸根离子的电离程度小于水解程度，则溶液显碱性，如NaHCO₃。,酸式盐的酸碱性要比较酸式酸根离子电离程度与水解程度的相对大小；越弱越水解指对应酸越弱则水解程度越大。,五三化学精讲册 P103
盐类水解离子方程式的书写,REPRESENTATION_GUIDE,盐类水解离子方程式的书写规则,单水解用可逆号且不标气体沉淀符号、多元弱酸根分步书写与双水解方程式的配平步骤,水解离子方程式的书写,①一般来说，盐类水解的程度不大，应该用可逆符号表示；盐类水解一般不会产生沉淀和气体，所以一般不用符号↓和↑。②多元弱酸盐的水解分步书写，如CO₃²⁻+H₂O⇌HCO₃⁻+OH⁻、HCO₃⁻+H₂O⇌H₂CO₃+OH⁻。③相互促进的水解反应：若水解产物均为容易脱离反应体系的溶解度较小的物质，则水解程度非常大、完全进行，应用等号并标“↑”“↓”，如Al³⁺+3HCO₃⁻=Al(OH)₃↓+3CO₂↑。④书写双水解离子方程式的步骤（以FeCl₃与Na₂CO₃溶液混合为例）：第一步写出反应的两种离子及产物（难溶物加↓），Fe³⁺+CO₃²⁻→Fe(OH)₃↓+CO₂↑；第二步配平电荷得2Fe³⁺+3CO₃²⁻→2Fe(OH)₃↓+3CO₂↑；第三步确定“H₂O”的位置并配平，因生成物中有H而反应物中无H，故H₂O为反应物，得2Fe³⁺+3CO₃²⁻+3H₂O=2Fe(OH)₃↓+3CO₂↑。,单水解用可逆号且不标↓、↑；双水解进行到底时才用等号并标↓、↑，产物溶解度较大时仍用可逆号。,五三化学精讲册 P103
水解平衡常数-能水解的盐表示为ma,DERIVATION,水解平衡常数及其与Kw、Ka的关系,Kh的表达式、Kh=Kw/Ka的推导过程与多元弱酸盐水解常数的配对关系,水解常数的推导与计算,①表达式（以A⁻+H₂O⇌HA+OH⁻为例）：Kh=c(HA)·c(OH⁻)/c(A⁻)。②Kh与Kw、Ka关系的推导：在Kh表达式的分子、分母上同乘c(H⁺)，得Kh=[c(HA)·c(OH⁻)·c(H⁺)]/[c(A⁻)·c(H⁺)]=Kw/Ka。③多元弱酸盐的水解常数与对应级的电离常数配对：Na₂CO₃的第一步水解常数Kh=Kw/Ka₂；NaHCO₃的水解常数Kh=Kw/Ka₁。④水解常数只受温度影响，水解反应是吸热反应，故Kh随温度升高而增大，Kh越大水解趋势越大。⑤应用：根据电离常数与水解常数的大小关系判断弱酸的酸式盐溶液的酸碱性，例如根据Kh(HCO₃⁻)>Ka₂(H₂CO₃)可知NaHCO₃溶液呈碱性；判断弱酸的酸性强弱，等物质的量浓度的NaX、NaY、NaZ三种盐溶液的pH分别为8、9、10，则相同条件下弱酸酸性HX>HY>HZ。,水解常数与电离常数一样只受温度影响；多元弱酸盐的分步水解常数要与对应级的电离常数配对，不能一律用Ka₁。,五三化学精讲册 P104
溶度积,CONCEPT_EXPLANATION,溶度积与溶度积规则,Ksp的表达式与影响因素、沉淀溶解平衡的特点及用Q与Ksp比较判断沉淀的生成与溶解,Ksp的含义与沉淀生成溶解判断,①固体溶质的溶解是一个可逆过程，固体溶质⇌溶液中的离子；v(溶解)>v(结晶)时溶解，相等时达到沉淀溶解平衡，v(溶解)<v(结晶)时析出晶体；其特点是逆、等、动、定、变。②影响沉淀溶解平衡的因素：内因是难溶电解质本身的性质；外因包括浓度（加水稀释使平衡向沉淀溶解方向移动）、温度（绝大多数难溶盐的溶解吸热，升温使平衡向沉淀溶解方向移动）、同离子效应（增大对应离子浓度使平衡向生成沉淀方向移动）、发生反应（加入能与体系中某些离子反应的物质使平衡向沉淀溶解方向移动）；平衡向沉淀溶解方向移动的前提是体系中存在固体，若无固体则平衡不移动。③溶度积：对于AₘBₙ(s)⇌mAⁿ⁺(aq)+nBᵐ⁻(aq)，Ksp=c^m(Aⁿ⁺)·c^n(Bᵐ⁻)，且Ksp只受温度影响。④溶度积规则：Q<Ksp时溶液不饱和、无沉淀析出；Q=Ksp时沉淀与溶解处于平衡状态；Q>Ksp时有沉淀析出，直至达到平衡。,无固体存在时改变离子浓度不产生沉淀溶解平衡的移动；Ksp只与温度有关，加水稀释时Ksp不变。,五三化学精讲册 P105
