node_slug,type,title,summary,applicability,content,boundary,note
冲量,CONCEPT_EXPLANATION,冲量的特点与四种计算方法,冲量I＝Ft是矢量、过程量，方向与力的方向相同；与参考系选取无关；可用公式法、图像法、动量定理或动量变化量求解。,求恒力或变力在一段时间内的冲量。,①表达式I＝Ft，单位N·s，是过程量。②矢量性：恒力冲量的方向与力的方向相同。③过程性：反映力的作用对时间的累积效应。④绝对性：与参考系的选取无关。⑤同时性：作用力和反作用力的冲量总是等大反向。⑥冲量的四种计算方法：公式法仅适用于求恒力的冲量，无须考虑物体的运动状态；图像法用F-t图线与t轴所围的"面积"表示冲量，既可以计算恒力的冲量，也可以计算变力的冲量；还可用动量定理或动量变化量求解。⑦动能、动量与冲量的对比：动能E_k＝½mv²是标量、状态量；动量p＝mv是矢量、状态量，方向与速度方向相同；冲量I＝Ft是矢量、过程量；关联式为E_k＝p²/(2m)、p＝√(2mE_k)。,冲量是矢量且与参考系选取无关，而动量具有相对性、一般以地面为参考系；F-t图像中的"面积"有正负，需按正方向代数求和。,五三物理精讲册 P77
人船模型,METHOD_MODEL,人船模型的动量守恒与位移关系,人船系统初动量为零，满足mv_人－Mv_船＝0；两者位移大小与质量成反比，x_人＝M/(M＋m)L、x_船＝m/(M＋m)L。,求解人船、光滑水平面上斜面体与滑块等系统的相对位移问题。,①模型特点：系统原来静止，人沿船行走时船向相反方向运动，两者满足动量守恒定律mv_人－Mv_船＝0。②两者的位移大小满足m·x_人/t－M·x_船/t＝0，且x_人＋x_船＝L，解得x_人＝M/(M＋m)L、x_船＝m/(M＋m)L。③运动特点：人动则船动，人静则船静，人快则船快，人慢则船慢，人左则船右。④位移与速度关系：人、船位移比等于二者质量的反比；人、船平均速度（或瞬时速度）比等于它们质量的反比，即x_人/x_船＝v_人/v_船＝M/m。⑤模型推广：系统内两物体相互作用且初动量为零时同样适用，如光滑水平面上斜面体质量M、小物体质量m，小物体沿光滑斜面下滑时斜面体向相反方向移动。,人船模型要求系统初动量为零且该方向上不受外力或外力可忽略；位移公式中的L是人相对船走过的距离，不是人相对地面的位移。,五三物理精讲册 P82
弹簧振子,CONCEPT_EXPLANATION,弹簧振子的简谐运动条件与周期,简谐运动条件是无摩擦、弹簧质量不计且在弹性限度内；回复力F＝－kx，周期T＝2π√(m/k)与振幅无关，位移x＝A sin(ωt＋φ)。,分析水平与竖直弹簧振子的回复力来源、周期与能量转化。,①简谐运动条件：弹簧质量忽略不计；无摩擦等阻力；在弹簧弹性限度内。②回复力：水平弹簧振子的回复力由弹簧弹力提供；竖直弹簧振子的回复力由弹力与重力的合力提供；平衡位置水平时在弹簧原长处，竖直时在kx₀＝mg处。③周期：T＝2π√(m/k)，与振幅无关；其中m为振子的质量、k为弹簧的劲度系数。④表达式：动力学表达式F＝－kx；运动学表达式x＝A sin(ωt＋φ)，其中A代表振幅，ω＝2πf表示简谐运动的快慢。⑤能量转化：水平弹簧振子是弹性势能与动能相互转化，系统机械能守恒；竖直弹簧振子是弹性势能、重力势能与动能相互转化，系统机械能守恒。⑥简谐运动的图像：反映一个质点振动的位移随时间变化的规律，不是质点的运动轨迹，图线为正弦或余弦曲线；由x-t图像可获取振幅A、周期T以及各时刻质点的位置、某段时间内质点运动的路程和各矢量的方向与变化情况。,竖直弹簧振子的平衡位置在kx₀＝mg处而不是弹簧原长处；周期与振幅无关；x-t图像反映位移随时间的变化规律而不是质点的运动轨迹。,五三物理精讲册 P89
波的干涉中振动加强点和减弱点的判断方法,METHOD_MODEL,波的干涉中加强点与减弱点的判断,两波源步调一致时Δr＝nλ振动加强、Δr＝(2n＋1)λ/2振动减弱；步调相反时判据互换；图像法中波峰与波峰的交点一定是加强点。,判断干涉图样中某点是振动加强点还是减弱点。,①公式法（两波源振动步调一致）：若Δr＝nλ（n＝0、1、2、…），则振动加强；若Δr＝(2n＋1)λ/2（n＝0、1、2、…），则振动减弱。②公式法（两波源振动步调相反）：若Δr＝(2n＋1)λ/2（n＝0、1、2、…），则振动加强；若Δr＝nλ（n＝0、1、2、…），则振动减弱。③图像法：在某时刻波的干涉的波形图上，波峰与波峰（或波谷与波谷）的交点一定是加强点，而波峰与波谷的交点一定是减弱点；加强点与减弱点之间各质点的振幅介于加强点的振幅与减弱点的振幅之间。④加强线与减弱线：各加强点或减弱点连接形成以两波源为中心向外辐射的线，即加强线或减弱线，加强线与减弱线互相间隔。,加强点只是振幅最大，并不始终位于波峰；两波源步调相反时加强、减弱的判据与步调一致时恰好互换。,五三物理精讲册 P94
库仑定律,CONCEPT_EXPLANATION,库仑定律的表达式与适用条件,F＝kq₁q₂/r²，静电力常量k＝9.0×10⁹ N·m²/C²；适用于真空中的静止点电荷，静电力方向在两电荷的连线上。,计算点电荷间的静电力并判断方向。,①电荷守恒定律：电荷既不会创生，也不会消灭，它只能从一个物体转移到另一个物体，或者从物体的一部分转移到另一部分；在转移过程中，电荷的总量保持不变。②电荷分配原则：两个完全相同的导体球接触后再分开，二者所带净电荷量平均分配。③表达式：F＝kq₁q₂/r²，静电力常量k＝9.0×10⁹ N·m²/C²，r指两点电荷间的距离。④适用条件：真空、静止点电荷。⑤静电力的方向：在它们的连线上。⑥点拨提醒：当两个电荷间的距离r→0时，电荷不能视为点电荷，它们之间的静电力不能认为趋于无限大。⑦静电力与其他力综合的平衡问题：确定研究对象，可根据问题需要选择"整体法"或"隔离法"；受力分析时不要漏掉静电力F＝kq₁q₂/r²或F＝qE；列平衡方程F合＝0或Fx＝0、Fy＝0求解。,r→0时电荷不能视为点电荷，库仑定律不再适用，不能得出静电力趋于无限大的结论；只有真空中的静止点电荷才能直接使用该式。,五三物理精讲册 P99
电场强度,CONCEPT_EXPLANATION,电场强度三式的比较与叠加,电场强度E＝F/q由场源电荷及空间位置决定，与试探电荷无关；E＝kQ/r²只适用于真空中静止点电荷；E＝U/d适用于匀强电场。,选用合适公式计算场强并处理场强的矢量叠加。,①电场：存在于电荷周围能传递电荷间相互作用的一种特殊物质；基本性质是对放入其中的电荷有力的作用。②定义：放入电场中某点的试探电荷受到的静电力F与它的电荷量q的比值叫该点的电场强度。③标矢性：电场强度是矢量，规定正电荷所受的静电力的方向为该点电场强度的方向。④唯一性：电场强度E取决于形成电场的电荷（场源电荷）及空间位置。⑤叠加性：如果有几个静止点电荷在空间同时产生电场，那么空间某点的电场强度是各场源电荷单独存在时在该点所产生的电场强度的矢量和，矢量运算遵循平行四边形定则。⑥三个公式的比较：定义式E＝F/q适用于任何电场，某点的电场强度为确定值，其大小及方向与F及q无关；决定式E＝kQ/r²适用于真空中静止点电荷的电场，场强由场源电荷Q和该点到场源电荷的距离r决定；关系式E＝U/d适用于匀强电场，d是沿电场方向的距离。,E＝F/q是比值定义式，E与F、q无关，不能认为E与F成正比；E＝U/d中的d必须是沿电场方向的距离，不是两点间的任意距离。,五三物理精讲册 P99
电流,CONCEPT_EXPLANATION,电流的三种表达式及其比较,I＝q/t是定义式，适用于一切电路；I＝U/R是决定式，适用于纯电阻电路和电解质溶液；I＝neSv是微观表达式。,区分三个电流公式的适用范围并完成微观表达式的推导。,①产生：自由电荷定向移动形成电流。②定义：通过导体横截面的电荷量跟通过这些电荷量所用时间的比值叫电流，即I＝q/t。③定义式I＝q/t：I与q、t无关，适用于一切电路。④决定式I＝U/R：I与U、R有关，适用于纯电阻电路和电解质溶液导电。⑤微观表达式I＝neSv：I与n、e、S、v有关，适用于一切电路。⑥微观表达式的推导：建立微观模型，粗细均匀的一段导体横截面积为S，导体单位体积内的自由电子数为n，电子的电荷量为e，当导体两端加上一定的电压时，导体中的自由电子定向移动的平均速率为v；在时间t内通过横截面的总电荷量q＝nvtSe；由电流的表达式得I＝q/t＝neSv。⑦三个公式的比较：定义式说明I与q、t无关；决定式说明I与U、R有关；微观表达式说明I与n、e、S、v有关。,I＝q/t是电流的定义式，不能说I与q成正比；I＝neSv中的v是自由电子定向移动的平均速率，不是热运动速率，也不是电流的传导速率。,五三物理精讲册 P117
磁感应强度,CONCEPT_EXPLANATION,磁感应强度的理解与磁感线的特点,磁感应强度是矢量，B＝F/(Il)要求电流元垂直于磁场放置；磁感应强度由磁场本身决定；磁感线是闭合的假想曲线，不相交、不相切。,理解磁感应强度的定义条件与磁感线的分布规律。,①磁感应强度是矢量，其方向与通电导线所受磁场力的方向垂直。②电流元必须垂直于磁场放置，B＝F/(Il)才成立。③磁场中某点的磁感应强度是由磁场本身决定的，与通电导线所受磁场力的大小及方向都无关。④磁感线的特点：方向——磁感线上某点的切线方向就是该点的磁场方向；强弱——磁感线的疏密程度定性地表示磁场的强弱；闭合曲线——磁感线是闭合曲线，没有起点和终点，在磁体外部由N极指向S极，在磁体内部由S极指向N极；不相交——同一磁场的磁感线不中断、不相交、不相切；假想线——磁感线是假想的曲线，客观上并不存在。⑤安培定则的应用：判定直线电流和环形电流的磁场时应分清"因"和"果"；直线电流用大拇指指原因（电流方向）、四指指结果（磁场方向）；环形电流用四指指原因、大拇指指结果。⑥磁场的叠加：确定磁场场源，用安培定则判定各场源在待求点产生的磁感应强度的大小和方向，再应用平行四边形定则求解。,B＝F/(Il)只有在电流元垂直于磁场放置时才成立；某点的磁感应强度由磁场本身决定，与是否放入通电导线无关。,五三物理精讲册 P131
带电粒子在磁场中的运动,METHOD_MODEL,带电粒子在匀强磁场中的三步分析框架,按画轨迹、找联系、用规律三步处理：由R＝mv/(qB)求半径，由t＝θ/(2π)T求时间；圆心角与弦切角满足α＝2θ（劣弧）。,求解带电粒子在匀强磁场中做匀速圆周运动的半径、时间与偏转角。,①画轨迹，确定圆心。②找联系：轨迹半径与磁感应强度、运动速度相联系，即R＝mv/(qB)；由几何方法确定半径；速度偏转角等于圆心角；粒子在磁场中的运动时间与圆心角、周期相联系，即t＝θ/(2π)·T。③用规律：牛顿第二定律和圆周运动的规律等，特别是周期公式、半径公式，由圆心角计算时间t＝θ/(2π)T＝θm/(qB)。④圆心角α与弦切角θ的关系：AB为劣弧时α＝2θ；AB为优弧时α＝360°－2θ。⑤粒子源在纸面内沿各个方向均匀发射速率相同的粒子时，各粒子做圆周运动的半径相同，圆心分布在以粒子源为圆心、半径为R的圆上，可用动态圆（放缩圆、旋转圆）的方法确定粒子打到接收屏上最左端与最右端的位置，进而求临界范围。,由圆心角计算时间时θ必须用弧度制；t＝θ/(2π)T中的θ是圆心角而不是弦切角，劣弧与优弧对应的关系式不同。,五三物理精讲册 P136
楞次定律,CONCEPT_EXPLANATION,楞次定律对"阻碍"的四层理解与推论,感应电流的磁场总要阻碍引起感应电流的磁通量的变化；"阻碍"是延缓而不是阻止，可推出增反减同、来拒去留、增缩减扩三个推论。,判断感应电流的方向以及线圈和磁体的受力与运动趋势。,①磁通量：Φ＝BS，S为垂直于B方向的投影面积；磁通量为标量，单位是Wb，其大小可表示为穿过该面积的磁感线条数的多少。②产生感应电流的条件：穿过闭合回路的磁通量发生变化；回路不闭合时只有感应电动势，没有感应电流。③楞次定律的内容：感应电流具有这样的方向，即感应电流的磁场总要阻碍引起感应电流的磁通量的变化。④四层理解：谁阻碍谁——感应电流的磁场阻碍引起感应电流的磁通量的变化；阻碍什么——阻碍的是磁通量的变化，而不是阻碍磁通量本身；如何阻碍——磁通量增加时感应电流的磁场方向与原磁场方向相反，磁通量减少时与原磁场方向相同，即"增反减同"；阻碍效果——阻碍并不是阻止，只是延缓了磁通量的变化，这种变化将继续进行。⑤右手定则：伸开右手，拇指与其余四指垂直且都与手掌在同一平面内；让磁感线从掌心进入，拇指指向导线运动的方向，四指所指的方向就是感应电流的方向；适用于导体切割磁感线产生感应电流的情况。,阻碍不等于阻止，磁通量的变化仍会继续进行；右手定则只适用于导体切割磁感线的情形，其他情形要用楞次定律判断。,五三物理精讲册 P150
交变电流的瞬时值-峰值-有效值和平均值,REPRESENTATION_GUIDE,交变电流"四值"的含义与选用,瞬时值e＝E_m sin ωt、峰值E_m＝nBSω、有效值E＝E_m/√2、平均值Ē＝nΔΦ/Δt；各用于受力、击穿电压、热效应、电荷量。,按所求物理量选用瞬时值、峰值、有效值或平均值。,①瞬时值：交变电流某一时刻的值，e＝E_m sin ωt、i＝I_m sin ωt，用于计算线圈某时刻的受力情况。②峰值：最大的瞬时值，E_m＝nBSω、I_m＝E_m/(R＋r)，用于讨论电容器的击穿电压。③有效值：跟交变电流的热效应等效的恒定电流的相关值，E＝E_m/√2、U＝U_m/√2、I＝I_m/√2，只适用于正弦式交变电流，用于计算电功、电功率、电热、保险丝的熔断电流等。④平均值：交变电流图像中图线与时间轴所围的"面积"与时间的比值，Ē＝BLv̄、Ē＝nΔΦ/Δt、Ī＝Ē/(R＋r)，用于计算一段时间内通过导线横截面的电荷量。⑤正弦式交变电流的产生：在匀强磁场中，线圈绕垂直于磁感线方向的轴匀速转动；感应电动势的最大值E_m＝nBSω，与转轴位置无关，与线圈形状无关。⑥电流方向的改变：线圈通过中性面位置时电流方向发生改变，一个周期内两次通过中性面，电流方向改变两次。,E＝E_m/√2只适用于正弦式交变电流；求电荷量必须用平均值，求电热与电功率必须用有效值。,五三物理精讲册 P166
折射率,CONCEPT_EXPLANATION,折射定律与折射率的定义,sinθ₁/sinθ₂＝n₁₂，折射率n＝sinθ₁/sinθ₂＝c/v且n＞1；同种介质中频率越大的光折射率越大、传播速度越小。,计算光的折射角、介质中的光速以及视深问题。,①折射定律：光的折射与反射同时发生，表达式为sinθ₁/sinθ₂＝n₁₂，式中n₁₂是比例常数，只与两种介质的性质有关。②折射率的定义式：n＝sinθ₁/sinθ₂，入射角与折射角都是光线与法线的夹角。③折射率与速度的关系式：n＝c/v，因v＜c，故n＞1。④折射率的大小不仅与介质本身有关，还与光的频率有关；同一种介质中，频率越大的光折射率越大、传播速度越小；同一种光在不同介质中，虽然波速、波长一般不同，但频率相同。⑤解决光的折射问题的常规思路：根据题意画出正确的光路图；利用几何关系确定光路图中的边、角关系；利用n＝sinθ₁/sinθ₂、n＝c/v等公式求解；在光的反射与折射现象中光路都是可逆的，可利用光路的可逆性辅助作光路图和分析几何关系。⑥视深问题：从正上方观察水中的物体，视深约为实际深度的1/n。,入射角与折射角都是光线与法线的夹角而不是与界面的夹角；同一种光在不同介质中频率不变，改变的是波速与波长。,五三物理精讲册 P173
薄膜干涉,DERIVATION,斜劈薄膜干涉的条纹间距,由亮暗条纹的光程差条件联立得2Δd＝λ/2，相邻亮条纹间距Δx＝2Δx′＝λ/(2tanθ)；斜劈越陡条纹间距越小，条纹间距与波长成正比。,分析劈尖形薄膜干涉的条纹间距与疏密变化。,①亮条纹处光程差：s₁＝2d₁＝nλ（n＝0、1、2、3、…）。②暗条纹处光程差：s₂＝2d₂＝(2n＋1)λ/2（n＝0、1、2、3、…）。③由①②联立得2Δd＝2(d₂－d₁)＝λ/2。④相邻亮条纹间距：Δx＝2Δx′＝2Δd/tanθ＝λ/(2tanθ)。⑤结论：斜劈越陡（θ越大），条纹间距越小；条纹间距与波长成正比。⑥单缝衍射与双缝干涉图样的区别：单缝衍射条纹中央最宽最亮、两侧逐渐变窄变暗，双缝干涉条纹是等间距的；光的偏振说明光是一种横波。⑦各种色光的比较：由红光到紫光，频率由低到高，同一介质中的波长由大到小、折射率由小到大、速度由大到小、临界角由大到小、通过同一棱镜的偏折角由小到大、光子能量与动量由小到大、用同一双缝干涉装置产生的条纹中心间距由大到小。,条纹间距与波长成正比、与劈角θ的正切成反比；单缝衍射与双缝干涉的图样规律不能混用。,五三物理精讲册 P176
