node_slug,type,title,summary,applicability,content,boundary,note
氧化还原反应规律及其应用,METHOD_MODEL,氧化还原反应的五条基本规律,守恒、强弱、价态、难易、先后五条规律，用于判断产物与反应顺序,判断产物价态与反应先后顺序,①守恒规律：氧化剂得电子总数等于还原剂失电子总数，化合价升高总数等于化合价降低总数。②强弱规律：氧化性较强的氧化剂与还原性较强的还原剂反应，生成还原性较弱的还原产物和氧化性较弱的氧化产物。③价态规律：元素处于最高价态时只有氧化性，处于最低价态时只有还原性，处于中间价态时既有氧化性又有还原性；同种元素的高价态氧化低价态时遵循「高到高、低到低、只靠拢、不交叉」的规律；同种元素相邻价态间不发生氧化还原反应。④难易规律：越易失去电子的物质，失去后就越难得电子；越易得到电子的物质，得到后就越难失电子。⑤先后规律：溶液中同时存在几种浓度相差不大的还原剂时，加入一种氧化剂，还原性强的还原剂优先被氧化；溶液中同时存在几种浓度相差不大的氧化剂时，加入一种还原剂，氧化性强的氧化剂优先被还原。,同种元素相邻价态间不发生氧化还原反应，如浓硫酸不能氧化SO2，Na2SO3与浓硫酸的反应属于复分解反应,五三化学精讲册 P0019（书内页码 17）
氧化还原反应方程式的配平方法,METHOD_MODEL,氧化还原方程式的配平与计算,按标变价、求总数、定计量数、查守恒四步配平，并用电子守恒法计算,氧化还原方程式的配平与电子转移计算,①配平原则：得失电子守恒，即氧化剂与还原剂得、失电子总数相等，化合价升高总数等于化合价降低总数；离子反应前后阴、阳离子所带电荷总数相等；反应前后原子的种类和数目不变。②配平步骤：标变价，标明反应前后化合价发生变化的元素的化合价；求总数，通过求最小公倍数使化合价升降总数相等；定计量数，确定氧化剂、还原剂、还原产物、氧化产物的化学计量数，再用观察法确定其他物质的化学计量数；查守恒，检查原子、电荷、得失电子是否守恒。③配平技巧：氧化剂和还原剂中某元素化合价全部变化时，一般从反应物着手配平（正向配平法）；自身氧化还原反应及某元素化合价部分变化时，一般从生成物着手配平（逆向配平法）；缺项配平先使化合价升降总数相等，再根据电荷守恒和溶液酸碱性补H+或OH-。④有机化合物中碳元素化合价的判定：氢为+1价、氧为-2价，再按各元素正、负化合价的代数和为0计算。,特殊物质中元素的化合价需单独记忆，如NaH中氢为-1价、Na2O2中氧为-1价,五三化学精讲册 P0020（书内页码 18）
过氧化钠,CONCEPT_EXPLANATION,过氧化钠的性质与用途,淡黄色固体，与水、二氧化碳反应都放出氧气，可作漂白剂、消毒剂和供氧剂,钠的氧化物性质比较,①物理性质与用途：淡黄色固体，常用作漂白剂、消毒剂和供氧剂。②电子式：由两个钠离子和过氧根离子构成，其中氧元素显-1价。③与水反应：2Na2O2 + 2H2O = 4NaOH + O2↑。④与二氧化碳反应：2Na2O2 + 2CO2 = 2Na2CO3 + O2。⑤与氧化钠的比较：Na2O是白色固体、碱性氧化物，与水反应为Na2O + H2O = 2NaOH，与二氧化碳反应为Na2O + CO2 = Na2CO3，两个反应中都没有氧气放出。⑥应用：呼吸面具和潜水艇中利用过氧化钠吸收人呼出的水蒸气和二氧化碳并放出氧气，作供氧剂。,Na2O2属于过氧化物而不是碱性氧化物，其中氧元素显-1价，与水或二氧化碳反应都放出O2,五三化学精讲册 P0024（书内页码 22）
碳酸钠与碳酸氢钠的相互转化,CONCEPT_EXPLANATION,碳酸钠与碳酸氢钠的性质与鉴别,从热稳定性、与盐酸反应的气泡先后、同浓度溶液的碱性三方面鉴别二者,碳酸钠与碳酸氢钠的鉴别与除杂,①俗名与物理性质：Na2CO3俗称纯碱、苏打，NaHCO3俗称小苏打；二者均为白色固体、易溶于水，溶解度Na2CO3大于NaHCO3，溶于水时Na2CO3放热、NaHCO3吸热。②化学性质比较：水溶液均呈碱性，同浓度时碱性Na2CO3强于NaHCO3；热稳定性Na2CO3强于NaHCO3，2NaHCO3 =(Δ) Na2CO3 + CO2↑ + H2O；与盐酸反应均生成CO2，盐酸逐滴加入时NaHCO3先产生气泡。③相互转化：Na2CO3溶液中通入CO2或加入少量H+生成NaHCO3，NaHCO3固体加热或溶液中加入NaOH转化为Na2CO3。④鉴别方法：利用热稳定性不同，加热无明显变化的是Na2CO3，放出能使澄清石灰水变浑浊的无色无味气体的是NaHCO3；利用与酸反应生成气体的现象不同，立即产生气泡的是NaHCO3；利用溶液的酸碱性不同，测相同浓度溶液的pH，大者为Na2CO3。,鉴别二者时要注意盐酸的滴加顺序，逐滴加入时NaHCO3先产生气泡，不能据此颠倒结论,五三化学精讲册 P0024（书内页码 22）
fe2-与fe3-的相互转化,REPRESENTATION_GUIDE,亚铁离子与铁离子的相互转化,Fe2+被氧化剂氧化为Fe3+，Fe3+被还原剂还原为Fe2+，检验方法各不相同,铁盐与亚铁盐的转化与检验,①转化关系：Fe2+可被Cl2、KMnO4、HNO3等氧化剂氧化为Fe3+；Fe3+可被Fe、Cu、KI等还原剂还原为Fe2+。②铁的价—类二维图：纵坐标为化合价（0、+2、+3），横坐标为物质类别（单质、氧化物、盐、碱），对应关系为Fe→FeO、Fe2O3、Fe3O4→Fe2+、Fe3+→Fe(OH)2、Fe(OH)3。③Fe2+的检验：含Fe2+的溶液呈浅绿色，加KSCN溶液无明显现象，再加氯水溶液变红色；加NaOH溶液生成白色沉淀，迅速变成灰绿色，最后变成红褐色。④Fe3+的检验：含Fe3+的溶液呈棕黄色，加KSCN溶液变红色，加NaOH溶液生成红褐色沉淀，加苯酚溶液呈紫色。,检验Fe2+时不能先加氯水后加KSCN溶液，也不能把加了KSCN的混合溶液加入足量新制氯水中,五三化学精讲册 P0026（书内页码 24）
金属矿物的开发利用,CONCEPT_EXPLANATION,金属冶炼方法与合金的性质,按金属活泼性选择电解法、热还原法或热分解法，合金熔点更低、硬度强度更大,冶炼方法的选择与合金性质判断,①冶炼方法与金属活动性顺序对应：电解法适用于活泼金属，如2NaCl(熔融) =(电解) 2Na + Cl2↑、2Al2O3(熔融) =(电解、冰晶石) 4Al + 3O2↑；热还原法适用于较活泼金属，如Fe2O3 + 3CO =(高温) 2Fe + 3CO2、2Al + Cr2O3 =(高温) 2Cr + Al2O3；热分解法适用于不活泼金属，如2HgO =(Δ) 2Hg + O2↑、2Ag2O =(Δ) 4Ag + O2↑。②钾的冶炼：钾的沸点低于钠，据此可用KCl + Na =(高温) K↑ + NaCl冶炼金属钾。③合金：由两种或两种以上的金属或金属与非金属加热熔合而成的具有金属特性的物质，熔点一般比各成分金属低，硬度和强度一般比各成分金属大。④常见合金：铁合金分为生铁和钢，碳素钢按含碳量分为低碳钢、中碳钢和高碳钢；铝合金密度小、强度高、抗腐蚀能力强。,合金的熔点一般比各成分金属低、硬度和强度一般比各成分金属大，不可误记为熔点升高,五三化学精讲册 P0027（书内页码 25）
二氧化硅,CONCEPT_EXPLANATION,二氧化硅的性质与用途,酸性氧化物，能与碱和碱性氧化物反应，也能与氢氟酸反应，用于制光导纤维,硅及其化合物的性质与试剂瓶选择,①存在形式与物理性质：石英、水晶、玛瑙、沙子等的主要成分，常温下为固体，硬度大，熔、沸点高，不溶于水。②酸性氧化物的通性：SiO2 + 2NaOH = Na2SiO3 + H2O，盛有碱性物质的试剂瓶要用橡胶塞而不能用玻璃塞；SiO2 + CaO =(高温) CaSiO3。③特性：SiO2 + 4HF = SiF4↑ + 2H2O，可用于刻蚀玻璃，但不能据此认为SiO2是碱性氧化物或两性氧化物。④用途：制光导纤维、光学仪器等。⑤硅的制取：SiO2 + 2C =(1800~2000 ℃) Si(粗硅) + 2CO↑，粗硅再经Si + 3HCl =(300 ℃) SiHCl3 + H2、SiHCl3 + H2 =(1100 ℃) Si + 3HCl提纯得高纯硅；硅用作半导体材料，用于制造芯片和太阳能电池。,SiO2能与氢氟酸反应但不能据此认为它是碱性氧化物或两性氧化物；硅酸不能由SiO2与水化合直接制得,五三化学精讲册 P0034（书内页码 32）
氯水的成分,CONCEPT_EXPLANATION,新制氯水的成分与微粒性质,氯水含三分子四离子，起漂白作用的是HClO，干燥的氯气没有漂白性,氯水成分分析与性质判断,①成分：新制氯水中含有Cl2、HClO、H2O三种分子和H+、Cl-、ClO-、OH-四种离子，即三分子四离子。②各微粒的性质：Cl2具有氧化性，能氧化I-、Fe2+、Br-等；Cl-加入AgNO3溶液产生白色沉淀；HClO不稳定，在光照下分解产生气泡，具有漂白性，能使湿润的有色布条或品红溶液褪色；H+具有酸性，与活泼金属、碳酸盐反应产生气泡；HClO与H+共同作用使紫色石蕊溶液先变红后褪色。③氯水久置后变为稀盐酸。④实验室制法：MnO2 + 4HCl(浓) =(Δ) MnCl2 + Cl2↑ + 2H2O，也可用KMnO4、KClO3、Ca(ClO)2等固体与浓盐酸在常温下反应制得Cl2。⑤氯气与变价金属反应时一般生成高价金属氯化物。,氯水中起漂白作用的是HClO而不是Cl2，干燥的Cl2没有漂白性；不能用pH试纸测定氯水与次氯酸盐溶液的pH,五三化学精讲册 P0035（书内页码 33）
卤族元素,MISCONCEPTION_GUIDE,卤族元素的相似性递变性与特殊性,相似性指与金属、氢气反应和歧化，递变性指氧化性减弱，氟溴碘各有特殊性,卤素单质性质比较与卤素离子检验,①相似性：都能与大多数金属反应生成金属卤化物，都能与H2反应生成HX，都能与H2O或碱发生歧化反应（F2除外）。②递变性：按F2、Cl2、Br2、I2的顺序，颜色逐渐加深，熔、沸点逐渐升高，密度逐渐增大，单质氧化性逐渐减弱，与H2反应越来越困难，X-的还原性逐渐增强。③特殊性：氟元素无正价、非金属性最强，2F2 + 2H2O = 4HF + O2，HF是弱酸但能腐蚀玻璃，应保存在铅制器皿或塑料瓶中，HF在HX中沸点最高是因为存在分子间氢键；Br2是深红棕色液体、易挥发，应水封保存且不能用橡胶塞；淀粉遇I2变蓝，I2加热时易升华，I2 + 2S2O32- = 2I- + S4O62-。④卤素互化物由两种卤素互相结合而成，如IBr、ICl，其性质与卤素单质相似，与水或碱的反应一般属于非氧化还原反应。⑤拟卤素如(SCN)2，解答相关题目时可用换元法，把(SCN)2当作X2、把SCN-当作X-。,卤素单质与变价金属反应时一般生成高价卤化物，但I2与Fe反应只生成FeI2,五三化学精讲册 P0036（书内页码 34）
二氧化硫,CONCEPT_EXPLANATION,二氧化硫的性质与检验顺序,既有酸性氧化物通性，又有还原性、氧化性和漂白性，与CO2混合时须先检后除,SO2的性质分析与SO2、CO2混合气体检验,①物理性质：无色、有刺激性气味的气体，密度比空气大，易溶于水，通常状况下1体积水约溶解40体积SO2。②酸性氧化物的性质：与水反应生成H2SO3，与碱反应生成盐和水，与碱性氧化物反应生成相应的盐。③还原性：2SO2 + O2 =(催化剂、Δ) 2SO3；能被溴水氧化使溴水褪色，SO2 + Br2 + 2H2O = H2SO4 + 2HBr；能使酸性KMnO4溶液褪色。④氧化性：SO2 + 2H2S = 3S↓ + 2H2O。⑤漂白性：能使品红溶液褪色，加热后恢复原色。⑥实验室制法：Na2SO3 + H2SO4(浓) = Na2SO4 + SO2↑ + H2O。⑦SO2与CO2同时存在时的检验流程：用品红溶液检验SO2，用酸性KMnO4溶液除去SO2，再用品红溶液检验SO2是否除尽，最后用澄清石灰水检验CO2。,检验CO2前必须先除尽SO2，因为SO2也能使澄清石灰水变浑浊而干扰CO2的检验,五三化学精讲册 P0038（书内页码 36）
氨,CONCEPT_EXPLANATION,氨的结构性质与实验室制法,三角锥形分子，极易溶于水，是唯一能使湿润红色石蕊试纸变蓝的气体,氨的性质、检验与实验室制备,①结构：氮原子位于中间，三个氢原子分别与氮原子以单键相连，氮上还有一对孤电子对，分子空间结构为三角锥形。②物理性质：无色、有刺激性气味的气体，密度比空气小，极易溶于水，常温常压下1体积水能溶解约700体积氨气。③化学性质：与水反应生成NH3·H2O，NH3 + H2O ⇌ NH3·H2O ⇌ NH4+ + OH-，氨水显碱性；与酸反应生成盐，NH3 + HCl = NH4Cl（白烟）；具有还原性，4NH3 + 5O2 =(催化剂、Δ) 4NO + 6H2O；具有配位性，能与AgCl反应生成[Ag(NH3)2]Cl。氨是唯一能使湿润的红色石蕊试纸变蓝的气体。④实验室制法：2NH4Cl + Ca(OH)2 =(Δ) CaCl2 + 2NH3↑ + 2H2O，用向下排空气法收集，可用湿润的红色石蕊试纸或蘸有浓盐酸的玻璃棒验满。⑤工业制法：N2 + 3H2 ⇌(高温高压、催化剂) 2NH3。,氨的催化氧化产物是NO而不是NO2，该反应中氨表现还原性,五三化学精讲册 P0040（书内页码 38）
核素,CONCEPT_EXPLANATION,原子构成与元素核素同位素,原子序数等于质子数等于核外电子数，质量数等于质子数与中子数之和,微粒数量关系与同位素辨析,①原子的构成：原子由原子核（含质子、中子）和核外电子构成；原子序数 = 核电荷数 = 质子数 = 核外电子数，质量数(A) = 质子数(Z) + 中子数(N)。②元素：具有相同核电荷数的一类原子的总称，同种元素可有多种不同的核素。③核素：具有一定数目的质子和一定数目的中子的一种原子，用符号表示时Z为质子数、A为质量数。④同位素：质子数相同、中子数不同的同一元素的不同原子。⑤注意：核素的中子数可能为0，如氕没有中子；D2O中氕、氘、氚三者中的中子数不同。,同位素的质子数相同而中子数不同，核外电子排布相同，化学性质几乎相同，但物理性质存在差异,五三化学精讲册 P0042（书内页码 40）
价层电子对互斥模型,METHOD_MODEL,价层电子对互斥模型与空间结构,价层电子对数由σ键电子对数和孤电子对数决定，据此判断空间结构,分子或离子空间结构的判断,①理论要点：价层电子对在空间上彼此相距最远时，排斥力最小，体系的能量最低。②公式法：价层电子对数 = σ键电子对数 + (1/2)(a - xb)，其中a为中心原子的价电子数，对于阳离子a = 中心原子价电子数 - 离子电荷数，对于阴离子a = 中心原子价电子数 + |离子电荷数|；x为与中心原子结合的原子数；b为与中心原子结合的原子最多能接受的电子数。③电子式或结构式法：写出电子式或结构式，观察σ键电子对数和中心原子上的孤电子对数，两者相加即可。④价层电子对数与空间结构的对应：价层电子对数为2时中心原子为sp杂化，模型为直线形；为3时中心原子为sp2杂化，模型为平面三角形；为4时中心原子为sp3杂化，模型为四面体形。,价层电子对互斥模型名称与分子或离子的空间结构不等同，去掉孤电子对后才是分子的空间结构,五三化学精讲册 P0050（书内页码 48）
杂化轨道理论,CONCEPT_EXPLANATION,杂化轨道理论与杂化类型判断,杂化轨道数目等于价层电子对数，按夹角180°、120°、109°28′区分类型,中心原子杂化轨道类型的判断,①理论要点：中心原子上若干不同类型（主要是s、p轨道）、能量相近的原子轨道混合起来，重新组合成同等数目、能量完全相同的新轨道。②类型：sp杂化轨道由1个s轨道和1个p轨道杂化而得，杂化轨道间夹角为180°，呈直线形；sp2杂化轨道由1个s轨道和2个p轨道杂化而得，夹角为120°，呈平面三角形；sp3杂化轨道由1个s轨道和3个p轨道杂化而得，夹角为109°28′，呈四面体形。③数目判断：杂化轨道用来形成σ键和容纳孤电子对，故杂化轨道数目 = 中心原子的σ键电子对数 + 中心原子上的孤电子对数 = 中心原子的价层电子对数。④等电子原理：化学通式相同且价电子总数相等的分子或离子互称为等电子体，具有相同的空间结构和相同的化学键类型等结构特征。,V形结构中心原子的杂化轨道类型不唯一，SO2中硫采用sp2杂化，H2O中氧采用sp3杂化,五三化学精讲册 P0051（书内页码 49）
键角大小的比较,METHOD_MODEL,键角大小的比较思维模型,先比杂化类型，再比孤电子对数与电负性，同一分子中多重键使键角增大,分子或离子键角大小的比较,①不同杂化轨道类型的键角大小：sp > sp2 > sp3。②杂化轨道类型相同时：孤电子对数越多，键角越小，如H2O小于NH3；孤电子对数相同时，若中心原子不同、周围原子相同，中心原子的电负性越大键角越大，如H2O大于H2S、NH3大于PH3；若中心原子相同、周围原子不同，周围原子的电负性越大键角越小，如NF3小于NCl3。③在同一分子中，多重键电子斥力大，键角大，例如乙烯分子中碳氢键与碳碳双键之间的键角大于碳氢键与碳氢键之间的键角。④键长与键能的比较：其他条件相同时，成键原子的半径越小，键长越短、键能越大；相同的两原子间形成双键或三键时，原子轨道重叠程度增大、核间距减小，键长变短、键能变大，键长C—C大于C=C大于C≡C，键能C—C小于C=C小于C≡C。,孤电子对数越多键角越小这一规律只在中心原子杂化轨道类型相同时成立，不能跨杂化类型比较,五三化学精讲册 P0054（书内页码 52）
