node_slug,type,title,summary,applicability,content,boundary,note
函数y-asin-ωx-φ-的图象,REPRESENTATION_GUIDE,y=Asin(ωx+φ) 的图象与变换,五点法作简图、振幅周期频率相位初相的含义，以及先平移与先伸缩两条变换途径。,由图象求解析式、图象变换、求参数,①五点法：令 ωx+φ 依次取 0，π/2，π，3π/2，2π，求出对应的 x 与 y，得到五个关键点后描点连线，即可画出 y=Asin(ωx+φ)（A≠0，ω≠0）一个周期内的简图。②物理量：当 A>0，ω>0，x∈[0，+∞) 时，振幅为 A，周期 T=2π/ω，频率 f=1/T=ω/(2π)，相位为 ωx+φ，初相为 φ。③途径一（先平移后伸缩）：把 y=sinx 的图象向左（φ>0）或向右（φ<0）平移 |φ| 个单位得 y=sin(x+φ)，再把横坐标变为原来的 1/ω 倍，最后把纵坐标变为原来的 A 倍。④途径二（先伸缩后平移）：先把 y=sinx 的横坐标变为原来的 1/ω 倍得 y=sinωx，再向左或向右平移 |φ|/ω 个单位得 y=sin(ωx+φ)，最后把纵坐标变为原来的 A 倍。⑤两条途径的平移量不同，这是本节最常见的失分点。,走先伸缩后平移路线时仍平移 |φ| 个单位，正确平移量应为 |φ|/ω 个单位。,五三数学精讲册 P63
正弦定理,CONCEPT_EXPLANATION,正弦定理的内容与常用变形,a/sinA=b/sinB=c/sinC=2R 及其边角互化变形，用于解三角形与求外接圆半径。,已知两角及一边、两边及一边对角解三角形,①内容：在 △ABC 中，a/sinA=b/sinB=c/sinC=2R，其中 R 为 △ABC 外接圆的半径。②变形公式：a:b:c=sinA:sinB:sinC；a=2RsinA，b=2RsinB，c=2RsinC；sinA=a/(2R)，sinB=b/(2R)，sinC=c/(2R)；(a+b+c)/(sinA+sinB+sinC)=2R。③作用：已知两角及任一边可求其余边角；已知两边及其中一边的对角，可先由正弦定理求另一角，但此时三角形可能无解、一解或两解，须结合大边对大角与内角和等于 180° 讨论。④三角形中的常用结论：a>b ⇔ A>B ⇔ sinA>sinB；sin(A+B)=sinC，cos(A+B)=-cosC；在斜 △ABC 中 tanA+tanB+tanC=tanA·tanB·tanC。⑤边角互化时不要轻易在等式两边同除以可能为零的式子（如 sinA、cosB）。,由 sinB 的值直接断定只有一解，遗漏 B 为钝角的两解情形。,五三数学精讲册 P69
平面向量的数量积,CONCEPT_EXPLANATION,平面向量数量积的定义与性质,a·b=|a||b|cosθ 的定义、坐标表示、垂直与夹角公式，以及投影向量的计算公式。,求数量积、夹角、模、判断垂直、求投影,①定义：a·b=|a||b|cosθ（θ 为 a 与 b 的夹角，范围 [0，π]）；规定 0·a=0。②坐标表示：设 a=(x₁，y₁)，b=(x₂，y₂)，则 a·b=x₁x₂+y₁y₂。③运算律：a·b=b·a；(λa)·b=λ(a·b)=a·(λb)；(a+b)·c=a·c+b·c。④性质：a⊥b ⇔ a·b=0 ⇔ x₁x₂+y₁y₂=0；a·a=|a|² 或 |a|=√(a·a)；cosθ=(a·b)/(|a||b|)=(x₁x₂+y₁y₂)/(√(x₁²+y₁²)·√(x₂²+y₂²))；|a·b|≤|a||b|。⑤投影向量：a 在 b 上的投影向量为 (a·b)/|b|²·b，其投影数量为 (a·b)/|b|。⑥夹角判定：a 与 b 的夹角为锐角 ⇔ a·b>0 且 a、b 不共线；为钝角 ⇔ a·b<0 且 a、b 不共线。,由 a·b>0 直接判为锐角而漏掉共线情形，或把投影向量写成投影数量的形式。,五三数学精讲册 P79
复数的四则运算,CONCEPT_EXPLANATION,复数的四则运算与常用结论,复数的加减乘除法则、分母实数化的结果，以及虚数单位 i 的幂与模的常用结论。,复数化简、求模、求共轭复数,①设 z₁=a+bi，z₂=c+di（a，b，c，d∈R），则 z₁±z₂=(a±c)+(b±d)i；z₁·z₂=(ac-bd)+(bc+ad)i；z₁/z₂=(ac+bd)/(c²+d²)+(bc-ad)/(c²+d²)i（c+di≠0），除法通过分子分母同乘分母的共轭复数实现分母实数化。②常用结论：(1±i)²=±2i；(1+i)/(1-i)=i；(1-i)/(1+i)=-i；-b+ai=i(a+bi)；i^(4n+1)=i，i^(4n+2)=-1，i^(4n+3)=-i，i^(4n)=1，且四项之和为 0（n∈N）。③模与共轭：z·z̄=|z|²=|z̄|²；|z₁z₂|=|z₁|·|z₂|；|z₁/z₂|=|z₁|/|z₂|（|z₂|≠0）；|zⁿ|=|z|ⁿ。④几何意义：复数 z=a+bi 与复平面内的点 Z(a，b) 一一对应，也与平面向量 OZ 一一对应。,计算 (1+i)² 时漏掉负号，或做除法时忘记同乘分母的共轭复数而直接约分。,五三数学精讲册 P81
等比数列的有关公式,REPRESENTATION_GUIDE,等比数列的通项与前n项和公式,通项 aₙ=a₁qⁿ⁻¹、求和公式的两分支，以及由 Sₙ 形式判定等比数列的充要条件。,求通项、求前n项和、判断数列类型,①定义：如果一个数列从第 2 项起，每一项与它前一项的比都等于同一个常数，那么这个数列叫做等比数列，这个常数叫做等比数列的公比，通常用字母 q(q≠0) 表示，符号表示为 aₙ₊₁/aₙ=q（n∈N*）。②通项公式：aₙ=a₁qⁿ⁻¹；推广：aₙ=aₘ·qⁿ⁻ᵐ（m，n∈N*）。③前 n 项和公式：Sₙ=na₁（q=1）；Sₙ=a₁(1-qⁿ)/(1-q)=(a₁-aₙq)/(1-q)（q≠1），使用求和公式前必须先讨论公比 q 是否等于 1。④等比中项：如果在 a 与 b 中间插入一个数 G，使 a，G，b 成等比数列，那么 G 叫做 a 与 b 的等比中项，此时 G²=ab，注意 G 可取 ±√(ab) 且要求 ab>0。⑤等价判定：当 q≠0 且 q≠1 时，Sₙ=k-k·qⁿ（k≠0）是数列 {aₙ} 为等比数列的充要条件，此时 k=a₁/(1-q)。,用求和公式时不讨论 q=1，或由 G²=ab 只取 G=√(ab) 而丢掉负值。,五三数学精讲册 P90
裂项相消法中常见的裂项技巧,METHOD_MODEL,裂项相消的拆项模型与步骤,等差型、根式型、指数型、对数型四类拆项公式，配合裂项、累加、消项三个步骤。,分式型、根式型、指数型数列的求和,①基本步骤：裂项——把通项公式拆成两项之差；累加——把裂项后的各项相加；消项——将中间可以消去的项相互抵消，把剩余的有限项相加，得到前 n 项和。②等差型：1/(n(n+1))=1/n-1/(n+1)；1/(n(n+k))=(1/k)(1/n-1/(n+k))；1/(4n²-1)=(1/2)(1/(2n-1)-1/(2n+1))；若 {aₙ} 是公差为 d(d≠0) 的等差数列，则 1/(aₙaₙ₊₁)=(1/d)(1/aₙ-1/aₙ₊₁)。③根式型：1/(√(n+1)+√n)=√(n+1)-√n；1/(√n+√(n+k))=(1/k)(√(n+k)-√n)。④指数型：2ⁿ/((2ⁿ⁺¹-1)(2ⁿ-1))=1/(2ⁿ-1)-1/(2ⁿ⁺¹-1)。⑤对数型：logₐ(1+1/n)=logₐ(n+1)-logₐn（a>0 且 a≠1）。,消项后剩余项的首尾位置与个数判断错误，导致结果多一项或少一项。,五三数学精讲册 P94
空间几何体的表面积和体积公式,REPRESENTATION_GUIDE,空间几何体表面积与体积公式汇总,圆柱、圆锥、圆台侧面积公式与柱、锥、台、球的表面积与体积公式，兼及斜二测画法。,求几何体表面积、体积、展开图问题,①侧面积：S圆柱侧=2πrl；S圆锥侧=πrl；S圆台侧=π(r₁+r₂)l。②表面积与体积：柱体（棱柱和圆柱）S表=S侧+2S底，V=S底·h；锥体（棱锥和圆锥）S表=S侧+S底，V=(1/3)S底·h；台体（棱台和圆台）S表=S侧+S上+S下，V=(1/3)(S上+S下+√(S上S下))·h；球 S=4πR²，V=(4/3)πR³。③球的性质：球是旋转体，球面不能展开；球心和截面（不过球心）圆心的连线垂直于截面；球心到截面的距离 d、球的半径 R 与截面圆的半径 r 满足 r=√(R²-d²)。④斜二测画法的三变三不变：坐标轴的夹角改变、与 y 轴平行的线段长度变为原来的一半、图形改变；平行性不变、与 x 轴平行的线段长度不变、相对位置不变。用斜二测画法画出的水平放置的平面图形的直观图的面积是原图形面积的 √2/4。,求锥体体积时漏掉 1/3，或把斜二测画法的面积比 √2/4 记成 √2/2。,五三数学精讲册 P99
求解几何体外接球的半径的思路,METHOD_MODEL,几何体外接球半径的三条思路,公式法、补形法与双面定球心法求外接球半径，并附内切球的等体积法与轴截面法。,求几何体外接球的表面积与体积,①公式法：正方体的外接球直径 2R=正方体对角线长=√3a（a 为正方体棱长）；长方体的外接球直径 2R=长方体对角线长=√(a²+b²+c²)（a，b，c 为长、宽、高）。②补形法：墙角模型的特征为 PA⊥AB，PA⊥AC，AB⊥AC；垂直模型的特征为 AB⊥BC，PC⊥BC，PC⊥AB 或 AB⊥BC，BC⊥PC，PA⊥AB；对棱相等模型满足 AB=CD，AD=BC，AC=BD，均可补成长方体求解。③双面定球心法：在三棱锥 P-ABC 中，先选定底面 △ABC，定出外接圆圆心 O₁；再选定侧面 △PAB，定出外接圆圆心 O₂；分别过 O₁ 作平面 ABC 的垂线、过 O₂ 作平面 PAB 的垂线，两垂线的交点即为外接球的球心 O。④内切球：设半径为 r，由 V=V₁+V₂+V₃ 得 r=3V/S表；也可用轴截面法，作出含切点、球心等元素的截面，利用三角形相似求解。,不满足补形条件（侧棱垂直于底面或对棱相等）时硬套补形法，导致球心位置错误。,五三数学精讲册 P102
双曲线的渐近线,CONCEPT_EXPLANATION,双曲线的渐近线方程与常用结论,焦点在 x 轴与 y 轴上双曲线的渐近线求法，以及通径、焦点到渐近线距离等结论。,求渐近线、由渐近线求方程或离心率,①渐近线方程：双曲线 x²/a²-y²/b²=1（a>0，b>0）的渐近线为 y=±(b/a)x；双曲线 y²/a²-x²/b²=1（a>0，b>0）的渐近线为 y=±(a/b)x。②记忆方法：把标准方程右边的 1 换成 0，即得 x²/a²-y²/b²=0，分解后即得渐近线。③基本量关系：实轴长为 2a，虚轴长为 2b，焦距为 2c，且 c²=a²+b²；离心率 e=c/a，即双曲线的焦距与实轴长的比。④常用结论：过双曲线的一个焦点且与实轴垂直的弦（通径）的长为 2b²/a；双曲线的焦点到渐近线的距离等于虚半轴长 b；同支的焦点弦中最短的为通径，异支的弦中最短的为实轴，其长为 2a。⑤设 P，A，B 是双曲线（焦点在 x 轴上）上的三个不同点，其中 A，B 关于原点对称，直线 PA，PB 的斜率存在且不为 0，则直线 PA 与 PB 的斜率之积为 b²/a²。,把焦点在 y 轴上的渐近线也写成 y=±(b/a)x，或由渐近线求方程时漏掉焦点位置的两种可能。,五三数学精讲册 P131
抛物线的焦点与准线,CONCEPT_EXPLANATION,四种抛物线的焦点与准线,与一定点和一条定直线距离相等的点的轨迹叫抛物线，定点叫焦点、定直线叫准线。,求焦点坐标、准线方程、焦半径与焦点弦,①定义：把平面内与一个定点 F 和一条定直线 l（l 不经过点 F）距离相等的点的轨迹叫做抛物线，点 F 叫焦点，直线 l 叫准线。②四种标准方程：y²=2px（p>0）的焦点为 (p/2，0)，准线为 x=-p/2，范围 x≥0；y²=-2px（p>0）的焦点为 (-p/2，0)，准线为 x=p/2，范围 x≤0；x²=2py（p>0）的焦点为 (0，p/2)，准线为 y=-p/2，范围 y≥0；x²=-2py（p>0）的焦点为 (0，-p/2)，准线为 y=p/2，范围 y≤0。四种情形的离心率均为 e=1，顶点均为 (0，0)。③焦半径：设 P(x₀，y₀) 在抛物线上，对 y²=2px（p>0），|PF|=x₀+p/2；其余三类依次为 -x₀+p/2、y₀+p/2、-y₀+p/2。④通径长为 2p，是过焦点的最短弦；涉及焦半径的问题优先用定义转化为到准线的距离。,焦点坐标与准线符号记反，或把准线写成 x=-p 而漏掉分母 2。,五三数学精讲册 P134
二项式定理,CONCEPT_EXPLANATION,二项式定理与二项式系数性质,展开式、通项公式，以及二项式系数的对称性、最值与各项系数和结论。,求指定项、指定项系数、系数和、最大项,①二项式定理：(a+b)ⁿ=C(n，0)aⁿ+C(n，1)aⁿ⁻¹b+…+C(n，k)aⁿ⁻ᵏbᵏ+…+C(n，n)bⁿ（n∈N*）；各项的系数 C(n，k)（k=0，1，2，…，n）叫做二项式系数。②通项公式：T(k+1)=C(n，k)aⁿ⁻ᵏbᵏ，它表示展开式的第 k+1 项。③易混点：二项式系数只与项数有关，与 a、b 的取值无关；项的系数是指该项中除变量外的常数部分，还与 a、b 的取值有关。④对称性：与首末两端等距离的两个二项式系数相等，即 C(n，m)=C(n，n-m)。⑤增减性与最大值：当 k<(n+1)/2 时 C(n，k) 随 k 的增加而增大，由对称性知后半部分随 k 的增加而减小；n 为偶数时中间一项最大，n 为奇数时中间两项相等且同时最大。⑥系数和：C(n，0)+C(n，1)+…+C(n，n)=2ⁿ；奇数项与偶数项的二项式系数和相等，都等于 2ⁿ⁻¹。,把展开式的第 k+1 项写成第 k 项，或把二项式系数误当作该项的系数。,五三数学精讲册 P148
条件概率,CONCEPT_EXPLANATION,条件概率的定义与基本性质,在事件 A 发生的条件下事件 B 发生的概率公式、成立前提与两条运算性质。,求条件概率、判断独立性、全概率计算,①定义：一般地，设 A，B 为两个随机事件，且 P(A)>0，称 P(B|A)=P(AB)/P(A) 为在事件 A 发生的条件下，事件 B 发生的条件概率，简称条件概率。②前提不可忽略：公式以 P(A)>0 为前提，讨论 P(B|A) 前必须先确认 A 的概率不为零，否则条件概率无意义。③性质：设 P(A)>0，则 P(Ω|A)=1；若 B 与 C 是两个互斥事件，则 P((B∪C)|A)=P(B|A)+P(C|A)。④与独立性的联系：若 P(AB)=P(A)·P(B)，则称事件 A 与 B 相互独立；此时 P(B|A)=P(B)，且 A 与 B、Ā 与 B、A 与 B̄、Ā 与 B̄ 也都相互独立。⑤概率的基本性质：P(A)≥0；P(Ω)=1，P(∅)=0；A 与 B 互斥时 P(A∪B)=P(A)+P(B)；A 与 B 对立时 P(B)=1-P(A)；A⊆B 时 P(A)≤P(B)。,把条件概率 P(B|A) 与积事件的概率 P(AB) 混为一谈，或在 P(A)=0 时仍套用公式。,五三数学精讲册 P151
正态分布,CONCEPT_EXPLANATION,正态密度曲线与正态分布,正态密度函数的解析式、X 服从 N(μ，σ²) 的记号，以及参数 μ、σ 对曲线位置与形状的影响。,判断正态曲线特征、求期望与方差、对称区间概率,①正态密度函数：f(x)=1/(σ√(2π))·e^(-(x-μ)²/(2σ²))，x∈R，其中 μ∈R，σ>0 为参数，它的图象称为正态密度曲线，简称正态曲线。②若随机变量 X 的概率分布密度函数为 f(x)，则称 X 服从正态分布，记为 X~N(μ，σ²)；特别地，当 μ=0，σ=1 时，称 X 服从标准正态分布。③正态曲线的特点：曲线是单峰的，关于直线 x=μ 对称；在 x=μ 处达到峰值 1/(σ√(2π))；当 |x| 无限增大时曲线无限接近 x 轴；曲线与 x 轴之间区域的面积总为 1。④参数的作用：σ 取定值时，曲线的位置由 μ 确定并随 μ 沿 x 轴平移；μ 取定值时，形状由 σ 确定，σ 较小时峰值高、曲线瘦高，表示分布比较集中，σ 较大时峰值低、曲线矮胖，表示分布比较分散。⑤若 X~N(μ，σ²)，则 E(X)=μ，D(X)=σ²。,把参数 σ 与方差 σ² 混用，或误认为 σ 越大正态曲线峰值越高、分布越集中。,五三数学精讲册 P158
方差与标准差,REPRESENTATION_GUIDE,方差、标准差与分层抽样的数字特征,方差与标准差的两个等价计算公式，以及分层随机抽样下总样本均值与总样本方差的合成。,求数据的方差与标准差、分层抽样合成计算,①方差：s²=(1/n)[(x₁-x̄)²+(x₂-x̄)²+…+(xₙ-x̄)²]=(1/n)Σ(xᵢ-x̄)²，也可写成 (1/n)Σxᵢ²-x̄²。②标准差：s=√[(1/n)((x₁-x̄)²+(x₂-x̄)²+…+(xₙ-x̄)²)]=√[(1/n)Σ(xᵢ-x̄)²]，方差与标准差都可度量样本数据与其平均数的偏离程度，且标准差与原数据单位一致。③按比例分配分层（两层）随机抽样所得样本的合成：若第一层样本量为 n₁、平均数为 x̄₁、方差为 s₁²，第二层样本量为 n₂、平均数为 x̄₂、方差为 s₂²，则总样本平均数 x̄=(n₁/(n₁+n₂))x̄₁+(n₂/(n₁+n₂))x̄₂，总样本方差 s²=(n₁/(n₁+n₂))[s₁²+(x̄₁-x̄)²]+(n₂/(n₁+n₂))[s₂²+(x̄₂-x̄)²]。,由方差求标准差时忘记开方，或忽略各层平均数与总平均数之差的平方项而直接加权平均方差。,五三数学精讲册 P166
