node_slug,type,title,summary,applicability,content,boundary,note
基因的表达,REPRESENTATION_GUIDE,转录与翻译的场所条件及产物比较,转录以DNA一条链为模板合成RNA，翻译在核糖体上以mRNA为模板合成肽链,基因表达过程的比较与判断,①转录：场所主要在细胞核，其次在线粒体、叶绿体（真核生物）；以DNA分子的一条链为模板，以四种核糖核苷酸为原料，需要RNA聚合酶和能量；产物是mRNA、tRNA和rRNA。②翻译：场所是核糖体；以mRNA为模板、以氨基酸为原料，需要tRNA转运氨基酸、需要能量以及与蛋白质合成相关的酶；产物是肽链。③方向：转录时子链延伸方向为5′端→3′端、模板链方向为3′端→5′端；翻译时肽链延伸方向为氨基端→羧基端。④分子关系：mRNA上决定1个氨基酸的3个相邻碱基叫密码子，密码子具有简并性，一种氨基酸可对应一种或几种密码子、可由一种或几种tRNA转运，但一种tRNA只能转运一种氨基酸。⑤结构拓展：真核生物基因内部存在外显子序列和内含子序列，内含子转录出的序列会被切除、不参与翻译过程；真核生物中转录和翻译不能同时进行，而原核生物以及真核生物的叶绿体、线粒体中可边转录边翻译。,启动子和终止子位于DNA上，用于启动和终止转录；起始密码子和终止密码子位于mRNA上，用于启动和终止翻译，两组概念不能混用,五三生物精讲册 P0097
基因突变,CONCEPT_EXPLANATION,基因突变的概念特点与诱因分析,碱基的替换、增添或缺失改变基因的碱基序列，突变具普遍性、低频性和不定向性,基因突变实例分析与诱变育种,①概念：DNA分子中发生碱基的替换、增添或缺失，而引起的基因碱基序列的改变叫基因突变；发生在基因内部的碱基序列变化才属于基因突变。②原因：外因包括物理因素（紫外线、X射线及其他辐射）、化学因素（亚硝酸盐、碱基类似物等）和生物因素（某些病毒的遗传物质）；内因是DNA复制偶尔发生错误等。③实例：镰状细胞贫血由血红蛋白基因发生碱基替换引起；用光学显微镜能观察到红细胞形状的变化，但不能观察到基因突变。④与癌变的关系：原癌基因表达的蛋白质是细胞正常生长和增殖所必需的，抑癌基因表达的蛋白质能抑制细胞的生长和增殖或促进细胞凋亡；二者发生突变或过量表达（多个基因累积突变）可导致细胞癌变，癌细胞具有能够无限增殖、形态结构发生改变和细胞膜上糖蛋白等减少而易分散转移的特征。⑤特点与意义：具普遍性、低频性、不定向性和随机性，是产生新基因的途径，也是生物变异的根本来源，为生物进化提供丰富的原材料。,光学显微镜下只能观察到红细胞形状等变化，不能观察到基因突变；基因突变能产生新基因，但不能决定生物进化的方向,五三生物精讲册 P0102
自然选择,CONCEPT_EXPLANATION,自然选择与种群基因频率的定向改变,种群是生物进化的基本单位，自然选择使基因频率定向改变并决定进化方向,进化理论与基因频率计算,①达尔文自然选择学说：过度繁殖是基础，遗传和变异是内因，生存斗争是手段，适者生存、不适者被淘汰是结果；适应的形成是自然选择的结果，适应具有普遍性和相对性，其相对性的根本原因是遗传的稳定性与环境不断变化之间的矛盾。②共同由来学说：地球上所有的生物都是由原始的共同祖先进化来的，最直接、最重要的证据是化石。③现代生物进化理论：种群是生物进化的基本单位，基因库是一个种群中全部个体所含有的全部基因，基因频率是在一个种群基因库中某个基因占全部等位基因数的比值，生物进化的实质是种群基因频率的定向改变。④可遗传变异（基因突变、染色体变异和基因重组）为进化提供原材料，但变异是不定向的；自然选择直接选择的是个体的表型，间接选择的是基因型，从而使种群基因频率发生定向改变，决定生物进化的方向。⑤隔离是物种形成的必要条件，其实质是不同群体间的个体在自然条件下基因不能自由交流。,突变和基因重组只能提供进化的原材料，不能决定生物进化的方向；自然选择直接作用的是个体的表型而不是基因型,五三生物精讲册 P0109
内环境,CONCEPT_EXPLANATION,内环境的组成理化性质与作用,细胞外液构成内环境，其渗透压、酸碱度和温度相对稳定,内环境成分与生理过程判断,①组成：体液包括细胞内液（约占2/3）和细胞外液（约占1/3）；细胞外液又称内环境，主要包括血浆、组织液和淋巴液，还包括脑脊液等。②内在联系：血浆与组织液之间通过毛细血管壁相互渗透；血浆、淋巴液、组织液的成分及各成分含量相近但不完全相同，最主要的差别是血浆中蛋白质含量较高。③理化性质：37 ℃时人的血浆渗透压约为770 kPa，其大小主要与无机盐、蛋白质的含量有关，细胞外液渗透压的90%以上来源于Na⁺和Cl⁻；正常人血浆的pH为7.35~7.45，与HCO₃⁻等物质有关。④作用：内环境是体内绝大多数细胞生活的直接环境，也是细胞与外界环境进行物质交换的媒介。⑤判断依据：组织液、血浆和淋巴液中的成分或发生在其中的过程属于内环境，而细胞内的成分和与外界相通的部位（消化道、膀胱、肺泡等）的成分以及发生在其中的过程都不属于内环境。,淀粉、血红蛋白、解旋酶、消化酶和尿液等不属于内环境成分；蛋白质作用于肠道上皮细胞的过程发生在消化道中，不属于内环境,五三生物精讲册 P0112
兴奋的产生和传导,CONCEPT_EXPLANATION,兴奋在神经纤维上的传导与突触传递,神经纤维上以电信号双向传导且不衰减，突触处经神经递质单向传递并出现延搁,膜电位变化与突触传递分析,①静息电位：静息时膜主要对K⁺有通透性，K⁺外流使膜电位表现为外正内负。②动作电位：受到刺激时膜对Na⁺的通透性增加，Na⁺内流使膜电位变为外负内正。③传导机制：兴奋部位与未兴奋部位之间形成局部电流，膜内电流由兴奋区流向未兴奋区、膜外电流方向相反，从而使兴奋向两侧传导。④传导特点：在离体的神经纤维上兴奋可以双向传导，且传导过程中电位变化总是一样的、不会随传导距离的增加而衰减。⑤突触传递：轴突末梢有兴奋传来时，突触小泡向突触前膜移动并释放神经递质，递质经扩散与突触后膜上的受体特异性结合，引起突触后膜的离子通道发生变化、引发突触后膜电位变化；神经递质发挥作用后会与受体分开，并迅速被降解或回收进细胞。⑥神经递质：来源于突触小泡，释放方式为胞吐；神经递质不进入突触后神经元，因此突触处兴奋只能单向传递，且因经历递质的释放、扩散及对突触后膜作用的过程而出现突触延搁，速度比在神经纤维上慢。,神经递质发挥作用后会被降解或回收，不能持续起作用；兴奋在突触处单向传递，而在离体的神经纤维上可双向传导,五三生物精讲册 P0116
激素,METHOD_MODEL,动物激素的发现与研究激素的方法,促胰液素由小肠黏膜产生并随血液运输，研究激素常用切除法、饲喂法和注射法,激素发现史与实验探究设计,①促胰液素的发现：沃泰默发现稀盐酸注入小肠肠腔能引起胰腺分泌胰液，而稀盐酸注入血液则不引起胰腺分泌胰液，切除神经只留血管后重复该实验胰液仍分泌；斯他林和贝利斯剪下一段小肠、刮下黏膜，将黏膜与稀盐酸混合后提取液注入同一条狗的静脉，结果胰腺分泌胰液。说明在盐酸的作用下小肠黏膜细胞产生了一种化学物质，进入血液后随血流到达胰腺并引起胰液的分泌，被称作促胰液素。②睾丸分泌雄激素的研究：公鸡摘除睾丸后雄性性征明显消失，移植回睾丸后公鸡特征恢复。③研究激素的常用方法：切除法（减法原理，对照组不切除或做假手术）、饲喂法（加法原理，适用于甲状腺激素、性激素等）和注射法（加法原理，适用于各种激素）；实验设计思路为取材分组→变量处理→培养、观察、记录→得出结论。④注意事项：选择性别、年龄、体重和生理状况相似的动物平均分组，每组要有数量相等的若干只；多肽和蛋白质类激素在消化道内会被水解，故不宜口服。,激素通过体液（血液）运输，与神经调节的反射弧途径不同；多肽和蛋白质类激素如胰岛素只能注射不能口服,五三生物精讲册 P0124
免疫系统的组成和功能,CONCEPT_EXPLANATION,免疫系统的组成与抗原抗体辨析,免疫器官、免疫细胞与免疫活性物质构成免疫系统，抗体由浆细胞产生,免疫系统组成与抗原抗体判断,①免疫器官：骨髓是各种免疫细胞的发生地；胸腺是T细胞分化、发育、成熟的场所；脾在胃的左侧，含大量淋巴细胞，也参与制造新的血细胞与清除衰老的血细胞。②免疫细胞：来自骨髓的造血干细胞，包括淋巴细胞和吞噬细胞；辅助性T细胞辅助B细胞、细胞毒性T细胞产生免疫应答，细胞毒性T细胞参与细胞免疫，B细胞参与体液免疫；巨噬细胞和树突状细胞均具有吞噬消化、抗原处理和呈递功能，属于抗原呈递细胞（APC）。③免疫活性物质：由免疫细胞或其他细胞产生的发挥免疫作用的物质，包括抗体、细胞因子（白细胞介素、干扰素、肿瘤坏死因子等）和溶菌酶等。④抗原与抗体：抗原是能与免疫细胞表面的受体结合、引发免疫反应的物质，一般是大分子的非己成分，也可以是自身衰老或损伤的细胞；抗体是机体产生的能与抗原特异性结合的蛋白质（免疫球蛋白），主要由浆细胞产生，一种抗体只能与特定抗原结合。,溶菌酶是一种碱性蛋白质、能破坏某些细菌的细胞壁，溶酶体是含有多种水解酶的细胞器，二者不能混为一谈；一种病原体可携带多种抗原,五三生物精讲册 P0134
生长素,CONCEPT_EXPLANATION,生长素的发现、极性运输与两重性,生长素主要由芽和幼嫩的叶合成并极性运输，低浓度促进生长、高浓度抑制生长,生长素合成运输与生理作用分析,①发现历程：达尔文父子观察到胚芽鞘的向光性与尖端有关，提出胚芽鞘的尖端受单侧光刺激后向下面的伸长区传递了某种影响；鲍森·詹森证明这种影响可以透过琼脂片传递给下部；拜尔证明胚芽鞘的弯曲生长是由尖端产生的影响在其下部分布不均匀造成的；温特证明胚芽鞘的弯曲生长确实是由一种化学物质引起的，并把它命名为生长素。②合成与运输：主要在芽、幼嫩的叶和发育中的种子中合成；在胚芽鞘、芽、幼叶和幼根中只能从形态学上端运输到形态学下端，即极性运输；在成熟组织中可通过输导组织进行非极性运输。③作用方式与生理特点：细胞水平上促进细胞伸长生长、诱导细胞分化；器官水平上影响器官的生长、发育。一般情况下生长素浓度较低时促进生长、浓度过高时则抑制生长，即具有两重性；不同浓度的生长素对植物生长的作用效果可能相同。④顶端优势：顶芽产生的生长素向下运输，使侧芽处生长素浓度较高而生长受到抑制。,抑制生长不等于不生长，凡生长状况差于对照组（自然生长或清水处理组）的即可认为生长受到抑制；生长素的产生与光照无关，有光无光都可产生,五三生物精讲册 P0140
种群的数量特征,REPRESENTATION_GUIDE,种群数量特征的关系与密度调查方法,种群密度是最基本的数量特征，样方法与标记重捕法适用于不同对象,种群密度计算与调查方法选择,①种群与数量特征：种群是在一定的空间范围内同种生物所有个体形成的集合；种群密度是种群最基本的数量特征；直接决定种群密度的因素是出生率和死亡率、迁入率和迁出率。②相互关系：年龄结构可预测种群数量的变化趋势，它通过影响出生率和死亡率影响种群密度；性别比例通过影响出生率间接影响种群密度，因此年龄结构和性别比例不直接决定种群密度。③逐个计数法：适用于调查分布范围较小、个体较大的种群，如调查某山坡上的珙桐密度。④样方法：适用于植物或活动范围小、活动能力弱的动物，关键是随机取样；统计每个样方中调查对象的数量后取所有样方数的平均值计算种群密度；样方大小应根据调查对象适当调整，如调查草本植物时样方的大小以1 m²为宜，样方数量不宜太少。⑤标记重捕法：适用于活动范围大、活动能力强的动物，计算公式为N＝N₁×N₂/N₀（N₁为第一次捕获并标记的个体数、N₂为重捕个体数、N₀为重捕中被标记的个体数）。,种群数量多不等于种群密度大，因为种群密度强调单位面积或单位体积中的个体数；标记物脱落或标记个体被重捕机会减小都会使估算结果偏大,五三生物精讲册 P0145
群落的结构,CONCEPT_EXPLANATION,群落的物种组成与种间关系,物种丰富度与优势种决定群落性质，种间关系有原始合作、互利共生、寄生、竞争和捕食,种间关系曲线与丰富度调查分析,①群落与物种组成：群落是在相同时间聚集在一定地域中各种生物种群的集合；物种丰富度是一个群落中的物种数目，可采用样方法调查某区域内植物的物种丰富度，可采用取样器取样法调查土壤中小动物类群的物种丰富度。②规律与特点：不同群落的物种丰富度往往不同，一般越靠近热带地区，森林群落单位面积内的物种越丰富；优势种不仅数量很多，对群落中其他物种的影响也很大；群落中的物种组成会随着时间和环境的变化而改变，是区别不同群落的重要特征，也是决定群落性质最重要的因素。③种间关系：原始合作是双方受益、分开后各自也能独立生活；互利共生是长期共生、相互依存、彼此有利，数量上呈现同步且平行的变化；寄生通常对宿主有害、对寄生生物有利；种间竞争是争夺资源和空间，数量上呈现你增我减的变化；捕食是一种生物以另一种生物为食，数量上呈现先增加先减少与后增加后减少的变化，波峰在前的是被被捕食者。,原始合作与互利共生的区别在于分开后双方能否独立生活；捕食关系的数量曲线中先出现波峰的是被被捕食者，不能颠倒,五三生物精讲册 P0151
能量流动,CONCEPT_EXPLANATION,生态系统能量流动的过程与特点,能量单向流动并逐级递减，相邻两个营养级的能量传递效率一般为10%~20%,能量流动计算与去向分析,①概念理解：能量流动的源头是生产者固定的太阳能；能量传递的形式是有机物中的化学能，途径是食物链和食物网。②第一营养级：生产者固定的能量，一部分通过呼吸作用以热能形式散失，一部分用于生长、发育和繁殖而储存于体内，后者可流向下一营养级、被分解者利用或未被利用；同化量等于呼吸作用散失的能量与用于生长、发育和繁殖的能量之和。③中间营养级：摄入量等于同化量与粪便量之和；粪便量属于上一营养级生物的同化量，也属于上一营养级流向分解者的能量。最高营养级与中间营养级相似，但没有流向下一营养级的能量。④特点与传递效率：能量单向流动，原因是生物之间的捕食关系一般不可逆转；能量逐级递减，原因是各营养级生物的呼吸消耗；能量传递效率是某一营养级同化量与上一营养级同化量的比值，相邻两个营养级的能量传递效率一般为10%~20%。,粪便量不属于该营养级的同化量，而属于上一营养级同化量中流向分解者的部分；能量传递效率是相邻两个营养级同化量的比值，不是摄入量的比值,五三生物精讲册 P0158
生物多样性,CONCEPT_EXPLANATION,生物多样性的层次价值与保护,生物多样性包括遗传、物种和生态系统多样性，间接价值明显大于直接价值,生物多样性价值判断与保护措施,①生态足迹：又称生态占用，指在现有技术条件下，维持某一人口单位生存所需的生产资源和吸纳废物的土地及水域的面积；生态足迹的值越大，代表人类所需的资源越多，对生态和环境的影响就越大；生活方式不同，生态足迹的大小可能不同，如与食用蔬菜相比，吃牛肉会增大生态足迹。②生物多样性的层次：包括遗传多样性（基因多样性）、物种多样性和生态系统多样性；同种生物的不同个体间的差异可体现遗传（基因）多样性。③价值：直接价值包括实用价值（食用、药用、作为工业原料等）和非实用价值（科研、旅游观赏、文学艺术创作等）；间接价值主要体现在调节生态系统的功能等方面，如森林和草地具有防风固沙、水土保持作用。④保护措施：就地保护是在原地对被保护的生态系统或物种建立自然保护区以及国家公园等，是最有效的保护；易地保护是把保护对象迁至异地进行专门保护。,生物多样性的间接价值明显大于其直接价值；保护生物多样性最有效的措施是就地保护而不是易地保护,五三生物精讲册 P0164
微生物的培养,CONCEPT_EXPLANATION,培养基的成分与分类,培养基含碳源、氮源、水和无机盐，按物理性质和功能分类,培养基分析与培养条件判断,①营养成分：培养基一般都含有水、碳源、氮源和无机盐等营养物质；碳源能构成细胞物质，有机碳源既是碳源又是能源，来源包括无机碳源（CO₂、NaHCO₃、CaCO₃等）和有机碳源（糖类、脂质、蛋白质、牛肉膏、蛋白胨等）；氮源用于合成蛋白质、核酸及其他含氮的物质，来源包括无机氮源（N₂、硝酸盐等）和有机氮源（蛋白胨、尿素等）。②按物理性质划分：液体培养基常用于扩大培养；半固体培养基可观察微生物的运动；固体培养基可用于微生物的分离、鉴定和计数。③按功能划分：选择培养基允许特定种类的微生物生长，同时抑制或阻止其他种类微生物生长；鉴别培养基利用不同微生物代谢产物的差异，使添加的特定化学试剂或指示剂与培养基中的成分发生反应并产生可见的特征性变化，从而区分不同类型微生物。,选择培养基用于让目标微生物生长而抑制其他微生物，鉴别培养基用于通过特征性变化区分不同类型微生物，二者的作用不能混淆,五三生物精讲册 P0168
