material_slug,target_node_name,evidence
chem-kb-electrode-discharge-order,电解原理易错点,材料讲电解时两极放电顺序与活性电极，该节点正文含最常用放电顺序阳极Cl-大于OH-与阴极Ag+大于Cu2+大于H+及活性电极内容
chem-hj-f096-dianjie-cucl2-moxing,电解池工作原理(以电解CuCl2溶液为例):,材料标题为惰性电极电解氯化铜溶液模型，与节点名电解池工作原理(以电解CuCl2溶液为例)完全对应
chem-hj2-qiti-fasheng-zhuangzhi-sanlei,气体制备,材料标题为三类气体发生装置及适用气体，讲固固加热与固液加热与固液不加热三类发生装置，属气体制备装置
chem-fx-li-yong-dian-jie-shi-yan-ke-yi-zhi-de-f15x07,Fe(OH)2的制备,材料为电解法制得纯净Fe(OH)2白色沉淀的装置，属Fe(OH)2的制备要点
chem-fx-mou-ke-wai-xing-qu-xiao-zu-yu-tan-jiu-f28x15,弱电解质的电离平衡,材料探究温度对H2O2电离平衡的影响并用pH计测电离是否吸热，属弱电解质电离平衡及其影响因素
chem-fx-li-yong-jian-neng-ji-suan-fan-ying-re-f38x02,键能,材料讲利用键能计算反应热时要注意化学键的个数如1 mol NH3含3 mol N-H键，属键能
chem-fx-neng-yu-za-zhi-fa-sheng-fan-ying-sheng-f69x03,分离提纯,材料讲能与杂质反应生成沉淀或可溶物的物质可作吸收剂，属除去杂质气体的分离提纯
chem-feoh2-oxidation-color-change,铁的氢氧化物的稳定性,材料讲Fe(OH)2白色沉淀在空气中先变灰绿后变红褐及其被氧气氧化的方程式，该节点正文即讲Fe(OH)2易被氧气氧化
chem-kb-feoh2-preparation-methods,Fe(OH)2的制备,材料标题为Fe(OH)2的制备要点，讲有机覆盖层法与还原性气体保护法与电解法隔绝氧气
chem-hj2-fe-oh2-zhibei-geyang,Fe(OH)2的制备,材料标题为防Fe(OH)2被氧化的制备要点，讲煮沸除氧与滴管插入液面下与加有机层覆盖与充保护气等制备关键
chem-fx-chang-jian-qi-ti-dian-xing-zhi-bei-zhu-f28x03,气体制备,材料标题为常见气体典型制备装置举例，含Cl2与SO2的实验室制备装置
chem-manganese-dioxide-oxidizes-sulfite,陌生情景下化学方程式书写技巧,材料为MnO2与SO32-在酸性条件下生成Mn2+与SO42-的离子方程式模型，该节点正文即讲陌生情景下氧化还原离子方程式书写的六步程序
chem-hj-lvre-fanying-caozuo-yaodian,铝的化学性质,材料讲铝热反应的纸漏斗剪孔与蒸发皿盛沙与镁条氯酸钾引燃等操作要点，属铝的化学性质中的铝热反应
chem-fx-dai-fan-ying-wan-cheng-hou-f69x16,重结晶,材料讲加乙醇析出固体与加热溶解与脱色与趁热过滤与冰水浴冷却与过滤洗涤干燥，属重结晶操作
chem-hj-zifa-guocheng-zifafanying,自发反应,材料标题为自发过程与自发反应，讲自发过程趋向能量降低与混乱度增大及自发反应一经引发即自动进行
chem-hj-hanpanju-fanying-fangxiang,判断化学反应的自发性,材料标题为焓判据与反应方向，讲多数放热反应自发而有些吸热反应也能自发，属自发性的判断
chem-hj2-zifaguo-zifa-fanying,自发反应,材料标题为自发过程与自发反应的概念及特点，讲自发性与方向性及逆方向不能自发
chem-hj-rongjie-quxian-c-c-tu,解沉淀溶解平衡图像题的三步骤,材料讲沉淀溶解平衡曲线c-c图像的分析，含曲线上Q等于Ksp与上方过饱和与下方不饱和，该节点正文即此三步分析法
chem-hj-chendian-diding-quxian,沉淀滴定法,材料讲以滴加溶液体积为横坐标的沉淀滴定曲线与突跃点恰好完全反应并由数据计算Ksp，属沉淀滴定法
chem-fx-chen-dian-rong-jie-ping-heng-yi-dong-z-f55x01,影响沉淀溶解平衡的因素,材料以BaSO4在不同条件下沉淀溶解平衡为例讲平衡移动中离子浓度关系曲线，属影响沉淀溶解平衡的因素
chem-activation-energy-definition,活化能,材料标题为活化能即过渡态与反应物的能量差，给出活化能与能垒的定义
chem-hj-lizi-huahewu-huaxueshi-hanyi,化学键与物质类别的关系,材料讲离子化合物化学式只表示离子最简整数比并辨析NH4Cl与AlCl3与NaOH与Na2O2等类别，该节点正文即含这些实例
chem-hj2-cl2-yu-huanyuanxing-hewu,氯气,材料讲Cl2把Fe2+氧化为Fe3+与把Br-与I-氧化出单质以及与SO2水溶液反应，属氯气的氧化性
chem-fx-jie-gou-jian-shi-f03x01,有机物的结构特点,材料讲结构复杂分子用结构简式或键线式表示更方便，属有机物的结构特点与表示方法
chem-fx-shi-yi-zhong-zhong-yao-de-sha-jun-xiao-f11x07,陌生化学方程式书写的思路,材料为NaClO2杀菌消毒剂生产工艺流程图，属据题给信息书写陌生化学方程式
chem-fx-mou-cui-hua-zhuan-hua-guo-cheng-ru-tu-f11x09,陌生情景下化学方程式书写技巧,材料据Ni2O3与ClO-转化为2NiO2与Cl-等催化转化过程书写离子方程式，属陌生情景下氧化还原离子方程式书写技巧
chem-fx-dui-shang-shu-dian-chi-fang-dian-shi-d-f40x07,新型化学电源,材料研究电池放电时电极上的捕获与转化路径及相对能量变化，属新型化学电源装置分析
chem-crystal-melting-general-order,晶体熔、沸点高低的比较方法,材料讲不同类型晶体熔沸点高低的一般规律即共价晶体大于离子晶体大于分子晶体，该节点正文即讲不同类型晶体的熔沸点比较
chem-hj2-ludaiting-rouli-xingzhi-guilv,卤代烃的物理性质,材料讲卤代烃的状态与溶解性与沸点规律如沸点随相对分子质量增大而升高且高于相应烃，即卤代烃的物理性质
chem-fx-yin-fa-pen-quan-de-ji-zhong-fang-fa-f26x05,形成喷泉的原理,材料列举使气体迅速溶解与降温减压与增大液面气压三种引发喷泉的方法，本质都是制造压强差即形成喷泉的原理
chem-fx-you-ke-xue-yan-jiu-ti-chu-f13x14,碱金属的一般性与特殊性,材料为锂电池负极Li生成LiH并用重水D2O反应测定的探究，涉及锂的特殊性与碱金属氢化物，属碱金属的一般性与特殊性
chem-hj-zhi-ranshao-dingliang-guilv,烃类的燃烧规律,材料讲气态烃燃烧体积变化只与y有关与等质量耗氧看氢质量分数与等物质的量看x加y/4，即烃类的燃烧规律
chem-fx-liang-qu-yi-ding-liang-de-nong-liu-sua-f05x08,溶液的配制步骤,材料讲量取一定量浓硫酸与稀释与转移定容得待测液并移取滴定，属一定物质的量浓度溶液的配制步骤
chem-lithium-battery-primary-secondary,二次电池,材料区分锂电池属一次电池与锂离子电池为可充放电的二次电池且须用非水电解质，属二次电池
chem-fx-san-zhong-wu-zhi-zai-qi-ta-you-ji-rong-f21x05,萃取,材料讲三种物质在汽油与苯等有机溶剂中与在CCl4中颜色差别不大，属萃取时有机层颜色的判断
